,Draft Capital,40 Time,"College 
 Dominator",BOA,BOY,Early Declare,Height,BMI,Hand Size,Arm Length,RAS,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,REC in a Season,"Scrimmage
 Yards in a Season",College YPC,RAS
Calvin Johnson,1.02,4.35,55.3,19.9,FR,Y,"6' 5""",28.0,9.750,36.000,10.00,,Edgerrin James,1.04,117.4,4.38,1.49,216,28.5,N/A,19,"1,671",6.0,10.00
Andre Johnson,1.03,4.40,28.8,20.2,SO,Y,"6' 2""",28.9,9.125,34.000,9.98,,LaDainian Tomlinson,1.05,108.7,4.46,1.54,215,30.8,93rd,16,"2,198",5.7,9.79
Torry Holt,1.06,4.44,41.0,19.9,JR,N,"6' 1""",25.3,9.625,30.250,9.76,,Jamal Lewis,1.05,109.1,4.58,N/A,240,33.5,N/A,23,"1,630",5.5,N/A
Tim Brown,1.06,4.39,63.0,19.0,SO,N,6',26.2,9.000,N/A,N/A,,Ricky Williams,1.05,112.9,4.56,1.61,244,34.0,90th,92,"2,386",6.2,9.73
Plaxico Burress,1.08,4.59,45.5,21.1,JR,N,"6' 5""",27.4,9.500,33.750,N/A,,Adrian Peterson,1.07,114.7,4.41,1.57,217,28.6,91st,10,"1,937",5.4,9.64
Santana Moss,1.16,4.31,24.8,19.3,SO,N,"5' 10""",26.0,8.500,29.000,N/A,,Marshawn Lynch,1.12,103.0,4.52,1.60,215,30.0,73rd,34,"1,684",6.6,7.81
Marvin Harrison,1.19,4.49,53.4,21.0,SO,N,6',24.5,9.750,30.750,N/A,,Steven Jackson,1.24,112.5,4.55,N/A,241,32.2,72nd,44,"2,015",4.9,9.53
Randy Moss,1.21,4.36,52.2,20.6,SO,Y,"6' 4""",25.6,9.625,34.000,9.67,,Chris Johnson,1.24,121.9,4.24,1.40,197,27.5,81st,37,"1,951",4.8,9.57
Dez Bryant,1.24,4.57,62.5,18.8,SO,Y,"6' 2""",28.5,9.750,34.000,9.05,,Larry Johnson,1.27,116.3,4.45,N/A,228,30.1,N/A,41,"2,436",6.4,N/A
Santonio Holmes,1.25,4.40,48.6,21.5,JR,N,"5' 11""",26.8,9.125,31.000,8.05,,Joseph Addai,1.30,113.2,4.41,1.50,214,29.8,90th,26,"1,091",5.3,9.07
Roddy White,1.27,4.50,50.5,20.8,JR,N,"6' 1""",27.4,8.500,32.250,9.82,,Tiki Barber,2.04,93.9,4.56,1.60,203,30.0,81st,22,"1,618",5.2,8.70
Reggie Wayne,1.30,4.45,32.1,18.8,FR,N,6',26.9,9.000,32.000,N/A,,Matt Forte,2.13,110.2,4.46,1.49,218,28.8,30th,32,"2,409",5.1,9.71
Isaac Bruce,2.01,4.55,31.0,20.9,SR,N,6',24.4,8.750,33.125,8.84,,LeSean McCoy,2.21,99.5,4.50,1.52,204,29.3,2nd,33,"1,793",4.8,6.20
Amani Toomer,2.02,4.50,27.0,19.9,JR,N,"6' 3""",24.6,9.000,32.500,10.00,,Travis Henry,2.26,98.7,4.61,1.62,223,32.9,68th,13,"1,379",5.5,7.99
Chad Johnson,2.05,4.57,34.4,22.6,N/A,N,"6' 1""",25.3,9.500,32.000,5.85,,Frank Gore,3.01,95.6,4.60,N/A,214,31.6,20th,12,"1,051",5.7,5.67
