,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOA,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Sammy Watkins,1.04,4.43,1.55,26,2.97,9.7,18.2,1,Y,6006,8086,27.8,9.625,32.000,8.45,14.1,2,22,,Bishop Sankey,2.22,102.8,4.49,1.53,209,30.0,123.4,98.9,"2,174",33,9.72,8.0,5.4,0,0
Mike Evans,1.07,4.53,1.60,28,2.85,26.6,19.0,2,Y,6046,9037,27.4,9.375,35.125,7.00,16.5,11,11,,Jeremy Hill,2.23,98.8,4.66,1.65,233,30.7,105.8,54.7,"1,582",18,2.29,15.3,6.2,3,16
Odell Beckham Jr.,1.12,4.43,1.57,26,3.53,20.0,19.8,2,Y,5112,8080,27.6,10.000,32.750,8.81,16.4,5,11,,Carlos Hyde,2.25,101.0,4.62,1.69,230,31.2,115.7,56.6,"1,668",16,4.23,7.0,6.1,2,12
Brandin Cooks,1.20,4.33,1.54,25,2.77,24.2,18.9,2,Y,5096,8044,27.1,9.625,30.750,9.14,14.5,7,20,,Charles Sims,3.05,106.3,4.48,1.57,214,29.0,126.8,74.6,"1,496",70,8.58,15.7,5.9,0,0
Kelvin Benjamin,1.28,4.61,1.62,20,2.29,26.9,22.6,3,Y,6050,9037,28.1,10.250,34.875,3.49,17.9,2,20,,Tre Mason,3.11,101.0,4.50,1.55,207,30.6,128.5,57.6,"1,979",12,8.94,6.4,5.8,1,30
Marqise Lee,2.07,4.52,1.59,33,3.73,19.8,19.8,1,Y,5116,8074,26.0,9.500,31.750,7.11,14.7,0,0,,Terrance West,3.30,105.9,4.54,1.63,225,33.2,117.0,N/A,"2,519",N/A,3.91,N/A,6.1,0,0
Jordan Matthews,2.10,4.46,1.55,36,3.93,12.4,19.1,2,N,6031,9003,26.5,10.375,33.250,9.38,14.3,2,22,,Jerick McKinnon,3.32,110.5,4.41,1.55,209,30.9,134.9,N/A,"1,817",N/A,9.78,N/A,6.7,0,0
Paul Richardson,2.13,4.40,1.56,28,3.44,28.0,18.4,1,Y,6003,8090,23.7,8.875,32.625,7.63,15.5,0,0,,Devonta Freeman,4.03,93.6,4.58,1.66,206,31.3,112.6,58.7,"1,294",22,2.34,7.7,5.6,4,11
Davante Adams,2.21,4.56,1.64,34,2.55,12.9,19.7,2,Y,6007,8094,28.0,9.000,32.625,6.54,13.0,10,9,,Andre Williams,4.13,106.4,4.56,1.60,230,32.1,129.1,41.0,"2,177",34,9.25,17.1,5.3,0,0
Cody Latimer,2.24,4.44,1.55,20,2.33,24.4,19.9,2,Y,6024,8111,27.6,9.625,32.625,9.93,15.1,0,0,,Ka'Deem Carey,4.17,84.8,4.70,1.59,207,30.6,112.8,90.3,"2,232",36,2.91,1.8,5.7,0,0
Allen Robinson,2.29,4.56,1.60,26,3.50,12.5,19.0,2,Y,6025,8105,28.2,9.500,32.000,8.86,14.0,4,14,,De'Anthony Thomas,4.24,84.9,4.50,1.63,174,25.7,116.4,34.0,"1,200",46,3.70,21.3,7.8,0,0
Jarvis Landry,2.31,4.65,1.73,22,3.66,-3.4,19.8,2,Y,5114,8072,28.6,10.250,31.750,0.27,13.2,6,17,,James White,4.30,93.5,4.57,1.60,204,30.1,111.4,68.7,"1,744",39,4.94,1.0,6.2,2,15
Josh Huff,3.22,4.51,1.58,18,2.81,25.1,20.9,4,N,5112,8064,28.7,9.375,31.250,6.61,16.4,0,0,,Alfred Blue,6.05,97.1,4.63,1.59,223,28.6,114.9,12.4,536,7,5.04,11.1,6.0,0,0
