,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA ,10+ PPG Seasons,AVG Top Finish
Henry Ruggs,1.12,4.27,1.54,15,1.84,N/A,15.7,N/A,Y,5110,8054,25.2,10.125,30.500,9.55,17.5,0,0,,Clyde Edwards-Helaire,1.32,92.5,4.60,1.60,207,32.4,128.7,74.5,"1,867",55,5.44,10.7,5.7,2,31
Jerry Jeudy,1.15,4.45,1.56,20,3.00,19.4,13.7,2,Y,6010,8091,25.5,9.500,32.125,6.77,17.2,2,18,,D'Andre Swift,2.03,105.3,4.48,1.59,212,32.2,120.9,55.8,"1,434",32,7.58,10.0,6.6,6,19
Ceedee Lamb,1.17,4.5,1.58,25,3.48,19.4,16.8,2,Y,6015,8097,25.7,9.250,32.250,7.45,19,,,,Jonathan Taylor,2.09,121.7,4.39,1.54,226,32.4,122.7,75.5,"2,255",26,9.53,12.4,6.7,,
Jalen Reagor,1.21,4.47,1.63,29,2.60,19.7,29.7,2,Y,5105,8060,28.7,9.500,31.375,6.05,15.2,0,0,,Cam Akers,2.20,108.7,4.47,1.47,217,31.1,121.4,80.3,"1,369",30,8.81,5.2,4.9,0,0
Justin Jefferson,1.22,4.42,1.57,19,2.72,19.6,5.7,2,Y,6012,8102,26.6,9.175,33.000,9.69,14.6,,,,J.K. Dobbins,2.23,N/A,N/A,N/A,209,30.0,N/A,62.8,"2,250",26,N/A,8.2,6.2,,
Brandon Aiyuk,1.25,4.50,1.57,26,3.11,21.5,30.3,4,N,5115,8091,27.8,9.750,33.500,8.46,17,,,,A.J. Dillon,2.30,117.3,4.53,1.64,247,33.5,135.2,55.7,"1,804",13,9.16,4.8,5.2,0,0
Tee Higgins,2.01,4.59,1.66,21,2.29,18.6,47.9,2,Y,6035,9016,26.3,9.250,34.125,4.16,18.1,,,,Antonio Gibson,3.02,122.8,4.39,1.55,228,30.9,118.5,N/A,"1,104",38,9.29,107.4,11.2,2,11
Michael Pittman,2.02,4.52,1.61,17,2.48,20.9,17.4,3,N,6040,9004,27.1,9.250,32.500,8.29,14.7,,,,Ke'Shawn Vaughn,3.12,103.5,4.51,1.62,214,30.7,112.9,79.1,"1,514",28,5.22,10.0,5.8,0,0
LaViska Shenault,2.10,4.58,1.61,21,2.41,19.9,11.7,2,Y,6005,8084,29.9,9.000,31.875,6.97,13,0,0,,Zack Moss,3.22,95.4,4.65,1.67,223,32.9,N/A,68.9,"1,804",29,2.88,10.1,5.7,1,29
Chase Claypool,2.17,4.42,1.56,17,2.49,21.2,13.1,4,N,6042,9006,29,9.875,32.500,9.98,14.4,1,19,,Darrynton Evans,3.29,107.3,4.41,1.58,203,29.1,125.4,78.6,"1,678",21,9.12,-0.5,6.0,0,0
Van Jefferson,2.25,N/A,N/A,15,1.41,N/A,-5.9,N/A,N,6014,8102,26.0,9.125,32.750,N/A,12.3,0,0,,Joshua Kelley,4.06,104.3,4.49,1.61,212,29.6,113.2,46.8,"1,436",27,7.63,4.1,5.1,0,0
Denzel Mims,2.27,4.38,1.54,22,2.35,19.9,22.5,2,N,6027,9006,25.9,9.375,33.875,9.77,15.7,0,0,,Lamical Perine,4.14,94.8,4.62,1.66,216,30.1,118.5,73.6,996,40,5.31,-2.9,5.0,0,0
