,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,BOA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA,10+ PPG Seasons,AVG Top Finish
Marvin Harrison Jr,1.04,N/A,N/A,25,3.08,20.1,20.3,2,Y,6032,8111,26.1,9.500,31.875,N/A,16.9,,,,Jonathon Brooks,2.14,N/A,N/A,N/A,216,29.3,N/A,45.9,"1,425",25,N/A,6.9,6.2,,
Malik Nabers,1.06,4.38,1.56,24,3.82,19.1,33.0,2,Y,6002,8075,27.1,9.875,31.375,9.70,17.6,,,,Trey Benson,3.02,116.3,4.39,1.55,216,29.3,118.0,44.4,"1,134",20,9.70,8.0,6.1,,
Rome Odunze,1.09,4.45,1.54,20,2.85,20.3,20.8,3,Y,6027,8111,27.1,9.250,32.250,9.92,15.3,,,,Blake Corum,3.19,97.4,4.53,1.59,205,32.0,N/A,66.8,"1,543",24,8.24,1.4,5.5,,
Brian Thomas Jr,1.23,4.33,1.52,15,2.86,20.9,12.6,3,Y,6027,8115,26.7,9.750,32.750,9.82,14.9,,,,MarShawn Lloyd,3.25,111.2,4.46,1.60,220,33.3,120.2,47.4,"1,052",18,8.57,10.5,5.6,,
Xavier Worthy,1.28,4.21,1.44,30,2.84,18.4,10.7,1,Y,5112,8063,23.0,8.750,31.125,9.39,14.0,,,,Jaylen Wright,4.20,113.6,4.38,1.56,209,30.0,131.6,28.8,"1,154",22,9.81,6.3,6.2,,
Ricky Pearsall,1.31,4.41,1.49,19,2.49,21.0,22.4,3,N,6010,8077,24.9,9.250,30.875,9.90,15.2,,,,Bucky Irving,4.25,89.6,4.55,1.61,192,28.4,107.7,55.1,"1,593",56,2.23,12.1,6.2,,
Xavier Legette ,1.32,4.39,1.57,11,3.05,22.6,13.4,5,N,6010,8087,29.2,9.000,31.875,9.88,13.5,,,,Will Shipley,4.27,100.5,4.50,1.55,206,28.7,N/A,69.1,"1,424",38,9.58,2.6,5.2,,
Keon Coleman,2.01,4.61,1.62,18,1.94,19.3,6.9,2,Y,6032,8113,26.5,9.375,32.125,8.08,13.1,0,0,,Ray Davis,4.28,101.1,4.52,1.62,211,32.0,119.0,81.3,"1,452",33,4.61,7.5,4.9,,
Ladd McConkey,2.02,4.39,1.52,14,1.55,N/A,5.5,N/A,Y,5115,8057,25.8,8.625,30.250,9.30,14.2,,,,Isaac Guerendo,4.29,125.7,4.33,1.54,221,30.0,135.1,29.6,1044,22,9.90,12.6,6.0,,
Ja'Lynn Polk,2.05,4.52,1.59,13,2.02,21.4,23.2,4,Y,6013,8091,26.8,9.750,31.750,8.78,15.6,0,0,,Braelon Allen,4.34,N/A,N/A,N/A,235,31.0,112.9,42.5,"1,346",28,N/A,12.0,5.9,,
Adonai Mitchell,2.20,4.34,1.48,14,1.78,20.9,12.2,3,Y,6022,8105,26.3,9.000,32.375,9.99,15.1,,,,Audric Estime,5.12,89.8,4.71,1.69,221,30.7,127.1,37.8,"1,483",17,6.50,13.8,6.2,,
Malachi Corley,3.01,4.56,1.59,17,2.08,20.5,-3.5,3,Y,5110,8071,30.0,9.125,32.125,7.76,11.7,0,0,,Rasheen Ali,5.30,N/A,N/A,N/A,206,28.7,N/A,82.5,"1,735",45,N/A,8.6,5.5,0,0
Jermaine Burton,3.16,4.45,1.59,19,2.46,21.2,28.8,4,N,6002,8072,26.6,9.875,31.000,9.06,18.0,0,0,,Tyrone Tracy Jr.,5.31,103.8,4.48,1.56,209,29.1,130.0,43.8,848,36,9.77,23.5,6.3,,
Roman Wilson,3.20,4.39,1.51,16,2.19,22.2,25.6,4,N,5106,8051,26.4,9.375,30.375,8.59,16.0,0,0,,Keilan Robinson,5.32,100.1,4.42,1.55,191,29.0,118.6,19.1,379,20,7.16,15.8,6.6,0,0
Jalen McMillan,3.29,4.47,1.62,14,1.91,19.7,3.4,3,Y,6010,8091,26.0,10.000,32.125,8.56,13.1,,,,Isaiah Davis,5.38,100.0,4.57,1.57,218,29.6,118.2,N/A,"1,777",23,9.01,8.5,6.7,,
