,Draft Capital,40 Time,10 Yard Split,WDOM,YPTPA,YPR DOM,BOY,Early Declare,Height,Standing Vert,BMI,Hand Size,Arm Length,RAS,YPR,,,Draft Capital,Speed Score,40 Time,10 Yard Split,Weight,BMI,Burst Score,BDR,Peak Yardage,Peak REC,RAS,YPA DOM,College YPA
Travis Hunter,1.02,N/A,N/A,26,2.62,12.4,3,Y,6003,8076,25.4,9.125,31.375,N/A,12.7,,Ashton Jeanty,1.06,N/A,N/A,N/A,211,31.9,N/A,71.2,"2,739",43,N/A,10.3,6.4
Tetairoa McMillan,1.08,4.56,1.59,33,3.02,30.1,1,Y,6041,8115,26.7,10.000,31.500,N/A,16.0,,Omarion Hampton,1.22,111.7,4.46,1.53,221,30.6,129.6,83.2,"2,033",38,9.70,3.1,5.7
Emeka Egbuka,1.19,4.54,1.50,18,2.81,2.7,2,N,6007,8083,26.8,9.625,31.500,9.72,14.0,,Quinshon Judkins,2.04,111.7,4.48,1.58,225,31.2,131.5,66.3,"1,699",22,9.90,-4.6,5.1
Matthew Golden,1.23,4.29,1.47,18,1.82,22.5,3,Y,5110,8055,26.6,9.500,30.625,N/A,14.7,,TreVeyon Henderson,2.06,104.9,4.43,1.59,202,29.0,129.5,73.1,"1,560",27,8.87,16.4,6.4
Jayden Higgins,2.02,4.47,1.54,32,2.58,18.5,2,N,6041,9012,26.0,9.125,33.125,9.63,14.6,,RJ Harvey,2.28,109.4,4.40,1.52,205,31.2,128.1,63.4,"1,844",22,8.48,4.8,6.5
Luther Burden,2.07,4.41,1.55,27,3.20,-3.3,2,Y,6000,8072,27.9,8.500,31.250,N/A,11.8,,Kaleb Johnson,3.19,102.7,4.57,1.61,224,29.6,N/A,70.8,"1,725",22,N/A,20.6,5.5
Tre Harris,2.23,4.54,1.57,20,2.49,16.9,3,N,6023,8102,26.3,9.625,31.875,9.23,16.1,,Bhayshul Tuten,4.02,118.3,4.32,1.48,206,30.4,133.9,85.8,"1,703",30,9.56,14.8,6.0
Jack Bech,2.26,N/A,N/A,12,2.12,16.3,4,N,6012,8086,28.2,9.000,31.500,9.51,14.1,,Cameron Skattebo,4.03,92.1,4.67,1.58,219,32.1,128.7,78.5,"2,316",45,7.44,7.8,5.5
Kyle Williams,3.05,4.40,1.60,28,2.99,22.9,1,N,5105,8046,27.2,8.750,30.125,6.35,14.5,,Trevor Etienne,4.12,103.8,4.42,1.54,198,30.0,121.5,46.6,925,32,6.95,3.7,5.6
Isaac TeSlaa,3.06,4.43,1.57,15,1.32,14.5,N/A,N,6035,8106,26.6,10.000,31.125,9.93,14.2,,Jo'quavious Marks,4.14,97.4,4.54,1.62,207,29.7,119.0,56.9,"1,454",78,6.66,2.5,5.0
Pat Bryant,3.10,4.61,1.62,19,2.77,31.6,3,N,6022,8093,26.2,9.500,31.125,7.08,15.4,,Jarquez Hunter,4.15,105.0,4.44,1.57,204,30.1,117.0,76.6,"1,356",21,7.16,10.5,6.3
Jaylin Noel,3.15,4.39,1.52,21,2.53,-1.5,3,N,5102,8036,27.8,8.750,29.500,9.75,11.6,,Dylan Sampson,4.24,103.9,4.43,1.58,200,30.4,121.5,71.4,"1,634",20,6.60,2.3,5.9
Savion Williams,3.23,4.48,1.53,9,1.25,-3.2,N/A,N,6037,9003,27.6,10.250,32.500,N/A,12.1,,Jordan James,5.09,95.7,4.55,1.63,205,30.2,N/A,44.7,"1,476",26,4.64,1.8,5.7
Tai Felton,3.38,4.37,1.54,17,2.28,14.5,3,N,6011,8071,24.1,9.000,30.000,9.20,12.9,,Jaydon Blue,5.12,106.5,4.38,1.58,196,28.9,111.7,54.2,"1,098",42,6.34,-2.4,5.4
Chimere Dike,4.01,4.34,1.51,18,2.31,38.4,3,N,6005,8086,26.5,9.125,32.125,9.68,16.3,,D.J. Giddens,5.14,110.1,4.43,1.49,212,28.7,132.2,65.2,"1,601",29,9.78,2.9,6.0
Dont’e Thornton Jr.,4.06,4.30,1.51,11,1.77,81.8,4,N,6045,9006,24.9,9.625,32.125,9.84,21.9,,Ollie Gordon,6.03,100.1,4.61,1.62,226,29.8,118.7,78.8,"2,062",39,6.20,19.3,5.4
Arian Smith,4.08,4.36,1.57,0.07,1.59,58.9,N/A,N,6001,8073,24.3,9.000,31.250,9.15,19.7,,Devin Neal,6.08,96.8,4.58,1.63,213,29.7,125.8,56.0,"1,520",25,6.65,6.0,5.7
Jaylin Lane,4.26,4.34,1.53,17,1.84,9.2,3,N,5096,8054,28.1,9.875,31.750,9.56,12.5,,Kalel Mullings,6.12,N/A,N/A,N/A,226,29.7,N/A,37.7,983,6,N/A,8.5,5.1
Jalen Royals ,4.31,4.42,1.53,30,2.48,33.3,2,Y,6000,8061,27.8,9.500,30.125,9.01,15.4,,Tahj Brooks,6.17,102.5,4.52,1.56,214,31.5,119.5,82.1,"1,704",29,8.58,0.8,5.2
Elic Ayomanor,4.34,4.44,1.56,38,2.37,33.6,2,Y,6016,8101,27.1,10.000,32.375,9.71,14.7,,Damien Martinez,7.07,104.9,4.51,1.58,217,30.2,121.5,47.9,"1,311",17,8.17,8.8,6.2
Jordan Watkins,4.36,4.37,1.53,15,2.09,1.9,5,N,5112,8045,27.3,9.125,29.375,8.79,14.5,,Brashard Smith,7.12,104.5,4.39,1.54,194,28.5,113.8,81.2,"1,663",41,7.21,18.8,5.7
