"Link","Name","Pos","Year","College","RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20956&ovl=College"">Link</a>","Average WR","WR","2025","College","5.14"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28662&ovl=Grand+Valley+State"">Link</a>","Darrell Johnson","WR","2025","Grand Valley State","3.81"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28257&ovl=Colorado+Mines"">Link</a>","Max McLeod","WR","2025","Colorado Mines","5.99"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27855&ovl=Southern+California"">Link</a>","Kyle Ford","WR","2025","Southern California","2.35"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29204&ovl=Howard+Payne"">Link</a>","Gus Charles","WR","2025","Howard Payne","0.20"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29196&ovl=Western+Oregon"">Link</a>","Damon Kickok","WR","2025","Western Oregon","0.68"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28911&ovl=Mercer"">Link</a>","Kelin Parsons","WR","2025","Mercer","1.53"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28395&ovl=San+Diego"">Link</a>","Ja'Seem Reeed","WR","2025","San Diego","4.40"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28050&ovl=Texas+Christian"">Link</a>","JP Richardson","WR","2025","Texas Christian","7.14"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29061&ovl=Gardner-Webb"">Link</a>","Jordan Bly","WR","2025","Gardner-Webb","8.96"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27580&ovl=Eastern+Washington"">Link</a>","Efton Chism III","WR","2025","Eastern Washington","5.02"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28479&ovl=Coastal+Carolina"">Link</a>","Senika McKie","WR","2025","Coastal Carolina","3.41"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28051&ovl=Texas+Christian"">Link</a>","Dylan Wright","WR","2025","Texas Christian","2.15"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27678&ovl=Mississippi+State"">Link</a>","Kelly Akharaiyi","WR","2025","Mississippi State","5.49"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27862&ovl=Rutgers"">Link</a>","Naseim Brantley","WR","2025","Rutgers","1.84"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27784&ovl=Florida+State"">Link</a>","Kentron Poitier","WR","2025","Florida State","0.91"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28100&ovl=Georgia+Tech"">Link</a>","Chase Lane","WR","2025","Georgia Tech","1.80"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29267&ovl=Southern+Methodist"">Link</a>","Moochie Dixon","WR","2025","Southern Methodist","6.43"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28677&ovl=St.+Francis"">Link</a>","Ovauntay Vickers","WR","2025","St. Francis","0.69"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27750&ovl=Baylor"">Link</a>","Ketron Jackson Jr.","WR","2025","Baylor","5.98"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29756&ovl=Sacramento+State"">Link</a>","Anderson Grover","WR","2025","Sacramento State","0.73"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27409&ovl=Lions"">Link</a>","Dominic Lovett","WR","2025","Georgia","6.66"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29257&ovl=Shepherd"">Link</a>","Barry Hill","WR","2025","Shepherd","3.34"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27375&ovl=Panthers"">Link</a>","Jimmy Horn","WR","2025","Colorado","4.48"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28684&ovl=Davenport"">Link</a>","Preston Smith","WR","2025","Davenport","7.00"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28945&ovl=Minnesota"">Link</a>","Elijah Spencer","WR","2025","Minnesota","2.04"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27090&ovl=Texas"">Link</a>","Isaiah Bond","WR","2025","Texas","4.23"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27152&ovl=Louisiana+State"">Link</a>","Kyren Lacy","WR","2025","Louisiana State","5.89"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28692&ovl=Texas+Southern"">Link</a>","AJ Bennett","WR","2025","Texas Southern","6.22"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29661&ovl=Mississippi"">Link</a>","Joshua Aka","WR","2025","Mississippi","0.58"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28520&ovl=Connecticut"">Link</a>","Ezeriah Anderson","WR","2025","Connecticut","5.49"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29475&ovl=Findlay"">Link</a>","Redd Douglas","WR","2025","Findlay","8.42"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=28365&ovl=West+Alabama"">Link</a>","Khris Binion","WR","2025","West Alabama","0.84"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29541&ovl=UTEP"">Link</a>","Jeremiah Cooley","WR","2025","UTEP","2.41"
