draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2020,Henry Ruggs III,WR,Alabama,12,21.0,746.0,406.0,188.0,4.27,combine,combine,True,77.8,49.6,70.4,92.9,False,Elite
2020,Jerry Jeudy,WR,Alabama,15,21.0,1163.0,406.0,193.0,4.45,combine,combine,True,72.6,70.5,46.2,93.2,False,Elite
2020,CeeDee Lamb,WR,Oklahoma,17,21.0,1327.0,381.0,198.0,4.5,combine,combine,True,69.9,83.1,43.1,94.5,False,Elite
2020,Jalen Reagor,WR,TCU,21,21.0,611.0,394.0,206.0,4.47,combine,combine,True,65.8,43.8,54.0,77.3,False,Good
2020,Justin Jefferson,WR,LSU,22,21.0,1540.0,567.0,202.0,4.43,combine,combine,True,64.9,67.5,56.9,91.9,False,Elite
2020,Brandon Aiyuk,WR,Arizona State,25,22.0,1192.0,383.0,205.0,4.5,combine,combine,True,62.7,69.2,48.7,89.3,False,Good
2020,Clyde Edwards-Helaire,RB,LSU,32,21.0,453.0,567.0,207.0,4.6,combine,combine,True,72.1,65.9,30.8,88.0,False,Good
2020,Tee Higgins,WR,Clemson,33,21.0,1167.0,509.0,216.0,4.54,combine,pro_day,True,58.2,58.9,51.6,78.9,False,Good
2020,Michael Pittman Jr.,WR,USC,34,22.0,1275.0,514.0,223.0,4.52,combine,combine,True,57.8,57.7,60.1,81.8,False,Good
2020,D'Andre Swift,RB,Georgia,35,21.0,216.0,415.0,212.0,4.48,combine,combine,True,69.8,51.4,53.4,86.4,False,Good
2020,Jonathan Taylor,RB,Wisconsin,41,21.0,267.0,351.0,185.0,4.61,combine,combine,True,66.1,63.9,12.2,74.0,False,Good
2020,Laviska Shenault Jr.,WR,Colorado,42,21.0,764.0,411.0,227.0,4.58,combine,combine,True,54.9,50.1,54.0,71.4,False,Good
2020,KJ Hamler,WR,Penn State,46,21.0,904.0,369.0,178.0,4.27,combine,school,True,53.7,62.1,60.5,81.2,False,Good
2020,Chase Claypool,WR,Notre Dame,49,22.0,1037.0,416.0,238.0,4.42,combine,combine,True,52.9,57.9,89.6,89.0,False,Good
2020,Cam Akers,RB,Florida State,52,21.0,225.0,432.0,217.0,4.47,combine,combine,True,61.0,51.4,59.5,79.9,False,Good
2020,J.K. Dobbins,RB,Ohio State,55,21.0,247.0,406.0,209.0,4.44,combine,high_school,True,59.9,56.0,57.5,81.5,False,Good
2020,Van Jefferson,WR,Florida,57,24.0,657.0,467.0,200.0,4.39,combine,pro_day,True,51.1,32.3,61.5,45.5,False,Below Avg
2020,Denzel Mims,WR,Baylor,59,22.0,1020.0,444.0,207.0,4.38,combine,combine,True,50.7,54.3,69.4,76.9,False,Good
2020,AJ Dillon,RB,Boston College,62,22.0,195.0,305.0,247.0,4.53,combine,combine,True,57.6,54.3,74.8,86.0,False,Good
2020,Antonio Gibson,RB,Memphis,66,22.0,735.0,441.0,228.0,4.39,combine,combine,True,56.5,50.0,84.4,85.4,True,Good
2020,Ke'Shawn Vaughn,RB,Illinois,76,23.0,270.0,381.0,214.0,4.51,combine,combine,True,54.0,53.8,50.3,72.1,False,Good
2020,Lynn Bowden Jr.,WR,Kentucky,80,22.0,348.0,257.0,204.0,4.38,combine,high_school,True,47.6,37.1,66.7,51.9,False,Below Avg
2020,Bryan Edwards,WR,South Carolina,81,21.0,816.0,,212.0,4.53,combine,high_school,True,47.5,,49.9,,False,
2020,Zack Moss,RB,Utah,86,22.0,388.0,321.0,223.0,4.65,combine,combine,True,52.1,81.0,36.0,84.1,False,Good
2020,Devin Duvernay,WR,Texas,92,22.0,1386.0,470.0,200.0,4.39,combine,combine,True,46.3,66.2,61.5,78.2,False,Good
2020,Darrynton Evans,RB,Appalachian State,93,22.0,,,203.0,4.41,combine,combine,True,50.9,,57.1,,False,
2020,Joshua Kelley,RB,UCLA,112,22.0,71.0,426.0,212.0,4.49,combine,combine,True,48.2,32.1,51.8,27.3,False,Below Avg
2020,La'Mical Perine,RB,Florida,120,22.0,262.0,467.0,216.0,4.62,combine,combine,True,47.3,50.6,35.0,43.2,False,Below Avg
2020,Anthony McFarland Jr.,RB,Maryland,124,22.0,126.0,342.0,208.0,4.44,combine,combine,True,46.8,41.6,56.6,46.4,False,Below Avg
2020,Gabriel Davis,WR,UCF,128,21.0,1241.0,457.0,216.0,4.54,combine,combine,True,43.6,67.5,51.6,72.4,False,Good
2020,Antonio Gandy-Golden,WR,Liberty,142,22.0,1396.0,452.0,223.0,4.6,combine,combine,True,42.8,68.8,48.1,71.1,False,Good
2020,DeeJay Dallas,RB,Miami,144,21.0,140.0,437.0,217.0,4.58,combine,combine,True,44.9,41.0,41.7,25.0,False,Below Avg
2020,Joe Reed,WR,Virginia,151,22.0,679.0,520.0,224.0,4.47,combine,combine,True,42.4,36.2,69.0,39.9,False,Below Avg
2020,Tyler Johnson,WR,Minnesota,161,22.0,1318.0,323.0,206.0,,combine,missing,False,41.9,86.9,,87.7,False,Good
2020,Collin Johnson,WR,Texas,165,22.0,559.0,470.0,222.0,4.65,combine,pro_day,True,41.8,34.0,40.4,9.4,False,Below Avg
2020,Quintez Cephus,WR,Wisconsin,166,22.0,901.0,351.0,202.0,4.73,combine,combine,True,41.7,59.2,16.9,24.0,False,Below Avg
2020,John Hightower,WR,Boise State,168,24.0,943.0,,189.0,4.43,combine,combine,True,41.7,,45.7,,False,
2020,Isaiah Coulter,WR,Rhode Island,171,21.0,205.0,,198.0,4.45,combine,combine,True,41.5,,50.4,,False,
2020,Jason Huntley,RB,New Mexico St.,172,22.0,192.0,446.0,,,missing,missing,False,42.9,44.5,,28.9,False,Below Avg
2020,Darnell Mooney,WR,Tulane,173,22.0,713.0,336.0,176.0,4.38,combine,combine,True,41.5,51.1,41.6,35.7,False,Below Avg
2020,K.J. Osborn,WR,Miami,176,23.0,547.0,437.0,203.0,4.48,combine,combine,True,41.4,32.6,50.1,14.6,False,Below Avg
2020,Donovan Peoples-Jones,WR,Michigan,187,21.0,438.0,410.0,212.0,4.48,combine,combine,True,41.0,34.0,57.5,19.5,False,Below Avg
2020,Quez Watkins,WR,Southern Miss,200,22.0,1178.0,438.0,185.0,4.35,combine,combine,True,40.6,61.5,54.3,62.3,False,Average
2020,James Proche,WR,SMU,201,23.0,1225.0,503.0,201.0,4.39,combine,high_school,True,40.5,51.9,62.4,54.9,False,Below Avg
2020,Isaiah Hodgins,WR,Oregon State,207,21.0,1171.0,420.0,210.0,4.61,combine,combine,True,40.4,69.0,37.2,59.1,False,Average
2020,Dezmon Patmon,WR,Washington State,212,22.0,762.0,710.0,225.0,4.48,combine,combine,True,40.2,31.9,68.1,24.4,False,Below Avg
2020,Freddie Swain,WR,Florida,214,22.0,517.0,467.0,197.0,4.46,combine,combine,True,40.2,32.5,48.1,11.0,False,Below Avg
2020,Jauan Jennings,WR,Tennessee,217,23.0,969.0,360.0,215.0,4.72,combine,combine,True,40.1,56.1,26.7,26.0,False,Below Avg
2020,K.J. Hill,WR,Ohio State,220,22.0,636.0,406.0,196.0,4.6,combine,combine,True,40.0,40.9,28.2,6.2,False,Below Avg
2020,Eno Benjamin,RB,Arizona State,222,21.0,347.0,383.0,207.0,4.57,combine,combine,True,40.2,71.5,35.2,61.0,False,Average
2020,Raymond Calais,RB,Louisiana,245,22.0,67.0,412.0,188.0,4.42,combine,combine,True,39.3,31.9,41.5,5.2,False,Below Avg
