draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2020,Henry Ruggs III,WR,Alabama,12,21.0,746.0,406.0,188.0,4.27,combine,combine,True,77.8,39.5,94.02173913043478,96.9,False,Good
2020,Jerry Jeudy,WR,Alabama,15,21.0,1163.0,406.0,193.0,4.45,combine,combine,True,72.6,54.6,39.130434782608695,87.0,False,Average
2020,CeeDee Lamb,WR,Oklahoma,17,21.0,1327.0,381.0,198.0,4.5,combine,combine,True,69.9,63.7,33.15217391304348,91.6,False,Average
2020,Jalen Reagor,WR,TCU,21,21.0,611.0,394.0,206.0,4.47,combine,combine,True,65.8,52.7,61.95652173913043,85.5,False,Average
2020,Justin Jefferson,WR,LSU,22,21.0,1540.0,567.0,202.0,4.43,combine,combine,True,64.9,53.6,66.84782608695652,86.3,False,Average
2020,Brandon Aiyuk,WR,Arizona State,25,22.0,1192.0,383.0,205.0,4.5,combine,combine,True,62.7,65.8,48.91304347826087,89.3,False,Average
2020,Clyde Edwards-Helaire,RB,LSU,32,21.0,453.0,567.0,207.0,4.6,combine,combine,True,72.1,65.9,8.571428571428571,60.40071428571428,False,Average
2020,Tee Higgins,WR,Clemson,33,21.0,1167.0,509.0,216.0,4.54,combine,pro_day,True,58.2,55.9,57.33695652173913,76.3,False,Average
2020,Michael Pittman Jr.,WR,USC,34,22.0,1275.0,514.0,223.0,4.52,combine,combine,True,57.8,54.8,72.82608695652173,79.4,False,Average
2020,D'Andre Swift,RB,Georgia,35,21.0,216.0,415.0,212.0,4.48,combine,combine,True,69.8,51.4,62.85714285714285,62.31857142857143,False,Average
2020,Jonathan Taylor,RB,Wisconsin,41,21.0,267.0,351.0,226.0,4.39,combine,combine,True,66.1,63.9,97.14285714285714,69.98642857142856,False,Average
2020,Laviska Shenault Jr.,WR,Colorado,42,21.0,764.0,411.0,227.0,4.58,combine,combine,True,54.9,55.5,61.41304347826087,72.5,False,Below Avg
2020,KJ Hamler,WR,Penn State,46,21.0,904.0,369.0,178.0,4.27,combine,school,True,53.7,63.0,73.91304347826086,84.0,False,Average
2020,Chase Claypool,WR,Notre Dame,49,22.0,1037.0,416.0,238.0,4.42,combine,combine,True,52.9,58.3,100.0,90.1,False,Average
2020,Cam Akers,RB,Florida State,52,21.0,225.0,432.0,217.0,4.47,combine,combine,True,61.0,51.4,77.14285714285715,60.06142857142856,False,Average
2020,J.K. Dobbins,RB,Ohio State,55,21.0,247.0,406.0,209.0,4.44,combine,high_school,True,59.9,56.0,72.38095238095238,60.40714285714285,False,Average
2020,Van Jefferson,WR,Florida,57,24.0,657.0,467.0,200.0,4.39,combine,pro_day,True,51.1,31.5,77.44565217391305,52.7,False,Below Avg
2020,Denzel Mims,WR,Baylor,59,22.0,1020.0,444.0,207.0,4.38,combine,combine,True,50.7,53.9,92.93478260869566,77.9,False,Average
2020,AJ Dillon,RB,Boston College,62,22.0,195.0,305.0,247.0,4.53,combine,combine,True,57.6,54.3,93.33333333333331,61.805,False,Average
2020,Antonio Gibson,RB,Memphis,66,22.0,735.0,441.0,228.0,4.39,combine,combine,True,56.5,50.0,99.04761904761904,60.60714285714286,True,Average
2020,Ke'Shawn Vaughn,RB,Illinois,76,23.0,270.0,381.0,214.0,4.51,combine,combine,True,54.0,53.8,47.14285714285714,52.90142857142857,False,Below Avg
2020,Lynn Bowden Jr.,WR,Kentucky,80,22.0,348.0,257.0,204.0,4.38,combine,high_school,True,47.6,46.6,87.5,67.9,False,Below Avg
2020,Bryan Edwards,WR,South Carolina,81,21.0,816.0,,212.0,4.53,combine,high_school,True,47.5,61.7,53.2608695652174,68.7,False,
2020,Zack Moss,RB,Utah,86,22.0,388.0,321.0,223.0,4.65,combine,combine,True,52.1,81.0,15.23809523809524,56.68571428571428,False,Average
2020,Devin Duvernay,WR,Texas,92,22.0,1386.0,470.0,200.0,4.39,combine,combine,True,46.3,65.8,77.44565217391305,77.1,False,Average
2020,Darrynton Evans,RB,Appalachian State,93,22.0,,,203.0,4.41,combine,combine,True,50.9,,71.42857142857143,,False,
2020,Joshua Kelley,RB,UCLA,112,22.0,71.0,426.0,212.0,4.49,combine,combine,True,48.2,32.1,55.23809523809524,43.620714285714286,False,Below Avg
2020,La'Mical Perine,RB,Florida,120,22.0,262.0,467.0,216.0,4.62,combine,combine,True,47.3,50.6,13.333333333333334,43.36,False,Below Avg
2020,Anthony McFarland Jr.,RB,Maryland,124,22.0,126.0,342.0,208.0,4.44,combine,combine,True,46.8,41.6,70.47619047619048,48.53142857142856,False,Below Avg
2020,Gabriel Davis,WR,UCF,128,21.0,1241.0,457.0,216.0,4.54,combine,combine,True,43.6,61.0,57.33695652173913,65.6,False,Below Avg
2020,Antonio Gandy-Golden,WR,Liberty,142,22.0,1396.0,452.0,223.0,4.6,combine,combine,True,42.8,66.3,46.19565217391305,64.1,False,Below Avg
2020,DeeJay Dallas,RB,Miami,144,21.0,140.0,437.0,217.0,4.58,combine,combine,True,44.9,41.0,27.61904761904762,40.94285714285714,False,Below Avg
2020,Joe Reed,WR,Virginia,151,22.0,679.0,520.0,224.0,4.47,combine,combine,True,42.4,38.8,92.3913043478261,54.2,False,Below Avg
2020,Tyler Johnson,WR,Minnesota,161,22.0,1318.0,323.0,206.0,4.7,combine,pro_day,True,41.9,70.4,5.978260869565218,47.3,False,Below Avg
2020,Collin Johnson,WR,Texas,165,22.0,559.0,470.0,222.0,4.65,combine,pro_day,True,41.8,34.1,23.91304347826087,8.4,False,Below Avg
2020,Quintez Cephus,WR,Wisconsin,166,22.0,901.0,351.0,202.0,4.73,combine,combine,True,41.7,59.0,1.6304347826086956,26.0,False,Below Avg
2020,John Hightower,WR,Boise State,168,24.0,943.0,,189.0,4.43,combine,combine,True,41.7,41.5,38.58695652173913,23.7,False,
2020,Isaiah Coulter,WR,Rhode Island,171,21.0,205.0,,198.0,4.45,combine,combine,True,41.5,,54.891304347826086,37.4,False,
