player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12
Henry Ruggs III,WR,2020,12,2,88.0,84.50000095367432,0,0
Jerry Jeudy,WR,2020,15,3,24.0,204.20000000000002,1,0
CeeDee Lamb,WR,2020,17,3,4.0,340.70000000000005,1,1
Jalen Reagor,WR,2020,21,3,91.0,87.19999933242798,0,0
Justin Jefferson,WR,2020,22,4,1.0,380.28000000000003,1,1
Brandon Aiyuk,WR,2020,25,3,16.0,244.70000000000002,1,0
Clyde Edwards-Helaire,RB,2020,32,3,21.0,194.39999961853027,1,0
Tee Higgins,WR,2020,33,3,11.0,279.99999952316284,1,1
Michael Pittman Jr.,WR,2020,34,3,19.0,238.59999918937683,1,0
D'Andre Swift,RB,2020,35,3,19.0,208.9000015258789,1,0
Jonathan Taylor,RB,2020,41,3,1.0,391.60000175237656,1,1
Laviska Shenault Jr.,WR,2020,42,3,47.0,157.09999978542328,0,0
KJ Hamler,WR,2020,46,3,87.0,90.1000007390976,0,0
Chase Claypool,WR,2020,49,3,18.0,237.79999667406082,1,0
Cam Akers,RB,2020,52,3,35.0,145.99999952316284,0,0
J.K. Dobbins,RB,2020,55,2,23.0,191.50000071525574,1,0
Van Jefferson,WR,2020,57,3,37.0,188.90000021457672,0,0
Denzel Mims,WR,2020,59,3,106.0,60.69999980926514,0,0
AJ Dillon,RB,2020,62,3,25.0,194.09999780356884,0,0
Antonio Gibson,RB,2020,66,3,14.0,229.10000085830688,1,0
Ke'Shawn Vaughn,RB,2020,76,3,76.0,50.800000220537186,0,0
Lynn Bowden Jr.,WR,2020,80,1,113.0,53.57999923825264,0,0
Bryan Edwards,WR,2020,81,3,63.0,116.19999945163727,0,0
Zack Moss,RB,2020,86,3,45.0,110.30000066757202,0,0
Devin Duvernay,WR,2020,92,3,64.0,116.10000000000001,0,0
Darrynton Evans,RB,2020,93,3,110.0,16.19999984651804,0,0
Joshua Kelley,RB,2020,112,3,59.0,81.20000010728836,0,0
La'Mical Perine,RB,2020,120,2,76.0,52.500001192092896,0,0
Anthony McFarland Jr.,RB,2020,124,3,98.0,22.69999996572733,0,0
Gabriel Davis,WR,2020,128,3,27.0,200.3,0,0
Antonio Gandy-Golden,WR,2020,142,1,196.0,3.5,0,0
DeeJay Dallas,RB,2020,144,3,69.0,60.10000033676624,0,0
Joe Reed,WR,2020,151,1,182.0,8.900000095367432,0,0
Tyler Johnson,WR,2020,161,6,47.0,125.50000029802322,0,0
Collin Johnson,WR,2020,165,3,108.0,59.20000088214874,0,0
Quintez Cephus,WR,2020,166,3,100.0,66.89999985694885,0,0
John Hightower,WR,2020,168,1,142.0,28.800000227987766,0,0
Isaiah Coulter,WR,2020,171,1,226.0,0.0,0,0
Jason Huntley,RB,2020,172,2,122.0,5.099999904632568,0,0
Darnell Mooney,WR,2020,173,3,26.0,219.70000064373016,0,0
K.J. Osborn,WR,2020,176,2,42.0,165.6,0,0
Donovan Peoples-Jones,WR,2020,187,3,40.0,167.1,0,0
Quez Watkins,WR,2020,200,3,60.0,121.49999976158142,0,0
James Proche,WR,2020,201,3,132.0,36.200000047683716,0,0
Isaiah Hodgins,WR,2020,207,1,56.0,126.0,0,0
Dezmon Patmon,WR,2020,212,2,178.0,10.09999966621399,0,0
Freddie Swain,WR,2020,214,3,85.0,86.49999970197678,0,0
Jauan Jennings,WR,2020,217,2,77.0,93.3,0,0
K.J. Hill,WR,2020,220,4,125.0,14.300000071525574,0,0
Eno Benjamin,RB,2020,222,2,52.0,89.60000000000001,0,0
Raymond Calais,RB,2020,245,0,,0.0,0,0
Malcolm Perry,RB,2020,246,1,96.0,24.69999995827675,0,0
Tyrie Cleveland,WR,2020,252,3,169.0,12.299999952316284,0,0
Ja'Marr Chase,WR,2021,5,3,3.0,375.59999537467957,1,1
Jaylen Waddle,WR,2021,6,3,11.0,267.40000000000003,1,1
DeVonta Smith,WR,2021,10,3,8.0,295.3,1,1
Kadarius Toney,WR,2021,20,3,91.0,82.3600001335144,0,0
Najee Harris,RB,2021,24,3,5.0,303.50000071525574,1,1
Travis Etienne,RB,2021,25,2,6.0,282.4,1,1
Rashod Bateman,WR,2021,27,3,71.0,103.49999952316284,0,0
Elijah Moore,WR,2021,34,3,54.0,138.19999998807907,0,0
Javonte Williams,RB,2021,35,5,3.0,345.3999981880188,1,1
Rondale Moore,WR,2021,49,3,62.0,119.29999947547913,0,0
D'Wayne Eskridge,WR,2021,56,3,146.0,28.299999833106995,0,0
Tutu Atwell,WR,2021,57,2,59.0,123.2,0,0
Terrace Marshall Jr.,WR,2021,59,3,90.0,83.0,0,0
Josh Palmer,WR,2021,77,3,39.0,174.4,0,0
Dyami Brown,WR,2021,82,3,133.0,34.96,0,0
Amari Rodgers,WR,2021,85,3,123.0,43.1,0,0
