player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12
Amari Cooper,WR,2015,4,10,10.0,246.5,1,1
Kevin White,WR,2015,7,10,120.0,38.6,0,0
Todd Gurley,RB,2015,10,10,1.0,385.3,1,1
DeVante Parker,WR,2015,14,10,11.0,246.2,1,1
Melvin Gordon,RB,2015,15,10,5.0,288.09999999999997,1,1
Nelson Agholor,WR,2015,20,10,22.0,187.5,1,0
Breshad Perriman,WR,2015,26,10,51.0,138.1,0,0
Phillip Dorsett,WR,2015,29,10,70.0,100.8,0,0
T.J. Yeldon,RB,2015,36,10,22.0,173.1,1,0
Devin Smith,WR,2015,37,10,141.0,26.5,0,0
Dorial Green-Beckham,WR,2015,40,10,58.0,112.89999999999999,0,0
Devin Funchess,WR,2015,41,10,999.0,0.0,0,0
Ameer Abdullah,RB,2015,54,10,38.0,125.2,0,0
Tyler Lockett,WR,2015,69,10,8.0,265.4,1,1
Jaelen Strong,WR,2015,70,10,110.0,48.1,0,0
Tevin Coleman,RB,2015,73,10,18.0,193.6,1,0
Chris Conley,WR,2015,76,10,43.0,156.5,0,0
Duke Johnson,RB,2015,77,10,11.0,216.1,1,1
David Johnson,RB,2015,86,10,1.0,407.8,1,1
Sammie Coates,WR,2015,87,10,91.0,77.9,0,0
Ty Montgomery,WR,2015,94,10,55.0,140.5,0,0
Matt Jones,RB,2015,95,10,44.0,116.4,0,0
Jamison Crowder,WR,2015,105,10,26.0,197.70000000000002,0,0
Jeremy Langford,RB,2015,106,10,29.0,147.6,0,0
Justin Hardy,WR,2015,107,10,96.0,65.3,0,0
Vince Mayle,WR,2015,123,10,177.0,6.2,0,0
Javorius Allen,RB,2015,125,10,23.0,166.1,1,0
Mike Davis,RB,2015,126,10,12.0,206.5,1,1
DeAndre Smelter,WR,2015,132,10,183.0,3.3,0,0
David Cobb,RB,2015,138,10,102.0,21.4,0,0
Rashad Greene,WR,2015,139,10,112.0,46.300000000000004,0,0
Stefon Diggs,WR,2015,146,10,3.0,328.6,1,1
