player_name,position,draft_year,pick,hit24,hit12,first_3yr_ppg,career_ppg,seasons_over_10ppg,seasons_over_10ppg_3yr,nfl_games
Todd Gurley,RB,2015,10,1,1,25.686667,26.578571,6.0,3.0,88
Melvin Gordon,RB,2015,15,1,1,19.276923,22.958333,6.0,2.0,112
T.J. Yeldon,RB,2015,36,0,0,12.991667,12.991667,2.0,1.0,58
Ameer Abdullah,RB,2015,54,0,0,8.885714,9.630769,0.0,0.0,122
Tevin Coleman,RB,2015,73,1,1,14.7,14.7,3.0,2.0,89
Duke Johnson,RB,2015,77,1,0,13.50625,13.50625,2.0,2.0,97
David Johnson,RB,2015,86,1,1,25.4875,25.4875,5.0,2.0,90
Matt Jones,RB,2015,95,0,0,8.953846,8.953846,0.0,0.0,22
Jeremy Langford,RB,2015,106,0,0,9.84,9.84,0.0,0.0,28
Javorius Allen,RB,2015,125,0,0,10.38125,10.38125,1.0,1.0,49
Mike Davis,RB,2015,126,1,0,,14.75,1.0,,73
David Cobb,RB,2015,138,0,0,,,0.0,,7
Jay Ajayi,RB,2015,149,1,1,14.353333,14.353333,1.0,1.0,45
Karlos Williams,RB,2015,155,0,0,11.3,11.3,1.0,1.0,11
Cameron Artis-Payne,RB,2015,174,0,0,,,0.0,,18
Josh Robinson,RB,2015,205,0,0,,,0.0,,5
Marcus Murphy,RB,2015,230,0,0,,4.288889,0.0,,13
Kenny Hilliard,RB,2015,235,0,0,,,,,0
Ezekiel Elliott,RB,2016,4,1,1,21.94,21.94,8.0,3.0,135
Derrick Henry,RB,2016,45,1,1,12.585,24.1625,8.0,1.0,152
Kenyan Drake,RB,2016,73,1,0,12.8875,15.5,4.0,2.0,98
C.J. Prosise,RB,2016,90,0,0,,3.6,0.0,,25
Tyler Ervin,RB,2016,119,0,0,,,0.0,,18
Kenneth Dixon,RB,2016,134,0,0,8.533333,8.533333,0.0,0.0,18
Devontae Booker,RB,2016,136,0,0,8.91875,9.00625,0.0,0.0,82
DeAndre Washington,RB,2016,143,0,0,6.553846,7.61875,0.0,0.0,56
Paul Perkins,RB,2016,149,0,0,5.907692,5.907692,0.0,0.0,23
Jordan Howard,RB,2016,150,1,1,15.34,15.34,4.0,3.0,71
Wendell Smallwood,RB,2016,153,0,0,9.030769,9.030769,0.0,0.0,46
Jonathan Williams,RB,2016,156,0,0,1.55,1.55,0.0,0.0,29
Alex Collins,RB,2016,171,1,0,11.4,11.4,2.0,2.0,48
Keenan Reynolds,RB,2016,182,0,0,,,,,0
Kelvin Taylor,RB,2016,211,0,0,,,,,0
Darius Jackson,RB,2016,216,0,0,,,0.0,,1
Dwayne Washington,RB,2016,236,0,0,4.427273,4.427273,0.0,0.0,32
Daniel Lasco,RB,2016,237,0,0,,,0.0,,3
Keith Marshall,RB,2016,242,0,0,,,,,0
Zac Brooks,RB,2016,247,0,0,,,,,0
Leonard Fournette,RB,2017,4,1,1,17.707692,18.257143,6.0,3.0,80
Christian McCaffrey,RB,2017,8,1,1,29.45,29.45,6.0,3.0,112
Dalvin Cook,RB,2017,41,1,1,20.885714,24.128571,5.0,2.0,89
Joe Mixon,RB,2017,48,1,1,17.385714,17.99375,7.0,3.0,111
Alvin Kamara,RB,2017,67,1,1,23.613333,25.186667,8.0,3.0,126
Kareem Hunt,RB,2017,86,1,1,20.927273,20.927273,6.0,3.0,121
D'Onta Foreman,RB,2017,89,0,0,6.333333,10.433333,2.0,0.0,59
James Conner,RB,2017,105,1,1,21.538462,21.538462,7.0,2.0,108
Samaje Perine,RB,2017,114,0,0,8.346154,8.88125,0.0,0.0,108
Tarik Cohen,RB,2017,119,1,1,14.62125,14.62125,2.0,2.0,51
Joe Williams,RB,2017,121,0,0,,,,,0
Donnel Pumphrey,RB,2017,132,0,0,,,,,0
Jamaal Williams,RB,2017,134,1,0,10.45,13.288235,3.0,2.0,114
Wayne Gallman,RB,2017,140,0,0,8.069231,9.757143,0.0,0.0,55
Marlon Mack,RB,2017,143,1,0,14.841667,14.841667,2.0,2.0,51
Brian Hill,RB,2017,156,0,0,6.72,6.72,0.0,0.0,33
Jeremy McNichols,RB,2017,162,0,0,,5.661538,0.0,,59
T.J. Logan,RB,2017,179,0,0,,,0.0,,9
Aaron Jones,RB,2017,182,1,1,19.675,19.675,8.0,2.0,124
Elijah McGuire,RB,2017,188,0,0,10.7375,10.7375,1.0,1.0,23
De'Angelo Henderson,RB,2017,203,0,0,,,0.0,,4
Brandon Wilson,RB,2017,207,0,0,,,0.0,,2
Devante Mays,RB,2017,238,0,0,,,0.0,,2
Khalfani Muhammad,RB,2017,241,0,0,,,,,0
Elijah Hood,RB,2017,242,0,0,,,,,0
Chris Carson,RB,2017,249,1,0,15.506667,15.65,3.0,2.0,49
Matthew Dayes,RB,2017,252,0,0,,,0.0,,5
Saquon Barkley,RB,2018,2,1,1,24.1125,24.1125,7.0,2.0,106
Rashaad Penny,RB,2018,27,0,0,8.366667,12.17,1.0,0.0,42
Sony Michel,RB,2018,31,1,0,10.7,10.7,1.0,1.0,64
Nick Chubb,RB,2018,35,1,1,17.308333,17.308333,5.0,3.0,100
Ronald Jones II,RB,2018,38,0,0,13.307143,13.307143,2.0,2.0,56
Kerryon Johnson,RB,2018,43,0,0,13.94,13.94,2.0,2.0,32
Derrius Guice,RB,2018,59,0,0,,,0.0,,5
Royce Freeman,RB,2018,71,0,0,8.8875,8.8875,0.0,0.0,65
Nyheim Hines,RB,2018,104,0,0,12.075,12.075,2.0,2.0,82
Mark Walton,RB,2018,112,0,0,,,0.0,,13
Ito Smith,RB,2018,126,0,0,7.515385,7.515385,0.0,0.0,35
Kalen Ballage,RB,2018,131,0,0,8.536364,8.536364,0.0,0.0,41
Chase Edmonds,RB,2018,134,0,0,10.5,11.941667,2.0,1.0,80
Jordan Wilkins,RB,2018,169,0,0,5.108333,5.108333,0.0,0.0,41
John Kelly,RB,2018,176,0,0,,,0.0,,5
Boston Scott,RB,2018,201,0,0,12.3625,12.3625,2.0,1.0,56
Trenton Cannon,RB,2018,204,0,0,4.427273,4.427273,0.0,0.0,18
