player_name,college,draft_year,season,cfbd_school,status,cfbd_name,rush_yards,rush_attempts,rush_tds,rec_tds
Todd Gurley,Georgia,2015,2014,Georgia,not_found,,,,,
Melvin Gordon,Wisconsin,2015,2014,Wisconsin,found,Melvin Gordon,2587.0,343.0,29.0,3.0
T.J. Yeldon,Alabama,2015,2014,Alabama,found,T.J. Yeldon,979.0,194.0,11.0,1.0
Ameer Abdullah,Nebraska,2015,2014,Nebraska,found,Ameer Abdullah,1611.0,264.0,19.0,3.0
Tevin Coleman,Indiana,2015,2014,Indiana,found,Tevin Coleman,2036.0,270.0,15.0,0.0
Duke Johnson,Miami (FL),2015,2014,Miami,not_found,,,,,
David Johnson,Northern Iowa,2015,2014,Northern Iowa,found,David Johnson,80.0,31.0,0.0,1.0
Matt Jones,Florida,2015,2014,Florida,found,Matt Jones,817.0,166.0,6.0,1.0
Jeremy Langford,Michigan St.,2015,2014,Michigan State,found,Jeremy Langford,1522.0,276.0,22.0,0.0
Javorius Allen,USC,2015,2014,USC,found,Javorius Allen,1489.0,276.0,11.0,1.0
Mike Davis,South Carolina,2015,2014,South Carolina,found,Mike Davis,982.0,199.0,9.0,2.0
David Cobb,Minnesota,2015,2014,Minnesota,found,David Cobb,1629.0,315.0,13.0,0.0
Jay Ajayi,Boise St.,2015,2014,Boise State,found,Jay Ajayi,1823.0,347.0,28.0,4.0
Karlos Williams,Florida St.,2015,2014,Florida State,found,Karlos Williams,689.0,150.0,11.0,1.0
Cameron Artis-Payne,Auburn,2015,2014,Auburn,found,Cameron Artis-Payne,1608.0,303.0,13.0,0.0
Josh Robinson,Mississippi St.,2015,2014,Mississippi State,found,Josh Robinson,1203.0,190.0,11.0,1.0
Marcus Murphy,Missouri,2015,2014,Missouri,found,Marcus Murphy,924.0,177.0,4.0,1.0
Kenny Hilliard,LSU,2015,2014,LSU,found,Kenny Hilliard,447.0,90.0,6.0,0.0
Ezekiel Elliott,Ohio St.,2016,2015,Ohio State,found,Ezekiel Elliott,1821.0,289.0,23.0,0.0
Derrick Henry,Alabama,2016,2015,Alabama,found,Derrick Henry,2219.0,395.0,28.0,0.0
Kenyan Drake,Alabama,2016,2015,Alabama,found,Kenyan Drake,408.0,77.0,1.0,1.0
C.J. Prosise,Notre Dame,2016,2015,Notre Dame,found,C.J. Prosise,1032.0,156.0,11.0,1.0
Tyler Ervin,San Jose St.,2016,2015,San José State,found,Tyler Ervin,1601.0,294.0,13.0,
Kenneth Dixon,Louisiana Tech,2016,2015,Louisiana Tech,found,Kenneth Dixon,1070.0,197.0,19.0,7.0
