player_name,position,school,height_in,weight,hand_size,arm_length,wingspan,forty,ten_yard_split,vertical_jump,broad_jump_inches,bench_press,three_cone,twenty_yard_shuttle,ras_unofficial,ras_source
Brenen Thompson,WR,Mississippi State,,,,,,4.26,1.54,,,,,,,
Zavion Thomas,WR,LSU,70.0,190.0,9.0,30.5,,4.28,1.51,36.0,,,,,9.12,DynastyNerds
Deion Burks,WR,Oklahoma,69.75,180.0,9.5,29.38,72.75,4.3,1.49,42.5,131.0,,,,9.24,DynastyNerds
Jeff Caldwell,WR,Cincinnati,77.0,216.0,9.75,32.63,,4.31,1.5,42.0,134.0,,,,9.99,DynastyNerds
Bryce Lance,WR,North Dakota State,75.0,204.0,9.25,32.13,,4.34,1.51,41.5,133.0,,,,9.98,DynastyNerds
Eric Rivers,WR,Georgia Tech,70.0,176.0,9.0,30.5,,4.35,1.49,37.0,127.0,,,,8.74,DynastyNerds
Zachariah Branch,WR,Georgia,68.625,177.0,9.0,29.38,72.38,4.35,1.52,38.0,125.0,,,,8.3,DynastyNerds
De'Zhaun Stribling,WR,Ole Miss,74.0,207.0,10.0,31.63,,4.36,1.52,36.0,127.0,,,,9.88,DynastyNerds
Chris Brazzell,WR,Tennessee,,,,,,4.37,1.52,,,,,,,
Malik Benson,WR,Oregon,72.1,189.0,8.63,31.88,,4.37,1.53,32.5,122.0,,,,7.84,DynastyNerds
Caleb Douglas,WR,Texas Tech,75.5,206.0,10.13,32.5,,4.39,1.53,31.5,126.0,,,,9.52,DynastyNerds
Barion Brown,WR,LSU,,,,,,4.4,1.62,,,,,,,
J. Michael Sturdivant,WR,Florida,75.0,207.0,9.5,32.88,,4.4,1.52,39.0,131.0,,,,9.96,DynastyNerds
Skyler Bell,WR,UConn,71.625,192.0,10.0,31.13,,4.4,1.51,41.0,133.0,,,,9.71,DynastyNerds
Antonio Williams,WR,Clemson,71.5,187.0,9.25,30.75,76.0,4.41,1.54,39.5,124.0,,,,9.09,DynastyNerds
Chris Hilton Jr.,WR,LSU,72.0,188.0,9.25,32.0,,4.41,1.52,34.5,122.0,,7.25,4.41,6.5,DynastyNerds
Omar Cooper Jr.,WR,Indiana,72.1,199.0,9.63,30.25,75.25,4.42,1.54,37.0,,,,,8.79,DynastyNerds
Ted Hurst,WR,Georgia State,75.0,206.0,9.75,32.63,,4.42,1.55,36.5,135.0,,,,9.92,DynastyNerds
Emmanuel Henderson Jr.,WR,Kansas,72.875,185.0,8.38,31.0,,4.44,1.53,35.0,120.0,,,,7.6,DynastyNerds
Kendrick Law,WR,Kentucky,71.0,203.0,9.63,31.13,,4.45,1.53,42.0,128.0,,,,9.45,DynastyNerds
Ja'Kobi Lane,WR,USC,76.0,200.0,10.5,32.63,,4.47,1.51,40.0,129.0,,,,9.69,DynastyNerds
Kaden Wetjen,WR,Iowa,69.0,193.0,8.5,29.63,,4.47,1.51,35.5,,,,,7.29,DynastyNerds
Germie Bernard,WR,Alabama,73.25,206.0,9.88,30.38,74.88,4.48,1.52,32.5,125.0,,6.71,4.31,9.03,DynastyNerds
Colbie Young,WR,Georgia,,,,,,4.49,1.59,,,,,,,
Kevin Coleman Jr.,WR,Missouri,70.25,179.0,9.5,30.0,,4.49,1.52,38.5,126.0,,,,7.86,DynastyNerds
Dillon Bell,WR,Georgia,72.75,209.0,9.5,30.25,,4.5,1.55,39.0,126.0,,,,9.57,DynastyNerds
Carnell Tate,WR,Ohio State,,,,,,4.53,1.61,,,,,,,
Harrison Wallace III,WR,Mississippi,,,,,,4.54,1.58,,,,,,,
Vinny Anthony II,WR,Wisconsin,71.875,183.0,9.13,31.38,,4.54,1.52,34.5,,,6.86,4.07,7.68,DynastyNerds
Caullin Lacy,WR,Louisville,69.0,183.0,9.88,29.38,,4.55,1.6,33.5,116.0,,,,3.66,DynastyNerds
Jalen Walthall,WR,Incarnate Word,73.0,191.0,9.0,31.25,,4.57,1.55,35.0,131.0,,,,6.78,DynastyNerds
Reggie Virgil,WR,Texas Tech,75.0,187.0,9.25,31.25,,4.57,1.51,36.0,127.0,,,,7.34,DynastyNerds
Malachi Fields,WR,Notre Dame,76.5,218.0,9.0,32.13,79.0,4.61,1.58,38.0,124.0,,6.98,4.35,8.22,DynastyNerds
Chase Roberts,WR,BYU,75.0,209.0,9.75,31.5,,4.64,1.57,37.0,126.0,,,,7.6,DynastyNerds
Aaron Anderson,WR,LSU,,,,,,,,30.0,113.0,,,,,
Denzel Boston,WR,Washington,,,,,,,,35.0,,,,4.28,,
Mike Washington Jr.,RB,Arkansas,73.0,223.0,9.25,33.63,,4.33,1.51,39.0,128.0,,,,10.0,DynastyNerds
Jeremiyah Love,RB,Notre Dame,,,,,,4.36,1.55,,,,,,,
Demond Claiborne,RB,Wake Forest,69.75,188.0,9.0,30.13,,4.37,1.54,,122.0,,,,8.48,DynastyNerds
Jam Miller,RB,Alabama,70.25,209.0,8.75,30.38,,4.42,1.53,30.5,115.0,,,,7.04,DynastyNerds
Eli Heidenreich,RB,Navy,72.0,198.0,9.5,29.25,,4.44,1.54,35.5,120.0,,,,9.12,DynastyNerds
Jadarian Price,RB,Notre Dame,70.625,203.0,9.63,30.88,,4.49,1.52,35.0,124.0,,,,8.76,DynastyNerds
Seth McGowan,RB,Kentucky,72.25,223.0,8.75,31.38,,4.49,1.52,42.5,131.0,,,4.5,9.63,DynastyNerds
Adam Randall,RB,Clemson,75.375,232.0,9.75,32.38,,4.5,1.54,37.0,124.0,,,4.53,9.42,DynastyNerds
Robert Henry Jr.,RB,UTSA,69.25,196.0,9.13,30.13,,4.52,1.56,37.0,124.0,,,4.31,7.47,DynastyNerds
Emmett Johnson,RB,Nebraska,70.25,202.0,9.75,30.25,,4.56,1.59,35.5,120.0,,,4.29,5.85,DynastyNerds
J'Mari Taylor,RB,Virginia,,,,,,,,34.5,115.0,,,,,
Rahsul Faison,RB,South Carolina,,,,,,,,37.5,122.0,,,,,
Kenyon Sadiq,TE,Oregon,75.1,241.0,10.0,31.5,78.25,4.39,1.54,43.5,132.0,26.0,,,9.44,DynastyNerds
Eli Stowers,TE,Vanderbilt,75.75,239.0,9.75,32.63,79.75,4.51,1.57,45.5,135.0,,,,9.47,DynastyNerds
RJ Maryland,TE,SMU,76.1,236.0,9.0,32.25,,4.51,1.59,33.0,122.0,,,,8.58,DynastyNerds
Jaren Kanak,TE,Oklahoma,74.0,234.0,9.38,30.5,,4.52,1.59,36.0,119.0,24.0,,,7.9,DynastyNerds
