player_name,college,draft_year,pick,round,birthdate,draft_age,college_season,rush_yards,rush_att,rec_yards,receptions,team_pass_att,rec_yards_per_team_pass_att,ras_score,pff_overall_grade,pff_rushing_grade,pff_receiving_grade,dc_score,production_score,age_weight_used,ras_score_normalized,slap_score,slap_tier,delta,nfl_best_season_ppg,hit24,hit12
Jeremiyah Love,Notre Dame,2026,10,1,2005-05-31,20.92,2025,,,280.0,,322.0,0.8695652173913043,6.65,,,,92.39513479671196,61.896480331262936,1.25,66.5,77.836335514298,Average,-14.558799282413958,,,
Jonah Coleman,Washington,2026,56,2,2003-08-20,22.7,2025,,,354.0,,370.0,0.9567567567567568,6.65,,,,73.28694247866397,56.59407979407979,1.04,66.5,66.4263991672599,Below Average,-6.860543311404072,,,
Jadarian Price,Notre Dame,2026,79,3,2003-10-09,22.56,2025,,,87.0,,322.0,0.2701863354037267,6.65,,,,66.36371289664757,16.26719905353446,1.05,66.5,48.85037611706085,Poor,-17.513336779586723,,,
Emmett Johnson,Nebraska,2026,83,3,2003-10-10,22.56,2025,,,370.0,,378.0,0.9788359788359788,6.65,,,,65.24308414300828,63.92894935752078,1.14,66.5,64.9716743466364,Below Average,-0.27140979637187,,,
Nick Singleton,Penn State,2026,118,4,2004-01-06,22.32,2025,,,219.0,,,,6.65,,,,56.18551835350469,41.54454277286136,,66.5,52.60834914725383,Poor,-3.577169206250865,,,
Kaytron Allen,Penn State,2026,124,4,2003-01-08,23.31,2025,,,68.0,,339.0,0.2005899705014749,6.65,,,,54.7423430815597,10.359882005899705,0.9,66.5,40.97213024284475,Poor,-13.770212838714954,,,
Demond Claiborne,Wake Forest,2026,136,5,2003-10-09,22.56,2025,,,140.0,,406.0,0.3448275862068966,6.65,,,,51.93324682456018,21.28735632183908,1.08,66.5,43.392198124923766,Poor,-8.541048699636413,,,
Mike Washington Jr.,Arkansas,2026,163,6,,,2025,,,226.0,,381.0,0.5931758530183727,6.65,,,,45.93653104587332,34.36370453693288,1.01,66.5,44.97056211086316,Poor,-0.965968935010153,,,
Adam Randall,Clemson,2026,180,6,2004-07-14,21.8,2025,,,254.0,,474.0,0.5358649789029536,6.65,,,,42.354537423956494,34.13598553345389,1.11,66.5,43.09986364868711,Poor,0.7453262247306185,,,
Noah Whittington,Oregon,2026,183,6,,,2025,,,98.0,,437.0,0.2242562929061785,6.65,,,,41.73601754906463,10.435741527732374,0.81,66.5,34.49551830923864,Poor,-7.240499239825986,,,
Roman Hemby,Indiana,2026,197,7,2002-08-16,23.71,2025,,,165.0,,406.0,0.4064039408866995,6.65,,,,38.89903839489586,20.45906638517476,0.88,66.5,36.5851924322591,Poor,-2.313845962636762,,,
C.J. Donaldson,Ohio State,2026,242,8,2004-07-09,21.81,2025,,,96.0,,,,6.65,,,,30.25989524574358,12.481792717086837,,66.5,29.47357507385218,Poor,-0.786320171891397,,,
J'Mari Taylor,Virginia,2026,245,8,2002-03-15,24.13,2025,,,253.0,,492.0,0.5142276422764228,6.65,,,,29.70672855690705,29.53658536585366,1.01,66.5,35.166169156502306,Poor,5.459440599595254,,,
Jamarion Miller,Alabama,2026,246,8,2004-04-29,22.0,2025,,,109.0,,523.0,0.2084130019120459,6.65,,,,29.522912468546167,12.112501138122552,1.02,66.5,28.97583163261598,Poor,-0.5470808359301884,,,
Desmond Reid,Pittsburgh,2026,250,8,2004-07-29,21.75,2025,,,317.0,,464.0,0.6831896551724138,6.65,,,,28.79046960395864,44.0446223316913,1.13,66.5,39.78585261807128,Poor,10.995383014112631,,,
Dean Connors,Houston,2026,250,8,2003-08-29,22.67,2025,,,254.0,,377.0,0.6737400530503979,6.65,,,,28.79046960395864,39.28962991031956,1.02,66.5,38.12160527059117,Poor,9.331135666632528,,,
Jamal Haynes,Georgia Tech,2026,250,8,2002-10-05,23.57,2025,,,257.0,,394.0,0.6522842639593909,6.65,,,,28.79046960395864,37.97776166304085,1.02,66.5,37.66245138404362,Poor,8.87198178008498,,,
Kaden Feagin,Illinois,2026,250,8,2004-03-23,22.11,2025,,,188.0,,372.0,0.5053763440860215,6.65,,,,28.79046960395864,32.08540706605223,1.11,66.5,35.6001272750976,Poor,6.809657671138957,,,
Chip Trayanum,Toledo,2026,250,8,2002-01-02,24.33,2025,,,212.0,,,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Quinten Joyner,Texas Tech,2026,250,8,2005-03-03,21.16,2025,,,,,486.0,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Samuel Singleton Jr.,Kansas State,2026,250,8,,,2025,,,,,,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
TreVonte Citizen,LSU,2026,250,8,2003-11-11,22.47,2025,,,,,,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Richard Reese,Stephen F. Austin,2026,250,8,2004-10-24,21.52,2025,,,94.0,,510.0,0.1843137254901961,6.65,,,,28.79046960395864,30.0,2.85,66.5,34.87023480197932,Poor,6.079765198020681,,,
Armoni Goodwin,UT Martin,2026,250,8,2001-11-16,24.45,2025,,,18.0,,443.0,0.0406320541760722,6.65,,,,28.79046960395864,30.0,12.92,66.5,34.87023480197932,Poor,6.079765198020681,,,
L.J. Johnson Jr.,Texas State,2026,250,8,,,2025,,,,,361.0,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Derrick Davis Jr.,LSU,2026,250,8,,,2025,,,,,443.0,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Barika Kpeenu,North Dakota State,2026,250,8,2002-03-12,24.14,2025,,,211.0,,,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Alton McCaskill IV,Houston,2026,250,8,2003-04-10,23.06,2025,,,,,,,6.65,,,,28.79046960395864,30.0,,66.5,34.87023480197932,Poor,6.079765198020681,,,
Sedrick Alexander,Vanderbilt,2026,250,8,,,2025,,,200.0,,400.0,0.5,6.65,,,,28.79046960395864,28.666666666666664,1.0,66.5,34.40356813531265,Poor,5.613098531354012,,,
Jaydn Ott,California,2026,250,8,2002-12-16,23.37,2025,,,,,,,6.65,,,,28.79046960395864,27.348932676518885,,66.5,33.94236123876093,Poor,5.15189163480229,,,
Byron Cardwell,San Diego State,2026,250,8,2003-01-23,23.27,2025,,,108.0,,290.0,0.3724137931034483,6.65,,,,28.79046960395864,20.86568144499179,0.98,66.5,31.673223307726445,Poor,2.882753703767804,,,
Kadarius Calloway,New Mexico State,2026,250,8,,,2025,,,175.0,,472.0,0.3707627118644068,6.65,,,,28.79046960395864,20.76472962066182,0.98,66.5,31.637890169210955,Poor,2.847420565252314,,,
Rueben Owens,Texas A&M,2026,250,8,2003-10-02,22.58,2025,,,130.0,,408.0,0.3186274509803921,6.65,,,,28.79046960395864,17.577030812324928,0.97,66.5,30.522195586293044,Poor,1.7317259823344031,,,
Seth McGowan,Kentucky,2026,250,8,,,2025,,,126.0,,367.0,0.3433242506811989,6.65,,,,28.79046960395864,16.98788114700921,0.87,66.5,30.315993203432548,Poor,1.5255235994739067,,,
Dominic Richardson,Tulsa,2026,250,8,2001-04-12,25.05,2025,,,130.0,,409.0,0.3178484107579462,6.65,,,,28.79046960395864,15.585982070089653,0.86,66.5,29.82532852651069,Poor,1.034858922552054,,,
Rahsul Faison,South Carolina,2026,250,8,2000-02-20,26.19,2025,,,118.0,,342.0,0.3450292397660818,6.65,,,,28.79046960395864,14.972096908939015,0.76,66.5,29.61046872010797,Poor,0.819999116149333,,,
Robert Henry Jr.,UTSA,2026,250,8,2001-12-31,24.33,2025,,,114.0,,,,6.65,,,,28.79046960395864,13.688718440396292,,66.5,29.161286256118025,Poor,0.3708166521593838,,,
Savion Red,Nevada,2026,250,8,,,2025,,,,,308.0,,6.65,,,,28.79046960395864,11.69367681498829,,66.5,28.463021687225226,Poor,-0.3274479167334192,,,
Jalen Berger,UCLA,2026,250,8,2001-08-30,24.67,2025,,,70.0,,361.0,0.1939058171745152,6.65,,,,28.79046960395864,7.580002638174384,0.68,66.5,27.02323572534036,Poor,-1.7672338786182848,,,
Kentrel Bullock,South Alabama,2026,250,8,,,2025,,,53.0,,310.0,0.1709677419354838,6.65,,,,28.79046960395864,7.503348694316436,0.77,66.5,26.99640684499008,Poor,-1.7940627589685647,,,
Jaylon Glover,UNLV,2026,250,8,,,2025,,,51.0,,424.0,0.1202830188679245,6.65,,,,28.79046960395864,6.185130278526505,0.9,66.5,26.5350303994636,Poor,-2.2554392044950475,,,
Andrew Paul,Jacksonville State,2026,250,8,,,2025,,,29.0,,328.0,0.0884146341463414,6.65,,,,28.79046960395864,4.041753774680604,0.8,66.5,25.784848623117533,Poor,-3.0056209808411083,,,
Logan Diggs,Ole Miss,2026,250,8,2002-03-17,24.12,2025,,,56.0,,523.0,0.1070745697896749,6.65,,,,28.79046960395864,3.98739870709278,0.65,66.5,25.765824349461795,Poor,-3.0246452544968463,,,
