player_name,college,draft_year,pick,round,birthdate,draft_age,college_season,rec_yards,rec_tds,receptions,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,final_season_dominator,peak_dominator,peak_dominator_season,dominator_trend,breakout_age,ever_broke_out,ras_score,pff_overall_grade,pff_receiving_grade,yards_per_route_run,dc_score,breakout_score,ras_score_normalized,slap_score,slap_tier,delta,nfl_best_season_ppg,hit24,hit12
Carnell Tate,Ohio State,2026,4,1,2005-01-19,21.28,2025.0,875.0,9.0,,3755.0,33.0,0.233022636484687,0.2727272727272727,25.287495460597988,25.287495460597988,2025.0,0.0,20.0,True,6.890000000000001,,,,96.73123522513824,77.643747730299,68.9,88.73905244239967,Good,-7.992182782738581,,,
Jordyn Tyson,Arizona State,2026,7,1,2004-08-12,21.72,2025.0,711.0,8.0,,2908.0,20.0,0.2444979367262723,0.4,32.22489683631362,36.36428930546578,2024.0,-4.139392469152163,19.0,True,6.890000000000001,,,,94.38004324460744,98.18214465273287,68.9,91.3184570395414,Elite,-3.0615862050660354,,,
Makai Lemon,USC,2026,16,1,2004-06-02,21.91,2025.0,1156.0,11.0,,3848.0,26.0,0.3004158004158004,0.4230769230769231,36.17463617463618,36.17463617463618,2025.0,0.0,21.0,True,6.890000000000001,,,,89.01046080303611,68.0873180873181,68.9,81.80926313943709,Good,-7.201197663599018,,,
Denzel Boston,Washington,2026,24,1,2003-12-06,22.4,2025.0,881.0,11.0,,3178.0,26.0,0.277218376337319,0.4230769230769231,35.01476497071211,35.01476497071211,2025.0,0.0,20.0,True,6.890000000000001,,,,85.18360526375135,82.50738248535606,68.9,82.2058199185096,Good,-2.9777853452417418,,,
Kevin Concepcion,Texas A&M,2026,27,1,2004-09-24,21.6,2025.0,919.0,9.0,,3378.0,26.0,0.2720544701006512,0.3461538461538461,30.910415812724867,30.910415812724867,2025.0,0.0,20.0,True,6.890000000000001,,,,83.87932650686992,80.45520790636243,68.9,80.94760381073795,Good,-2.9317226961319705,,,
Chris Bell,Louisville,2026,43,2,MISSING,,2025.0,917.0,6.0,,2868.0,18.0,0.3197350069735007,0.3333333333333333,32.6534170153417,32.6534170153417,2025.0,0.0,,False,6.890000000000001,,,,77.68493914356304,35.0,68.9,67.83021044331598,Below Average,-9.854728700247064,,,
Elijah Sarratt,Indiana,2026,44,2,2003-05-28,22.93,2025.0,806.0,15.0,,3826.0,46.0,0.2106638787245164,0.3260869565217391,26.83754176231277,26.83754176231277,2025.0,-3.552713678800501e-15,21.0,True,6.890000000000001,,,,77.33014043640625,63.41877088115639,68.9,73.28334545989534,Average,-4.04679497651091,,,
Zachariah Branch,Georgia,2026,47,2,2004-03-29,22.09,2025.0,811.0,6.0,,3083.0,25.0,0.2630554654557249,0.24,25.152773272786245,25.152773272786245,2025.0,0.0,21.0,True,6.890000000000001,,,,76.2836840704932,62.57638663639312,68.9,72.4346719730992,Average,-3.849012097393995,,,
Germie Bernard,Alabama,2026,52,2,2003-12-02,22.41,2025.0,862.0,7.0,,3953.0,32.0,0.2180622312167973,0.21875,21.840611560839868,21.840611560839868,2025.0,0.0,21.0,True,6.890000000000001,,,,74.59433316596373,60.92030578041994,68.9,71.00537771396043,Average,-3.5889554520033045,,,
Chris Brazzell,Tennessee,2026,53,2,2003-09-22,22.61,2025.0,1017.0,9.0,,3807.0,26.0,0.2671394799054373,0.3461538461538461,30.66466630296417,30.66466630296417,2025.0,0.0,21.0,True,6.890000000000001,,,,74.26400482294514,65.33233315148209,68.9,71.67306976521076,Average,-2.5909350577343844,,,
Ja'Kobi Lane,USC,2026,65,3,2004-08-05,21.74,2025.0,745.0,4.0,,3848.0,26.0,0.1936070686070686,0.1538461538461538,17.372661122661125,27.606651219844625,2024.0,-10.2339900971835,19.0,True,6.890000000000001,,,,70.4686321545596,93.80332560992233,68.9,74.9002760224482,Average,4.431643867888596,,,
Omar Cooper Jr.,Indiana,2026,76,3,2003-12-14,22.38,2025.0,961.0,13.0,,3826.0,46.0,0.2511761630946157,0.2826086956521739,26.68924293733949,26.68924293733949,2025.0,0.0,21.0,True,6.890000000000001,,,,67.21839332711826,63.34462146866974,68.9,66.69587995636083,Below Average,-0.5225133707574372,,,
Antonio Williams,Clemson,2026,85,3,2004-07-14,21.8,2025.0,604.0,4.0,,3481.0,22.0,0.1735133582303935,0.1818181818181818,17.766577002428768,26.431933343962072,2024.0,-8.665356341533304,20.0,True,6.890000000000001,,,,64.69048249230454,78.21596667198104,68.9,68.02700695439415,Below Average,3.336524462089613,,,
Skyler Bell,UConn,2026,88,3,2002-07-05,23.82,2025.0,,,,0.0,0.0,,,,38.95663956639567,2025.0,,22.0,True,6.890000000000001,,,,63.870755038336846,54.47831978319783,68.9,62.74665473155852,Below Average,-1.124100306778324,,,
Malachi Fields,Notre Dame,2026,89,3,MISSING,,2025.0,630.0,5.0,,3061.0,25.0,0.2058150931068278,0.2,20.29075465534139,20.29075465534139,2025.0,0.0,,False,6.890000000000001,,,,63.59988204942709,35.0,68.9,58.67492333212761,Poor,-4.924958717299475,,,
C.J. Daniels,Miami,2026,112,4,2002-01-04,24.32,2025.0,557.0,7.0,,4051.0,32.0,0.1374969143421377,0.21875,17.812345717106886,17.812345717106886,2025.0,0.0,,False,6.890000000000001,,,,57.65686444404836,32.812345717106886,68.9,54.37443103205282,Poor,-3.282433411995541,,,
Brenen Thompson,Mississippi State,2026,113,4,2003-07-25,22.77,2025.0,1054.0,6.0,,3138.0,20.0,0.3358827278521351,0.3,31.794136392606752,31.794136392606752,2025.0,0.0,22.0,True,6.890000000000001,,,,57.409597693011136,50.89706819630338,68.9,57.83065213971792,Poor,0.4210544467067834,,,
Deion Burks,Oklahoma,2026,121,4,2003-01-08,23.31,2025.0,620.0,4.0,,3050.0,17.0,0.2032786885245901,0.2352941176470588,21.928640308582448,21.928640308582448,2025.0,0.0,22.0,True,6.890000000000001,,,,55.46053111366024,45.96432015429122,68.9,55.57720925473741,Poor,0.1166781410771662,,,
Ted Hurst,Georgia State,2026,132,5,MISSING,,2025.0,1004.0,6.0,,3053.0,22.0,0.3288568621028496,0.2727272727272727,30.07920674150612,37.085137085137085,2024.0,-7.005930343630965,,False,6.890000000000001,,,,52.85873645151093,35.0,68.9,51.6931786934821,Poor,-1.1655577580288252,,,
Bryce Lance,North Dakota State,2026,150,5,2001-09-20,24.61,2025.0,1079.0,8.0,,3104.0,20.0,0.3476159793814433,0.4,37.38079896907217,37.38079896907217,2025.0,0.0,22.0,True,6.890000000000001,,,,48.77246656402318,53.69039948453609,68.9,52.775183163522286,Poor,4.002716599499102,,,
Kevin Coleman Jr.,Missouri,2026,162,6,2003-09-10,22.64,2025.0,732.0,1.0,,2449.0,15.0,0.2988975091874234,0.0666666666666666,18.278208792704504,18.278208792704504,2025.0,0.0,,False,6.890000000000001,,,,46.15155112223164,33.278208792704504,68.9,46.98914998799147,Poor,0.8375988657598299,,,
Eric McAlister,TCU,2026,171,6,MISSING,,2025.0,1190.0,10.0,,3771.0,30.0,0.3155661628215327,0.3333333333333333,32.44497480774331,32.44497480774331,2025.0,0.0,,False,6.890000000000001,,,,44.2340493948423,35.0,68.9,46.087132106647495,Poor,1.853082711805193,,,
Eric Rivers,Georgia Tech,2026,178,6,MISSING,,2025.0,671.0,2.0,,3413.0,16.0,0.1966012305889247,0.125,16.080061529446237,16.080061529446237,2025.0,0.0,,False,6.890000000000001,,,,42.76906169071699,31.08006152944624,68.9,44.35090240485529,Poor,1.581840714138302,,,
Lewis Bond,Boston College,2026,185,6,MISSING,,2025.0,1010.0,1.0,,3362.0,20.0,0.3004164187983343,0.05,17.520820939916714,36.82539682539683,2023.0,-19.30457588548012,,False,6.890000000000001,,,,41.325810352464025,35.0,68.9,44.19677672910162,Poor,2.870966376637597,,,
De'Zhaun Stribling,Ole Miss,2026,186,6,2002-12-18,23.37,2025.0,811.0,6.0,,4700.0,26.0,0.1725531914893617,0.2307692307692307,20.166121112929623,20.166121112929623,2025.0,0.0,22.0,True,6.890000000000001,,,,41.12133897642805,45.083060556464815,68.9,46.0804824459712,Poor,4.95914346954315,,,
