player_name,position,projected_pick,college
Carnell Tate,WR,7,Ohio State
Jordyn Tyson,WR,10,Arizona State
Makai Lemon,WR,13,USC
Denzel Boston,WR,22,Washington
Kevin Concepcion,WR,26,Texas A&M
Omar Cooper Jr.,WR,48,Indiana
Zachariah Branch,WR,49,Georgia
Malachi Fields,WR,50,Notre Dame
Chris Bell,WR,51,Louisville
Germie Bernard,WR,55,Alabama
Chris Brazzell,WR,57,Tennessee
Elijah Sarratt,WR,59,Indiana
Antonio Williams,WR,68,Clemson
Ja'Kobi Lane,WR,76,USC
Ted Hurst,WR,82,Georgia State
Skyler Bell,WR,99,UConn
Deion Burks,WR,118,Oklahoma
Kevin Coleman Jr.,WR,121,Missouri
Brenen Thompson,WR,131,Mississippi State
Bryce Lance,WR,132,North Dakota State
Josh Cameron,WR,136,Baylor
C.J. Daniels,WR,138,Miami (FL)
Reggie Virgil,WR,152,Texas Tech
Lewis Bond,WR,185,Boston College
De'Zhaun Stribling,WR,186,Mississippi
Caleb Douglas,WR,192,Texas Tech
Eric McAlister,WR,193,TCU
Chase Roberts,WR,198,BYU
Aaron Anderson,WR,211,LSU
Kaden Wetjen,WR,212,Iowa
Cyrus Allen,WR,219,Cincinnati
Eli Heidenreich,WR,223,Navy
Barion Brown,WR,225,LSU
Jordan Hudson,WR,227,SMU
Tyren Montgomery,WR,229,John Carroll
Dane Key,WR,237,Nebraska
Eric Rivers,WR,242,Georgia Tech
Emmanuel Henderson,WR,250,Kansas
Zavion Thomas,WR,250,LSU
Colbie Young,WR,250,Georgia
Chris Hilton,WR,250,LSU
Jeff Caldwell,WR,250,Cincinnati
Devin Voisin,WR,250,South Alabama
Hank Beatty,WR,250,Illinois
Keelan Marion,WR,250,Miami (FL)
Malik Benson,WR,250,Oregon
Michael Wortham,WR,250,Montana
J.Michael Sturdivant,WR,250,Florida
Noah Thomas,WR,250,Georgia
Vinny Anthony II,WR,250,Wisconsin
Romello Brinson,WR,250,SMU
Kendrick Law,WR,250,Kentucky
Dillon Bell,WR,250,Georgia
Harrison Wallace III,WR,250,Mississippi
Squirrel White,WR,250,Florida State
Caullin Lacy,WR,250,Louisville
Jordan Dwyer,WR,250,TCU
Griffin Wilde,WR,250,Northwestern
Jalil Farooq,WR,250,Maryland
Jalen Walthall,WR,250,Incarnate Word
Amare Thomas,WR,250,Houston
Trebor Pena,WR,250,Penn State
Hykeem Williams,WR,250,Colorado
Cordale Russell,WR,250,Miami (OH)
Brandon Inniss,WR,250,Ohio State
Anthony Evans III,WR,250,Mississippi State
Raymond Cottrell,WR,250,West Alabama
Nathan Leacock,WR,250,North Carolina
Ryan Niblett,WR,250,Texas
Jaquaize Pettaway,WR,250,East Carolina
Jalen Brown,WR,250,Arkansas
Braylon James,WR,250,TCU
Shelton Sampson Jr.,WR,250,Louisiana-Lafayette
Ayden Williams,WR,250,Mississippi State
Mikey Matthews,WR,250,UCLA
Tyler Brown,WR,250,Clemson
London Humphreys,WR,250,Georgia
Kyion Grayes,WR,250,California
Tobias Merriweather,WR,250,Utah
C.J. Williams,WR,250,Stanford
Andre Greene Jr.,WR,250,Virginia
Antonio Gates Jr.,WR,250,Delaware State
Talyn Shettron,WR,250,Oklahoma State
Kobe Prentice,WR,250,Baylor
Kaleb Brown,WR,250,UAB
Braylin Presley,WR,250,Tulsa
Justus Ross-Simmons,WR,250,Syracuse
Jaron Glover,WR,250,Mississippi State
Jayden McGowan,WR,250,Charlotte
Cody Jackson,WR,250,Tarleton State
Kyron Ware-Hudson,WR,250,Penn State
Jayden Ballard,WR,250,Wisconsin
Deion Colzie,WR,250,Miami (OH)
JoJo Earle,WR,250,UNLV
Dacari Collins,WR,250,Louisville
Malik McClain,WR,250,Arizona State
Christian Leary,WR,250,Western Michigan
Jerand Bradley,WR,250,Kansas State
Rara Thomas,WR,250,Troy
Andrel Anthony,WR,250,Duke
Jared Brown,WR,250,South Carolina
Joseph Manjack IV,WR,250,TCU
Jaden Bray,WR,250,West Virginia
Jayden Thomas,WR,250,Virginia
Max Tomzcak,WR,250,Youngstown State
E.J. Williams,WR,250,Indiana
Ja'Mori Maclin,WR,250,Kentucky
Ja'Varrius Johnson,WR,250,UCF
Donavon Greene,WR,250,Virginia Tech
Jeremiyah Love,RB,9,Notre Dame
Jadarian Price,RB,61,Notre Dame
Jonah Coleman,RB,73,Washington
Emmett Johnson,RB,74,Nebraska
Mike Washington Jr.,RB,100,Arkansas
Kaytron Allen,RB,101,Penn State
Nick Singleton,RB,115,Penn State
Demond Claiborne,RB,172,Wake Forest
Kaelon Black,RB,182,Indiana
Roman Hemby,RB,183,Indiana
Adam Randall,RB,190,Clemson
Seth McGowan,RB,191,Kentucky
J'Mari Taylor,RB,207,Virginia
Robert Henry Jr.,RB,215,UTSA
Jaydn Ott,RB,222,Oklahoma
Le'Veon Moss,RB,226,Texas A&M
Noah Whittington,RB,238,Oregon
Jamarion Miller,RB,245,Alabama
Kejon Owens,RB,250,Florida International
Curtis Allen,RB,250,Virginia Union
C.J. Donaldson,RB,250,Ohio State
Kentrel Bullock,RB,250,South Alabama
Max Bredeson,RB,250,Michigan
Jamal Haynes,RB,250,Georgia Tech
Chip Trayanum,RB,250,Toledo
Desmond Reid,RB,250,Pittsburgh
Dean Connors,RB,250,Houston
Rahsul Faison,RB,250,South Carolina
Terion Stewart,RB,250,Virginia Tech
Rueben Owens,RB,250,Texas A&M
Samuel Singleton Jr.,RB,250,Florida State
Djay Braswell,RB,250,Georgia State
Kedrick Reescano,RB,250,Arizona
Quinten Joyner,RB,250,Texas Tech
Sedrick Alexander,RB,250,Vanderbilt
Kaden Feagin,RB,250,Illinois
TreVonte Citizen,RB,250,McNeese State
Jaylon Glover,RB,250,UNLV
Branson Robinson,RB,250,Georgia State
Richard Reese,RB,250,Stephen F. Austin
Andrew Paul,RB,250,Jacksonville State
Savion Red,RB,250,Sacramento State
Kadarius Calloway,RB,250,New Mexico State
Derrick Davis Jr.,RB,250,Pittsburgh
Armoni Goodwin,RB,250,UT Martin
Trevion Cooley,RB,250,Troy
