player_id,player_name,rec_yards,receptions,rec_tds,games_rec,rush_yards,rush_att,rush_tds,games_rush,games,fantasy_ppr,ppg
00-0033280,C.McCaffrey,904.0,102.0,7.0,17.0,1202.0,311.0,10.0,17.0,17.0,414.6,24.38823529411765
00-0039075,P.Nacua,1715.0,129.0,10.0,16.0,105.0,10.0,1.0,7.0,16.0,377.0,23.5625
00-0038542,B.Robinson,820.0,79.0,4.0,17.0,1478.0,288.0,7.0,17.0,17.0,374.8,22.04705882352941
00-0039139,J.Gibbs,613.0,77.0,5.0,17.0,1223.0,243.0,13.0,17.0,17.0,368.6,21.68235294117647
00-0036223,J.Taylor,378.0,46.0,2.0,16.0,1585.0,324.0,18.0,17.0,17.0,362.3,21.311764705882354
00-0038543,J.Smith-Njigba,1793.0,119.0,10.0,17.0,36.0,7.0,0.0,5.0,17.0,361.9,21.288235294117644
00-0036963,A.St. Brown,1401.0,117.0,11.0,17.0,9.0,3.0,0.0,2.0,17.0,324.0,19.058823529411764
00-0039040,D.Achane,481.0,67.0,4.0,16.0,1350.0,238.0,8.0,16.0,16.0,322.1,20.13125
00-0037744,T.McBride,1239.0,126.0,11.0,17.0,0.0,0.0,0.0,0.0,17.0,315.9,18.58235294117647
00-0036900,J.Chase,1412.0,125.0,8.0,16.0,14.0,3.0,0.0,3.0,16.0,315.6,19.725
00-0037248,J.Cook,291.0,33.0,2.0,14.0,1621.0,309.0,12.0,17.0,17.0,308.2,18.129411764705882
00-0037247,G.Pickens,1429.0,93.0,9.0,17.0,0.0,0.0,0.0,0.0,17.0,289.9,17.052941176470586
00-0032764,D.Henry,150.0,15.0,0.0,13.0,1595.0,307.0,16.0,17.0,17.0,285.5,16.794117647058822
00-0038597,C.Brown,414.0,69.0,5.0,17.0,1019.0,233.0,6.0,17.0,17.0,278.3,16.370588235294118
00-0037239,C.Olave,1163.0,100.0,9.0,16.0,-3.0,1.0,0.0,1.0,16.0,270.0,16.875
00-0037840,K.Williams,281.0,36.0,3.0,16.0,1252.0,259.0,10.0,17.0,17.0,267.3,15.723529411764707
00-0036973,T.Etienne,292.0,36.0,6.0,17.0,1107.0,260.0,7.0,17.0,17.0,253.9,14.935294117647059
00-0039064,Z.Flowers,1211.0,86.0,5.0,17.0,62.0,10.0,1.0,8.0,17.0,249.3,14.664705882352942
00-0040122,A.Jeanty,346.0,55.0,5.0,16.0,975.0,267.0,5.0,17.0,17.0,247.1,14.535294117647059
00-0036997,J.Williams,137.0,35.0,2.0,15.0,1201.0,252.0,11.0,16.0,16.0,246.79999999999998,15.424999999999999
00-0035700,J.Jacobs,282.0,36.0,1.0,14.0,929.0,234.0,13.0,15.0,15.0,241.10000000000002,16.073333333333334
00-0034844,S.Barkley,273.0,37.0,2.0,15.0,1140.0,281.0,7.0,16.0,16.0,232.3,14.51875
00-0036275,D.Swift,290.0,34.0,1.0,16.0,1087.0,223.0,9.0,16.0,16.0,231.7,14.48125
00-0036554,N.Collins,1117.0,71.0,6.0,15.0,15.0,2.0,1.0,2.0,15.0,226.2,15.08
00-0036919,K.Gainwell,486.0,73.0,3.0,17.0,537.0,114.0,5.0,16.0,17.0,223.3,13.13529411764706
00-0031381,D.Adams,789.0,60.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,222.9,15.921428571428573
00-0035676,A.Brown,1003.0,78.0,7.0,15.0,0.0,0.0,0.0,0.0,15.0,220.3,14.686666666666667
00-0037240,J.Williams,1109.0,65.0,7.0,17.0,12.0,6.0,0.0,6.0,17.0,219.10000000000002,12.88823529411765
00-0036139,R.Dowdle,297.0,39.0,1.0,16.0,1076.0,237.0,6.0,17.0,17.0,218.29999999999998,12.841176470588234
00-0038117,W.Robinson,1014.0,92.0,4.0,16.0,5.0,3.0,0.0,3.0,16.0,217.9,13.61875
00-0034348,C.Sutton,1017.0,74.0,7.0,17.0,0.0,0.0,0.0,0.0,17.0,217.7,12.805882352941175
00-0037228,J.Warren,333.0,40.0,2.0,14.0,958.0,211.0,6.0,16.0,16.0,217.1,13.56875
00-0040124,T.McMillan,1013.0,70.0,7.0,17.0,0.0,0.0,0.0,0.0,17.0,213.3,12.547058823529412
00-0036970,K.Pitts,928.0,88.0,5.0,17.0,0.0,0.0,0.0,0.0,17.0,210.8,12.4
00-0031588,S.Diggs,1013.0,85.0,4.0,17.0,0.0,0.0,0.0,0.0,17.0,210.3,12.370588235294118
00-0036410,T.Higgins,846.0,59.0,11.0,15.0,0.0,0.0,0.0,0.0,15.0,209.6,13.973333333333333
00-0040730,R.Harvey,356.0,47.0,5.0,17.0,540.0,147.0,7.0,17.0,17.0,208.6,12.270588235294117
00-0040734,T.Henderson,221.0,35.0,1.0,13.0,911.0,180.0,9.0,17.0,17.0,208.2,12.24705882352941
00-0038120,B.Hall,350.0,36.0,1.0,15.0,1065.0,243.0,4.0,16.0,16.0,207.5,12.96875
00-0037238,D.London,919.0,68.0,7.0,12.0,0.0,0.0,0.0,0.0,12.0,201.9,16.825
00-0036912,D.Smith,1008.0,77.0,4.0,17.0,0.0,0.0,0.0,0.0,17.0,201.8,11.870588235294118
00-0036322,J.Jefferson,1048.0,84.0,2.0,17.0,7.0,2.0,0.0,2.0,17.0,201.5,11.852941176470589
00-0036252,M.Pittman,793.0,80.0,7.0,17.0,0.0,0.0,0.0,0.0,17.0,201.3,11.841176470588236
00-0036358,C.Lamb,1077.0,75.0,3.0,13.0,2.0,1.0,0.0,1.0,13.0,200.9,15.453846153846154
00-0036613,J.Waddle,910.0,64.0,6.0,16.0,28.0,2.0,0.0,2.0,16.0,193.8,12.1125
00-0040129,E.Egbuka,938.0,63.0,6.0,17.0,9.0,3.0,0.0,3.0,17.0,193.7,11.394117647058822
00-0038134,K.Walker,282.0,31.0,0.0,16.0,1027.0,221.0,5.0,17.0,17.0,191.9,11.288235294117648
00-0035261,T.Pollard,206.0,33.0,0.0,15.0,1082.0,242.0,5.0,17.0,17.0,191.8,11.282352941176471
00-0030506,T.Kelce,851.0,76.0,5.0,17.0,1.0,1.0,0.0,1.0,17.0,191.2,11.24705882352941
00-0038041,J.Ferguson,600.0,82.0,8.0,17.0,1.0,1.0,0.0,1.0,17.0,190.1,11.18235294117647
00-0040128,T.Warren,817.0,76.0,4.0,17.0,8.0,6.0,1.0,5.0,17.0,188.5,11.088235294117647
00-0040663,H.Fannin,731.0,72.0,6.0,16.0,13.0,7.0,1.0,7.0,16.0,188.39999999999998,11.774999999999999
00-0035719,D.Samuel,727.0,72.0,5.0,16.0,75.0,17.0,1.0,10.0,16.0,188.2,11.7625
00-0035640,D.Metcalf,850.0,59.0,6.0,15.0,12.0,2.0,1.0,1.0,15.0,187.2,12.479999999999999
00-0034351,D.Goedert,591.0,60.0,11.0,15.0,0.0,0.0,0.0,0.0,15.0,185.1,12.34
00-0036040,J.Johnson,889.0,77.0,3.0,17.0,0.0,0.0,0.0,0.0,17.0,183.9,10.81764705882353
00-0037664,A.Pierce,1003.0,47.0,6.0,15.0,0.0,0.0,0.0,0.0,15.0,183.3,12.22
00-0030279,K.Allen,777.0,81.0,4.0,17.0,0.0,0.0,0.0,0.0,17.0,182.7,10.74705882352941
00-0039915,L.McConkey,789.0,66.0,6.0,16.0,0.0,0.0,0.0,0.0,16.0,180.9,11.30625
00-0036875,R.Stevenson,345.0,32.0,2.0,14.0,603.0,131.0,7.0,14.0,14.0,180.8,12.914285714285715
00-0039165,Z.Charbonnet,144.0,20.0,0.0,11.0,730.0,185.0,12.0,16.0,16.0,179.4,11.2125
00-0033090,H.Henry,768.0,60.0,7.0,17.0,0.0,0.0,0.0,0.0,17.0,178.8,10.51764705882353
00-0034960,J.Meyers,835.0,75.0,3.0,16.0,13.0,5.0,0.0,3.0,16.0,177.8,11.1125
00-0034383,D.Schultz,777.0,82.0,3.0,17.0,0.0,0.0,0.0,0.0,17.0,177.7,10.452941176470588
00-0039338,B.Bowers,680.0,64.0,7.0,12.0,2.0,2.0,0.0,2.0,12.0,174.2,14.516666666666666
00-0036259,J.Jennings,643.0,55.0,9.0,15.0,0.0,0.0,0.0,0.0,15.0,173.3,11.553333333333335
00-0038544,Q.Johnston,735.0,51.0,8.0,13.0,7.0,2.0,0.0,2.0,13.0,173.2,13.323076923076922
00-0039868,T.Franklin,709.0,65.0,6.0,17.0,12.0,5.0,0.0,4.0,17.0,173.10000000000002,10.182352941176472
00-0038606,P.Washington,847.0,58.0,5.0,15.0,0.0,7.0,0.0,4.0,15.0,172.7,11.513333333333332
00-0040784,Q.Judkins,171.0,26.0,0.0,12.0,827.0,231.0,7.0,14.0,14.0,167.8,11.985714285714286
00-0034827,D.Moore,667.0,50.0,6.0,17.0,79.0,15.0,1.0,9.0,17.0,166.60000000000002,9.8
00-0037261,K.Shakir,686.0,72.0,4.0,16.0,5.0,1.0,0.0,1.0,16.0,165.1,10.31875
00-0040126,C.Loveland,713.0,58.0,6.0,16.0,-2.0,1.0,0.0,1.0,16.0,165.1,10.31875
00-0037816,R.Doubs,724.0,55.0,6.0,16.0,0.0,0.0,0.0,0.0,16.0,163.4,10.2125
00-0035685,D.Montgomery,192.0,24.0,0.0,16.0,716.0,159.0,8.0,17.0,17.0,162.8,9.576470588235296
00-0039384,T.Tracy,288.0,36.0,2.0,13.0,740.0,176.0,2.0,15.0,15.0,162.8,10.853333333333333
00-0038563,T.Tucker,696.0,57.0,5.0,17.0,51.0,11.0,0.0,8.0,17.0,161.7,9.511764705882353
00-0033288,G.Kittle,628.0,57.0,7.0,11.0,-3.0,1.0,0.0,1.0,11.0,161.5,14.681818181818182
00-0039067,R.Rice,571.0,53.0,5.0,8.0,20.0,5.0,1.0,3.0,8.0,148.1,18.5125
00-0033923,K.Hunt,143.0,18.0,1.0,14.0,611.0,163.0,8.0,17.0,17.0,147.4,8.670588235294119
00-0039793,A.Barner,519.0,52.0,6.0,16.0,14.0,10.0,1.0,8.0,16.0,147.3,9.20625
00-0037545,R.Shaheed,687.0,59.0,2.0,18.0,69.0,9.0,0.0,7.0,18.0,146.60000000000002,8.144444444444446
00-0039919,R.Odunze,661.0,44.0,6.0,12.0,0.0,0.0,0.0,0.0,12.0,146.1,12.174999999999999
00-0040583,W.Marks,208.0,24.0,3.0,15.0,703.0,196.0,2.0,16.0,16.0,145.1,9.06875
00-0040242,J.Croskey-Merritt,68.0,9.0,0.0,10.0,805.0,176.0,8.0,17.0,17.0,144.3,8.488235294117647
00-0037256,R.White,218.0,40.0,0.0,17.0,572.0,133.0,4.0,17.0,17.0,143.0,8.411764705882353
00-0040236,K.Monangai,164.0,18.0,0.0,14.0,783.0,171.0,5.0,16.0,16.0,142.7,8.91875
00-0034857,J.Allen,0.0,0.0,0.0,0.0,579.0,112.0,14.0,16.0,16.0,141.9,8.86875
00-0039361,B.Irving,277.0,30.0,3.0,9.0,588.0,173.0,1.0,10.0,10.0,140.5,14.05
00-0039893,B.Thomas,707.0,48.0,2.0,14.0,21.0,3.0,1.0,3.0,14.0,138.8,9.914285714285715
00-0035662,M.Brown,587.0,49.0,5.0,16.0,0.0,0.0,0.0,0.0,16.0,137.7,8.60625
00-0038997,J.Downs,559.0,58.0,4.0,16.0,-2.0,2.0,0.0,2.0,16.0,137.7,8.60625
00-0040666,O.Hampton,192.0,32.0,1.0,9.0,545.0,124.0,4.0,9.0,9.0,135.7,15.077777777777776
00-0038994,J.Addison,610.0,42.0,3.0,14.0,81.0,2.0,1.0,2.0,14.0,135.1,9.65
00-0040189,O.Gadsden,664.0,49.0,3.0,15.0,0.0,0.0,0.0,0.0,15.0,133.4,8.893333333333334
00-0038124,C.Watson,611.0,35.0,6.0,10.0,3.0,1.0,0.0,1.0,10.0,132.4,13.24
00-0036244,C.Parkinson,408.0,43.0,8.0,14.0,0.0,0.0,0.0,0.0,14.0,131.8,9.414285714285715
00-0034753,M.Andrews,422.0,48.0,5.0,17.0,48.0,10.0,1.0,6.0,17.0,131.0,7.705882352941177
00-0037525,J.Mason,51.0,14.0,0.0,9.0,758.0,159.0,6.0,16.0,16.0,130.89999999999998,8.181249999999999
00-0040130,J.Higgins,525.0,41.0,6.0,17.0,0.0,0.0,0.0,0.0,17.0,129.5,7.617647058823529
00-0040735,L.Burden,652.0,47.0,2.0,15.0,37.0,6.0,0.0,6.0,15.0,127.9,8.526666666666667
