player_name,position,draft_year,pick,round,team,college,best_ppr,best_ppg,best_season,hit24,hit12
Amari Cooper,WR,2015,4,1,OAK,Alabama,246.5,15.40625,2019.0,0,1
Kevin White,WR,2015,7,1,CHI,West Virginia,38.6,9.649999618530273,2016.0,0,0
Todd Gurley,RB,2015,10,1,STL,Georgia,400.4,25.024999618530273,2017.0,1,1
DeVante Parker,WR,2015,14,1,MIA,Louisville,246.2,15.387499809265137,2019.0,0,1
Melvin Gordon,RB,2015,15,1,SDG,Wisconsin,296.4,21.17142813546317,2018.0,0,1
Nelson Agholor,WR,2015,20,1,PHI,USC,222.1,11.68947400544819,2017.0,0,0
Breshad Perriman,WR,2015,26,1,BAL,Central Florida,138.1,9.864286150251116,2019.0,0,0
Phillip Dorsett,WR,2015,29,1,IND,Miami (FL),102.4,8.533333460489908,2019.0,0,0
T.J. Yeldon,RB,2015,36,2,JAX,Alabama,155.9,12.991666158040365,2015.0,0,1
Devin Smith,WR,2015,37,2,NYJ,Ohio St.,22.3,7.433333079020183,2019.0,0,0
Dorial Green-Beckham,WR,2015,40,2,TEN,Oklahoma,0.0,0.0,,0,0
Devin Funchess,WR,2015,41,2,CAR,Michigan,0.0,0.0,,0,0
Ameer Abdullah,RB,2015,54,2,DET,Nebraska,26.8,13.399999618530273,2016.0,0,1
Tyler Lockett,WR,2015,69,3,SEA,Kansas St.,271.7,15.982353659237132,2020.0,0,1
Jaelen Strong,WR,2015,70,3,HOU,Arizona St.,12.8,12.800000190734863,2017.0,0,1
Tevin Coleman,RB,2015,73,3,ATL,Indiana,233.9,14.618749618530273,2016.0,0,1
Chris Conley,WR,2015,76,3,KAN,Georgia,156.5,9.78125,2019.0,0,0
Duke Johnson,RB,2015,77,3,CLE,Miami (FL),216.1,13.506250381469727,2017.0,0,1
David Johnson,RB,2015,86,3,ARI,Northern Iowa,407.8,25.487499237060547,2016.0,1,1
Sammie Coates,WR,2015,87,3,PIT,Auburn,83.3,6.941666920979817,2016.0,0,0
Ty Montgomery,WR,2015,94,3,GNB,Stanford,91.6,11.449999809265137,2017.0,0,0
Matt Jones,RB,2015,95,3,WAS,Florida,75.3,10.757143293108259,2016.0,0,0
Jamison Crowder,WR,2015,105,4,WAS,Duke,172.02,14.335000356038412,2020.0,0,1
Jeremy Langford,RB,2015,106,4,CHI,Michigan St.,147.6,9.840000406901042,2015.0,0,0
Justin Hardy,WR,2015,107,4,ATL,East Carolina,69.1,5.758333206176758,2016.0,0,0
Vince Mayle,WR,2015,123,4,CLE,Washington St.,6.2,2.066666603088379,2017.0,0,0
Javorius Allen,RB,2015,125,4,BAL,USC,166.1,10.381250381469727,2017.0,0,0
Mike Davis,RB,2015,126,4,SFO,South Carolina,206.5,14.75,2020.0,0,1
DeAndre Smelter,WR,2015,132,4,SFO,Georgia Tech,3.3,3.299999952316284,2016.0,0,0
David Cobb,RB,2015,138,5,TEN,Minnesota,0.0,0.0,,0,0
Rashad Greene,WR,2015,139,5,JAX,Florida St.,46.3,5.144444359673394,2015.0,0,0
Stefon Diggs,WR,2015,146,5,MIN,Maryland,391.7,20.61579011615954,2020.0,0,1
Jay Ajayi,RB,2015,149,5,MIA,Boise St.,222.8,13.925000190734863,2016.0,0,1
Karlos Williams,RB,2015,155,5,BUF,Florida St.,0.0,0.0,,0,0
Tony Lippett,WR,2015,156,5,MIA,Michigan St.,0.0,0.0,,0,0
JJ Nelson,WR,2015,159,5,ARI,Ala-Birmingham,13.6,13.600000381469727,2019.0,0,1
Kenny Bell,WR,2015,162,5,TAM,Nebraska,0.0,0.0,,0,0
Cameron Artis-Payne,RB,2015,174,5,CAR,Auburn,28.5,9.5,2016.0,0,0
Keith Mumphery,WR,2015,175,5,HOU,Michigan St.,0.0,0.0,,0,0
Kaelin Clay,WR,2015,184,6,TAM,Utah,6.0,6.0,2015.0,0,0
Geremy Davis,WR,2015,186,6,NYG,Connecticut,6.8,3.4000000953674316,2019.0,0,0
Evan Spencer,WR,2015,187,6,WAS,Ohio St.,0.0,0.0,,0,0
Bud Sasser,WR,2015,201,6,STL,Missouri,0.0,0.0,,0,0
Darren Waller,WR,2015,204,6,BAL,Georgia Tech,0.0,0.0,,0,0
Josh Robinson,RB,2015,205,6,IND,Mississippi St.,0.0,0.0,,0,0
Neal Sterling,WR,2015,220,7,JAX,Monmouth,0.0,0.0,,0,0
Andre Debose,WR,2015,221,7,OAK,Florida,0.0,0.0,,0,0
Marcus Murphy,RB,2015,230,7,NOR,Missouri,6.8,6.800000190734863,2017.0,0,0
Da'Ron Brown,WR,2015,233,7,KAN,Northern Illinois,0.0,0.0,,0,0
Dezmin Lewis,WR,2015,234,7,BUF,Central Arkansas,0.0,0.0,2016.0,0,0
