season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,name_clean,best_ppr,best_ppg,best_season,hit24,hit12,games_fantasy
2015,1,4,OAK,00-0031544,CoopAm00,amari-cooper-1,Amari Cooper,False,WR,WR,O,Alabama,21.0,2024.0,0,5,9,66.0,,22.0,154.0,0.0,1.0,0.0,0.0,1.0,14.0,41.0,0.0,711.0,10033.0,64.0,2.0,,,amari cooper,246.5,15.40625,2019.0,0,1,16.0
2015,1,7,CHI,00-0031545,WhitKe00,kevin-white-6,Kevin White,False,WR,WR,O,West Virginia,23.0,2022.0,0,0,0,3.0,,2.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,28.0,397.0,0.0,2.0,,,kevin white,38.6,9.649999618530273,2016.0,0,0,4.0
2015,1,10,STL,00-0032241,GurlTo01,todd-gurley-1,Todd Gurley,False,RB,RB,O,Georgia,21.0,2020.0,2,3,6,54.0,,50.0,88.0,0.0,0.0,0.0,0.0,0.0,1460.0,6082.0,67.0,243.0,2254.0,12.0,,,,todd gurley,400.4,25.024999618530273,2017.0,1,1,16.0
2015,1,14,MIA,00-0031547,ParkDe01,devante-parker-1,DeVante Parker,False,WR,WR,O,Louisville,22.0,2023.0,0,0,6,36.0,,32.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,5660.0,27.0,3.0,,,devante parker,246.2,15.387499809265137,2019.0,0,1,16.0
2015,1,15,SDG,00-0032144,GordMe00,melvin-gordon-1,Melvin Gordon,False,RB,RB,O,Wisconsin,22.0,2023.0,0,2,7,51.0,,38.0,112.0,0.0,0.0,0.0,0.0,0.0,1593.0,6543.0,56.0,312.0,2513.0,14.0,,,,melvin gordon,296.4,21.17142813546317,2018.0,0,1,14.0
2015,1,20,PHI,00-0031549,AghoNe00,nelson-agholor-1,Nelson Agholor,False,WR,WR,O,USC,22.0,2024.0,0,0,7,36.0,,18.0,149.0,1.0,1.0,15.0,0.0,0.0,14.0,71.0,0.0,389.0,4858.0,37.0,1.0,,,nelson agholor,222.1,11.68947400544819,2017.0,0,0,19.0
2015,1,26,BAL,00-0032054,PerrBr02,breshad-perriman-1,Breshad Perriman,False,WR,WR,O,Central Florida,21.0,2022.0,0,0,1,15.0,,4.0,80.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,145.0,2343.0,16.0,,,,breshad perriman,138.1,9.864286150251116,2019.0,0,0,14.0
2015,1,29,IND,00-0032208,DorsPh00,phillip-dorsett-1,Phillip Dorsett,False,WR,WR,O,Miami (FL),22.0,2023.0,0,0,0,16.0,,7.0,94.0,0.0,1.0,0.0,0.0,0.0,14.0,84.0,0.0,151.0,2001.0,12.0,,,,phillip dorsett,102.4,8.533333460489908,2019.0,0,0,12.0
2015,2,36,JAX,00-0032209,YeldT.00,tj-yeldon-1,T.J. Yeldon,False,RB,RB,O,Alabama,21.0,2020.0,0,0,2,20.0,,19.0,60.0,0.0,0.0,0.0,0.0,0.0,492.0,2005.0,6.0,185.0,1448.0,7.0,,,,tj yeldon,155.9,12.991666158040365,2015.0,0,1,12.0
2015,2,37,NYJ,00-0031934,SmitDe04,devin-smith-2,Devin Smith,False,WR,WR,O,Ohio St.,23.0,2021.0,0,0,0,2.0,,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,248.0,2.0,3.0,,,devin smith,22.3,7.433333079020183,2019.0,0,0,3.0
