player_id,player_display_name,position,recent_team,games,receptions,targets,receiving_yards,receiving_tds,carries,rushing_yards,rushing_tds,fantasy_points_ppr,season,fantasy_ppg
00-0029892,Kyle Juszczyk,RB,SF,15,24.0,28.0,213.0,2.0,2.0,-3.0,0.0,57.0,2025,3.8
00-0030035,Adam Thielen,WR,PIT,14,19.0,36.0,186.0,0.0,0.0,0.0,0.0,37.6,2025,2.685714285714286
00-0030279,Keenan Allen,WR,LAC,17,81.0,122.0,777.0,4.0,0.0,0.0,0.0,182.7,2025,10.74705882352941
00-0030564,DeAndre Hopkins,WR,BAL,17,22.0,39.0,330.0,2.0,0.0,0.0,0.0,67.0,2025,3.9411764705882355
00-0031236,Brandin Cooks,WR,BUF,13,24.0,36.0,279.0,0.0,0.0,0.0,0.0,51.900000000000006,2025,3.992307692307693
00-0031381,Davante Adams,WR,LA,14,60.0,114.0,789.0,14.0,0.0,0.0,0.0,222.9,2025,15.921428571428573
00-0031408,Mike Evans,WR,TB,8,30.0,62.0,368.0,3.0,0.0,0.0,0.0,84.80000000000001,2025,10.600000000000001
00-0031588,Stefon Diggs,WR,NE,17,85.0,102.0,1013.0,4.0,0.0,0.0,0.0,210.3,2025,12.370588235294118
00-0031687,Raheem Mostert,RB,LV,12,12.0,12.0,70.0,0.0,22.0,104.0,0.0,29.400000000000002,2025,2.45
00-0032104,Ameer Abdullah,RB,IND,12,16.0,17.0,99.0,0.0,14.0,60.0,1.0,37.9,2025,3.158333333333333
00-0032211,Tyler Lockett,WR,LV,17,32.0,56.0,291.0,1.0,0.0,0.0,0.0,67.1,2025,3.9470588235294115
00-0032385,Sterling Shepard,WR,TB,13,39.0,54.0,371.0,1.0,4.0,19.0,0.0,84.0,2025,6.461538461538462
00-0032398,Chris Moore,WR,WAS,8,11.0,23.0,207.0,1.0,1.0,9.0,0.0,38.6,2025,4.825
00-0032464,Kalif Raymond,WR,DET,12,24.0,30.0,289.0,1.0,2.0,19.0,0.0,60.8,2025,5.066666666666666
00-0032688,Robbie Chosen,WR,WAS,3,5.0,9.0,53.0,0.0,0.0,0.0,0.0,10.3,2025,3.4333333333333336
