nfl_name,position,draft_year,birth_date,college_name
Israel Abanikanda,RB,2023.0,2002-10-05,Pittsburgh
Ameer Abdullah,RB,2015.0,1993-06-13,Nebraska
De'Von Achane,RB,2023.0,2001-10-13,Texas A&M
Rodney Adams,WR,2017.0,1994-09-15,University of South Florida; Toledo
Jordan Addison,WR,2023.0,2002-01-27,USC; Pittsburgh
Nelson Agholor,WR,2015.0,1993-05-24,USC
Jamal Agnew,WR,2017.0,1995-04-03,San Diego
Brandon Aiyuk,WR,2020.0,1998-03-17,Arizona State; Sierra JC
Jay Ajayi,RB,2015.0,1993-06-15,Boise State
Cam Akers,RB,2020.0,1999-06-22,Florida State
Mario Alford,WR,2015.0,1992-02-25,West Virginia; Georgia Military
Rasheen Ali,RB,2024.0,2001-02-16,Marshall
Braelon Allen,RB,2024.0,2004-01-20,Wisconsin
Javorius Allen,RB,2015.0,1991-08-27,USC
LeQuint Allen Jr.,RB,2025.0,2004-08-05,Syracuse
Tyler Allgeier,RB,2022.0,2000-04-15,BYU
Rodney Anderson,RB,2019.0,1996-09-12,Oklahoma
J.J. Arcega-Whiteside,WR,2019.0,1996-12-31,Stanford
Alex Armah,RB,2017.0,1994-05-17,West Georgia
Ryquell Armstead,RB,2019.0,1996-10-30,Temple
Cameron Artis-Payne,RB,2015.0,1990-06-23,Auburn; Allan Hancock College
Marcell Ateman,WR,2018.0,1994-09-16,Oklahoma State
Tutu Atwell,WR,2021.0,1999-10-07,Louisville
Calvin Austin III,WR,2022.0,1999-03-24,Memphis
DeMarcus Ayers,WR,2016.0,1994-07-07,Houston
Elic Ayomanor,WR,2025.0,2003-06-03,Stanford
Tyler Badie,RB,2022.0,1999-02-07,Missouri
Javon Baker,WR,2024.0,2002-02-18,UCF; Alabama
Kawaan Baker,WR,2021.0,1998-08-24,South Alabama
Kalen Ballage,RB,2018.0,1995-12-22,Arizona State
Saquon Barkley,RB,2018.0,1997-02-09,Penn State
Rashod Bateman,WR,2021.0,1999-11-29,Minnesota
Nick Bawden,RB,2018.0,1996-06-22,San Diego State
Jack Bech,WR,2025.0,2002-12-18,TCU; LSU
David Bell,WR,2022.0,2000-12-14,Purdue
Kenny Bell,WR,2015.0,1992-02-25,Nebraska
Ronnie Bell,WR,2023.0,2000-01-28,Michigan
Eno Benjamin,RB,2020.0,1999-04-13,Arizona State
Trey Benson,RB,2024.0,2002-07-23,Florida State; Oregon
Junior Bergen,WR,2025.0,2002-10-23,Montana
