player_name,position,college,cfbd_school,cfbd_name,height_in,weight,status
Jeremiyah Love,RB,Notre Dame,Notre Dame,Jeremiyah Love,72.0,214.0,found
Jonah Coleman,RB,Washington,Washington,Jonah Coleman,69.0,228.0,found
Nick Singleton,RB,Penn State,Penn State,Nicholas Singleton,72.0,224.0,found
Kaytron Allen,RB,Penn State,Penn State,Kaytron Allen,71.0,217.0,found
Kaelon Black,RB,Indiana,Indiana,Kaelon Black,70.0,210.0,found
Roman Hemby,RB,Indiana,Indiana,Roman Hemby,72.0,208.0,found
J'Mari Taylor,RB,Virginia,Virginia,J'Mari Taylor,69.0,204.0,found
Le'Veon Moss,RB,Texas A&M,Texas A&M,Le'Veon Moss,71.0,210.0,found
Kaden Feagin,RB,Illinois,Illinois,Kaden Feagin,75.0,250.0,found
Rueben Owens,RB,Texas A&M,Texas A&M,Rueben Owens II,71.0,215.0,found
TJ Harden,RB,SMU,SMU,T.J. Harden,74.0,220.0,found
Kedrick Reescano,RB,Arizona,Arizona,Kedrick Reescano,72.0,213.0,found
Djay Braswell,RB,Georgia State,Georgia State,Djay Braswell,71.0,215.0,found
Quinten Joyner,RB,Texas Tech,Texas Tech,Quinten Joyner,71.0,205.0,found
Samuel Singleton Jr.,RB,Florida State,Florida State,Samuel Singleton Jr.,71.0,201.0,found
Branson Robinson,RB,Georgia State,Georgia State,Branson Robinson,70.0,211.0,found
Derrick Davis Jr.,RB,Pittsburgh,Pittsburgh,Derrick Davis Jr.,72.0,210.0,found
Noah Whittington,RB,Oregon,Oregon,Noah Whittington,68.0,203.0,found
Chip Trayanum,RB,Toledo,Toledo,Chip Trayanum,71.0,227.0,found
Kentrel Bullock,RB,South Alabama,South Alabama,Kentrel Bullock,70.0,205.0,found
Jaydn Ott,RB,Oklahoma,Oklahoma,Jaydn Ott,71.0,208.0,found
Curtis Allen,RB,Virginia Union,,,,,skipped
C.J. Donaldson,RB,Ohio State,Ohio State,CJ Donaldson,74.0,232.0,found
Jamal Haynes,RB,Georgia Tech,Georgia Tech,Jamal Haynes,69.0,190.0,found
Kejon Owens,RB,Florida International,Florida International,Kejon Owens,71.0,210.0,found
Desmond Reid,RB,Pittsburgh,Pittsburgh,Desmond Reid,68.0,175.0,found
Dean Connors,RB,Houston,Houston,Dean Connors,72.0,206.0,found
Rahsul Faison,RB,South Carolina,South Carolina,Rahsul Faison,72.0,218.0,found
Terion Stewart,RB,Virginia Tech,Virginia Tech,Terion Stewart,69.0,222.0,found
Sedrick Alexander,RB,Vanderbilt,Vanderbilt,Sedrick Alexander,69.0,200.0,found
Jaylon Glover,RB,UNLV,UNLV,Jaylon Glover,69.0,205.0,found
TreVonte Citizen,RB,McNeese State,McNeese,Tre'Vonte Citizen,74.0,223.0,found
Savion Red,RB,Sacramento State,Sacramento State,Savion Red,70.0,233.0,found
