player_name,position,school,projected_pick,rec_yards,team_pass_attempts,birthdate,age,age_estimated,weight
Carnell Tate,WR,Ohio State,4,875.0,408.0,2005-01-19,20,FALSE,195.0
Jordyn Tyson,WR,Arizona State,8,711.0,430.0,2004-08-12,21,FALSE,200.0
Makai Lemon,WR,USC,20,1156.0,420.0,2004-06-02,21,FALSE,195.0
Denzel Boston,WR,Washington,39,881.0,370.0,2003-12-06,21,FALSE,209.0
Kevin Concepcion,WR,Texas A&M,24,919.0,408.0,2004-09-24,20,FALSE,190.0
Chris Bell,WR,Louisville,94,917.0,418.0,MISSING,MISSING,MISSING,176.0
Elijah Sarratt,WR,Indiana,115,806.0,406.0,2003-05-28,22,FALSE,209.0
Zachariah Branch,WR,Georgia,79,811.0,417.0,2004-03-29,21,FALSE,180.0
Germie Bernard,WR,Alabama,47,862.0,523.0,2003-12-02,21,FALSE,204.0
Chris Brazzell,WR,Tennessee,83,1017.0,437.0,2003-09-22,22,FALSE,200.0
Ja'Kobi Lane,WR,USC,80,745.0,420.0,2004-08-05,21,FALSE,200.0
Omar Cooper Jr.,WR,Indiana,30,961.0,406.0,2003-12-14,21,FALSE,201.0
Antonio Williams,WR,Clemson,71,604.0,474.0,2004-07-14,21,FALSE,210.0
Skyler Bell,WR,UConn,125,1276.0,451.0,2002-07-05,23,FALSE,185.0
Malachi Fields,WR,Notre Dame,74,630.0,322.0,MISSING,22,TRUE,223.0
C.J. Daniels,WR,Miami (FL),197,557.0,496.0,2002-01-04,24,FALSE,205.0
Brenen Thompson,WR,Mississippi State,105,1054.0,390.0,2003-07-25,22,FALSE,170.0
Deion Burks,WR,Oklahoma,254,620.0,431.0,2003-01-08,22,FALSE,188.0
Ted Hurst,WR,Georgia State,84,1004.0,475.0,MISSING,MISSING,MISSING,185.0
Bryce Lance,WR,North Dakota State,136,895.0,274.0,2001-09-20,23,FALSE,209.0
Kevin Coleman Jr.,WR,Missouri,177,732.0,361.0,2003-09-10,21,FALSE,180.0
Eric McAlister,WR,TCU,258,1190.0,460.0,MISSING,22,TRUE,205.0
Eric Rivers,WR,Georgia Tech,258,671.0,394.0,MISSING,22,TRUE,170.0
Lewis Bond,WR,Boston College,204,1010.0,454.0,MISSING,22,TRUE,190.0
De'Zhaun Stribling,WR,Mississippi,33,811.0,523.0,2002-12-18,22,FALSE,200.0
Keelan Marion,WR,Miami (FL),258,746.0,496.0,2002-06-22,24,FALSE,195.0
Josh Cameron,WR,Baylor,191,872.0,510.0,2003-03-18,22,FALSE,224.0
Noah Thomas,WR,Georgia,258,254.0,417.0,2004-01-13,21,FALSE,205.0
Aaron Anderson,WR,LSU,258,398.0,443.0,2002-12-02,22,FALSE,188.0
Dane Key,WR,Nebraska,258,452.0,378.0,2003-07-01,22,FALSE,210.0
Jordan Hudson,WR,SMU,258,766.0,460.0,2003-11-22,22,FALSE,200.0
Caleb Douglas,WR,Texas Tech,75,830.0,486.0,2003-09-09,21,FALSE,210.0
Reggie Virgil,WR,Texas Tech,143,705.0,486.0,2004-05-14,21,FALSE,190.0
Vinny Anthony II,WR,Wisconsin,258,382.0,235.0,MISSING,MISSING,MISSING,190.0
Caullin Lacy,WR,Louisville,258,635.0,418.0,2001-12-22,23,FALSE,190.0
Kendrick Law,WR,Kentucky,168,540.0,367.0,2003-06-13,22,FALSE,205.0
Colbie Young,WR,Georgia,140,358.0,417.0,2002-07-24,23,FALSE,215.0
Kaden Wetjen,WR,Iowa,121,151.0,286.0,2002-03-09,23,FALSE,196.0
Chris Hilton,WR,LSU,258,122.0,443.0,2002-10-11,22,FALSE,190.0
Malik Benson,WR,Oregon,195,719.0,437.0,2002-10-17,22,FALSE,195.0
Jeff Caldwell,WR,Cincinnati,258,478.0,363.0,MISSING,MISSING,MISSING,215.0
Hank Beatty,WR,Illinois,258,864.0,372.0,2003-09-20,21,FALSE,185.0
Eli Heidenreich,RB,Navy,230,941.0,182.0,2002-05-15,23,FALSE,206.0
Harrison Wallace III,WR,Mississippi,258,934.0,523.0,2003-04-23,22,FALSE,195.0
J.Michael Sturdivant,WR,Florida,258,406.0,374.0,2002-09-06,22,FALSE,213.0
Dillon Bell,WR,Georgia,258,268.0,417.0,2003-11-06,22,FALSE,210.0
Barion Brown,WR,LSU,190,532.0,443.0,2003-12-12,21,FALSE,185.0
Jordan Dwyer,WR,TCU,258,730.0,460.0,MISSING,MISSING,MISSING,195.0
Griffin Wilde,WR,Northwestern,258,880.0,378.0,MISSING,MISSING,MISSING,200.0
Jalil Farooq,WR,Maryland,258,545.0,491.0,2001-09-13,23,FALSE,213.0
Amare Thomas,WR,Houston,258,966.0,377.0,2005-11-18,19,FALSE,205.0
Romello Brinson,WR,SMU,258,638.0,460.0,MISSING,22,TRUE,190.0
Jalen Walthall,WR,Incarnate Word,258,847.0,540.0,MISSING,MISSING,MISSING,180.0
Chase Roberts,WR,BYU,258,802.0,403.0,MISSING,MISSING,MISSING,280.0
Emmanuel Henderson,WR,Kansas,199,766.0,345.0,2003-03-21,22,FALSE,190.0
Zavion Thomas,WR,LSU,89,488.0,443.0,2004-09-14,20,FALSE,192.0
Trebor Pena,WR,Penn State,258,552.0,339.0,2002-02-21,23,FALSE,186.0
Hykeem Williams,WR,Colorado,258,81.0,356.0,2003-11-18,21,FALSE,220.0
Jaquaize Pettaway,WR,East Carolina,258,32.0,440.0,MISSING,20,TRUE,194.0
Shelton Sampson Jr.,WR,Louisiana-Lafayette,258,537.0,342.0,2005-04-18,20,FALSE,195.0
Raymond Cottrell,WR,West Alabama,258,,408.0,MISSING,20,TRUE,210.0
Nathan Leacock,WR,North Carolina,258,48.0,355.0,2004-11-22,21,FALSE,217.0
Anthony Evans III,WR,Mississippi State,258,831.0,390.0,2005-06-20,20,FALSE,180.0
Jalen Brown,WR,Arkansas,258,167.0,381.0,MISSING,20,TRUE,202.0
Brandon Inniss,WR,Ohio State,258,271.0,408.0,2004-10-07,20,FALSE,199.0
Ryan Niblett,WR,Texas,258,60.0,420.0,2004-11-17,20,FALSE,187.0
Cordale Russell,WR,Miami (OH),258,,356.0,MISSING,20,TRUE,210.0
Ayden Williams,WR,Mississippi State,258,252.0,390.0,MISSING,20,TRUE,205.0
Braylon James,WR,TCU,258,6.0,443.0,MISSING,20,TRUE,190.0
London Humphreys,WR,Georgia,258,276.0,417.0,2005-05-13,20,FALSE,200.0
Tyler Brown,WR,Clemson,258,191.0,474.0,2005-06-14,20,FALSE,
Mikey Matthews,WR,UCLA,258,348.0,361.0,MISSING,20,TRUE,180.0
Antonio Gates Jr.,WR,Delaware State,258,49.0,338.0,2003-10-06,21,FALSE,193.0
C.J. Williams,WR,Stanford,203,757.0,391.0,MISSING,MISSING,MISSING,159.0
Andre Greene Jr.,WR,Virginia,258,7.0,492.0,MISSING,MISSING,MISSING,202.0
Kobe Prentice,WR,Baylor,258,380.0,510.0,2004-03-10,21,FALSE,190.0
Kyion Grayes,WR,California,258,10.0,505.0,MISSING,MISSING,MISSING,190.0
Braylin Presley,WR,Tulsa,258,115.0,409.0,2003-10-24,21,FALSE,170.0
Talyn Shettron,WR,Oklahoma State,258,167.0,426.0,MISSING,MISSING,MISSING,195.0
Tobias Merriweather,WR,Utah,258,130.0,373.0,MISSING,MISSING,MISSING,195.0
Kaleb Brown,WR,UAB,258,255.0,438.0,2003-10-07,21,FALSE,200.0
Jayden McGowan,WR,Charlotte,258,7.0,379.0,MISSING,MISSING,MISSING,180.0
Squirrel White,WR,Florida State,258,52.0,339.0,2004-05-05,21,FALSE,170.0
Jaron Glover,WR,Mississippi State,258,192.0,338.0,MISSING,MISSING,MISSING,205.0
Justus Ross-Simmons,WR,Syracuse,258,312.0,408.0,MISSING,MISSING,MISSING,210.0
Jayden Ballard,WR,Wisconsin,258,150.0,272.0,MISSING,22,TRUE,205.0
Christian Leary,WR,Western Michigan,258,115.0,305.0,MISSING,22,TRUE,180.0
JoJo Earle,WR,UNLV,258,258.0,424.0,2003-04-05,22,FALSE,185.0
Dacari Collins,WR,Louisville,258,219.0,418.0,2002-11-04,22,FALSE,215.0
