player_name,position,school,projected_pick,rec_yards,team_pass_attempts,birthdate,age,weight
Carnell Tate,WR,Ohio State,4,733,455,2005-01-19,19,195
Jordyn Tyson,WR,Arizona State,7,1101,382,2004-08-12,20,200
Makai Lemon,WR,USC,16,764,533,2004-06-02,20,195
Denzel Boston,WR,Washington,24,834,417,2003-12-06,20,209
Kevin Concepcion,WR,NC State,27,459,391,2004-09-24,19,190
Chris Bell,WR,Kansas,43,,306,MISSING,MISSING,176
Elijah Sarratt,WR,Indiana,44,957,361,2003-05-28,21,209
Zachariah Branch,WR,Georgia,47,,513,2004-03-29,20,180
Germie Bernard,WR,Alabama,52,794,354,2003-12-02,20,204
Chris Brazzell,WR,Tennessee,53,,373,1976-05-22,48,200
Ja'Kobi Lane,WR,USC,65,525,533,2004-08-05,20,200
Omar Cooper Jr.,WR,Indiana,76,594,361,MISSING,MISSING,201
Antonio Williams,WR,Georgia Southern,85,,445,MISSING,MISSING,210
Skyler Bell,WR,UConn,88,860,396,2002-07-05,22,185
Malachi Fields,WR,Notre Dame,89,,445,MISSING,MISSING,223
C.J. Daniels,WR,Liberty,112,,289,MISSING,MISSING,205
Brenen Thompson,WR,Mississippi State,113,,367,2003-07-25,21,170
Deion Burks,WR,Oklahoma,121,245,373,2003-01-08,21,188
Ted Hurst,WR,Georgia State,132,961,449,MISSING,MISSING,185
Bryce Lance,WR,North Dakota State,150,1054,,2001-09-20,22,209
Kevin Coleman Jr.,WR,Jackson State,162,,,2003-09-10,20,180
Eric McAlister,WR,Boise State,171,,415,MISSING,MISSING,205
Eric Rivers,WR,Kansas,178,,306,MISSING,MISSING,170
Lewis Bond,WR,Boston College,185,689,330,MISSING,MISSING,190
De'Zhaun Stribling,WR,Oklahoma State,186,892,450,2002-12-18,21,200
Keelan Marion,WR,BYU,193,346,378,MISSING,MISSING,195
Josh Cameron,WR,Baylor,194,754,413,1986-10-17,37,224
Noah Thomas,WR,Georgia,196,,513,MISSING,MISSING,205
Aaron Anderson,WR,Alabama,199,,354,MISSING,MISSING,188
Dane Key,WR,Kentucky,202,715,312,2003-07-01,21,210
Jordan Hudson,WR,SMU,211,422,437,MISSING,MISSING,200
Caleb Douglas,WR,Florida,212,,339,2003-09-09,20,210
Reggie Virgil,WR,,216,,,2004-05-14,20,
Vinny Anthony II,WR,,224,,,MISSING,MISSING,
Caullin Lacy,WR,Louisville,231,196,427,2001-12-22,22,190
Kendrick Law,WR,Alabama,250,105,354,2003-06-13,21,205
Colbie Young,WR,Georgia,250,149,513,2002-07-24,22,215
Kaden Wetjen,WR,Iowa,250,46,260,2002-03-09,22,196
Chris Hilton,WR,LSU,250,,533,MISSING,MISSING,190
Malik Benson,WR,Alabama,250,,354,2002-10-17,21,195
Jeff Caldwell,WR,Cincinnati,250,,395,1996-02-20,28,215
Hank Beatty,WR,Illinois,250,294,353,2003-09-20,20,185
Eli Heidenreich,WR,Navy,250,671,179,MISSING,MISSING,206
Harrison Wallace III,WR,Ole Miss,250,,434,MISSING,MISSING,195
Jaden Greathouse,WR,Notre Dame,250,592,445,2004-10-29,19,212
J.Michael Sturdivant,WR,California,250,,464,MISSING,MISSING,213
Dillon Bell,WR,Georgia,250,466,513,1822-10-08,201,210
Barion Brown,WR,Kentucky,250,361,312,2003-12-12,20,185
Jordan Dwyer,WR,Idaho,250,1192,,MISSING,MISSING,195
Griffin Wilde,WR,Northwestern,250,,392,MISSING,MISSING,200
Jalil Farooq,WR,Maryland,250,,493,2001-09-13,22,213
Amare Thomas,WR,Houston,250,,280,2005-11-18,18,205
Romello Brinson,WR,Miami,250,,489,MISSING,MISSING,190
Jalen Walthall,WR,Hawai'i,250,,481,MISSING,MISSING,180
Chase Roberts,WR,Georgia Tech,250,,410,MISSING,MISSING,280
Emmanuel Henderson,WR,Alabama,250,,354,MISSING,MISSING,190
Zavion Thomas,WR,LSU,250,218,533,2004-09-14,19,192
Trebor Pena,WR,Penn State,250,,437,MISSING,MISSING,186
Hykeem Williams,WR,Colorado,250,,481,2003-11-18,20,220
Jaquaize Pettaway,WR,East Carolina,250,,428,MISSING,MISSING,194
