player_name,position,school,projected_pick,rec_yards,team_pass_attempts,age,weight
Carnell Tate,WR,Ohio State,4,733,455,19,195
Jordyn Tyson,WR,Arizona State,7,1101,382,20,200
Makai Lemon,WR,USC,16,764,533,19,195
Denzel Boston,WR,Washington,24,834,417,20,209
Kevin Concepcion,WR,NC State,27,459,391,,190
Chris Bell,WR,Kansas,43,,306,20,176
Elijah Sarratt,WR,Indiana,44,957,361,,209
Zachariah Branch,WR,Georgia,47,,513,19,180
Germie Bernard,WR,Alabama,52,794,354,20,204
Chris Brazzell,WR,Tennessee,53,,373,20,200
Ja'Kobi Lane,WR,USC,65,525,533,19,200
Omar Cooper Jr.,WR,Indiana,76,594,361,20,201
Antonio Williams,WR,Georgia Southern,85,,445,20,210
Skyler Bell,WR,UConn,88,860,396,21,185
Malachi Fields,WR,Notre Dame,89,,445,21,223
C.J. Daniels,WR,Liberty,112,,289,,205
Brenen Thompson,WR,Mississippi State,113,,367,20,170
Deion Burks,WR,Oklahoma,121,245,373,21,188
Ted Hurst,WR,Georgia State,132,961,449,,185
Bryce Lance,WR,North Dakota State,150,1054,,,209
Kevin Coleman Jr.,WR,Jackson State,162,,,20,180
Eric McAlister,WR,Boise State,171,,415,21,205
Eric Rivers,WR,Kansas,178,,306,21,170
Lewis Bond,WR,Boston College,185,689,330,21,190
De'Zhaun Stribling,WR,Oklahoma State,186,892,450,21,200
Keelan Marion,WR,BYU,193,346,378,,195
Josh Cameron,WR,Baylor,194,754,413,,224
Noah Thomas,WR,Georgia,196,,513,20,205
Aaron Anderson,WR,Alabama,199,,354,20,188
Dane Key,WR,Kentucky,202,715,312,20,210
Jordan Hudson,WR,SMU,211,422,437,20,200
Caleb Douglas,WR,Florida,212,,339,20,210
Reggie Virgil,WR,,216,,,,
Vinny Anthony II,WR,,224,,,,
Caullin Lacy,WR,Louisville,231,196,427,22,190
Kendrick Law,WR,Alabama,250,105,354,20,205
Colbie Young,WR,Georgia,250,149,513,,215
Kaden Wetjen,WR,Iowa,250,46,260,,196
Chris Hilton,WR,LSU,250,,533,21,190
Malik Benson,WR,Alabama,250,,354,,195
Jeff Caldwell,WR,Cincinnati,250,,395,,215
Hank Beatty,WR,Illinois,250,294,353,20,185
Eli Heidenreich,WR,Navy,250,671,179,,206
Harrison Wallace III,WR,Ole Miss,250,,434,21,195
Jaden Greathouse,WR,Notre Dame,250,592,445,19,212
J.Michael Sturdivant,WR,California,250,,464,21,213
Dillon Bell,WR,Georgia,250,466,513,20,210
Barion Brown,WR,Kentucky,250,361,312,20,185
Jordan Dwyer,WR,Idaho,250,1192,,,195
Griffin Wilde,WR,Northwestern,250,,392,,200
Jalil Farooq,WR,Maryland,250,,493,21,213
Amare Thomas,WR,Houston,250,,280,19,205
Romello Brinson,WR,Miami,250,,489,21,190
Jalen Walthall,WR,Hawai'i,250,,481,,180
Chase Roberts,WR,Georgia Tech,250,,410,,280
Emmanuel Henderson,WR,Alabama,250,,354,20,190
Zavion Thomas,WR,LSU,250,218,533,20,192
Trebor Pena,WR,Penn State,250,,437,22,186
Hykeem Williams,WR,Colorado,250,,481,19,220
Jaquaize Pettaway,WR,East Carolina,250,,428,19,194
Shelton Sampson Jr.,WR,Louisiana,250,,411,19,195
Raymond Cottrell,WR,Texas A&M,250,,361,19,210
Nathan Leacock,WR,North Carolina,250,,391,19,217
Anthony Evans III,WR,Georgia,250,88,513,19,180
Jalen Brown,WR,Notre Dame,250,,445,19,202
Brandon Inniss,WR,Ohio State,250,176,455,19,199
Ryan Niblett,WR,Texas,250,24,541,19,187
Cordale Russell,WR,Colorado,250,,481,19,210
Ayden Williams,WR,Mississippi State,250,,367,19,205
Braylon James,WR,Notre Dame,250,,445,19,190
London Humphreys,WR,Georgia,250,244,513,19,200
Tyler Brown,WR,Iowa State,250,,472,19,
Mikey Matthews,WR,California,250,292,464,19,180
Antonio Gates Jr.,WR,Michigan State,250,49,354,20,193
C.J. Williams,WR,Alabama,250,,354,20,159
Andre Greene Jr.,WR,North Carolina,250,,391,20,202
Kobe Prentice,WR,Alabama,250,129,354,20,190
Kyion Grayes,WR,California,250,22,464,20,190
Braylin Presley,WR,Oklahoma State,250,,450,20,170
Talyn Shettron,WR,Oklahoma State,250,245,450,20,195
Tobias Merriweather,WR,California,250,125,464,20,195
Kaleb Brown,WR,Iowa,250,18,260,20,200
Jayden McGowan,WR,Boston College,250,,330,20,180
Squirrel White,WR,Florida State,250,,355,,170
Jaron Glover,WR,Michigan State,250,192,354,20,205
Justus Ross-Simmons,WR,Colorado State,250,,388,20,210
Jayden Ballard,WR,Ohio State,250,18,455,21,205
Christian Leary,WR,Alabama,250,,354,21,180
JoJo Earle,WR,Alabama,250,,354,21,185
Dacari Collins,WR,Clemson,250,,529,21,215
Cody Jackson,WR,Army,250,,122,21,200
Kyron Ware-Hudson,WR,Penn State,250,,437,,215
Malik McClain,WR,USC,250,,533,21,245
