player_name,draft_year,round,pick,RAS,method,source
DeAndre Smelter,2015,4,132,3.984833334553294,Combine HaSS,apply_data_fixes.py (previous step)
JJ Nelson,2015,5,159,7.92,RAS file name match,apply_data_fixes.py (previous step)
Darren Waller,2015,6,204,5.236019038420589,RAS file name match,apply_data_fixes.py (previous step)
Da'Ron Brown,2015,7,233,8.12,RAS file name match,apply_data_fixes.py (previous step)
Corey Davis,2017,1,5,3.7740766830734365,Pro day HaSS (40=4.48),User-provided 40 + combine ht/wt
JuJu Smith-Schuster,2017,2,62,7.33,RAS file name match,apply_data_fixes.py (previous step)
ArDarius Stewart,2017,3,79,5.89,RAS file name match,apply_data_fixes.py (previous step)
Mack Hollins,2017,4,118,3.951656238011448,Combine HaSS,apply_data_fixes.py (previous step)
Isaiah McKenzie,2017,5,172,6.36,RAS file name match,apply_data_fixes.py (previous step)
Dante Pettis,2018,2,44,8.172682926829268,Round 2 average imputation,Mean of 41 Rd2 WRs with real RAS
DJ Chark,2018,2,61,9.94,RAS file name match,apply_data_fixes.py (previous step)
Tremon Smith,2018,6,196,7.305,Round 6 average imputation,Mean of 50 Rd6 WRs with real RAS
Cedrick Wilson Jr.,2018,6,208,2.879192901894676,Combine HaSS,apply_data_fixes.py (previous step)
Marquise Brown,2019,1,25,2.618098585275614,Pro day HaSS (40=4.33),User-provided 40 + combine ht/wt
JJ Arcega-Whiteside,2019,2,57,6.14,RAS file name match,apply_data_fixes.py (previous step)
D.K. Metcalf,2019,2,64,9.66,RAS file name match,apply_data_fixes.py (previous step)
Gary Jennings Jr,2019,4,120,9.04,RAS file name match,apply_data_fixes.py (previous step)
Olabisi Johnson,2019,7,247,8.16,RAS file name match,apply_data_fixes.py (previous step)
KJ Hamler,2020,2,46,8.172682926829268,Round 2 average imputation,Mean of 41 Rd2 WRs with real RAS
Van Jefferson,2020,2,57,8.172682926829268,Round 2 average imputation,Mean of 41 Rd2 WRs with real RAS
Lynn Bowden Jr.,2020,3,80,7.9935,Round 3 average imputation,Mean of 40 Rd3 WRs with real RAS
Bryan Edwards,2020,3,81,7.9935,Round 3 average imputation,Mean of 40 Rd3 WRs with real RAS
Tyler Johnson,2020,5,161,6.9192307692307695,Round 5 average imputation,Mean of 39 Rd5 WRs with real RAS
Collin Johnson,2020,5,165,6.9192307692307695,Round 5 average imputation,Mean of 39 Rd5 WRs with real RAS
Jaylen Waddle,2021,1,6,3.0472378275147367,Pro day HaSS (40=4.37),User-provided 40 + Alabama records — not in combine.parquet
DeVonta Smith,2021,1,10,2.6858727574432057,Pro day HaSS (40=4.39),User-provided 40 + Alabama records — not in combine.parquet
Terrace Marshall Jr.,2021,2,59,9.76,RAS file name match,apply_data_fixes.py (previous step)
Dez Fitzpatrick,2021,4,109,8.81,RAS file name match,apply_data_fixes.py (previous step)
Mike Strachan,2021,7,229,9.22,RAS file name match,apply_data_fixes.py (previous step)
Ben Skowronek,2021,7,249,6.398571428571429,Round 7 average imputation,Mean of 42 Rd7 WRs with real RAS
Drake London,2022,1,8,3.5756106514109662,Pro day HaSS (40=4.58),User-provided 40 + combine ht/wt
Jameson Williams,2022,1,12,2.7811700881411583,Pro day HaSS (40=4.46),User-provided 40 + combine ht/wt
John Metchie,2022,2,44,8.172682926829268,Round 2 average imputation,Mean of 41 Rd2 WRs with real RAS
Romeo Doubs,2022,4,132,6.903333333333333,Round 4 average imputation,Mean of 36 Rd4 WRs with real RAS
Michael Woods II,2022,6,202,7.62,RAS file name match,apply_data_fixes.py (previous step)
Marvin Mims,2023,2,63,9.41,RAS file name match,apply_data_fixes.py (previous step)
Tank Dell,2023,3,69,5.82,RAS file name match,apply_data_fixes.py (previous step)
Charlie Jones,2023,4,131,2.5591365160347985,Combine HaSS,apply_data_fixes.py (previous step)
Parker Washington,2023,6,185,7.305,Round 6 average imputation,Mean of 50 Rd6 WRs with real RAS
DeMario Douglas,2023,6,210,7.34,RAS file name match,apply_data_fixes.py (previous step)
Grant Dubose,2023,7,256,8.79,RAS file name match,apply_data_fixes.py (previous step)
Marvin Harrison Jr.,2024,1,4,4.919900872637028,Pro day HaSS (40=4.33),User-provided 40 + Ohio State records — not in combine.parquet
Brian Thomas,2024,1,23,9.84,RAS file name match,apply_data_fixes.py (previous step)
Jordan Whittington,2024,6,213,7.305,Round 6 average imputation,Mean of 50 Rd6 WRs with real RAS
Travis Hunter,2025,1,2,3.384199227022351,Pro day HaSS (40=4.38),User-provided 40 + combine ht/wt (listed as CB/WR)
Tetairoa McMillan,2025,1,8,4.014637370168539,Pro day HaSS (40=4.51),User-provided 40 + combine ht/wt
Matthew Golden,2025,1,23,3.979377891774859,Combine HaSS,apply_data_fixes.py (previous step)
Luther Burden III,2025,2,39,3.829110600463389,Combine HaSS,apply_data_fixes.py (previous step)
Kyle Williams,2025,3,69,6.34,RAS file name match,apply_data_fixes.py (previous step)
Isaac TeSlaa,2025,3,70,9.93,RAS file name match,apply_data_fixes.py (previous step)
Pat Bryant,2025,3,74,7.08,RAS file name match,apply_data_fixes.py (previous step)
Chimere Dike,2025,4,103,9.72,RAS file name match,apply_data_fixes.py (previous step)
Tez Johnson,2025,7,235,7.3,RAS file name match,apply_data_fixes.py (previous step)
