player_name,school,bdr
Eli Heidenreich,Navy,
Jeremiyah Love,Notre Dame,59.968209621749004
Jonah Coleman,Washington,72.88979035503343
Jadarian Price,Notre Dame,30.57204614657256
Emmett Johnson,Nebraska,76.28178903728757
Nick Singleton,Penn State,
Kaytron Allen,Penn State,35.23404877034388
Demond Claiborne,Wake Forest,45.9591679183694
Mike Washington Jr.,Arkansas,
Adam Randall,Clemson,82.24958494163216
Noah Whittington,Oregon,30.006941111435804
Roman Hemby,Indiana,47.199730353013784
C.J. Donaldson,Ohio State,34.83670497248506
J'Mari Taylor,Virginia,60.730499274234184
Jamarion Miller,Alabama,19.74063092979127
Robert Henry Jr.,UTSA,47.612901662251126
Kentrel Bullock,South Alabama,63.85984209257474
Chip Trayanum,Toledo,
Seth McGowan,Kentucky,43.7448815243503
Le'Veon Moss,Texas A&M,14.103921776271664
Dean Connors,Houston,75.1667823967407
Rahsul Faison,South Carolina,43.82840190553488
Desmond Reid,Pittsburgh,46.63482942846013
Kaelon Black,Indiana,31.07834782724201
Jaydn Ott,Oklahoma,
Terion Stewart,Virginia Tech,9.814550502483087
Jamal Haynes,Georgia Tech,45.879873701655875
Rueben Owens,Texas A&M,28.171992481203006
Kedrick Reescano,Arizona,21.796008489661784
Djay Braswell,Georgia State,3.227486216050643
Quinten Joyner,Texas Tech,
Samuel Singleton Jr.,Florida State,12.311129406408108
Sedrick Alexander,Vanderbilt,60.71136790804423
Kaden Feagin,Illinois,61.758049557450754
TreVonte Citizen,McNeese State,22.804113317329662
Branson Robinson,Georgia State,9.460894425158259
Jaylon Glover,UNLV,9.303710556016446
Savion Red,Sacramento State,0.35829151207280135
Andrew Paul,Jacksonville State,9.67648794965895
Richard Reese,Stephen F. Austin,42.60697821764873
Armoni Goodwin,UT Martin,1.387225584901849
L.J. Johnson Jr.,California,6.796604613338209
Trevion Cooley,Troy,
Derrick Davis Jr.,Pittsburgh,
Kadarius Calloway,New Mexico State,46.510059415027015
Byron Cardwell,San Diego State,34.596435681561964
Barika Kpeenu,North Dakota State,62.0248963998964
Alton McCaskill IV,Sam Houston State,26.690271209150033
Logan Diggs,Mississippi,15.857089770133248
E.J. Smith,Texas A&M,9.962516326026332
Roydell Williams,Florida State,1.7444751037860144
Dominic Richardson,Tulsa,35.64697515601014
Jalen Berger,UCLA,34.35552126757259
Cam Porter,Northwestern,6.554488797556191
Kejon Owens,Florida International,
Curtis Allen,Virginia Union,
TJ Harden,SMU,34.77080014991099
