player_name,draft_year,dataset,peak_dominator,peak_dominator_season,peak_dominator_team,rec_yds_in_peak,rec_tds_in_peak,team_rec_yds_in_peak,team_rec_tds_in_peak,n_seasons_found
Todd Gurley,2015,backtest,,,,,,,,0
Melvin Gordon,2015,backtest,10.9,2014.0,Wisconsin,124.0,2.0,1961.0,13.0,1
T.J. Yeldon,2015,backtest,2.2,2014.0,Alabama,158.0,0.0,3638.0,30.0,1
Ameer Abdullah,2015,backtest,11.5,2014.0,Nebraska,208.0,3.0,2376.0,21.0,1
Tevin Coleman,2015,backtest,4.9,2014.0,Indiana,143.0,0.0,1471.0,7.0,1
Duke Johnson,2015,backtest,,,,,,,,0
David Johnson,2015,backtest,33.9,2014.0,Northern Iowa,276.0,1.0,645.0,4.0,1
Matt Jones,2015,backtest,5.0,2014.0,Florida,65.0,1.0,1998.0,15.0,1
Jeremy Langford,2015,backtest,0.9,2014.0,Michigan State,51.0,0.0,2992.0,22.0,1
Javorius Allen,2015,backtest,9.5,2014.0,USC,442.0,1.0,2824.0,30.0,1
Mike Davis,2015,backtest,6.9,2014.0,South Carolina,336.0,1.0,3365.0,26.0,1
David Cobb,2015,backtest,4.8,2014.0,Minnesota,129.0,0.0,1353.0,10.0,1
Jay Ajayi,2015,backtest,12.2,2014.0,Boise State,461.0,3.0,3599.0,26.0,1
Karlos Williams,2015,backtest,3.8,2014.0,Florida State,195.0,0.0,2547.0,21.0,1
Cameron Artis-Payne,2015,backtest,3.1,2014.0,Auburn,129.0,0.0,2070.0,18.0,1
Josh Robinson,2015,backtest,7.9,2014.0,Mississippi State,370.0,1.0,3162.0,25.0,1
Marcus Murphy,2015,backtest,6.1,2014.0,Missouri,198.0,1.0,2548.0,23.0,1
Kenny Hilliard,2015,backtest,0.9,2014.0,LSU,35.0,0.0,1966.0,12.0,1
Ezekiel Elliott,2016,backtest,3.9,2015.0,Ohio State,176.0,0.0,2240.0,18.0,2
Derrick Henry,2016,backtest,4.4,2014.0,Alabama,79.0,2.0,3638.0,30.0,2
Kenyan Drake,2016,backtest,7.3,2015.0,Alabama,250.0,1.0,2757.0,18.0,2
C.J. Prosise,2016,backtest,11.2,2014.0,Notre Dame,404.0,1.0,2492.0,16.0,2
Tyler Ervin,2016,backtest,11.2,2015.0,San José State,337.0,2.0,2727.0,20.0,2
Kenneth Dixon,2016,backtest,13.4,2014.0,Louisiana Tech,274.0,5.0,3058.0,28.0,2
Devontae Booker,2016,backtest,6.9,2015.0,Utah,311.0,0.0,2262.0,15.0,2
DeAndre Washington,2016,backtest,5.2,2015.0,Texas Tech,287.0,1.0,4090.0,30.0,2
Paul Perkins,2016,backtest,6.6,2014.0,UCLA,186.0,1.0,2444.0,18.0,2
Jordan Howard,2016,backtest,5.2,2014.0,UAB,51.0,1.0,1919.0,13.0,2
Wendell Smallwood,2016,backtest,4.3,2014.0,West Virginia,321.0,0.0,3756.0,23.0,2
Jonathan Williams,2016,backtest,3.8,2014.0,Arkansas,42.0,1.0,2078.0,18.0,1
Alex Collins,2016,backtest,1.0,2015.0,Arkansas,64.0,0.0,3116.0,30.0,2
Keenan Reynolds,2016,backtest,14.5,2014.0,Navy,38.0,2.0,942.0,8.0,2
Kelvin Taylor,2016,backtest,2.9,2015.0,Florida,157.0,0.0,2683.0,18.0,1
Darius Jackson,2016,backtest,11.3,2014.0,Eastern Michigan,126.0,2.0,1736.0,13.0,2
Dwayne Washington,2016,backtest,14.4,2015.0,Washington,310.0,3.0,2790.0,17.0,2
Daniel Lasco,2016,backtest,7.6,2014.0,California,356.0,2.0,3744.0,35.0,2
Keith Marshall,2016,backtest,0.4,2015.0,Georgia,18.0,0.0,2245.0,12.0,1
Zac Brooks,2016,backtest,4.2,2015.0,Clemson,66.0,2.0,3691.0,30.0,1
Leonard Fournette,2017,backtest,5.5,2015.0,LSU,209.0,0.0,1904.0,12.0,3
Christian McCaffrey,2017,backtest,19.0,2016.0,Stanford,311.0,3.0,1873.0,14.0,3
Dalvin Cook,2017,backtest,5.6,2016.0,Florida State,357.0,0.0,3187.0,21.0,3
Joe Mixon,2017,backtest,7.1,2015.0,Oklahoma,325.0,2.0,3684.0,37.0,2
Alvin Kamara,2017,backtest,14.6,2015.0,Tennessee,272.0,3.0,2370.0,17.0,2
Kareem Hunt,2017,backtest,6.2,2016.0,Toledo,356.0,1.0,3582.0,40.0,3
D'Onta Foreman,2017,backtest,1.8,2015.0,Texas,64.0,0.0,1739.0,9.0,3
James Conner,2017,backtest,13.4,2016.0,Pittsburgh,299.0,4.0,2613.0,26.0,3
Samaje Perine,2017,backtest,2.6,2016.0,Oklahoma,106.0,1.0,3822.0,41.0,3
Tarik Cohen,2017,backtest,7.8,2015.0,North Carolina A&T,20.0,0.0,128.0,1.0,1
Joe Williams,2017,backtest,1.4,2015.0,Utah,62.0,0.0,2262.0,15.0,2
Donnel Pumphrey,2017,backtest,20.6,2015.0,San Diego State,395.0,3.0,1859.0,15.0,3
Jamaal Williams,2017,backtest,1.6,2016.0,BYU,70.0,0.0,2211.0,13.0,2
Wayne Gallman,2017,backtest,4.4,2014.0,Clemson,114.0,1.0,3077.0,20.0,3
Marlon Mack,2017,backtest,4.7,2015.0,South Florida,111.0,1.0,2158.0,24.0,3
Brian Hill,2017,backtest,4.7,2014.0,Wyoming,199.0,0.0,2131.0,12.0,3
Jeremy McNichols,2017,backtest,17.0,2015.0,Boise State,364.0,5.0,3568.0,21.0,3
T.J. Logan,2017,backtest,8.8,2016.0,North Carolina,241.0,3.0,3534.0,28.0,3
Aaron Jones,2017,backtest,14.7,2014.0,UTEP,212.0,2.0,1667.0,12.0,3
Elijah McGuire,2017,backtest,13.5,2015.0,Louisiana,284.0,2.0,2431.0,13.0,3
De'Angelo Henderson,2017,backtest,,,,,,,,0
Brandon Wilson,2017,backtest,0.3,2015.0,Houston,18.0,0.0,3160.0,18.0,1
Devante Mays,2017,backtest,0.2,2016.0,Utah State,8.0,0.0,1749.0,7.0,2
Khalfani Muhammad,2017,backtest,1.8,2016.0,California,132.0,0.0,3753.0,32.0,3
Elijah Hood,2017,backtest,2.1,2016.0,North Carolina,146.0,0.0,3534.0,28.0,2
Chris Carson,2017,backtest,3.6,2016.0,Oklahoma State,128.0,1.0,3856.0,26.0,2
Matthew Dayes,2017,backtest,4.6,2015.0,NC State,172.0,0.0,1882.0,14.0,2
Saquon Barkley,2018,backtest,11.1,2016.0,Penn State,347.0,3.0,3396.0,25.0,3
Rashaad Penny,2018,backtest,15.7,2016.0,San Diego State,220.0,3.0,1604.0,17.0,3
Sony Michel,2018,backtest,9.7,2015.0,Georgia,248.0,1.0,2245.0,12.0,4
Nick Chubb,2018,backtest,8.9,2014.0,Georgia,213.0,2.0,2342.0,23.0,4
Ronald Jones II,2018,backtest,2.1,2015.0,USC,27.0,1.0,3515.0,29.0,4
Kerryon Johnson,2018,backtest,5.0,2017.0,Auburn,133.0,1.0,2957.0,18.0,3
Derrius Guice,2018,backtest,2.3,2016.0,LSU,95.0,0.0,2039.0,10.0,3
Royce Freeman,2018,backtest,9.7,2015.0,Oregon,325.0,2.0,2670.0,28.0,4
Nyheim Hines,2018,backtest,10.4,2015.0,NC State,256.0,1.0,1882.0,14.0,3
Mark Walton,2018,backtest,6.4,2015.0,Miami,236.0,1.0,3395.0,17.0,3
Ito Smith,2018,backtest,11.7,2015.0,Southern Miss,493.0,3.0,3518.0,32.0,4
Kalen Ballage,2018,backtest,10.5,2016.0,Arizona State,459.0,1.0,3101.0,16.0,4
Chase Edmonds,2018,backtest,21.7,2015.0,Fordham,140.0,0.0,322.0,0.0,4
Jordan Wilkins,2018,backtest,4.8,2017.0,Ole Miss,231.0,1.0,3867.0,28.0,3
John Kelly,2018,backtest,6.3,2017.0,Tennessee,255.0,0.0,2015.0,11.0,2
Boston Scott,2018,backtest,6.8,2017.0,Louisiana Tech,181.0,1.0,2769.0,14.0,3
Trenton Cannon,2018,backtest,,,,,,,,0
David Williams,2018,backtest,9.0,2017.0,Arkansas,171.0,2.0,2514.0,18.0,4
Bo Scarbrough,2018,backtest,1.9,2017.0,Alabama,92.0,0.0,2410.0,23.0,2
Nick Bawden,2018,backtest,6.5,2017.0,San Diego State,101.0,1.0,1934.0,13.0,2
Justin Jackson,2018,backtest,11.9,2014.0,Northwestern,201.0,1.0,2135.0,7.0,4
Josh Jacobs,2019,backtest,5.5,2017.0,Alabama,158.0,1.0,2410.0,23.0,2
Miles Sanders,2019,backtest,2.6,2018.0,Penn State,132.0,0.0,2561.0,19.0,3
Darrell Henderson,2019,backtest,11.0,2018.0,Memphis,295.0,3.0,2922.0,25.0,3
David Montgomery,2019,backtest,4.5,2017.0,Iowa State,289.0,0.0,3188.0,25.0,3
Devin Singletary,2019,backtest,6.3,2017.0,Florida Atlantic,185.0,1.0,2617.0,18.0,3
Damien Harris,2019,backtest,2.2,2018.0,Alabama,162.0,0.0,3600.0,36.0,4
Alexander Mattison,2019,backtest,6.1,2017.0,Boise State,268.0,1.0,3306.0,24.0,3
Bryce Love,2019,backtest,6.3,2015.0,Stanford,240.0,1.0,2712.0,27.0,4
Justice Hill,2019,backtest,3.6,2017.0,Oklahoma State,191.0,1.0,4628.0,33.0,3
Benny Snell Jr.,2019,backtest,2.8,2018.0,Kentucky,100.0,0.0,1783.0,12.0,3
Tony Pollard,2019,backtest,13.8,2018.0,Memphis,458.0,3.0,2922.0,25.0,3
Ryquell Armstead,2019,backtest,1.1,2017.0,Temple,64.0,0.0,3028.0,20.0,4
Qadree Ollison,2019,backtest,7.8,2017.0,Pittsburgh,189.0,1.0,2596.0,12.0,4
Jordan Scarlett,2019,backtest,1.6,2018.0,Florida,84.0,0.0,2660.0,27.0,3
Trayveon Williams,2019,backtest,4.2,2018.0,Texas A&M,265.0,0.0,3120.0,23.0,3
Ty Johnson,2019,backtest,8.6,2016.0,Maryland,191.0,1.0,2024.0,13.0,4
Dexter Williams,2019,backtest,3.1,2017.0,Notre Dame,13.0,1.0,2111.0,18.0,3
Travis Homer,2019,backtest,5.7,2017.0,Miami,219.0,1.0,2957.0,25.0,2
Rodney Anderson,2019,backtest,8.7,2017.0,Oklahoma,283.0,5.0,4759.0,44.0,1
Darwin Thompson,2019,backtest,8.5,2018.0,Utah State,336.0,2.0,3428.0,28.0,1
Mike Weber,2019,backtest,1.4,2016.0,Ohio State,72.0,0.0,2634.0,26.0,3
Cullen Gillaspia,2019,backtest,0.8,2018.0,Texas A&M,52.0,0.0,3120.0,23.0,1
Kerrith Whyte Jr,2019,backtest,6.1,2018.0,Florida Atlantic,71.0,1.0,2355.0,11.0,3
Chandler Cox,2019,backtest,5.0,2018.0,Auburn,93.0,1.0,2490.0,16.0,4
Myles Gaskin,2019,backtest,12.6,2017.0,Washington,228.0,3.0,2666.0,18.0,4
Clyde Edwards-Helaire,2020,backtest,3.9,2019.0,LSU,386.0,0.0,5011.0,49.0,3
D'Andre Swift,2020,backtest,7.9,2018.0,Georgia,249.0,2.0,2797.0,29.0,3
Jonathan Taylor,2020,backtest,8.2,2019.0,Wisconsin,120.0,2.0,2589.0,17.0,3
Cam Akers,2020,backtest,12.1,2019.0,Florida State,218.0,4.0,3196.0,23.0,3
J.K. Dobbins,2020,backtest,5.1,2019.0,Ohio State,200.0,2.0,3364.0,47.0,3
AJ Dillon,2020,backtest,3.6,2019.0,Boston College,153.0,0.0,2108.0,20.0,2
Antonio Gibson,2020,backtest,20.5,2019.0,Memphis,618.0,8.0,3670.0,33.0,2
Ke'Shawn Vaughn,2020,backtest,11.6,2019.0,Vanderbilt,270.0,1.0,2056.0,10.0,4
Zack Moss,2020,backtest,9.7,2019.0,Utah,258.0,2.0,2932.0,19.0,4
Darrynton Evans,2020,backtest,14.1,2019.0,App State,193.0,5.0,2334.0,25.0,3
Joshua Kelley,2020,backtest,3.4,2018.0,UCLA,183.0,0.0,2676.0,12.0,3
La'Mical Perine,2020,backtest,7.7,2019.0,Florida,218.0,3.0,3595.0,32.0,4
Anthony McFarland Jr.,2020,backtest,8.1,2019.0,Maryland,126.0,1.0,1600.0,12.0,2
DeeJay Dallas,2020,backtest,6.0,2019.0,Miami,140.0,2.0,3077.0,27.0,3
Jason Huntley,2020,backtest,16.9,2018.0,New Mexico State,471.0,3.0,3110.0,16.0,4
