player_name,draft_year,pick,round,college,age,RAS,rec_yards,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,elusive_rating,yards,attempts,yco_attempt,grades_run,grades_offense,team_name
Ezekiel Elliott,2016,4,1,Ohio St.,21.0,8.65,206.0,370.6,1,,MATCHED,2015,rushing_summary (1).csv,61.5,1829.0,291.0,3.54,83.2,88.8,OHIO STATE
Derrick Henry,2016,45,2,Alabama,22.0,8.77,91.0,381.4,1,,MATCHED,2015,rushing_summary (1).csv,71.6,2225.0,396.0,3.38,83.0,82.7,ALABAMA
Kenyan Drake,2016,73,3,Alabama,22.0,6.98,276.0,211.0,1,,MATCHED,2015,rushing_summary (1).csv,100.6,413.0,77.0,2.88,82.4,84.3,ALABAMA
C.J. Prosise,2016,90,3,Notre Dame,22.0,8.07,308.0,61.0,0,,MATCHED,2015,rushing_summary (1).csv,74.7,1023.0,156.0,2.83,83.2,79.3,NOTRE DAME
Tyler Ervin,2016,119,4,San Jose St.,22.0,7.7,,26.1,0,,MATCHED,2015,rushing_summary (1).csv,41.4,1608.0,293.0,2.75,71.1,73.3,S JOSE ST
Kenneth Dixon,2016,134,4,Louisiana Tech,22.0,6.86,467.0,102.4,0,,MATCHED,2015,rushing_summary (1).csv,98.8,1064.0,197.0,3.27,80.8,81.5,LA TECH
Devontae Booker,2016,136,4,Utah,24.0,,318.0,144.10000000000002,0,,MATCHED,2015,rushing_summary (1).csv,71.7,1257.0,267.0,3.07,85.8,85.2,UTAH
DeAndre Washington,2016,143,5,Texas Tech,23.0,7.31,385.0,121.9,0,,MATCHED,2015,rushing_summary (1).csv,86.1,1491.0,230.0,3.48,80.0,77.5,TEXAS TECH
Paul Perkins,2016,149,5,UCLA,21.0,5.39,242.0,85.5,0,,MATCHED,2015,rushing_summary (1).csv,115.6,1333.0,236.0,3.58,89.4,86.7,UCLA
Jordan Howard,2016,150,5,Indiana,21.0,5.41,106.0,230.1,1,,MATCHED,2015,rushing_summary (1).csv,67.7,1213.0,196.0,3.69,85.7,88.0,INDIANA
