player_name,draft_year,pick,round,college,age,best_ppr,best_ppg,best_season,season_rank,hit24,hit12,RAS,rec_yards,receptions,team_pass_att,cfbd_name,name_norm,player,yco_attempt,elusive_rating,grades_run,grades_offense,ypa,dc_score
Ezekiel Elliott,2016,4,1,Ohio St.,21.0,370.6,21.8,2018.0,4.0,1,1,8.65,206.0,27.0,325.0,ezekiel elliott,ezekiel elliott,Ezekiel Elliott,3.54,61.5,83.2,88.8,6.3,96.73123522513825
Derrick Henry,2016,45,2,Alabama,22.0,381.4,22.43529411764706,2024.0,2.0,1,1,8.77,91.0,11.0,446.0,derrick henry,derrick henry,Derrick Henry,3.38,71.6,83.0,82.7,5.6,76.9783930175478
Kenyan Drake,2016,73,3,Alabama,22.0,211.0,12.411764705882351,2019.0,16.0,1,0,6.98,276.0,29.0,446.0,kenyan drake,kenyan drake,Kenyan Drake,2.88,100.6,82.4,84.3,5.4,68.08599462283559
C.J. Prosise,2016,90,3,Notre Dame,22.0,61.0,3.588235294117647,2016.0,67.0,0,0,8.07,308.0,26.0,385.0,c.j. prosise,cj prosise,C.J. Prosise,2.83,74.7,83.2,79.3,6.6,63.33016316021118
Tyler Ervin,2016,119,4,San Jose St.,22.0,26.1,1.535294117647059,2020.0,96.0,0,0,7.7,,,,,tyler ervin,Tyler Ervin,2.75,41.4,71.1,73.3,5.5,55.94308596859041
Kenneth Dixon,2016,134,4,Louisiana Tech,22.0,102.4,6.023529411764706,2016.0,49.0,0,0,6.86,467.0,34.0,479.0,kenneth dixon,kenneth dixon,Kenneth Dixon,3.27,98.8,80.8,81.5,5.4,52.39467932215801
Devontae Booker,2016,136,4,Utah,24.0,144.10000000000002,8.476470588235296,2021.0,33.0,0,0,,318.0,37.0,352.0,devontae booker,devontae booker,Devontae Booker,3.07,71.7,85.8,85.2,4.7,51.93324682456018
DeAndre Washington,2016,143,5,Texas Tech,23.0,121.9,7.170588235294118,2019.0,40.0,0,0,7.31,385.0,41.0,620.0,deandre washington,deandre washington,DeAndre Washington,3.48,86.1,80.0,77.5,6.5,50.33815139213819
Paul Perkins,2016,149,5,UCLA,21.0,85.5,5.029411764705882,2016.0,57.0,0,0,5.39,242.0,30.0,510.0,paul perkins,paul perkins,Paul Perkins,3.58,115.6,89.4,86.7,5.6,48.99440866994782
Jordan Howard,2016,150,5,Indiana,21.0,230.1,13.53529411764706,2016.0,11.0,1,1,5.41,106.0,11.0,461.0,jordan howard,jordan howard,Jordan Howard,2.91,105.8,63.2,68.8,3.7,48.77246656402318
Wendell Smallwood,2016,153,5,West Virginia,22.0,128.3,7.547058823529412,2018.0,40.0,0,0,7.09,160.0,26.0,429.0,wendell smallwood,wendell smallwood,Wendell Smallwood,2.74,50.0,83.1,78.6,6.4,48.10998910400404
Alex Collins,2016,171,5,Arkansas,22.0,171.0,10.058823529411764,2017.0,24.0,1,0,2.96,95.0,13.0,374.0,alex collins,alex collins,Alex Collins,3.01,63.5,78.2,79.4,5.8,44.2340493948423
Keenan Reynolds,2016,182,6,Navy,22.0,0.0,0.0,,,0,0,4.55,47.0,1.0,122.0,keenan reynolds,keenan reynolds,Keenan Reynolds,2.51,26.5,70.3,77.7,5.7,41.94175972374306
Kelvin Taylor,2016,211,6,Florida,22.0,0.0,0.0,,,0,0,2.66,150.0,17.0,405.0,kelvin taylor,kelvin taylor,Kelvin Taylor,2.52,53.8,80.6,77.5,4.0,36.13772172752879
Darius Jackson,2016,216,6,Eastern Michigan,22.0,1.6,0.0941176470588235,2018.0,129.0,0,0,9.85,201.0,21.0,409.0,darius jackson,darius jackson,Darius Jackson,2.41,42.1,66.5,66.7,5.2,35.1685361424386
Dwayne Washington,2016,236,7,Washington,22.0,48.7,2.864705882352941,2016.0,69.0,0,0,9.82,315.0,25.0,396.0,dwayne washington,dwayne washington,Dwayne Washington,2.64,58.6,68.9,63.3,5.8,31.374110141410995
Daniel Lasco,2016,237,7,California,23.0,6.300000000000001,0.3705882352941176,2016.0,123.0,0,0,9.61,24.0,4.0,550.0,daniel lasco,daniel lasco,Daniel Lasco,2.58,41.1,71.0,70.2,4.9,31.187666633411297
Keith Marshall,2016,242,7,Georgia,22.0,0.0,0.0,,,0,0,9.35,28.0,4.0,327.0,keith marshall,keith marshall,Keith Marshall,2.78,46.3,72.1,72.7,5.1,30.25989524574358
