player_name,draft_year,pick,round,college,age,best_ppr,best_ppg,best_season,season_rank,hit24,hit12,RAS,rec_yards,receptions,team_pass_att,cfbd_name,rec_per_pass_att,age_wt,production_raw,production_score
Melvin Gordon,2015,15,1,Wisconsin,22.0,296.4,17.435294117647057,2018.0,6.0,1,1,8.74,153.0,19.0,322.0,melvin gordon,0.4751552795031056,1.0,0.4751552795031056,27.14758947057084
T.J. Yeldon,2015,36,2,Alabama,21.0,173.1,10.18235294117647,2018.0,25.0,0,0,7.05,180.0,15.0,451.0,t.j. yeldon,0.3991130820399113,1.1,0.4390243902439025,24.93844367015099
Ameer Abdullah,2015,54,2,Nebraska,22.0,125.2,7.364705882352942,2024.0,40.0,0,0,8.66,269.0,22.0,359.0,ameer abdullah,0.7493036211699164,1.0,0.7493036211699164,43.909802361055846
Tevin Coleman,2015,73,3,Indiana,22.0,233.9,13.758823529411766,2016.0,10.0,1,1,9.72,141.0,25.0,313.0,tevin coleman,0.4504792332268371,1.0,0.4504792332268371,25.638825498250416
Matt Jones,2015,95,3,Florida,22.0,116.4,6.847058823529412,2015.0,45.0,0,0,5.23,65.0,11.0,324.0,matt jones,0.2006172839506173,1.0,0.2006172839506173,10.361552028218695
Jeremy Langford,2015,106,4,Michigan St.,23.0,147.6,8.68235294117647,2015.0,32.0,0,0,7.52,62.0,11.0,400.0,jeremy langford,0.155,0.9,0.1395,6.624666666666668
Javorius Allen,2015,125,4,USC,24.0,166.1,9.770588235294117,2017.0,26.0,0,0,8.02,458.0,41.0,460.0,javorius allen,0.9956521739130435,0.8,0.7965217391304349,46.7968530020704
Mike Davis,2015,126,4,South Carolina,22.0,206.5,12.147058823529411,2020.0,14.0,1,0,6.09,368.0,32.0,468.0,mike davis,0.7863247863247863,1.0,0.7863247863247863,46.17338217338217
David Cobb,2015,138,5,Minnesota,22.0,21.4,1.258823529411765,2015.0,105.0,0,0,4.55,162.0,16.0,254.0,david cobb,0.6377952755905512,1.0,0.6377952755905512,37.09186351706036
Jay Ajayi,2015,149,5,Boise St.,22.0,222.8,13.105882352941178,2016.0,12.0,1,1,8.63,535.0,50.0,451.0,jay ajayi,1.1862527716186253,1.0,1.1862527716186253,70.62612184563403
Karlos Williams,2015,155,5,Florida St.,22.0,124.3,7.311764705882353,2015.0,39.0,0,0,6.41,265.0,29.0,516.0,karlos williams,0.5135658914728682,1.0,0.5135658914728682,29.496124031007753
Cameron Artis-Payne,2015,174,5,Auburn,25.0,36.9,2.170588235294117,2015.0,84.0,0,0,6.0,147.0,13.0,332.0,cameron artis-payne,0.4427710843373494,0.8,0.35421686746987957,19.7530694205393
Josh Robinson,2015,205,6,Mississippi St.,23.0,11.2,0.6588235294117647,2015.0,117.0,0,0,1.1,370.0,28.0,423.0,josh robinson,0.8747044917257684,0.9,0.7872340425531915,46.2289766970618
Marcus Murphy,2015,230,7,Missouri,23.0,38.6,2.2705882352941176,2018.0,84.0,0,0,0.24,212.0,28.0,415.0,marcus murphy,0.5108433734939759,0.9,0.4597590361445783,26.206219162363737
Kenny Hilliard,2015,235,7,LSU,23.0,0.0,0.0,,,0,0,0.91,35.0,4.0,276.0,kenny hilliard,0.12681159420289856,0.9,0.1141304347826087,5.073498964803313
Ezekiel Elliott,2016,4,1,Ohio St.,21.0,370.6,21.8,2018.0,4.0,1,1,8.65,206.0,27.0,325.0,ezekiel elliott,0.6338461538461538,1.1,0.6972307692307693,40.725919413919414
Derrick Henry,2016,45,2,Alabama,22.0,381.4,22.43529411764706,2024.0,2.0,1,1,8.77,91.0,11.0,446.0,derrick henry,0.2040358744394619,1.0,0.2040358744394619,10.57057441810805
Kenyan Drake,2016,73,3,Alabama,22.0,211.0,12.411764705882351,2019.0,16.0,1,0,6.98,276.0,29.0,446.0,kenyan drake,0.6188340807174888,1.0,0.6188340807174888,35.93252188767884
C.J. Prosise,2016,90,3,Notre Dame,22.0,61.0,3.588235294117647,2016.0,67.0,0,0,8.07,308.0,26.0,385.0,c.j. prosise,0.8,1.0,0.8,47.00952380952381
Kenneth Dixon,2016,134,4,Louisiana Tech,22.0,102.4,6.023529411764706,2016.0,49.0,0,0,6.86,467.0,34.0,479.0,kenneth dixon,0.9749478079331941,1.0,0.9749478079331941,57.706332637439104
Devontae Booker,2016,136,4,Utah,24.0,144.10000000000002,8.476470588235296,2021.0,33.0,0,0,,318.0,37.0,352.0,devontae booker,0.9034090909090909,0.8,0.7227272727272728,42.28484848484849
DeAndre Washington,2016,143,5,Texas Tech,23.0,121.9,7.170588235294118,2019.0,40.0,0,0,7.31,385.0,41.0,620.0,deandre washington,0.6209677419354839,0.9,0.5588709677419355,32.26620583717358
Paul Perkins,2016,149,5,UCLA,21.0,85.5,5.029411764705882,2016.0,57.0,0,0,5.39,242.0,30.0,510.0,paul perkins,0.4745098039215686,1.1,0.5219607843137255,30.009411764705877
Jordan Howard,2016,150,5,Indiana,21.0,230.1,13.53529411764706,2016.0,11.0,1,1,5.41,106.0,11.0,461.0,jordan howard,0.2299349240780911,1.1,0.25292841648590025,13.560004131804568
Wendell Smallwood,2016,153,5,West Virginia,22.0,128.3,7.547058823529412,2018.0,40.0,0,0,7.09,160.0,26.0,429.0,wendell smallwood,0.372960372960373,1.0,0.372960372960373,20.8991008991009
Jonathan Williams,2016,156,5,Arkansas,22.0,40.400000000000006,2.3764705882352946,2019.0,80.0,0,0,6.4,65.0,11.0,359.0,jonathan williams,0.181058495821727,1.0,0.181058495821727,9.165671839766546
Alex Collins,2016,171,5,Arkansas,22.0,171.0,10.058823529411764,2017.0,24.0,1,0,2.96,95.0,13.0,374.0,alex collins,0.2540106951871658,1.0,0.2540106951871658,13.626177743824803
Keenan Reynolds,2016,182,6,Navy,22.0,0.0,0.0,,,0,0,4.55,47.0,1.0,122.0,keenan reynolds,0.38524590163934425,1.0,0.38524590163934425,21.650273224043715
Kelvin Taylor,2016,211,6,Florida,22.0,0.0,0.0,,,0,0,2.66,150.0,17.0,405.0,kelvin taylor,0.37037037037037035,1.0,0.37037037037037035,20.740740740740737
Darius Jackson,2016,216,6,Eastern Michigan,22.0,1.6,0.0941176470588235,2018.0,129.0,0,0,9.85,201.0,21.0,409.0,darius jackson,0.49144254278728605,1.0,0.49144254278728605,28.143439282803584
Dwayne Washington,2016,236,7,Washington,22.0,48.7,2.864705882352941,2016.0,69.0,0,0,9.82,315.0,25.0,396.0,dwayne washington,0.7954545454545454,1.0,0.7954545454545454,46.73160173160173
Daniel Lasco,2016,237,7,California,23.0,6.300000000000001,0.3705882352941176,2016.0,123.0,0,0,9.61,24.0,4.0,550.0,daniel lasco,0.04363636363636364,0.9,0.03927272727272728,0.49648484848484886
Keith Marshall,2016,242,7,Georgia,22.0,0.0,0.0,,,0,0,9.35,28.0,4.0,327.0,keith marshall,0.0856269113149847,1.0,0.0856269113149847,3.3307121013543024
Zac Brooks,2016,247,7,Clemson,23.0,0.0,0.0,,,0,0,7.94,113.0,9.0,528.0,zac brooks,0.21401515151515152,0.9,0.19261363636363638,9.872186147186147
Leonard Fournette,2017,4,1,LSU,22.0,289.8,17.04705882352941,2017.0,5.0,1,1,8.04,146.0,15.0,298.0,leonard fournette,0.4899328859060403,1.0,0.4899328859060403,28.051134547778844
Christian McCaffrey,2017,8,1,Stanford,21.0,480.3,28.25294117647059,2023.0,1.0,1,1,8.52,310.0,37.0,304.0,christian mccaffrey,1.019736842105263,1.1,1.1217105263157894,66.6798245614035
Dalvin Cook,2017,41,2,Florida St.,22.0,337.8,19.87058823529412,2020.0,3.0,1,1,4.65,488.0,33.0,421.0,dalvin cook,1.159144893111639,1.0,1.159144893111639,68.96866870263545
Joe Mixon,2017,48,2,Oklahoma,21.0,348.8,20.51764705882353,2021.0,2.0,1,1,9.46,538.0,37.0,384.0,joe mixon,1.4010416666666667,1.1,1.5411458333333334,92.32529761904762
Alvin Kamara,2017,67,3,Tennessee,22.0,410.9,24.170588235294115,2020.0,1.0,1,1,8.08,392.0,40.0,379.0,alvin kamara,1.0343007915567282,1.0,1.0343007915567282,61.335343636135185
Kareem Hunt,2017,86,3,Toledo,22.0,308.90000000000003,18.17058823529412,2017.0,4.0,1,1,5.15,403.0,41.0,423.0,kareem hunt,0.9527186761229315,1.0,0.9527186761229315,56.34718000675447
D'Onta Foreman,2017,89,3,Texas,21.0,131.0,7.705882352941177,2022.0,38.0,0,0,7.82,75.0,7.0,402.0,d'onta foreman,0.1865671641791045,1.1,0.20522388059701496,10.643212508884153
James Conner,2017,105,3,Pittsburgh,22.0,280.0,16.470588235294116,2018.0,6.0,1,1,4.33,302.0,21.0,324.0,james conner,0.9320987654320988,1.0,0.9320987654320988,55.086419753086425
Samaje Perine,2017,114,4,Oklahoma,21.0,165.4,9.729411764705883,2022.0,31.0,0,0,4.94,106.0,10.0,384.0,samaje perine,0.2760416666666667,1.1,0.3036458333333334,16.661011904761907
Joe Williams,2017,121,4,Utah,24.0,0.0,0.0,,,0,0,7.78,107.0,9.0,399.0,joe williams,0.2681704260651629,0.8,0.21453634085213033,11.212602935911207
Donnel Pumphrey,2017,132,4,San Diego St.,22.0,0.0,0.0,,,0,0,4.01,231.0,27.0,256.0,donnel pumphrey,0.90234375,1.0,0.90234375,53.267113095238095
Jamaal Williams,2017,134,4,BYU,22.0,225.9,13.288235294117648,2022.0,15.0,1,0,4.55,80.0,7.0,412.0,jamaal williams,0.1941747572815534,1.0,0.1941747572815534,9.967637540453074
Wayne Gallman,2017,140,4,Clemson,22.0,136.6,8.035294117647059,2020.0,37.0,0,0,6.28,152.0,20.0,629.0,wayne gallman,0.24165341812400637,1.0,0.24165341812400637,12.87061851767734
Marlon Mack,2017,143,4,South Florida,21.0,206.1,12.123529411764707,2018.0,17.0,1,0,8.78,227.0,28.0,358.0,marlon mack,0.6340782122905028,1.1,0.6974860335195531,40.741527001862195
Brian Hill,2017,156,5,Wyoming,21.0,95.4,5.611764705882353,2020.0,51.0,0,0,7.4,67.0,8.0,379.0,brian hill,0.17678100263852242,1.1,0.19445910290237467,9.985023244126145
Jeremy McNichols,2017,162,5,Boise St.,21.0,73.60000000000001,4.329411764705883,2021.0,58.0,0,0,,474.0,37.0,406.0,jeremy mcnichols,1.167487684729064,1.1,1.2842364532019706,76.61712409101573
T.J. Logan,2017,179,5,North Carolina,23.0,10.9,0.6411764705882353,2018.0,107.0,0,0,7.56,244.0,29.0,458.0,t.j. logan,0.5327510917030568,0.9,0.47947598253275114,27.41176959866916
Aaron Jones,2017,182,5,Texas-El Paso,22.0,359.70000000000005,21.15882352941177,2019.0,2.0,1,1,9.21,233.0,28.0,327.0,aaron jones,0.7125382262996942,1.0,0.7125382262996942,41.66186107470511
Elijah McGuire,2017,188,6,Louisiana,23.0,85.9,5.052941176470589,2018.0,62.0,0,0,,238.0,29.0,342.0,elijah mcguire,0.695906432748538,0.9,0.6263157894736843,36.38997493734336
Brandon Wilson,2017,207,6,Houston,23.0,0.0,0.0,,,0,0,,52.0,5.0,523.0,brandon wilson,0.0994263862332696,0.9,0.08948374760994264,3.5665300919603022
Khalfani Muhammad,2017,241,7,California,22.0,0.0,0.0,,,0,0,7.52,132.0,17.0,621.0,khalfani muhammad,0.21256038647342995,1.0,0.21256038647342995,11.091787439613526
Elijah Hood,2017,242,7,North Carolina,21.0,0.0,0.0,,,0,0,5.69,142.0,25.0,458.0,elijah hood,0.31004366812227074,1.1,0.34104803493449787,18.94788937409025
