player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cale Hellums,170981,QB,ARMY,13,305,40,7,15.4,187,0,1024,0,0,33,532,23.4,25,99,114,6,101,79.5,76.9,88.0,66.7,,51.1,72.7,60.0,50,0,7,0,3,516,194,31,0,274,18,1218,603,1.98,4.0,2.33,110
Kewan Lacy,190221,HB,OLE MISS,14,296,88,22,39.8,581,0,1461,4,9,88,986,99.7,37,95,226,3,143,85.0,86.6,89.0,,60.3,53.4,90.7,58.5,59,0,173,28,281,400,0,0,33,324,23,1461,986,3.33,4.9,0.62,152
Cam Cook,173133,HB,JVILLE ST,13,295,100,24,40.5,669,0,1650,3,12,100,1142,133.4,53,92,196,4,71,72.3,85.7,88.7,,75.9,59.0,89.3,59.8,73,0,291,30,298,471,0,0,41,325,16,1650,1142,3.87,5.6,0.98,222
Ahmad Hardy,190013,HB,MISSOURI,13,257,96,25,47.8,787,0,1648,1,5,96,1186,177.2,43,79,229,3,87,74.0,91.6,51.7,,77.2,48.3,92.2,49.3,72,1,22,6,128,298,0,0,7,263,16,1648,1186,4.61,6.4,0.17,170
Lucky Sutton,158807,HB,S DIEGO ST,13,254,53,8,16.0,207,0,1297,4,1,53,846,69.2,32,73,284,0,101,91.8,86.3,55.3,,79.0,32.7,89.8,55.2,50,1,6,6,143,333,0,0,11,260,10,1297,846,3.33,5.1,0.04,153
Emmett Johnson,156473,HB,NEBRASKA,12,251,68,13,27.8,404,0,1451,1,20,68,741,87.5,36,78,238,1,109,88.6,85.5,61.0,,43.5,69.0,87.8,77.6,70,1,370,46,291,282,0,0,54,297,12,1451,741,2.95,5.8,1.27,139
Anthony Hankerson,157691,HB,OREGON ST,12,246,57,13,28.6,311,0,1087,3,8,57,726,71.6,30,65,265,1,79,88.5,73.2,62.4,,87.1,47.0,76.1,60.2,65,2,123,22,273,294,0,0,33,268,9,1087,726,2.95,4.4,0.45,167
Antwan Raymond,190489,HB,RUTGERS,12,244,76,19,33.4,414,0,1238,1,8,76,884,116.2,36,78,278,2,58,80.4,89.1,86.2,,77.0,69.5,87.9,59.7,51,0,225,18,174,272,0,0,24,262,13,1238,884,3.62,5.1,1.29,186
Sieh Bangura,145886,HB,OHIO,13,241,59,22,38.5,537,0,1393,1,3,59,1010,102.3,37,71,259,2,157,87.8,84.8,60.4,,42.3,55.4,88.7,59.6,49,1,76,13,189,324,0,0,17,254,15,1393,1010,4.19,5.8,0.4,84
LJ Martin,175035,HB,BYU,13,238,55,14,30.2,392,0,1294,1,8,55,893,86.3,36,85,128,1,53,87.9,84.0,88.4,,54.4,69.8,86.0,57.7,49,1,251,36,219,360,0,0,40,274,12,1299,893,3.75,5.5,1.15,181
Kendrick Raphael,170378,HB,CAL,13,231,50,8,18.9,177,0,935,4,12,50,706,71.5,21,55,130,4,64,58.8,73.6,88.6,,53.3,59.1,78.1,40.1,33,0,245,34,328,266,0,0,44,265,13,935,706,3.06,4.0,0.75,165
Caleb Hawkins,199001,HB,N TEXAS,13,231,86,20,35.4,507,0,1431,1,17,86,1049,177.8,43,89,251,2,78,79.9,91.9,86.0,,52.3,69.7,93.2,66.4,51,0,370,32,228,258,0,0,35,263,25,1431,1049,4.54,6.2,1.62,151
Evan Dickens,170066,HB,LIBERTY,11,229,34,17,41.3,552,0,1336,0,0,34,840,53.3,32,67,206,1,132,86.8,83.6,56.1,,47.6,57.9,85.7,50.1,95,1,61,5,137,310,0,0,6,234,16,1336,840,3.67,5.8,0.45,97
J'Mari Taylor,150482,HB,VIRGINIA,13,222,54,11,33.9,361,0,1064,5,16,54,753,89.6,21,61,335,1,48,79.7,75.8,60.2,74.4,45.6,57.7,80.0,58.3,78,1,253,43,277,252,0,0,54,265,14,1064,753,3.39,4.8,0.91,169
Jadan Baugh,184417,HB,FLORIDA,12,221,66,17,27.0,315,0,1168,0,11,66,767,105.2,35,65,163,0,73,91.4,88.1,88.5,,72.5,69.9,89.8,65.5,26,0,210,33,265,255,0,0,40,254,8,1168,767,3.47,5.3,0.79,147
Blake Horvath,162555,QB,NAVY,11,219,40,16,36.9,441,0,1015,0,0,30,546,41.4,35,69,237,16,126,28.2,81.5,68.8,73.2,62.2,49.4,76.1,60.0,59,4,0,0,3,471,181,20,0,199,15,1196,649,2.96,5.5,0.0,30
