player_name,position,draft_year,pick,college,rec_yards,team_pass_attempts,age,weight,forty,draft_capital_score,breakout_score,athletic_score,slap_score,tier
Malik Nabers,WR,2024,6,LSU,1569.0,411.0,21.0,200.0,4.35,98.3,89.9,67.8,100.0,Elite
Marvin Harrison Jr.,WR,2024,4,Ohio State,1211.0,400.0,22.0,209.0,,100.0,67.7,,99.7,Elite
Ja'Marr Chase,WR,2021,5,LSU,1780.0,567.0,21.0,201.0,4.34,100.0,76.1,70.3,99.4,Elite
Jahmyr Gibbs,RB,2023,12,Alabama,444.0,438.0,21.0,199.0,4.36,100.0,77.1,62.3,99.0,Elite
Travis Hunter,WR,2025,2,Colorado,1258.0,481.0,22.0,188.0,,100.0,60.1,,98.7,Elite
Bijan Robinson,RB,2023,8,Texas,314.0,405.0,21.0,215.0,4.46,100.0,64.7,59.7,98.4,Elite
Tetairoa McMillan,WR,2025,8,Arizona,1319.0,437.0,22.0,219.0,,88.9,67.5,,98.1,Elite
Travis Etienne,RB,2021,25,Clemson,588.0,490.0,22.0,215.0,4.45,78.8,80.6,61.5,97.7,Elite
Drake London,WR,2022,8,USC,1084.0,500.0,21.0,219.0,,88.9,56.4,,97.4,Elite
Ashton Jeanty,RB,2025,6,Boise State,138.0,415.0,21.0,211.0,,100.0,41.6,,97.1,Elite
Omarion Hampton,RB,2025,22,North Carolina,373.0,391.0,22.0,221.0,4.46,82.6,69.0,65.2,96.8,Elite
DeVonta Smith,WR,2021,10,Alabama,1856.0,425.0,22.0,170.0,4.48,82.6,92.2,24.1,96.4,Elite
Najee Harris,RB,2021,24,Alabama,425.0,425.0,23.0,,,80.0,66.0,,96.1,Elite
Jameson Williams,WR,2022,12,Alabama,1572.0,571.0,21.0,179.0,,77.8,68.2,,95.8,Elite
Rome Odunze,WR,2024,9,Washington,1640.0,575.0,22.0,212.0,4.45,85.5,64.5,62.0,95.5,Elite
Jaylen Waddle,WR,2021,6,Alabama,591.0,425.0,22.0,,,98.3,37.7,,95.1,Elite
Elijah Moore,WR,2021,34,Ole Miss,1193.0,335.0,21.0,,4.35,57.8,84.7,,94.8,Elite
Brian Thomas,WR,2024,23,LSU,1177.0,411.0,21.0,209.0,4.33,64.1,70.5,79.3,94.5,Elite
CeeDee Lamb,WR,2020,17,Oklahoma,1327.0,381.0,21.0,198.0,4.5,69.9,83.1,43.6,94.2,Elite
Treylon Burks,WR,2022,18,Arkansas,1104.0,314.0,22.0,225.0,4.55,68.8,76.6,57.0,93.8,Elite
Cam Skattebo,RB,2025,105,Arizona State,605.0,382.0,23.0,219.0,,49.1,90.4,,93.5,Elite
Breece Hall,RB,2022,36,Iowa State,302.0,446.0,21.0,217.0,4.39,69.1,59.6,74.5,93.2,Elite
Jerry Jeudy,WR,2020,15,Alabama,1163.0,406.0,21.0,193.0,4.45,72.6,70.5,46.5,92.9,Elite
Henry Ruggs III,WR,2020,12,Alabama,746.0,406.0,21.0,188.0,4.27,77.8,49.6,70.0,92.5,Elite
Garrett Wilson,WR,2022,10,Ohio State,1058.0,494.0,22.0,183.0,4.38,82.6,51.5,48.2,92.2,Elite
Justin Jefferson,WR,2020,22,LSU,1540.0,567.0,21.0,202.0,4.43,64.9,67.5,56.9,91.9,Elite
Xavier Legette,WR,2024,32,South Carolina,1255.0,412.0,23.0,221.0,4.39,58.7,61.8,79.4,91.6,Elite
Javonte Williams,RB,2021,35,North Carolina,305.0,357.0,21.0,212.0,4.55,69.8,68.8,42.0,91.2,Elite
Rachaad White,RB,2022,91,Arizona State,456.0,313.0,23.0,214.0,4.48,51.2,85.1,55.3,90.9,Elite
Skyy Moore,WR,2022,54,Western Michigan,1292.0,368.0,21.0,195.0,4.41,51.7,83.7,54.0,90.6,Elite
D'Wayne Eskridge,WR,2021,56,Western Michigan,768.0,155.0,24.0,190.0,4.38,51.3,82.8,54.2,90.3,Elite
Christian Watson,WR,2022,34,North Dakota State,801.0,255.0,23.0,208.0,4.36,57.8,63.4,73.2,89.9,Good
Chris Olave,WR,2022,11,Ohio State,936.0,494.0,22.0,187.0,4.39,80.0,46.9,50.2,89.6,Good
Brandon Aiyuk,WR,2020,25,Arizona State,1192.0,383.0,22.0,205.0,4.5,62.7,69.2,49.0,89.3,Good
Kenneth Gainwell,RB,2021,150,Memphis,610.0,441.0,22.0,201.0,4.42,44.5,89.2,53.6,89.0,Good
Wan'Dale Robinson,WR,2022,43,Kentucky,1334.0,366.0,21.0,178.0,4.44,54.5,86.4,35.6,88.6,Good
Chase Claypool,WR,2020,49,Notre Dame,1037.0,416.0,22.0,238.0,4.42,52.9,57.9,88.5,88.3,Good
Tyler Johnson,WR,2020,161,Minnesota,1318.0,323.0,22.0,206.0,,41.9,86.9,,88.0,Good
Clyde Edwards-Helaire,RB,2020,32,LSU,453.0,567.0,21.0,207.0,4.6,72.1,65.9,30.3,87.7,Good
Emeka Egbuka,WR,2025,19,Ohio State,1011.0,455.0,22.0,202.0,,67.7,52.9,,87.3,Good
Rashod Bateman,WR,2021,27,Minnesota,472.0,184.0,21.0,190.0,4.39,61.4,64.4,52.7,87.0,Good
D'Andre Swift,RB,2020,35,Georgia,216.0,415.0,21.0,212.0,4.48,69.8,51.4,53.5,86.7,Good
Jonathon Brooks,RB,2024,46,Texas,286.0,475.0,21.0,216.0,,63.5,55.7,,86.4,Good
Jayden Higgins,WR,2025,34,Iowa State,1183.0,472.0,22.0,224.0,4.47,57.8,58.1,68.6,86.0,Good
AJ Dillon,RB,2020,62,Boston College,195.0,305.0,22.0,247.0,4.53,57.6,54.3,75.3,85.7,Good
Antonio Gibson,RB,2020,66,Memphis,735.0,441.0,22.0,228.0,4.39,56.5,50.0,85.2,85.4,Good
TreVeyon Henderson,RB,2025,38,Ohio State,284.0,455.0,22.0,202.0,4.43,67.8,53.6,52.8,85.1,Good
Evan Hull,RB,2023,176,Northwestern,546.0,417.0,22.0,209.0,4.47,42.6,85.7,52.5,84.7,Good
Quentin Johnston,WR,2023,21,TCU,1069.0,454.0,22.0,208.0,4.49,65.8,55.4,52.8,84.4,Good
Jahan Dotson,WR,2022,16,Penn State,1182.0,486.0,22.0,178.0,4.43,71.2,56.8,37.0,84.1,Good
Zack Moss,RB,2020,86,Utah,388.0,321.0,22.0,223.0,4.65,52.1,81.0,35.6,83.8,Good
Tyquan Thornton,WR,2022,50,Baylor,948.0,365.0,21.0,181.0,4.28,52.7,65.1,61.6,83.4,Good
Matthew Golden,WR,2025,23,Texas,987.0,541.0,22.0,191.0,4.29,64.1,45.7,69.5,83.1,Good
Kadarius Toney,WR,2021,20,Florida,984.0,473.0,22.0,193.0,4.39,66.7,50.3,55.3,82.8,Good
Tee Higgins,WR,2020,33,Clemson,1167.0,509.0,21.0,216.0,,58.2,58.9,,82.5,Good
Quinshon Judkins,RB,2025,36,Ohio State,161.0,455.0,21.0,221.0,4.48,69.1,42.7,61.6,82.1,Good
Xavier Worthy,WR,2024,28,Texas,1014.0,475.0,21.0,165.0,4.21,60.8,55.7,57.1,81.8,Good
Michael Pittman Jr.,WR,2020,34,USC,1275.0,514.0,22.0,223.0,4.52,57.8,57.7,60.0,81.5,Good
J.K. Dobbins,RB,2020,55,Ohio State,247.0,406.0,21.0,209.0,,59.9,56.0,,81.2,Good
Zach Charbonnet,RB,2023,52,UCLA,321.0,419.0,22.0,214.0,4.53,61.0,60.2,46.9,80.8,Good
RJ Harvey,RB,2025,60,UCF,267.0,310.0,24.0,205.0,4.4,58.2,55.7,61.0,80.5,Good
Zay Flowers,WR,2023,22,Boston Col.,1077.0,440.0,22.0,182.0,4.42,64.9,57.1,41.6,80.2,Good
Cam Akers,RB,2020,52,Florida State,225.0,432.0,21.0,217.0,4.47,61.0,51.4,59.7,79.9,Good
KJ Hamler,WR,2020,46,Penn State,904.0,369.0,21.0,178.0,,53.7,62.1,,79.5,Good
Trey Benson,RB,2024,66,Florida State,227.0,433.0,22.0,216.0,4.39,56.5,48.9,73.5,79.2,Good
Jonathan Mingo,WR,2023,39,Mississippi,862.0,386.0,22.0,220.0,4.46,55.9,53.1,66.9,78.9,Good
Kenneth Walker III,RB,2022,41,Michigan State,89.0,400.0,21.0,211.0,4.38,66.1,35.9,70.5,78.6,Good
Devin Duvernay,WR,2020,92,Texas,1386.0,470.0,22.0,200.0,4.39,46.3,66.2,61.3,78.2,Good
James Cook,RB,2022,63,Georgia,284.0,407.0,22.0,199.0,4.42,57.3,57.0,51.7,77.9,Good
Kyle Williams,WR,2025,69,Washington State,1193.0,399.0,22.0,190.0,4.4,49.1,67.0,51.3,77.6,Good
Jalen Reagor,WR,2020,21,TCU,611.0,394.0,21.0,206.0,4.47,65.8,43.8,54.2,77.3,Good
Deuce Vaughn,RB,2023,212,Kansas State,378.0,388.0,21.0,179.0,,40.7,75.1,,76.9,Good
Denzel Mims,WR,2020,59,Baylor,1020.0,444.0,22.0,207.0,4.38,50.7,54.3,69.0,76.6,Good
Dyami Brown,WR,2021,82,North Carolina,1084.0,357.0,21.0,189.0,4.46,47.4,74.0,41.9,76.3,Good
Marvin Mims,WR,2023,63,Oklahoma,1083.0,407.0,21.0,183.0,4.38,50.0,66.4,48.2,76.0,Good
Alec Pierce,WR,2022,53,Cincinnati,884.0,400.0,22.0,211.0,4.41,52.0,52.7,67.5,75.6,Good
Jalin Hyatt,WR,2023,73,Tennessee,1267.0,422.0,21.0,176.0,4.4,48.5,73.3,39.3,75.3,Good
Adonai Mitchell,WR,2024,52,Texas,845.0,475.0,21.0,205.0,4.34,52.2,48.4,73.9,75.0,Good
Trey Palmer,WR,2023,191,Nebraska,1043.0,340.0,22.0,192.0,4.33,40.8,68.4,63.8,74.7,Good
Ricky Pearsall,WR,2024,31,Florida,970.0,389.0,23.0,189.0,4.41,59.2,52.8,48.9,74.4,Good
Isaac Guerendo,RB,2024,129,Louisville,234.0,408.0,24.0,221.0,4.33,46.3,45.2,90.6,74.0,Good
Jonathan Taylor,RB,2020,41,Wisconsin,267.0,351.0,21.0,185.0,4.61,66.1,63.9,11.2,73.7,Good
Jalen Tolbert,WR,2022,88,South Alabama,1474.0,407.0,23.0,194.0,4.49,46.7,71.2,41.8,73.4,Good
Dylan Laube,RB,2024,208,New Hampshire,699.0,455.0,24.0,206.0,4.54,40.9,80.4,38.5,73.1,Good
Luther Burden,WR,2025,39,Missouri,666.0,403.0,21.0,206.0,4.41,55.9,45.9,63.3,72.7,Good
Kaleb Johnson,RB,2025,83,Iowa,188.0,260.0,22.0,224.0,4.57,52.6,58.2,48.9,72.4,Good
Gabriel Davis,WR,2020,128,UCF,1241.0,457.0,21.0,216.0,4.54,43.6,67.5,51.7,72.1,Good
Ke'Shawn Vaughn,RB,2020,76,Illinois,270.0,381.0,23.0,214.0,4.51,54.0,53.8,50.2,71.8,Good
LeQuint Allen,RB,2025,236,Syracuse,529.0,598.0,21.0,204.0,,39.7,70.4,,71.4,Good
Laviska Shenault Jr.,WR,2020,42,Colorado,764.0,411.0,21.0,227.0,4.58,54.9,50.1,54.1,71.1,Good
Antonio Gandy-Golden,WR,2020,142,Liberty,1396.0,452.0,22.0,223.0,4.6,42.8,68.8,48.4,70.8,Good
De'Von Achane,RB,2023,84,Texas A&M,196.0,391.0,21.0,188.0,4.32,52.4,50.4,58.4,70.5,Good
Dax Milne,WR,2021,258,BYU,1189.0,375.0,22.0,,4.54,39.1,70.3,,70.1,Good
Javon Baker,WR,2024,110,Central Florida,1139.0,366.0,22.0,202.0,4.54,44.8,69.2,41.2,69.8,Average
Tyjae Spears,RB,2023,81,Tulane,256.0,379.0,22.0,201.0,4.47,53.0,56.0,45.2,69.5,Average
Simi Fehoko,WR,2021,179,Stanford,584.0,220.0,23.0,222.0,4.44,41.2,55.5,71.8,69.2,Average
Terrace Marshall Jr.,WR,2021,59,LSU,731.0,421.0,21.0,205.0,4.4,50.7,47.6,64.0,68.8,Average
