rank,player_name,position,college,projected_pick,projected_pick_raw,draft_age,birthdate,birthdate_source,early_declare,slap_score,dc_score,breakout_score_filled,production_score_filled,ras_score,delta_vs_dc,slap_old_65,rank_old,rank_change,score_change,breakout_age,peak_dominator,breakout_score,cfbd_receptions,cfbd_rec_yards,cfbd_team_pass_att,cfbd_rush_yards,production_raw,production_score,pff_receptions,pff_yards,pff_player_game_count,pff_grades_offense,pff_grades_pass_route,pff_yprr,pff_team_name,weight,height
1,Kenyon Sadiq,TE,Oregon,19,19,21.1,2005-03-04,verified,1,73.4114682543419,87.5050697341776,29.826581943341278,69.56292748222772,60.0,-14.093601479835698,76.30857536693941,1,0,-2.89710711259751,,14.826581943341278,29.826581943341278,51.0,560.0,437.0,6.0,134.5537757437071,69.56292748222772,51.0,560.0,14.0,70.4,69.0,1.62,OREGON,245.0,75.0
2,Eli Stowers,TE,Vanderbilt,74,74,23.0,2003-04-15,verified,0,69.62268086216122,67.79531439030325,66.40328151986184,99.9,40.0,1.827366471857971,66.01744658167638,2,0,3.6052342804848365,21.0,27.806563039723663,66.40328151986184,61.0,765.0,400.0,2.0,191.25,99.9,62.0,769.0,12.0,81.6,85.3,2.55,VANDERBILT,235.0,76.0
3,Max Klare,TE,Ohio State,81,81,22.8,2003-07-08,verified,0,62.12154455479092,65.80076958583709,67.95413465883416,56.31975069642364,40.0,-3.6792250310461654,60.59559549926159,4,1,1.5259490555293311,20.8,30.908269317668324,67.95413465883416,43.0,448.0,408.0,,109.80392156862746,56.31975069642364,43.0,448.0,14.0,69.3,66.5,1.48,OHIO STATE,243.0,77.0
4,Justin Joly,TE,NC State,103,103,23.3,2003-01-13,verified,1,60.65743372080557,59.92138766628686,80.27802006105539,57.752654079167705,40.0,0.7360460545187095,63.76587040016154,3,-1,-3.108436679355968,19.3,25.556040122110772,80.27802006105539,49.0,489.0,413.0,,112.4818401937046,57.752654079167705,49.0,489.0,12.0,77.9,81.6,1.78,NC STATE,251.0,75.0
5,Tanner Koziol,TE,Houston,158,158,23.3,2003-01-23,verified,1,56.54984989090944,47.01672472508837,66.67482281471482,95.59061089099465,40.0,9.533125165821069,57.12115558261413,5,0,-0.571305691704687,20.3,28.34964562942963,66.67482281471482,74.0,727.0,377.0,,183.19628647214853,95.59061089099465,74.0,727.0,13.0,78.9,87.3,2.26,HOUSTON,240.0,79.0
6,Michael Trigg,TE,Baylor,94,94,23.8,2002-06-27,verified,0,56.14352605929847,62.262482221264236,31.835485606672048,66.73809257026085,40.0,-6.118956161965762,53.91974554184865,7,1,2.223780517449825,22.8,18.670971213344096,31.835485606672048,50.0,694.0,510.0,,129.27450980392157,66.73809257026085,50.0,694.0,11.0,72.4,77.3,2.18,BAYLOR,240.0,76.0
7,Eli Raridon,TE,Notre Dame,140,140,22.8,2003-07-06,verified,1,53.0993969141124,51.018045072501344,45.59539805172993,77.661734419014,40.0,2.0813518416110526,54.767212446786765,6,-1,-1.6678155326743678,21.8,16.19079610345986,45.59539805172993,32.0,482.0,322.0,,149.68944099378882,77.661734419014,32.0,482.0,12.0,67.5,70.8,2.22,NOTRE DAME,251.0,79.0
8,Dallen Bentley,TE,Utah,141,141,23.5,2002-10-22,verified,0,51.896118072468056,50.79080422061093,34.08445440956652,82.05978252444346,40.0,1.105313851857126,48.33266915727643,10,2,3.5634489151916284,22.5,23.168908819133037,34.08445440956652,48.0,620.0,373.0,,157.9088471849866,82.05978252444346,48.0,620.0,13.0,76.9,83.1,2.07,UTAH,264.0,76.0
9,Jack Endries,TE,Texas,125,125,23.4,2002-12-10,verified,0,49.63875976826,54.50441856810307,46.798507462686565,39.44221671996788,40.0,-4.865658799843068,48.391869860666766,9,0,1.2468899075932356,21.4,18.597014925373134,46.798507462686565,33.0,346.0,420.0,,78.26190476190476,39.44221671996788,33.0,346.0,13.0,68.5,65.1,1.07,TEXAS,240.0,76.0
10,Joe Royer,TE,Cincinnati,142,142,24.7,2001-08-10,verified,0,47.00613931266302,50.56417497245892,31.696617336152222,52.754278191765536,40.0,-3.5580356597959053,44.89663415169769,12,2,2.109505160965327,22.7,18.39323467230444,31.696617336152222,29.0,416.0,363.0,,103.1404958677686,52.754278191765536,29.0,416.0,13.0,59.8,64.6,1.49,CINCINNATI,250.0,77.0
11,Oscar Delp,TE,Georgia,113,113,22.2,2004-02-24,verified,1,46.619168029875816,57.409597693011136,23.432956381260098,31.056439712534143,40.0,-10.79042966313532,50.936825928899665,8,-3,-4.31765789902385,,8.432956381260096,23.432956381260098,20.0,261.0,417.0,,62.589928057553955,31.056439712534143,20.0,261.0,14.0,63.0,60.1,1.29,GEORGIA,245.0,77.0
12,Sam Roush,TE,Stanford,159,159,24.4,2001-12-10,verified,0,45.193850238302176,46.79965853300224,22.736664162283997,64.69036996105488,40.0,-1.6058082947000614,42.29931466689954,13,1,2.894535571402635,23.4,20.473328324567994,22.736664162283997,49.0,545.0,391.0,,125.44757033248082,64.69036996105488,49.0,545.0,12.0,57.1,56.6,1.39,STANFORD,260.0,77.0
13,Dae'Quan Wright,TE,Mississippi,179,179,22.5,2003-11-05,estimated,1,43.266259942283334,42.56157955714502,28.996175908221797,62.53257214508701,40.0,0.7046803851383103,45.26771031288624,11,-2,-2.001450370602903,,13.996175908221797,28.996175908221797,39.0,635.0,523.0,2.0,121.414913957935,62.53257214508701,39.0,635.0,15.0,66.2,75.4,2.06,OLE MISS,,
14,John Michael Gyllenborg,TE,Wyoming,178,178,23.9,2002-06-15,estimated,0,42.92019229776245,42.76906169071699,62.10017574692443,26.29152614195726,40.0,0.15113060704545944,41.74406907520043,14,0,1.176123222562019,20.9,19.200351493848856,62.10017574692443,24.0,217.0,384.0,,53.68489583333332,26.29152614195726,24.0,211.0,9.0,54.0,63.9,1.17,WYOMING,,
15,Jaren Kanak,TE,Oklahoma,250,420,21.8,2004-06-22,verified,1,40.50302103989458,28.79046960395864,61.146003262642736,67.04559192081989,40.0,11.712551435935936,41.59026492405152,15,0,-1.0872438841569405,20.8,17.29200652528548,61.146003262642736,44.0,533.0,431.0,,129.8491879350348,67.04559192081989,44.0,530.0,13.0,64.1,71.2,1.73,OKLAHOMA,233.0,74.0
16,Seydou Traore,TE,Mississippi State,250,313,23.8,2002-07-20,estimated,0,40.0515755726246,28.79046960395864,79.12962962962963,46.05232910536646,40.0,11.261105968665959,37.18848259755421,19,3,2.863092975070387,19.8,23.25925925925926,79.12962962962963,35.0,372.0,390.0,,90.61538461538461,46.05232910536646,35.0,374.0,13.0,60.3,63.0,1.08,MISS STATE,235.0,76.0
17,Marlin Klein,TE,Michigan,187,187,22.7,2003-08-12,estimated,1,37.82177556777987,40.917284913571535,25.214168039538713,36.595196091374326,40.0,-3.095509345791662,41.037880008889736,16,-1,-3.216104441109863,,10.214168039538714,25.214168039538713,24.0,248.0,340.0,,72.94117647058823,36.595196091374326,24.0,248.0,11.0,64.6,65.3,1.53,MICHIGAN,250.0,78.0
18,Nate Boerkircher,TE,Texas A&M,173,173,23.1,2003-03-18,verified,1,36.86784714625194,43.81319351407827,20.88410104011887,22.98210587858099,40.0,-6.945346367826332,40.909401528026805,17,-1,-4.041554381774866,,5.88410104011887,20.88410104011887,20.0,204.0,408.0,5.0,47.5,22.98210587858099,19.0,198.0,13.0,74.3,67.2,1.11,TEXAS A&M,250.0,76.0
19,Josh Cuevas,TE,Alabama,197,197,23.5,2002-10-15,estimated,0,36.779854676609894,38.89903839489586,25.42353537915293,37.51267555199628,40.0,-2.119183718285967,34.84917281875487,21,2,1.9306818578550207,,10.423535379152929,25.42353537915293,37.0,411.0,523.0,7.0,74.65583173996176,37.51267555199628,37.0,411.0,12.0,69.6,71.1,1.25,ALABAMA,256.0,75.0
20,Riley Nowakowski,TE,Indiana,211,211,23.3,2003-01-20,estimated,1,36.35480636767874,36.13772172752879,25.128238680973567,46.01958352676954,40.0,0.21708464014994888,38.860713277716705,18,-2,-2.5059069100379645,,10.128238680973567,25.128238680973567,32.0,387.0,406.0,2.0,90.55418719211822,46.01958352676954,32.0,387.0,16.0,79.6,75.5,1.68,INDIANA,243.0,74.0
21,Carsen Ryan,TE,BYU,250,306,24.2,2002-02-14,estimated,0,35.40417124911672,28.79046960395864,22.545366169799095,71.65389707514449,40.0,6.613701645158081,31.26099987555743,29,8,4.143171373559291,23.2,20.090732339598187,22.545366169799095,45.0,620.0,403.0,,138.46153846153848,71.65389707514449,45.0,620.0,14.0,82.6,82.6,2.04,BYU,250.0,76.0
22,Lance Mason,TE,Wisconsin,250,403,24.4,2001-11-20,estimated,0,35.17742005563927,28.79046960395864,24.656383628588884,68.03120499317167,40.0,6.386950451680626,31.215383286178614,30,8,3.962036769460653,23.4,24.312767257177764,24.656383628588884,30.0,398.0,272.0,7.0,131.69117647058823,68.03120499317167,30.0,398.0,12.0,67.0,74.1,1.88,WISCONSIN,240.0,
23,Jack Velling,TE,Michigan State,250,470,23.7,2002-07-30,estimated,0,34.95908874635466,28.79046960395864,45.38867562380038,45.84337093606278,40.0,6.168619142396018,32.106443679749454,25,2,2.8526450666052057,21.7,15.777351247600768,45.38867562380038,36.0,359.0,378.0,,90.22486772486772,45.84337093606278,36.0,359.0,12.0,63.2,67.8,1.2,MICH STATE,245.0,77.0
24,Toby Payne,TE,Marshall,250,450,23.9,2002-05-18,estimated,0,34.275401931870135,28.79046960395864,30.385232744783305,56.2889017185164,40.0,5.484932327911494,30.900480326142254,31,7,3.374921605727881,22.9,15.770465489566613,30.385232744783305,36.0,387.0,335.0,0.0,109.74626865671641,56.2889017185164,37.0,393.0,12.0,65.7,64.3,1.32,MARSHALL,232.0,76.0
25,Lake McRee,TE,USC,250,385,22.9,2003-06-15,estimated,1,33.493328973373906,28.79046960395864,26.564449064449065,54.89586567554242,40.0,4.702859369415265,35.18805916979471,20,-5,-1.6947301964208066,,11.564449064449065,26.564449064449065,30.0,450.0,420.0,,107.14285714285714,54.89586567554242,30.0,445.0,12.0,68.9,71.9,1.51,USC,250.0,76.0
26,Nate Rutchena,TE,UC Davis,250,822,23.8,2002-07-15,estimated,0,31.964216176830632,28.79046960395864,31.775098792473482,39.49113063722949,40.0,3.173746572871991,29.429183125167086,34,8,2.5350330516635466,,,,,,,,,,,,,,,,,230.0,75.0
27,Matthew Hibner,TE,SMU,250,432,24.1,2002-03-15,estimated,0,31.779655731949713,28.79046960395864,26.825332248440468,43.21049421538971,40.0,2.989186127991072,29.058654501378157,36,9,2.721001230571556,,11.825332248440466,26.825332248440468,31.0,436.0,460.0,,85.30434782608695,43.21049421538971,31.0,436.0,13.0,62.6,61.3,1.37,SMU,252.0,77.0
28,Chamon Metayer,TE,Arizona State,250,759,24.0,2002-05-05,estimated,0,31.75581183072337,28.79046960395864,27.980269989615785,41.89659713270546,40.0,2.9653422267647294,29.100505454286033,35,7,2.6553063764373377,,12.980269989615783,27.980269989615785,38.0,375.0,430.0,1.0,82.84883720930232,41.89659713270546,38.0,375.0,12.0,56.3,62.9,1.37,ARIZONA ST,255.0,76.0
29,Dan Villari,TE,Syracuse,250,353,25.1,2001-03-25,estimated,0,31.26200203131783,28.79046960395864,20.389623008161678,46.19517878478928,40.0,2.4715324273591897,28.391766572276296,37,8,2.8702354590415347,24.1,15.77924601632336,20.389623008161678,39.0,412.0,408.0,55.0,90.88235294117646,46.19517878478928,39.0,406.0,12.0,62.9,63.5,1.11,SYRACUSE,245.0,76.0
30,Ty Thompson,TE,Tulane,250,735,23.4,2002-11-30,estimated,0,30.685756236008388,28.79046960395864,23.2520325203252,39.49113063722949,40.0,1.8952866320497463,28.150723184344848,38,8,2.5350330516635395,,8.252032520325203,23.2520325203252,,,425.0,,,,,,,,,,,224.0,76.0
31,Brett Norfleet,TE,Missouri,250,419,23.0,2003-04-12,estimated,1,30.36531909893585,28.79046960395864,25.39279869067103,35.214116886400056,40.0,1.574849494977208,33.044136734813776,22,-9,-2.6788176358779268,,10.39279869067103,25.39279869067103,31.0,254.0,361.0,,70.3601108033241,35.214116886400056,31.0,254.0,11.0,55.1,58.8,1.0,MISSOURI,263.0,78.0
32,R.J. Maryland,TE,SMU,250,285,24.1,2002-03-06,verified,0,30.21309028108223,28.79046960395864,28.31619537275064,31.27586141862965,40.0,1.4226206771235894,28.088820690348676,40,8,2.1242695907335545,,13.316195372750641,28.31619537275064,27.0,322.0,460.0,,63.0,31.27586141862965,27.0,320.0,12.0,62.4,67.5,1.62,SMU,,
33,Bauer Sharp,TE,LSU,250,342,22.3,2004-01-15,estimated,1,29.903243299136125,28.79046960395864,29.522635589421782,28.003774655651156,40.0,1.1127736951774843,32.9425780465515,23,-10,-3.039334747415378,,14.522635589421784,29.522635589421782,24.0,252.0,443.0,,56.884875846501124,28.003774655651156,24.0,248.0,13.0,47.9,49.3,1.14,LSU,246.0,77.0
34,DJ Rogers,TE,TCU,250,433,23.6,2002-09-08,estimated,0,29.7231912223016,28.79046960395864,23.508935716190983,32.817127349985114,40.0,0.9327216183429599,27.521858335000275,41,7,2.2013328873013265,,8.508935716190983,23.508935716190983,34.0,319.0,460.0,,65.88043478260869,32.817127349985114,34.0,319.0,13.0,72.4,74.7,1.4,TCU,,
35,Cooper Flanagan,TE,Notre Dame,250,557,23.1,2003-03-14,estimated,1,29.709275399771457,28.79046960395864,16.742160278745644,39.49113063722949,40.0,0.9188057958128155,32.17424234810791,24,-11,-2.4649669483364534,,1.7421602787456445,16.742160278745644,,,322.0,,,,,,,,,,,258.0,78.0
36,Miles Kitselman,TE,Tennessee,250,266,23.7,2002-08-22,estimated,0,29.14345250642236,28.79046960395864,25.465924895688456,26.995213397959382,40.0,0.3529829024637188,27.233215316722323,42,6,1.9102371897000374,,10.465924895688456,25.465924895688456,26.0,253.0,437.0,2.0,55.00000000000001,26.995213397959382,27.0,264.0,11.0,64.7,64.7,1.41,TENNESSEE,255.0,77.0
37,Ethan Davis,TE,Tennessee,250,531,23.4,2002-12-05,estimated,0,28.656763886382244,28.79046960395864,21.756046267087278,27.4605012262931,40.0,-0.13370571757639738,26.723262305265518,44,7,1.933501581116726,,6.756046267087276,21.756046267087278,21.0,257.0,437.0,,55.869565217391305,27.4605012262931,21.0,257.0,9.0,65.1,73.1,1.8,TENNESSEE,245.0,77.0
38,Jameson Geers,TE,Minnesota,250,436,23.4,2002-11-25,estimated,0,28.61626027292038,28.79046960395864,25.136315973435863,23.810207430198748,40.0,-0.17420933103826286,26.865273381608368,43,5,1.7509868913120101,,10.136315973435861,25.136315973435863,26.0,206.0,399.0,1.0,49.04761904761904,23.810207430198748,26.0,206.0,13.0,62.6,66.0,1.05,MINNESOTA,250.0,77.0
