player_name,college,projected_pick,position,draft_year,projected_pick_raw,cfbd_receptions,cfbd_rec_yards,cfbd_team_pass_att,cfbd_rush_yards,cfbd_games,cfbd_matched,birthdate,birthdate_source,draft_age,early_declare,breakout_age,peak_dominator,breakout_score,pff_seasons,pff_receptions,pff_yards,pff_player_game_count,pff_grades_offense,pff_grades_pass_route,pff_yprr,pff_team_name,weight,height,weight_source
Kenyon Sadiq,Oregon,19,TE,2026,19,51.0,560.0,437.0,6.0,,True,2003-02-17,verified,23.2,1,,14.826581943341278,29.826581943341278,3.0,51.0,560.0,14.0,70.4,69.0,1.62,OREGON,245.0,75.0,CFBD
Eli Stowers,Vanderbilt,74,TE,2026,74,61.0,765.0,400.0,2.0,,True,2002-10-27,verified,23.5,0,21.5,27.806563039723663,51.403281519861835,3.0,62.0,769.0,12.0,81.6,85.3,2.55,VANDERBILT,235.0,76.0,CFBD
Max Klare,Ohio State,81,TE,2026,81,43.0,448.0,408.0,,,True,2002-09-19,verified,23.6,0,21.6,30.908269317668324,52.954134658834164,3.0,43.0,448.0,14.0,69.3,66.5,1.48,OHIO STATE,243.0,77.0,CFBD
Michael Trigg,Baylor,94,TE,2026,94,50.0,694.0,510.0,,,True,2002-06-14,verified,23.9,0,22.9,18.670971213344096,31.835485606672048,5.0,50.0,694.0,11.0,72.4,77.3,2.18,BAYLOR,240.0,76.0,CFBD
Justin Joly,NC State,103,TE,2026,103,49.0,489.0,413.0,,,True,2003-01-13,verified,23.3,1,19.3,25.556040122110772,80.27802006105539,4.0,49.0,489.0,12.0,77.9,81.6,1.78,NC STATE,251.0,75.0,CFBD
Oscar Delp,Georgia,113,TE,2026,113,20.0,261.0,417.0,,,True,2004-02-24,verified,22.2,1,,8.432956381260096,23.432956381260098,4.0,20.0,261.0,14.0,63.0,60.1,1.29,GEORGIA,245.0,77.0,CFBD
Jack Endries,Texas,125,TE,2026,125,33.0,346.0,420.0,,,True,2002-12-10,verified,23.4,0,21.4,18.597014925373134,46.798507462686565,3.0,33.0,346.0,13.0,68.5,65.1,1.07,TEXAS,240.0,76.0,CFBD
Eli Raridon,Notre Dame,140,TE,2026,140,32.0,482.0,322.0,,,True,2003-07-06,verified,22.8,1,21.8,16.19079610345986,45.59539805172993,4.0,32.0,482.0,12.0,67.5,70.8,2.22,NOTRE DAME,251.0,79.0,CFBD
Dallen Bentley,Utah,141,TE,2026,141,48.0,620.0,373.0,,,True,2002-10-22,verified,23.5,0,22.5,23.168908819133037,34.08445440956652,3.0,48.0,620.0,13.0,76.9,83.1,2.07,UTAH,264.0,76.0,CFBD
Joe Royer,Cincinnati,142,TE,2026,142,29.0,416.0,363.0,,,True,2001-08-10,verified,24.7,0,22.7,18.39323467230444,31.696617336152222,5.0,29.0,416.0,13.0,59.8,64.6,1.49,CINCINNATI,250.0,77.0,CFBD
Tanner Koziol,Houston,158,TE,2026,158,74.0,727.0,377.0,,,True,2003-01-23,verified,23.3,1,20.3,28.34964562942963,66.67482281471482,4.0,74.0,727.0,13.0,78.9,87.3,2.26,HOUSTON,240.0,79.0,CFBD
Sam Roush,Stanford,159,TE,2026,159,49.0,545.0,391.0,,,True,2001-12-10,verified,24.4,0,23.4,20.473328324567994,22.736664162283997,4.0,49.0,545.0,12.0,57.1,56.6,1.39,STANFORD,260.0,77.0,CFBD
Nate Boerkircher,Texas A&M,173,TE,2026,173,20.0,204.0,408.0,5.0,,True,2003-03-18,verified,23.1,1,,5.88410104011887,20.88410104011887,5.0,19.0,198.0,13.0,74.3,67.2,1.11,TEXAS A&M,250.0,76.0,CFBD
John Michael Gyllenborg,Wyoming,178,TE,2026,178,24.0,217.0,384.0,,,True,2002-06-15,estimated,23.9,0,20.9,19.200351493848856,62.10017574692443,4.0,24.0,211.0,9.0,54.0,63.9,1.17,WYOMING,,,missing
Dae'Quan Wright,Mississippi,179,TE,2026,179,39.0,635.0,523.0,2.0,,True,2003-11-05,estimated,22.5,1,,13.996175908221797,28.996175908221797,4.0,39.0,635.0,15.0,66.2,75.4,2.06,OLE MISS,,,missing
Marlin Klein,Michigan,187,TE,2026,187,24.0,248.0,340.0,,,True,2003-08-12,estimated,22.7,1,,10.214168039538714,25.214168039538713,3.0,24.0,248.0,11.0,64.6,65.3,1.53,MICHIGAN,250.0,78.0,CFBD
Josh Cuevas,Alabama,197,TE,2026,197,37.0,411.0,523.0,7.0,,True,2002-10-15,estimated,23.5,0,,10.423535379152929,25.42353537915293,3.0,37.0,411.0,12.0,69.6,71.1,1.25,ALABAMA,256.0,75.0,CFBD
Riley Nowakowski,Indiana,211,TE,2026,211,32.0,387.0,406.0,2.0,,True,2003-01-20,estimated,23.3,1,,10.128238680973567,25.128238680973567,3.0,32.0,387.0,16.0,79.6,75.5,1.68,INDIANA,243.0,74.0,CFBD
