player_name,seasons_found,seasons_data,breakout_season,breakout_age,peak_dominator,peak_dominator_season,status
Jack Bech,4,"[{""season"": 2023, ""school"": ""TCU"", ""cfbd_name"": ""Jack Bech"", ""rec_yards"": 146.0, ""rec_tds"": 0.0, ""team_yards"": 3746.0, ""team_tds"": 27.0, ""dominator_pct"": 1.95, ""age"": 21}, {""season"": 2024, ""school"": ""TCU"", ""cfbd_name"": ""Jack Bech"", ""rec_yards"": 1034.0, ""rec_tds"": 9.0, ""team_yards"": 4068.0, ""team_tds"": 29.0, ""dominator_pct"": 28.23, ""age"": 22}, {""season"": 2021, ""school"": ""LSU"", ""cfbd_name"": ""Jack Bech"", ""rec_yards"": 489.0, ""rec_tds"": 3.0, ""team_yards"": 3308.0, ""team_tds"": 32.0, ""dominator_pct"": 12.08, ""age"": 19}, {""season"": 2022, ""school"": ""LSU"", ""cfbd_name"": ""Jack Bech"", ""rec_yards"": 200.0, ""rec_tds"": 1.0, ""team_yards"": 3770.0, ""team_tds"": 23.0, ""dominator_pct"": 4.83, ""age"": 20}]",2024.0,22.0,28.23,2024,breakout_found
Jaylin Noel,4,"[{""season"": 2021, ""school"": ""Iowa State"", ""cfbd_name"": ""Jaylin Noel"", ""rec_yards"": 265.0, ""rec_tds"": 0.0, ""team_yards"": 3430.0, ""team_tds"": 22.0, ""dominator_pct"": 3.86, ""age"": 19}, {""season"": 2022, ""school"": ""Iowa State"", ""cfbd_name"": ""Jaylin Noel"", ""rec_yards"": 609.0, ""rec_tds"": 3.0, ""team_yards"": 3141.0, ""team_tds"": 19.0, ""dominator_pct"": 17.59, ""age"": 20}, {""season"": 2023, ""school"": ""Iowa State"", ""cfbd_name"": ""Jaylin Noel"", ""rec_yards"": 820.0, ""rec_tds"": 7.0, ""team_yards"": 3185.0, ""team_tds"": 23.0, ""dominator_pct"": 28.09, ""age"": 21}, {""season"": 2024, ""school"": ""Iowa State"", ""cfbd_name"": ""Jaylin Noel"", ""rec_yards"": 1194.0, ""rec_tds"": 8.0, ""team_yards"": 3580.0, ""team_tds"": 25.0, ""dominator_pct"": 32.68, ""age"": 22}]",2023.0,21.0,32.68,2024,breakout_found
Savion Williams,5,"[{""season"": 2020, ""school"": ""TCU"", ""cfbd_name"": ""Savion Williams"", ""rec_yards"": 8.0, ""rec_tds"": 0.0, ""team_yards"": 1933.0, ""team_tds"": 10.0, ""dominator_pct"": 0.21, ""age"": 19}, {""season"": 2021, ""school"": ""TCU"", ""cfbd_name"": ""Savion Williams"", ""rec_yards"": 71.0, ""rec_tds"": 0.0, ""team_yards"": 2838.0, ""team_tds"": 19.0, ""dominator_pct"": 1.25, ""age"": 20}, {""season"": 2022, ""school"": ""TCU"", ""cfbd_name"": ""Savion Williams"", ""rec_yards"": 392.0, ""rec_tds"": 4.0, ""team_yards"": 3926.0, ""team_tds"": 33.0, ""dominator_pct"": 11.05, ""age"": 21}, {""season"": 2023, ""school"": ""TCU"", ""cfbd_name"": ""Savion Williams"", ""rec_yards"": 573.0, ""rec_tds"": 4.0, ""team_yards"": 3746.0, ""team_tds"": 27.0, ""dominator_pct"": 15.06, ""age"": 22}, {""season"": 2024, ""school"": ""TCU"", ""cfbd_name"": ""Savion Williams"", ""rec_yards"": 611.0, ""rec_tds"": 6.0, ""team_yards"": 4068.0, ""team_tds"": 29.0, ""dominator_pct"": 17.85, ""age"": 23}]",,,17.85,2024,never_hit_20pct
Tai Felton,4,"[{""season"": 2021, ""school"": ""Maryland"", ""cfbd_name"": ""Tai Felton"", ""rec_yards"": 51.0, ""rec_tds"": 0.0, ""team_yards"": 3960.0, ""team_tds"": 27.0, ""dominator_pct"": 0.64, ""age"": 18}, {""season"": 2022, ""school"": ""Maryland"", ""cfbd_name"": ""Tai Felton"", ""rec_yards"": 309.0, ""rec_tds"": 2.0, ""team_yards"": 3383.0, ""team_tds"": 21.0, ""dominator_pct"": 9.33, ""age"": 19}, {""season"": 2023, ""school"": ""Maryland"", ""cfbd_name"": ""Tai Felton"", ""rec_yards"": 723.0, ""rec_tds"": 6.0, ""team_yards"": 3626.0, ""team_tds"": 27.0, ""dominator_pct"": 21.08, ""age"": 20}, {""season"": 2024, ""school"": ""Maryland"", ""cfbd_name"": ""Tai Felton"", ""rec_yards"": 1124.0, ""rec_tds"": 9.0, ""team_yards"": 3308.0, ""team_tds"": 21.0, ""dominator_pct"": 38.42, ""age"": 21}]",2023.0,20.0,38.42,2024,breakout_found
Dont'e Thornton,4,"[{""season"": 2023, ""school"": ""Tennessee"", ""cfbd_name"": ""Dont'E Thornton"", ""rec_yards"": 224.0, ""rec_tds"": 1.0, ""team_yards"": 3163.0, ""team_tds"": 22.0, ""dominator_pct"": 5.81, ""age"": 21}, {""season"": 2024, ""school"": ""Tennessee"", ""cfbd_name"": ""Dont'E Thornton"", ""rec_yards"": 661.0, ""rec_tds"": 6.0, ""team_yards"": 2875.0, ""team_tds"": 21.0, ""dominator_pct"": 25.78, ""age"": 22}, {""season"": 2021, ""school"": ""Oregon"", ""cfbd_name"": ""Dont'E Thornton"", ""rec_yards"": 175.0, ""rec_tds"": 2.0, ""team_yards"": 3098.0, ""team_tds"": 20.0, ""dominator_pct"": 7.82, ""age"": 19}, {""season"": 2022, ""school"": ""Oregon"", ""cfbd_name"": ""Dont'E Thornton"", ""rec_yards"": 366.0, ""rec_tds"": 1.0, ""team_yards"": 3703.0, ""team_tds"": 30.0, ""dominator_pct"": 6.61, ""age"": 20}]",2024.0,22.0,25.78,2024,breakout_found
Arian Smith,5,"[{""season"": 2020, ""school"": ""Georgia"", ""cfbd_name"": ""Arian Smith"", ""rec_yards"": 86.0, ""rec_tds"": 1.0, ""team_yards"": 2487.0, ""team_tds"": 19.0, ""dominator_pct"": 4.36, ""age"": 19}, {""season"": 2021, ""school"": ""Georgia"", ""cfbd_name"": ""Arian Smith"", ""rec_yards"": 102.0, ""rec_tds"": 2.0, ""team_yards"": 3778.0, ""team_tds"": 39.0, ""dominator_pct"": 3.91, ""age"": 20}, {""season"": 2022, ""school"": ""Georgia"", ""cfbd_name"": ""Arian Smith"", ""rec_yards"": 198.0, ""rec_tds"": 1.0, ""team_yards"": 4437.0, ""team_tds"": 31.0, ""dominator_pct"": 3.84, ""age"": 21}, {""season"": 2023, ""school"": ""Georgia"", ""cfbd_name"": ""Arian Smith"", ""rec_yards"": 153.0, ""rec_tds"": 2.0, ""team_yards"": 4274.0, ""team_tds"": 29.0, ""dominator_pct"": 5.24, ""age"": 22}, {""season"": 2024, ""school"": ""Georgia"", ""cfbd_name"": ""Arian Smith"", ""rec_yards"": 817.0, ""rec_tds"": 4.0, ""team_yards"": 3952.0, ""team_tds"": 29.0, ""dominator_pct"": 17.23, ""age"": 23}]",,,17.23,2024,never_hit_20pct
Jaylin Lane,5,"[{""season"": 2023, ""school"": ""Virginia Tech"", ""cfbd_name"": ""Jaylin Lane"", ""rec_yards"": 538.0, ""rec_tds"": 6.0, ""team_yards"": 2619.0, ""team_tds"": 23.0, ""dominator_pct"": 23.31, ""age"": 21}, {""season"": 2024, ""school"": ""Virginia Tech"", ""cfbd_name"": ""Jaylin Lane"", ""rec_yards"": 466.0, ""rec_tds"": 2.0, ""team_yards"": 2462.0, ""team_tds"": 15.0, ""dominator_pct"": 16.13, ""age"": 22}, {""season"": 2020, ""school"": ""Middle Tennessee"", ""cfbd_name"": ""Jaylin Lane"", ""rec_yards"": 122.0, ""rec_tds"": 1.0, ""team_yards"": 2074.0, ""team_tds"": 13.0, ""dominator_pct"": 6.79, ""age"": 18}, {""season"": 2021, ""school"": ""Middle Tennessee"", ""cfbd_name"": ""Jaylin Lane"", ""rec_yards"": 466.0, ""rec_tds"": 4.0, ""team_yards"": 3100.0, ""team_tds"": 28.0, ""dominator_pct"": 14.66, ""age"": 19}, {""season"": 2022, ""school"": ""Middle Tennessee"", ""cfbd_name"": ""Jaylin Lane"", ""rec_yards"": 940.0, ""rec_tds"": 5.0, ""team_yards"": 3430.0, ""team_tds"": 21.0, ""dominator_pct"": 25.61, ""age"": 20}]",2023.0,21.0,25.61,2022,breakout_found
Jalen Royals,2,"[{""season"": 2023, ""school"": ""Utah State"", ""cfbd_name"": ""Jalen Royals"", ""rec_yards"": 1080.0, ""rec_tds"": 15.0, ""team_yards"": 3305.0, ""team_tds"": 35.0, ""dominator_pct"": 37.77, ""age"": 20}, {""season"": 2024, ""school"": ""Utah State"", ""cfbd_name"": ""Jalen Royals"", ""rec_yards"": 834.0, ""rec_tds"": 6.0, ""team_yards"": 3229.0, ""team_tds"": 29.0, ""dominator_pct"": 23.26, ""age"": 21}]",2023.0,20.0,37.77,2023,breakout_found
Jordan Watkins,2,"[{""season"": 2020, ""school"": ""Louisville"", ""cfbd_name"": ""Jordan Watkins"", ""rec_yards"": 57.0, ""rec_tds"": 0.0, ""team_yards"": 2683.0, ""team_tds"": 20.0, ""dominator_pct"": 1.06, ""age"": 18}, {""season"": 2021, ""school"": ""Louisville"", ""cfbd_name"": ""Jordan Watkins"", ""rec_yards"": 529.0, ""rec_tds"": 4.0, ""team_yards"": 3074.0, ""team_tds"": 21.0, ""dominator_pct"": 18.13, ""age"": 19}]",,,18.13,2021,never_hit_20pct
KeAndre Lambert-Smith,5,"[{""season"": 2024, ""school"": ""Auburn"", ""cfbd_name"": ""Keandre Lambert"", ""rec_yards"": 981.0, ""rec_tds"": 8.0, ""team_yards"": 3167.0, ""team_tds"": 27.0, ""dominator_pct"": 30.3, ""age"": 23}, {""season"": 2020, ""school"": ""Penn State"", ""cfbd_name"": ""Keandre Lambert"", ""rec_yards"": 132.0, ""rec_tds"": 0.0, ""team_yards"": 2298.0, ""team_tds"": 17.0, ""dominator_pct"": 2.87, ""age"": 19}, {""season"": 2021, ""school"": ""Penn State"", ""cfbd_name"": ""Keandre Lambert"", ""rec_yards"": 521.0, ""rec_tds"": 3.0, ""team_yards"": 3491.0, ""team_tds"": 25.0, ""dominator_pct"": 13.46, ""age"": 20}, {""season"": 2022, ""school"": ""Penn State"", ""cfbd_name"": ""Keandre Lambert"", ""rec_yards"": 389.0, ""rec_tds"": 4.0, ""team_yards"": 3283.0, ""team_tds"": 29.0, ""dominator_pct"": 12.82, ""age"": 21}, {""season"": 2023, ""school"": ""Penn State"", ""cfbd_name"": ""Keandre Lambert"", ""rec_yards"": 673.0, ""rec_tds"": 4.0, ""team_yards"": 2795.0, ""team_tds"": 30.0, ""dominator_pct"": 18.71, ""age"": 22}]",2024.0,23.0,30.3,2024,breakout_found
