player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,notes
Travis Hunter,WR,2025,2,1,Colorado,1,999.0,0.0,0,0,,19.0,38.8,Season-ending knee injury after Week 7
Tetairoa McMillan,WR,2025,8,1,Arizona,1,15.0,213.4,1,0,,19.0,41.0,Rookie receiving triple crown leader
Emeka Egbuka,WR,2025,19,1,Ohio State,1,18.0,192.8,1,0,9.72,20.0,26.1,
Matthew Golden,WR,2025,23,1,Texas,1,35.0,110.0,0,0,,20.0,24.1,First Packers 1st round WR since Javon Walker 2002
Jayden Higgins,WR,2025,34,2,Iowa State,1,40.0,129.5,0,0,9.63,20.0,,Houston WR behind Collins/Dell
Luther Burden III,WR,2025,39,2,Missouri,1,45.0,124.2,0,0,,19.0,36.5,Chicago Bears slot
Tre Harris,WR,2025,55,2,Ole Miss,1,50.0,100.0,0,0,9.23,21.0,35.8,Louisiana Tech transfer to Ole Miss
Kyle Williams,WR,2025,69,3,Washington State,1,80.0,60.0,0,0,,,,New England Patriots
Isaac TeSlaa,WR,2025,70,3,Arkansas,1,75.0,65.0,0,0,,,,Detroit Lions
Pat Bryant,WR,2025,74,3,Illinois,1,85.0,55.0,0,0,,,,Denver Broncos
Elic Ayomanor,WR,2025,136,4,Stanford,1,55.0,116.5,0,0,9.71,,,Tennessee Titans
Chimere Dike,WR,2025,103,4,Florida,1,60.0,114.3,0,0,,,,Tennessee Titans - Wisconsin transfer
Tez Johnson,WR,2025,235,7,Oregon,1,90.0,50.0,0,0,,,,Tampa Bay Buccaneers - 165 lbs
