player_name,draft_year,college,season,cfbd_name,player_rec_yards,player_rec_tds,player_receptions,team_rec_yards,team_rec_tds,dominator_rating
Henry Ruggs III,2020,Alabama,2017,Henry Ruggs III,229.0,6.0,12.0,2708.0,28.0,14.9
Henry Ruggs III,2020,Alabama,2018,Henry Ruggs III,741.0,11.0,46.0,4854.0,52.0,18.2
Henry Ruggs III,2020,Alabama,2019,Henry Ruggs III,746.0,7.0,40.0,4449.0,49.0,15.5
Jerry Jeudy,2020,Alabama,2017,Jerry Jeudy,264.0,2.0,14.0,2708.0,28.0,8.4
Jerry Jeudy,2020,Alabama,2018,Jerry Jeudy,1315.0,14.0,68.0,4854.0,52.0,27.0
Jerry Jeudy,2020,Alabama,2019,Jerry Jeudy,1163.0,10.0,77.0,4449.0,49.0,23.3
CeeDee Lamb,2020,Oklahoma,2017,CeeDee Lamb,807.0,7.0,46.0,5065.0,47.0,15.4
CeeDee Lamb,2020,Oklahoma,2018,CeeDee Lamb,1155.0,11.0,64.0,4523.0,43.0,25.6
CeeDee Lamb,2020,Oklahoma,2019,CeeDee Lamb,1327.0,14.0,62.0,4164.0,36.0,35.4
Jalen Reagor,2020,TCU,2017,Jalen Reagor,576.0,8.0,33.0,3431.0,28.0,22.7
Jalen Reagor,2020,TCU,2018,Jalen Reagor,1052.0,9.0,71.0,2740.0,18.0,44.2
Jalen Reagor,2020,TCU,2019,Jalen Reagor,611.0,5.0,43.0,2444.0,15.0,29.2
Justin Jefferson,2020,LSU,2018,Justin Jefferson,874.0,6.0,54.0,2969.0,17.0,32.4
Justin Jefferson,2020,LSU,2019,Justin Jefferson,1540.0,18.0,111.0,6024.0,61.0,27.5
Brandon Aiyuk,2020,Arizona State,2018,Brandon Aiyuk,474.0,3.0,33.0,3023.0,20.0,15.3
Brandon Aiyuk,2020,Arizona State,2019,Brandon Aiyuk,1192.0,8.0,65.0,3235.0,21.0,37.5
Tee Higgins,2020,Clemson,2017,Tee Higgins,345.0,2.0,17.0,3297.0,17.0,11.1
Tee Higgins,2020,Clemson,2018,Tee Higgins,936.0,12.0,59.0,4185.0,37.0,27.4
Tee Higgins,2020,Clemson,2019,Tee Higgins,1167.0,13.0,59.0,4325.0,40.0,29.7
Michael Pittman Jr.,2020,USC,2017,Michael Pittman Jr.,404.0,2.0,23.0,4186.0,26.0,8.7
Michael Pittman Jr.,2020,USC,2018,Michael Pittman Jr.,743.0,6.0,40.0,2978.0,18.0,29.1
Michael Pittman Jr.,2020,USC,2019,Michael Pittman Jr.,1275.0,11.0,101.0,4365.0,35.0,30.3
Laviska Shenault Jr.,2020,Colorado,2017,Laviska Shenault Jr.,168.0,0.0,7.0,3125.0,19.0,2.7
Laviska Shenault Jr.,2020,Colorado,2018,Laviska Shenault Jr.,1011.0,6.0,86.0,2994.0,19.0,32.7
Laviska Shenault Jr.,2020,Colorado,2019,Laviska Shenault Jr.,764.0,4.0,56.0,2858.0,18.0,24.5
KJ Hamler,2020,Penn State,2018,KJ Hamler,755.0,5.0,43.0,2842.0,21.0,25.2
KJ Hamler,2020,Penn State,2019,KJ Hamler,904.0,8.0,56.0,2877.0,25.0,31.7
Chase Claypool,2020,Notre Dame,2017,Chase Claypool,402.0,2.0,29.0,2327.0,20.0,13.6
Chase Claypool,2020,Notre Dame,2018,Chase Claypool,639.0,4.0,50.0,3347.0,23.0,18.2
Chase Claypool,2020,Notre Dame,2019,Chase Claypool,1037.0,13.0,66.0,3278.0,37.0,33.4
Van Jefferson,2020,Florida,2018,Van Jefferson,503.0,6.0,35.0,2776.0,28.0,19.8
Van Jefferson,2020,Florida,2019,Van Jefferson,657.0,6.0,49.0,3910.0,33.0,17.5
Denzel Mims,2020,Baylor,2017,Denzel Mims,1087.0,8.0,61.0,3452.0,23.0,33.1
Denzel Mims,2020,Baylor,2018,Denzel Mims,794.0,8.0,55.0,3775.0,22.0,28.7
Denzel Mims,2020,Baylor,2019,Denzel Mims,1020.0,12.0,66.0,3571.0,24.0,39.3
Lynn Bowden Jr.,2020,Kentucky,2017,Lynn Bowden Jr.,210.0,0.0,17.0,2446.0,10.0,4.3
Lynn Bowden Jr.,2020,Kentucky,2018,Lynn Bowden Jr.,745.0,5.0,67.0,2097.0,13.0,37.0
Lynn Bowden Jr.,2020,Kentucky,2019,Lynn Bowden Jr.,348.0,1.0,30.0,1478.0,9.0,17.3
Bryan Edwards,2020,South Carolina,2017,Bryan Edwards,793.0,5.0,64.0,2794.0,18.0,28.1
Bryan Edwards,2020,South Carolina,2018,Bryan Edwards,846.0,7.0,55.0,3547.0,32.0,22.9
Bryan Edwards,2020,South Carolina,2019,Bryan Edwards,816.0,6.0,71.0,2667.0,12.0,40.3
Devin Duvernay,2020,Texas,2017,Devin Duvernay,124.0,0.0,9.0,3365.0,18.0,1.8
Devin Duvernay,2020,Texas,2018,Devin Duvernay,546.0,4.0,41.0,3617.0,28.0,14.7
Devin Duvernay,2020,Texas,2019,Devin Duvernay,1386.0,9.0,106.0,3761.0,32.0,32.5
Gabriel Davis,2020,UCF,2017,Gabriel Davis,391.0,4.0,27.0,4313.0,38.0,9.8
Gabriel Davis,2020,UCF,2018,Gabriel Davis,815.0,7.0,53.0,3347.0,29.0,24.2
Gabriel Davis,2020,UCF,2019,Gabriel Davis,1241.0,12.0,72.0,4117.0,36.0,31.7
Antonio Gandy-Golden,2020,Liberty,2017,Antonio Gandy-Golden,192.0,2.0,13.0,,,
Antonio Gandy-Golden,2020,Liberty,2018,Antonio Gandy-Golden,1037.0,10.0,71.0,3138.0,21.0,40.3
Antonio Gandy-Golden,2020,Liberty,2019,Antonio Gandy-Golden,1396.0,10.0,79.0,3756.0,29.0,35.8
Joe Reed,2020,Virginia,2017,Joe Reed,244.0,2.0,23.0,3233.0,25.0,7.8
Joe Reed,2020,Virginia,2018,Joe Reed,465.0,7.0,25.0,2750.0,26.0,21.9
Joe Reed,2020,Virginia,2019,Joe Reed,679.0,7.0,77.0,3748.0,23.0,24.3
Tyler Johnson,2020,Minnesota,2017,Tyler Johnson,677.0,7.0,35.0,1513.0,9.0,61.3
Tyler Johnson,2020,Minnesota,2018,Tyler Johnson,1169.0,12.0,78.0,2714.0,20.0,51.5
Tyler Johnson,2020,Minnesota,2019,Tyler Johnson,1318.0,13.0,86.0,3293.0,31.0,41.0
