player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS
Amari Cooper,WR,2015,4,1,Alabama,9,1.0,51.5,1,1,8.57
Kevin White,WR,2015,7,1,West Virginia,9,609.0,12.2,0,0,9.72
DeVante Parker,WR,2015,14,1,Louisville,9,22.0,34.9,1,0,9.75
Nelson Agholor,WR,2015,20,1,USC,9,44.0,27.1,0,0,7.38
Breshad Perriman,WR,2015,26,1,Central Florida,9,25.0,34.599999999999994,0,0,9.95
Phillip Dorsett,WR,2015,29,1,Miami (FL),9,87.0,25.5,0,0,8.47
Devin Smith,WR,2015,37,2,Ohio St.,9,331.0,16.4,0,0,8.61
Dorial Green-Beckham,WR,2015,40,2,Oklahoma,9,144.0,22.9,0,0,6.3
Devin Funchess,WR,2015,41,2,Michigan,9,999.0,0.0,0,0,5.26
Tyler Lockett,WR,2015,69,3,Kansas St.,9,2.0,53.0,1,1,7.71
Jaelen Strong,WR,2015,70,3,Arizona St.,9,234.0,19.3,0,0,9.14
Chris Conley,WR,2015,76,3,Georgia,9,81.0,26.4,0,0,9.68
Sammie Coates,WR,2015,87,3,Auburn,9,27.0,31.9,0,0,9.86
Ty Montgomery,WR,2015,94,3,Stanford,9,31.0,30.3,0,0,7.75
Jamison Crowder,WR,2015,105,4,Duke,9,44.0,27.1,0,0,1.31
Justin Hardy,WR,2015,107,4,East Carolina,9,451.0,14.3,0,0,4.87
Vince Mayle,WR,2015,123,4,Washington St.,9,998.0,6.2,0,0,4.63
DeAndre Smelter,WR,2015,132,4,Georgia Tech,9,1474.0,3.3000000000000003,0,0,
Rashad Greene,WR,2015,139,5,Florida St.,9,367.0,15.8,0,0,5.37
Stefon Diggs,WR,2015,146,5,Maryland,9,2.0,44.8,1,1,5.66
Tony Lippett,WR,2015,156,5,Michigan St.,9,999.0,0.0,0,0,3.99
JJ Nelson,WR,2015,159,5,Ala-Birmingham,9,999.0,0.0,0,0,
Kenny Bell,WR,2015,162,5,Nebraska,9,999.0,0.0,0,0,9.2
Keith Mumphery,WR,2015,175,5,Michigan St.,9,780.0,9.600000000000001,0,0,4.36
Kaelin Clay,WR,2015,184,6,Utah,9,998.0,6.2,0,0,2.18
Geremy Davis,WR,2015,186,6,Connecticut,9,1257.0,4.5,0,0,9.66
Evan Spencer,WR,2015,187,6,Ohio St.,9,999.0,0.0,0,0,8.37
Bud Sasser,WR,2015,201,6,Missouri,9,999.0,0.0,0,0,7.45
Darren Waller,WR,2015,204,6,Georgia Tech,9,999.0,0.0,0,0,
Neal Sterling,WR,2015,220,7,Monmouth,9,999.0,0.0,0,0,6.62
Andre Debose,WR,2015,221,7,Florida,9,999.0,0.0,0,0,8.13
Da'Ron Brown,WR,2015,233,7,Northern Illinois,9,999.0,0.0,0,0,
Dezmin Lewis,WR,2015,234,7,Central Arkansas,9,1921.0,0.0,0,0,4.77
Mario Alford,WR,2015,238,7,West Virginia,9,1535.0,2.5,0,0,5.4
Tre McBride,WR,2015,245,7,William & Mary,9,496.0,12.200000000000001,0,0,9.56
Corey Coleman,WR,2016,15,1,Baylor,8,61.0,27.4,0,0,9.66
Will Fuller,WR,2016,21,1,Notre Dame,8,1.0,53.7,1,1,7.17
Josh Doctson,WR,2016,22,1,TCU,8,384.0,14.600000000000001,0,0,9.41
Laquon Treadwell,WR,2016,23,1,Mississippi,8,454.0,14.700000000000001,0,0,3.33
Sterling Shepard,WR,2016,40,2,Oklahoma,8,22.0,33.6,1,0,7.62
Michael Thomas,WR,2016,47,2,Ohio St.,8,6.0,41.2,1,1,9.11
Tyler Boyd,WR,2016,55,2,Pittsburgh,8,27.0,33.8,0,0,4.27
Braxton Miller,WR,2016,85,3,Ohio St.,8,503.0,13.6,0,0,8.59
Leonte Carroo,WR,2016,86,3,Rutgers,8,440.0,14.4,0,0,6.96
Chris Moore,WR,2016,107,4,Cincinnati,8,128.0,22.4,0,0,7.96
Malcolm Mitchell,WR,2016,112,4,Georgia,8,165.0,21.2,0,0,8.08
Ricardo Louis,WR,2016,114,4,Auburn,8,504.0,12.100000000000001,0,0,9.23
Pharoh Cooper,WR,2016,117,4,South Carolina,8,540.0,12.5,0,0,2.06
Demarcus Robinson,WR,2016,126,4,Florida,8,20.0,35.2,1,0,5.86
Tajae Sharpe,WR,2016,140,5,Massachusetts,8,119.0,23.9,0,0,5.3
Jordan Payton,WR,2016,154,5,UCLA,8,1857.0,1.3,0,0,6.84
Trevor Davis,WR,2016,163,5,California,8,479.0,13.4,0,0,9.14
Tyreek Hill,WR,2016,165,5,West Alabama,8,1.0,57.900000000000006,1,1,9.39
Rashard Higgins,WR,2016,172,5,Colorado St.,8,118.0,21.8,0,0,1.65
Moritz Boehringer,WR,2016,180,6,,8,999.0,0.0,0,0,9.98
Jakeem Grant,WR,2016,186,6,Texas Tech,8,140.0,21.000000000000004,0,0,6.39
Kolby Listenbee,WR,2016,192,6,TCU,8,999.0,0.0,0,0,7.91
Cody Core,WR,2016,199,6,Mississippi,8,606.0,12.200000000000001,0,0,7.38
Mike Thomas,WR,2016,206,6,Southern Miss,8,574.0,13.1,0,0,7.66
Aaron Burbridge,WR,2016,213,6,Michigan St.,8,1279.0,4.9,0,0,2.78
Devin Lucien,WR,2016,225,7,Arizona St.,8,999.0,0.0,0,0,6.68
Demarcus Ayers,WR,2016,229,7,Houston,8,999.0,0.0,0,0,0.89
Daniel Braverman,WR,2016,230,7,Western Michigan,8,1921.0,0.0,0,0,2.56
Devin Fuller,WR,2016,238,7,UCLA,8,999.0,0.0,0,0,8.34
Charone Peake,WR,2016,241,7,Clemson,8,838.0,9.3,0,0,5.76
Kenny Lawler,WR,2016,243,7,California,8,999.0,0.0,0,0,2.09
Corey Davis,WR,2017,5,1,Western Michigan,7,16.0,35.2,1,0,
Mike Williams,WR,2017,7,1,Clemson,7,12.0,36.5,1,1,7.24
John Ross,WR,2017,9,1,Washington,7,23.0,34.8,1,0,9.5
Zay Jones,WR,2017,37,2,East Carolina,7,13.0,34.9,1,0,9.71
Curtis Samuel,WR,2017,40,2,Ohio St.,7,71.0,26.8,0,0,7.45
JuJu Smith-Schuster,WR,2017,62,2,USC,7,10.0,37.900000000000006,1,1,
Cooper Kupp,WR,2017,69,3,Eastern Washington,7,6.0,37.6,1,1,5.0
Taywan Taylor,WR,2017,72,3,Western Kentucky,7,384.0,14.7,0,0,8.7
ArDarius Stewart,WR,2017,79,3,Alabama,7,1076.0,5.6000000000000005,0,0,
Carlos Henderson,WR,2017,82,3,Louisiana Tech,7,999.0,0.0,0,0,5.75
Chris Godwin,WR,2017,84,3,Penn St.,7,8.0,41.2,1,1,9.66
Kenny Golladay,WR,2017,96,3,Northern Illinois,7,55.0,28.3,0,0,8.94
Chad Williams,WR,2017,98,3,Grambling St.,7,671.0,11.000000000000002,0,0,9.01
Amara Darboh,WR,2017,106,3,Michigan,7,1170.0,4.9,0,0,9.6
Dede Westbrook,WR,2017,110,4,Oklahoma,7,153.0,22.2,0,0,4.84
Josh Reynolds,WR,2017,117,4,Texas A&M,7,122.0,23.6,0,0,9.1
Mack Hollins,WR,2017,118,4,North Carolina,7,44.0,29.8,0,0,
Josh Malone,WR,2017,128,4,Tennessee,7,555.0,11.5,0,0,7.03
Ryan Switzer,WR,2017,133,4,North Carolina,7,519.0,13.1,0,0,4.83
Jehu Chesson,WR,2017,139,4,Michigan,7,1595.0,2.0,0,0,7.94
Chad Hansen,WR,2017,141,4,California,7,449.0,15.100000000000001,0,0,7.39
Shelton Gibson,WR,2017,166,5,West Virginia,7,1172.0,5.800000000000001,0,0,3.98
Rodney Adams,WR,2017,170,5,South Florida,7,2066.0,0.0,0,0,6.02
Isaiah McKenzie,WR,2017,172,5,Georgia,7,52.0,29.4,0,0,
DeAngelo Yancey,WR,2017,175,5,Purdue,7,999.0,0.0,0,0,9.08
Trent Taylor,WR,2017,177,5,Louisiana Tech,7,237.0,19.1,0,0,4.0
Robert Davis,WR,2017,209,6,Georgia St.,7,1589.0,2.1,0,0,9.79
Stacy Coley,WR,2017,219,7,Miami (FL),7,1851.0,0.0,0,0,4.46
David Moore,WR,2017,226,7,East Central (OK),7,202.0,20.3,0,0,8.99
Isaiah Ford,WR,2017,237,7,Virginia Tech,7,385.0,15.200000000000001,0,0,5.05
Noah Brown,WR,2017,239,7,Ohio St.,7,69.0,27.3,0,0,6.88
Malachi Dupre,WR,2017,247,7,LSU,7,999.0,0.0,0,0,7.2
D.J. Moore,WR,2018,24,1,Maryland,6,27.0,31.900000000000002,0,0,9.65
Calvin Ridley,WR,2018,26,1,Alabama,6,4.0,40.5,1,1,5.12
Courtland Sutton,WR,2018,40,2,SMU,6,35.0,29.700000000000003,0,0,9.81
Dante Pettis,WR,2018,44,2,Washington,6,42.0,29.7,0,0,
Christian Kirk,WR,2018,47,2,Texas A&M,6,13.0,37.8,1,0,6.23
Anthony Miller,WR,2018,51,2,Memphis,6,70.0,26.8,0,0,9.27
James Washington,WR,2018,60,2,Oklahoma St.,6,178.0,21.1,0,0,5.55
DJ Chark,WR,2018,61,2,LSU,6,60.0,27.8,0,0,
Michael Gallup,WR,2018,81,3,Colorado St.,6,31.0,32.8,0,0,5.87
Tre'Quan Smith,WR,2018,91,3,Central Florida,6,25.0,31.700000000000003,0,0,6.85
Keke Coutee,WR,2018,103,4,Texas Tech,6,62.0,28.0,0,0,5.64
Antonio Callaway,WR,2018,105,4,Florida,6,279.0,17.9,0,0,6.2
DaeSean Hamilton,WR,2018,113,4,Penn St.,6,246.0,18.5,0,0,8.09
Jaleel Scott,WR,2018,132,4,New Mexico St.,6,1617.0,2.6,0,0,7.6
J'Mon Moore,WR,2018,133,4,Missouri,6,1639.0,2.0,0,0,8.43
Justin Watson,WR,2018,144,5,Pennsylvania,6,304.0,16.9,0,0,9.61
Daurice Fountain,WR,2018,159,5,Northern Iowa,6,1401.0,4.300000000000001,0,0,7.98
Jordan Lasley,WR,2018,162,5,UCLA,6,999.0,0.0,0,0,4.47
Marquez Valdes-Scantling,WR,2018,174,5,South Florida,6,76.0,25.9,0,0,9.26
Damion Ratley,WR,2018,175,6,Texas A&M,6,422.0,14.4,0,0,9.02
Deon Cain,WR,2018,185,6,Clemson,6,1145.0,5.5,0,0,6.47
Ray-Ray McCloud,WR,2018,187,6,Clemson,6,286.0,18.1,0,0,3.71
