player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,birthdate,declare_status,early_declare,draft_age,declare_source,rush_attempts,rush_yards,rush_touchdowns,rush_games,rush_source,rush_tds
Amari Cooper,WR,2015,4,1,Alabama,9.0,10.0,246.5,1.0,1.0,8.57,19.0,47.19794344473008,1994-06-17,EARLY,1,20.0,existing,5.0,23.0,0.0,13.0,cfbd,
Kevin White,WR,2015,7,1,West Virginia,9.0,120.0,38.6,0.0,0.0,9.72,19.0,36.78718757583111,1992-10-21,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
DeVante Parker,WR,2015,14,1,Louisville,9.0,11.0,246.2,1.0,1.0,9.75,19.0,24.79291384929009,1993-01-20,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Nelson Agholor,WR,2015,20,1,USC,9.0,22.0,187.5,1.0,0.0,7.38,20.0,32.41003032237472,1993-05-24,EARLY,1,21.0,existing,4.0,3.0,0.0,13.0,cfbd,
Breshad Perriman,WR,2015,26,1,Central Florida,9.0,51.0,138.1,0.0,0.0,9.95,20.0,36.62961752206604,1993-09-10,EARLY,1,21.0,existing,1.0,0.0,0.0,13.0,cfbd,
Phillip Dorsett,WR,2015,29,1,Miami (FL),9.0,70.0,100.8,0.0,0.0,8.47,19.0,37.13870610663551,1993-01-05,STANDARD,0,22.0,existing,2.0,-6.0,0.0,13.0,cfbd,
Devin Smith,WR,2015,37,2,Ohio St.,9.0,141.0,26.5,0.0,0.0,8.61,19.0,26.843038267370613,1992-03-03,LATE,0,23.0,existing,24.0,3.0,0.0,13.0,cfbd,
Dorial Green-Beckham,WR,2015,40,2,Oklahoma,9.0,58.0,112.9,0.0,0.0,6.3,20.0,31.8265901221068,1993-04-12,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Devin Funchess,WR,2015,41,2,Michigan,9.0,999.0,0.0,0.0,0.0,5.26,20.0,37.94809010773752,1994-05-21,EARLY,1,20.0,existing,2.0,-11.0,0.0,13.0,cfbd,
Tyler Lockett,WR,2015,69,3,Kansas St.,9.0,8.0,265.4,1.0,1.0,7.71,19.0,44.18873940973839,1992-09-28,STANDARD,0,22.0,existing,3.0,17.0,0.0,13.0,cfbd,
Jaelen Strong,WR,2015,70,3,Arizona St.,9.0,110.0,48.1,0.0,0.0,9.14,20.0,31.086647257328124,1994-01-25,EARLY,1,21.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Chris Conley,WR,2015,76,3,Georgia,9.0,43.0,156.5,0.0,0.0,9.68,19.0,29.589562024652505,1992-10-25,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Sammie Coates,WR,2015,87,3,Auburn,9.0,91.0,77.9,0.0,0.0,9.86,20.0,27.548555654145712,1993-03-31,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Ty Montgomery,WR,2015,94,3,Stanford,9.0,55.0,140.5,0.0,0.0,7.75,19.0,17.60709504685408,1993-01-22,STANDARD,0,22.0,existing,23.0,144.0,1.0,13.0,cfbd,
Jamison Crowder,WR,2015,105,4,Duke,9.0,26.0,197.7,0.0,0.0,1.31,19.0,31.59358487067767,1993-06-17,STANDARD,0,21.0,cfbd_roster_confirmed,2.0,9.0,0.0,13.0,cfbd,
Justin Hardy,WR,2015,107,4,East Carolina,9.0,96.0,65.3,0.0,0.0,4.87,19.0,31.578877139140005,1991-12-18,LATE,0,23.0,existing,1.0,7.0,1.0,13.0,cfbd,
Vince Mayle,WR,2015,123,4,Washington St.,9.0,177.0,6.2,0.0,0.0,4.63,21.0,22.93614794138172,1991-11-16,LATE,0,23.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
DeAndre Smelter,WR,2015,132,4,Georgia Tech,9.0,183.0,3.3,0.0,0.0,3.984833334553294,21.0,37.88213047589032,1991-12-03,LATE,0,23.0,existing,3.0,103.0,1.0,13.0,cfbd,
Rashad Greene,WR,2015,139,5,Florida St.,9.0,112.0,46.3,0.0,0.0,5.37,19.0,17.616,1992-09-23,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Stefon Diggs,WR,2015,146,5,Maryland,9.0,3.0,328.6,1.0,1.0,5.66,20.0,26.98953986433075,1993-11-29,EARLY,1,21.0,existing,5.0,28.0,0.0,13.0,cfbd,
Tony Lippett,WR,2015,156,5,Michigan St.,9.0,999.0,0.0,0.0,0.0,3.99,20.0,38.63269062422842,1992-08-12,STANDARD,0,22.0,existing,2.0,51.0,1.0,13.0,cfbd,
JJ Nelson,WR,2015,159,5,Ala-Birmingham,9.0,57.0,139.1,0.0,0.0,7.92,19.0,24.18412188538669,1992-04-24,LATE,0,23.0,existing,5.0,45.0,0.0,13.0,cfbd,
Kenny Bell,WR,2015,162,5,Nebraska,9.0,999.0,0.0,0.0,0.0,9.2,19.0,26.79089590134204,1992-02-25,LATE,0,23.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Keith Mumphery,WR,2015,175,5,Michigan St.,9.0,140.0,26.9,0.0,0.0,4.36,20.0,12.991290880114924,1992-06-05,STANDARD,0,22.0,existing,6.0,85.0,1.0,13.0,cfbd,
Kaelin Clay,WR,2015,184,6,Utah,9.0,134.0,23.4,0.0,0.0,2.18,19.0,20.17509727626459,1992-01-02,LATE,0,23.0,existing,4.0,4.0,0.0,13.0,cfbd,
Geremy Davis,WR,2015,186,6,Connecticut,9.0,174.0,6.8,0.0,0.0,9.66,19.0,32.052,1992-01-10,LATE,0,23.0,existing,23.0,203.0,1.0,13.0,web_research,
Evan Spencer,WR,2015,187,6,Ohio St.,9.0,999.0,0.0,0.0,0.0,8.37,19.0,5.581139928320937,1993-05-26,STANDARD,0,21.0,cfbd_roster_confirmed,1.0,9.0,0.0,13.0,cfbd,
Bud Sasser,WR,2015,201,6,Missouri,9.0,999.0,0.0,0.0,0.0,7.45,20.0,42.93882175226586,1991-08-25,LATE,0,23.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Darren Waller,WR,2015,204,6,Georgia Tech,9.0,999.0,0.0,0.0,0.0,5.236019038420589,20.0,27.81995816978483,1992-09-13,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Neal Sterling,WR,2015,220,7,Monmouth,9.0,999.0,0.0,0.0,0.0,6.62,19.0,14.099,1992-04-11,LATE,0,23.0,existing,0.0,0.0,0.0,13.0,unknown_fcs,0.0
Andre Debose,WR,2015,221,7,Florida,9.0,999.0,0.0,0.0,0.0,8.13,,16.72473867595819,1990-09-12,LATE,0,24.0,existing,2.0,30.0,0.0,13.0,cfbd,
Da'Ron Brown,WR,2015,233,7,Northern Illinois,9.0,999.0,0.0,0.0,0.0,8.12,19.0,35.5923743907929,1991-09-21,LATE,0,23.0,existing,10.0,108.0,1.0,13.0,cfbd,
Dezmin Lewis,WR,2015,234,7,Central Arkansas,9.0,197.0,0.0,0.0,0.0,4.77,19.0,16.387,1992-12-05,STANDARD,0,22.0,existing,1.0,0.0,0.0,13.0,cfbd,
Mario Alford,WR,2015,238,7,West Virginia,9.0,187.0,2.5,0.0,0.0,5.4,19.0,32.619509827711724,1992-02-25,LATE,0,23.0,existing,2.0,14.0,0.0,13.0,cfbd,
Tre McBride,WR,2015,245,7,William & Mary,9.0,135.0,22.4,0.0,0.0,9.56,,14.2,1992-12-01,STANDARD,0,22.0,existing,3.0,6.0,0.0,13.0,cfbd,
Corey Coleman,WR,2016,15,1,Baylor,8.0,82.0,93.3,0.0,0.0,9.66,21.0,40.83301130325573,1994-07-06,EARLY,1,21.0,existing,22.0,111.0,,12.0,cfbd,0.0
Will Fuller,WR,2016,21,1,Notre Dame,8.0,32.0,188.9,0.0,0.0,7.17,21.0,17.597,1994-04-16,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Josh Doctson,WR,2016,22,1,TCU,8.0,56.0,119.8,0.0,0.0,9.41,22.0,32.63767079352645,1992-12-03,LATE,0,23.0,existing,1.0,6.0,,10.0,cfbd,0.0
Laquon Treadwell,WR,2016,23,1,Mississippi,8.0,88.0,82.4,0.0,0.0,3.33,20.0,28.964113340118857,1995-06-14,EARLY,1,20.0,existing,1.0,-5.0,,13.0,cfbd,0.0
Sterling Shepard,WR,2016,40,2,Oklahoma,8.0,30.0,184.4,0.0,0.0,7.62,22.0,30.5495703812702,1993-02-10,LATE,0,23.0,existing,1.0,5.0,,13.0,cfbd,0.0
Michael Thomas,WR,2016,47,2,Ohio St.,8.0,1.0,374.6,1.0,1.0,9.11,22.0,39.59052417193697,1993-03-03,LATE,0,23.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Tyler Boyd,WR,2016,55,2,Pittsburgh,8.0,17.0,222.9,1.0,0.0,4.27,20.0,32.970137207425346,1994-11-15,EARLY,1,21.0,existing,40.0,349.0,,12.0,cfbd,0.0
Braxton Miller,WR,2016,85,3,Ohio St.,8.0,117.0,41.3,0.0,0.0,8.59,22.0,14.839747025404654,1992-11-30,LATE,0,23.0,existing,42.0,260.0,,13.0,cfbd,1.0
Leonte Carroo,WR,2016,86,3,Rutgers,8.0,156.0,18.8,0.0,0.0,6.96,21.0,42.593455469660064,1994-01-24,STANDARD,0,22.0,existing,0.0,0.0,,8.0,cfbd_confirmed_zero,0.0
Chris Moore,WR,2016,107,4,Cincinnati,8.0,60.0,115.1,0.0,0.0,7.96,22.0,21.36582382029759,1993-06-16,STANDARD,0,22.0,existing,2.0,10.0,,12.0,cfbd,0.0
Malcolm Mitchell,WR,2016,112,4,Georgia,8.0,81.0,96.1,0.0,0.0,8.08,23.0,35.83303645647785,1992-07-20,LATE,0,23.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Ricardo Louis,WR,2016,114,4,Auburn,8.0,93.0,62.7,0.0,0.0,9.23,21.0,31.942735447231424,1994-03-23,STANDARD,0,22.0,existing,29.0,158.0,,13.0,cfbd,1.0
Pharoh Cooper,WR,2016,117,4,South Carolina,8.0,104.0,55.5,0.0,0.0,2.06,20.0,43.06756437514765,1995-03-07,EARLY,1,21.0,existing,24.0,111.0,,12.0,cfbd,1.0
