player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator
Amari Cooper,WR,2015,4,1,Alabama,9,12.0,253.6,1,1,8.57,19.0,272.87
Kevin White,WR,2015,7,1,West Virginia,9,119.0,38.6,0,0,9.72,19.0,291.97
DeVante Parker,WR,2015,14,1,Louisville,9,13.0,246.2,1,0,9.75,19.0,169.25
Nelson Agholor,WR,2015,20,1,USC,9,18.0,222.1,1,0,7.38,20.0,211.83
Breshad Perriman,WR,2015,26,1,Central Florida,9,53.0,138.1,0,0,9.95,20.0,188.86
Phillip Dorsett,WR,2015,29,1,Miami (FL),9,71.0,105.9,0,0,8.47,19.0,188.37
Devin Smith,WR,2015,37,2,Ohio St.,9,142.0,26.5,0,0,8.61,19.0,238.58
Dorial Green-Beckham,WR,2015,40,2,Oklahoma,9,62.0,112.9,0,0,6.3,20.0,182.82
Devin Funchess,WR,2015,41,2,Michigan,9,999.0,0.0,0,0,5.26,20.0,184.05
Tyler Lockett,WR,2015,69,3,Kansas St.,9,5.0,274.0,1,1,7.71,19.0,364.97
Jaelen Strong,WR,2015,70,3,Arizona St.,9,109.0,50.8,0,0,9.14,20.0,221.46
Chris Conley,WR,2015,76,3,Georgia,9,45.0,156.5,0,0,9.68,19.0,131.81
Sammie Coates,WR,2015,87,3,Auburn,9,90.0,83.3,0,0,9.86,20.0,295.09
Ty Montgomery,WR,2015,94,3,Stanford,9,45.0,179.3,0,0,7.75,19.0,301.29
Jamison Crowder,WR,2015,105,4,Duke,9,29.0,197.7,0,0,1.31,19.0,253.6
Justin Hardy,WR,2015,107,4,East Carolina,9,96.0,69.1,0,0,4.87,19.0,215.58
Vince Mayle,WR,2015,123,4,Washington St.,9,176.0,6.2,0,0,4.63,21.0,66.27
DeAndre Smelter,WR,2015,132,4,Georgia Tech,9,182.0,3.3000000000000003,0,0,,21.0,169.95
Rashad Greene,WR,2015,139,5,Florida St.,9,125.0,40.3,0,0,5.37,19.0,176.16
Stefon Diggs,WR,2015,146,5,Maryland,9,2.0,391.7000000000001,1,1,5.66,20.0,278.95
Tony Lippett,WR,2015,156,5,Michigan St.,9,999.0,0.0,0,0,3.99,20.0,120.7
JJ Nelson,WR,2015,159,5,Ala-Birmingham,9,999.0,0.0,0,0,,19.0,319.65
Kenny Bell,WR,2015,162,5,Nebraska,9,999.0,0.0,0,0,9.2,19.0,212.43
Keith Mumphery,WR,2015,175,5,Michigan St.,9,141.0,26.9,0,0,4.36,20.0,109.89
Kaelin Clay,WR,2015,184,6,Utah,9,134.0,23.4,0,0,2.18,19.0,104.04
Geremy Davis,WR,2015,186,6,Connecticut,9,174.0,6.8,0,0,9.66,19.0,320.52
Evan Spencer,WR,2015,187,6,Ohio St.,9,999.0,0.0,0,0,8.37,19.0,147.49
Bud Sasser,WR,2015,201,6,Missouri,9,999.0,0.0,0,0,7.45,20.0,71.81
Darren Waller,WR,2015,204,6,Georgia Tech,9,999.0,0.0,0,0,,20.0,141.87
Neal Sterling,WR,2015,220,7,Monmouth,9,999.0,0.0,0,0,6.62,19.0,140.99
Andre Debose,WR,2015,221,7,Florida,9,999.0,0.0,0,0,8.13,19.0,132.19
Da'Ron Brown,WR,2015,233,7,Northern Illinois,9,999.0,0.0,0,0,,19.0,240.65
Dezmin Lewis,WR,2015,234,7,Central Arkansas,9,197.0,0.0,0,0,4.77,19.0,163.87
Mario Alford,WR,2015,238,7,West Virginia,9,187.0,2.5,0,0,5.4,19.0,118.97
Tre McBride,WR,2015,245,7,William & Mary,9,136.0,22.4,0,0,9.56,,
Corey Coleman,WR,2016,15,1,Baylor,8,83.0,93.3,0,0,9.66,18.0,350.39
Will Fuller,WR,2016,21,1,Notre Dame,8,34.0,188.9,0,0,7.17,18.0,175.97
Josh Doctson,WR,2016,22,1,TCU,8,59.0,119.8,0,0,9.41,18.0,256.67
Laquon Treadwell,WR,2016,23,1,Mississippi,8,89.0,82.4,0,0,3.33,20.0,221.27
Sterling Shepard,WR,2016,40,2,Oklahoma,8,31.0,194.7,0,0,7.62,18.0,273.58
Michael Thomas,WR,2016,47,2,Ohio St.,8,1.0,388.6,1,1,9.11,18.0,253.61
Tyler Boyd,WR,2016,55,2,Pittsburgh,8,18.0,222.9,1,0,4.27,18.0,254.52
Braxton Miller,WR,2016,85,3,Ohio St.,8,118.0,41.3,0,0,8.59,18.0,200.43
Leonte Carroo,WR,2016,86,3,Rutgers,8,155.0,18.8,0,0,6.96,20.0,240.06
Chris Moore,WR,2016,107,4,Cincinnati,8,63.0,115.1,0,0,7.96,18.0,257.07
Malcolm Mitchell,WR,2016,112,4,Georgia,8,72.0,110.6,0,0,8.08,18.0,229.66
Ricardo Louis,WR,2016,114,4,Auburn,8,94.0,62.7,0,0,9.23,20.0,228.43
Pharoh Cooper,WR,2016,117,4,South Carolina,8,105.0,55.5,0,0,2.06,18.0,277.21
Demarcus Robinson,WR,2016,126,4,Florida,8,55.0,137.2,0,0,5.86,18.0,350.12
Tajae Sharpe,WR,2016,140,5,Massachusetts,8,74.0,105.3,0,0,5.3,19.0,266.46
Jordan Payton,WR,2016,154,5,UCLA,8,194.0,1.3,0,0,6.84,18.0,209.61
Trevor Davis,WR,2016,163,5,California,8,138.0,30.4,0,0,9.14,18.0,320.52
Tyreek Hill,WR,2016,165,5,West Alabama,8,2.0,393.6,1,1,9.39,18.0,470.06
Rashard Higgins,WR,2016,172,5,Colorado St.,8,59.0,139.5,0,0,1.65,20.0,238.01
Moritz Boehringer,WR,2016,180,6,,8,999.0,0.0,0,0,9.98,,
Jakeem Grant,WR,2016,186,6,Texas Tech,8,94.0,81.3,0,0,6.39,18.0,226.41
Kolby Listenbee,WR,2016,192,6,TCU,8,999.0,0.0,0,0,7.91,22.0,115.67
Cody Core,WR,2016,199,6,Mississippi,8,123.0,37.0,0,0,7.38,18.0,350.39
Mike Thomas,WR,2016,206,6,Southern Miss,8,140.0,30.3,0,0,7.66,18.0,253.61
Aaron Burbridge,WR,2016,213,6,Michigan St.,8,152.0,15.8,0,0,2.78,19.0,277.05
Devin Lucien,WR,2016,225,7,Arizona St.,8,999.0,0.0,0,0,6.68,19.0,174.16
Demarcus Ayers,WR,2016,229,7,Houston,8,999.0,0.0,0,0,0.89,20.0,263.89
Daniel Braverman,WR,2016,230,7,Western Michigan,8,197.0,0.0,0,0,2.56,19.0,313.37
Devin Fuller,WR,2016,238,7,UCLA,8,999.0,0.0,0,0,8.34,18.0,175.97
Charone Peake,WR,2016,241,7,Clemson,8,121.0,37.6,0,0,5.76,19.0,106.63
Kenny Lawler,WR,2016,243,7,California,8,999.0,0.0,0,0,2.09,20.0,106.0
Corey Davis,WR,2017,5,1,Western Michigan,7,29.0,191.4,0,0,,18.0,320.52
Mike Williams,WR,2017,7,1,Clemson,7,14.0,246.6,1,0,7.24,18.0,371.37
John Ross,WR,2017,9,1,Washington,7,75.0,95.0,0,0,9.5,18.0,186.6
Zay Jones,WR,2017,37,2,East Carolina,7,19.0,232.8,1,0,9.71,18.0,273.39
Curtis Samuel,WR,2017,40,2,Ohio St.,7,28.0,212.1,0,0,7.45,18.0,145.04
JuJu Smith-Schuster,WR,2017,62,2,USC,7,9.0,296.90000000000003,1,1,,21.0,300.0
Cooper Kupp,WR,2017,69,3,Eastern Washington,7,1.0,554.8,1,1,5.0,19.5,
Taywan Taylor,WR,2017,72,3,Western Kentucky,7,83.0,87.6,0,0,8.7,18.0,246.03
ArDarius Stewart,WR,2017,79,3,Alabama,7,146.0,16.900000000000002,0,0,,18.0,233.13
Carlos Henderson,WR,2017,82,3,Louisiana Tech,7,999.0,0.0,0,0,5.75,19.0,214.2
Chris Godwin,WR,2017,84,3,Penn St.,7,3.0,276.1,1,1,9.66,21.0,239.6
Kenny Golladay,WR,2017,96,3,Northern Illinois,7,11.0,248.0,1,1,8.94,21.0,277.72
Chad Williams,WR,2017,98,3,Grambling St.,7,127.0,41.0,0,0,9.01,18.0,371.37
Amara Darboh,WR,2017,106,3,Michigan,7,150.0,15.1,0,0,9.6,21.0,169.4
Dede Westbrook,WR,2017,110,4,Oklahoma,7,34.0,175.5,0,0,4.84,21.0,153.53
Josh Reynolds,WR,2017,117,4,Texas A&M,7,45.0,156.0,0,0,9.1,18.0,172.97
Mack Hollins,WR,2017,118,4,North Carolina,7,47.0,154.0,0,0,,21.0,173.84
Josh Malone,WR,2017,128,4,Tennessee,7,140.0,18.5,0,0,7.03,18.0,168.2
Ryan Switzer,WR,2017,133,4,North Carolina,7,97.0,69.4,0,0,4.83,19.0,163.33
Jehu Chesson,WR,2017,139,4,Michigan,7,182.0,3.8,0,0,7.94,19.0,155.66
Chad Hansen,WR,2017,141,4,California,7,121.0,46.6,0,0,7.39,21.0,39.82
Shelton Gibson,WR,2017,166,5,West Virginia,7,178.0,5.800000000000001,0,0,3.98,19.0,173.43
Rodney Adams,WR,2017,170,5,South Florida,7,227.0,0.0,0,0,6.02,18.0,243.7
Isaiah McKenzie,WR,2017,172,5,Georgia,7,57.0,122.8,0,0,,21.0,37.61
DeAngelo Yancey,WR,2017,175,5,Purdue,7,999.0,0.0,0,0,9.08,19.0,138.89
Trent Taylor,WR,2017,177,5,Louisiana Tech,7,69.0,98.0,0,0,4.0,18.0,246.03
Robert Davis,WR,2017,209,6,Georgia St.,7,196.0,3.7,0,0,9.79,18.0,320.52
Stacy Coley,WR,2017,219,7,Miami (FL),7,200.0,0.0,0,0,4.46,19.0,145.57
David Moore,WR,2017,226,7,East Central (OK),7,68.0,120.3,0,0,8.99,18.0,257.07
Isaiah Ford,WR,2017,237,7,Virginia Tech,7,110.0,55.6,0,0,5.05,18.0,237.82
Noah Brown,WR,2017,239,7,Ohio St.,7,58.0,122.4,0,0,6.88,18.0,314.12
Malachi Dupre,WR,2017,247,7,LSU,7,999.0,0.0,0,0,7.2,21.0,216.55
