player_name,college,draft_year,season,cfbd_school,cfbd_name,rec_yards,receptions,rec_tds,team_pass_att,status
Amari Cooper,Alabama,2015,2014,Alabama,Amari Cooper,1727.0,124.0,16.0,451.0,found
Kevin White,West Virginia,2015,2014,West Virginia,Kevin White,1447.0,109.0,10.0,534.0,found
DeVante Parker,Louisville,2015,2014,Louisville,DeVante Parker,855.0,43.0,5.0,428.0,found
Nelson Agholor,USC,2015,2014,USC,Nelson Agholor,1313.0,104.0,12.0,460.0,found
Breshad Perriman,Central Florida,2015,2014,UCF,Breshad Perriman,1044.0,50.0,9.0,416.0,found
Phillip Dorsett,Miami (FL),2015,2014,Miami,Phillip Dorsett,871.0,36.0,10.0,391.0,found
Devin Smith,Ohio St.,2015,2014,Ohio State,Devin Smith,931.0,33.0,12.0,409.0,found
Dorial Green-Beckham,Oklahoma,2015,2014,Oklahoma,,,,,386.0,not_found
Devin Funchess,Michigan,2015,2014,Michigan,Devin Funchess,733.0,62.0,4.0,326.0,found
Tyler Lockett,Kansas St.,2015,2014,Kansas State,Tyler Lockett,1515.0,106.0,11.0,415.0,found
Jaelen Strong,Arizona St.,2015,2014,Arizona State,Jaelen Strong,1165.0,82.0,10.0,467.0,found
Chris Conley,Georgia,2015,2014,Georgia,Chris Conley,657.0,36.0,8.0,322.0,found
Sammie Coates,Auburn,2015,2014,Auburn,Sammie Coates,741.0,34.0,4.0,332.0,found
Ty Montgomery,Stanford,2015,2014,Stanford,Ty Montgomery,604.0,61.0,3.0,381.0,found
Jamison Crowder,Duke,2015,2014,Duke,Jamison Crowder,1044.0,85.0,6.0,471.0,found
Justin Hardy,East Carolina,2015,2014,East Carolina,Justin Hardy,1494.0,121.0,10.0,637.0,found
Vince Mayle,Washington St.,2015,2014,Washington State,Vince Mayle,1483.0,106.0,9.0,771.0,found
DeAndre Smelter,Georgia Tech,2015,2014,Georgia Tech,DeAndre Smelter,715.0,35.0,7.0,203.0,found
Rashad Greene,Florida St.,2015,2014,Florida State,,,,,516.0,not_found
Stefon Diggs,Maryland,2015,2014,Maryland,Stefon Diggs,792.0,62.0,5.0,418.0,found
Tony Lippett,Michigan St.,2015,2014,Michigan State,Tony Lippett,1198.0,65.0,11.0,400.0,found
JJ Nelson,Ala-Birmingham,2015,2014,UAB,J.J. Nelson,655.0,35.0,4.0,328.0,found
Kenny Bell,Nebraska,2015,2014,Nebraska,Kenny Bell,788.0,47.0,6.0,359.0,found
Keith Mumphery,Michigan St.,2015,2014,Michigan State,Keith Mumphery,495.0,26.0,3.0,400.0,found
Kaelin Clay,Utah,2015,2014,Utah,Kaelin Clay,523.0,43.0,4.0,378.0,found
Geremy Davis,Connecticut,2015,2014,Connecticut,,,,,,not_found
Evan Spencer,Ohio St.,2015,2014,Ohio State,Evan Spencer,149.0,15.0,3.0,409.0,found
Bud Sasser,Missouri,2015,2014,Missouri,Bud Sasser,1003.0,77.0,12.0,415.0,found
Darren Waller,Georgia Tech,2015,2014,Georgia Tech,Darren Waller,442.0,26.0,6.0,203.0,found
Neal Sterling,Monmouth,2015,2014,,,,,,,skipped
Andre Debose,Florida,2015,2014,Florida,Andre Debose,-3.0,1.0,0.0,324.0,found
