player_name,draft_year,pick,college,breakout_age,peak_dominator,RAS,hit24,hit12,best_ppr,draft_age,rec_yards,team_pass_att
Amari Cooper,2015,4,Alabama,19.0,272.87,8.57,1,1,253.6,21.0,1727.0,451.0
Kevin White,2015,7,West Virginia,19.0,291.97,9.72,0,0,38.6,23.0,1447.0,534.0
DeVante Parker,2015,14,Louisville,19.0,169.25,9.75,1,0,246.2,22.0,855.0,428.0
Nelson Agholor,2015,20,USC,20.0,211.83,7.38,1,0,222.1,22.0,1313.0,460.0
Breshad Perriman,2015,26,Central Florida,20.0,188.86,9.95,0,0,138.1,21.0,1044.0,416.0
Phillip Dorsett,2015,29,Miami (FL),19.0,188.37,8.47,0,0,105.9,22.0,871.0,391.0
Devin Smith,2015,37,Ohio St.,19.0,238.58,8.61,0,0,26.5,23.0,931.0,409.0
Dorial Green-Beckham,2015,40,Oklahoma,20.0,182.82,6.3,0,0,112.9,22.0,,386.0
Devin Funchess,2015,41,Michigan,20.0,184.05,5.26,0,0,0.0,21.0,733.0,326.0
Tyler Lockett,2015,69,Kansas St.,19.0,364.97,7.71,1,1,274.0,22.0,1515.0,415.0
Jaelen Strong,2015,70,Arizona St.,20.0,221.46,9.14,0,0,50.8,21.0,1165.0,467.0
Chris Conley,2015,76,Georgia,19.0,131.81,9.68,0,0,156.5,22.0,657.0,322.0
Sammie Coates,2015,87,Auburn,20.0,295.09,9.86,0,0,83.3,22.0,741.0,332.0
Ty Montgomery,2015,94,Stanford,19.0,301.29,7.75,0,0,179.3,22.0,604.0,381.0
Jamison Crowder,2015,105,Duke,19.0,253.6,1.31,0,0,197.7,22.0,1044.0,471.0
Justin Hardy,2015,107,East Carolina,19.0,215.58,4.87,0,0,69.1,23.0,1494.0,637.0
Vince Mayle,2015,123,Washington St.,21.0,66.27,4.63,0,0,6.2,24.0,1483.0,771.0
DeAndre Smelter,2015,132,Georgia Tech,21.0,169.95,,0,0,3.3000000000000003,23.0,715.0,203.0
Rashad Greene,2015,139,Florida St.,19.0,176.16,5.37,0,0,40.3,22.0,,516.0
Stefon Diggs,2015,146,Maryland,20.0,278.95,5.66,1,1,391.7000000000001,21.0,792.0,418.0
Tony Lippett,2015,156,Michigan St.,20.0,120.7,3.99,0,0,0.0,23.0,1198.0,400.0
JJ Nelson,2015,159,Ala-Birmingham,19.0,319.65,,0,0,0.0,23.0,655.0,328.0
Kenny Bell,2015,162,Nebraska,19.0,212.43,9.2,0,0,0.0,23.0,788.0,359.0
Keith Mumphery,2015,175,Michigan St.,20.0,109.89,4.36,0,0,26.9,23.0,495.0,400.0
Kaelin Clay,2015,184,Utah,19.0,104.04,2.18,0,0,23.4,23.0,523.0,378.0
Geremy Davis,2015,186,Connecticut,19.0,320.52,9.66,0,0,6.8,23.0,,
Evan Spencer,2015,187,Ohio St.,19.0,147.49,8.37,0,0,0.0,22.0,149.0,409.0
Bud Sasser,2015,201,Missouri,20.0,71.81,7.45,0,0,0.0,,1003.0,415.0
Darren Waller,2015,204,Georgia Tech,20.0,141.87,,0,0,0.0,22.0,442.0,203.0
Neal Sterling,2015,220,Monmouth,19.0,140.99,6.62,0,0,0.0,23.0,,
Andre Debose,2015,221,Florida,19.0,132.19,8.13,0,0,0.0,,-3.0,324.0
Da'Ron Brown,2015,233,Northern Illinois,19.0,240.65,,0,0,0.0,23.0,1065.0,385.0
Dezmin Lewis,2015,234,Central Arkansas,19.0,163.87,4.77,0,0,0.0,22.0,105.0,
Mario Alford,2015,238,West Virginia,19.0,118.97,5.4,0,0,2.5,23.0,945.0,534.0
Tre McBride,2015,245,William & Mary,,,9.56,0,0,22.4,22.0,,
Corey Coleman,2016,15,Baylor,18.0,350.39,9.66,0,0,93.3,22.0,1363.0,389.0
Will Fuller,2016,21,Notre Dame,18.0,175.97,7.17,0,0,188.9,22.0,,385.0
Josh Doctson,2016,22,TCU,18.0,256.67,9.41,0,0,119.8,23.0,1327.0,517.0
Laquon Treadwell,2016,23,Mississippi,20.0,221.27,3.33,0,0,82.4,21.0,1153.0,489.0
Sterling Shepard,2016,40,Oklahoma,18.0,273.58,7.62,0,0,194.7,23.0,1288.0,439.0
Michael Thomas,2016,47,Ohio St.,18.0,253.61,9.11,1,1,388.6,23.0,781.0,
Tyler Boyd,2016,55,Pittsburgh,18.0,254.52,4.27,1,0,222.9,21.0,926.0,343.0
Braxton Miller,2016,85,Ohio St.,18.0,200.43,8.59,0,0,41.3,23.0,341.0,325.0
Leonte Carroo,2016,86,Rutgers,20.0,240.06,6.96,0,0,18.8,22.0,809.0,337.0
Chris Moore,2016,107,Cincinnati,18.0,257.07,7.96,0,0,115.1,23.0,870.0,547.0
Malcolm Mitchell,2016,112,Georgia,18.0,229.66,8.08,0,0,110.6,24.0,865.0,327.0
Ricardo Louis,2016,114,Auburn,20.0,228.43,9.23,0,0,62.7,22.0,,306.0
Pharoh Cooper,2016,117,South Carolina,18.0,277.21,2.06,0,0,55.5,21.0,973.0,351.0
Demarcus Robinson,2016,126,Florida,18.0,350.12,5.86,0,0,137.2,21.0,522.0,405.0
Tajae Sharpe,2016,140,Massachusetts,19.0,266.46,5.3,0,0,105.3,21.0,1319.0,495.0
Jordan Payton,2016,154,UCLA,18.0,209.61,6.84,0,0,1.3,23.0,1106.0,510.0
Trevor Davis,2016,163,California,18.0,320.52,9.14,0,0,30.4,23.0,672.0,550.0
Tyreek Hill,2016,165,West Alabama,18.0,470.06,9.39,1,1,393.6,22.0,,
Rashard Higgins,2016,172,Colorado St.,20.0,238.01,1.65,0,0,139.5,21.0,1062.0,392.0
Moritz Boehringer,2016,180,,,,9.98,0,0,0.0,22.0,,
Jakeem Grant,2016,186,Texas Tech,18.0,226.41,6.39,0,0,81.3,23.0,1268.0,620.0
Kolby Listenbee,2016,192,TCU,22.0,115.67,7.91,0,0,0.0,22.0,597.0,517.0
Cody Core,2016,199,Mississippi,18.0,350.39,7.38,0,0,37.0,22.0,644.0,489.0
Mike Thomas,2016,206,Southern Miss,18.0,253.61,7.66,0,0,30.3,22.0,,
Aaron Burbridge,2016,213,Michigan St.,19.0,277.05,2.78,0,0,15.8,22.0,1258.0,440.0
Devin Lucien,2016,225,Arizona St.,19.0,174.16,6.68,0,0,0.0,23.0,1074.0,534.0
Demarcus Ayers,2016,229,Houston,20.0,263.89,0.89,0,0,0.0,22.0,1222.0,432.0
