player_name,draft_year,college,peak_dominator,breakout_age,age_multiplier,breakout_raw,seasons_found
Henry Ruggs III,2020,Alabama,16.8,20.0,0.8,13.4,3
Jerry Jeudy,2020,Alabama,27.1,20.0,1.15,31.2,3
CeeDee Lamb,2020,Oklahoma,31.9,19.0,1.15,36.7,3
Jalen Reagor,2020,TCU,38.4,20.0,1.15,44.2,3
Justin Jefferson,2020,LSU,29.4,20.0,1.15,33.8,2
Brandon Aiyuk,2020,Arizona State,36.8,21.0,1.0,36.8,2
Tee Higgins,2020,Clemson,27.0,20.0,1.15,31.0,3
Michael Pittman Jr.,2020,USC,29.2,20.0,1.05,30.7,3
Laviska Shenault Jr.,2020,Colorado,33.8,20.0,1.15,38.9,3
KJ Hamler,2020,Penn State,31.4,20.0,1.15,36.1,2
Chase Claypool,2020,Notre Dame,31.6,21.0,1.0,31.6,3
Van Jefferson,2020,Florida,18.1,,0.8,14.5,2
Denzel Mims,2020,Baylor,31.5,19.0,1.15,36.2,3
Lynn Bowden Jr.,2020,Kentucky,35.5,20.0,1.05,37.3,3
Bryan Edwards,2020,South Carolina,30.6,19.0,1.25,38.2,3
Devin Duvernay,2020,Texas,36.9,21.0,1.0,36.9,3
Gabriel Davis,2020,UCF,30.1,20.0,1.15,34.6,3
Antonio Gandy-Golden,2020,Liberty,37.2,20.0,1.05,39.1,3
Joe Reed,2020,Virginia,18.1,,0.8,14.5,3
Tyler Johnson,2020,Minnesota,44.7,19.0,1.15,51.4,3
Collin Johnson,2020,Texas,27.3,19.0,1.15,31.4,3
Quintez Cephus,2020,Wisconsin,32.2,21.0,1.0,32.2,2
John Hightower,2020,Boise State,25.7,21.0,0.9,23.1,2
Darnell Mooney,2020,Tulane,41.7,19.0,1.15,48.0,3
K.J. Osborn,2020,Miami,16.9,,0.8,13.5,1
Donovan Peoples-Jones,2020,Michigan,21.0,20.0,1.15,24.1,3
Quez Watkins,2020,Southern Miss,31.9,20.0,1.05,33.5,3
James Proche,2020,SMU,36.9,19.0,1.05,38.7,3
Isaiah Hodgins,2020,Oregon State,38.3,20.0,1.15,44.0,3
Dezmon Patmon,2020,Washington State,16.8,20.0,0.8,13.4,3
Freddie Swain,2020,Florida,13.2,,0.8,10.6,3
Jauan Jennings,2020,Tennessee,33.7,21.0,0.95,32.0,3
K.J. Hill,2020,Ohio State,17.6,20.0,0.8,14.1,3
Tyrie Cleveland,2020,Florida,20.8,19.0,1.15,23.9,3
Ja'Marr Chase,2021,LSU,29.5,20.0,1.15,33.9,2
Jaylen Waddle,2021,Alabama,17.5,19.0,0.8,14.0,3
DeVonta Smith,2021,Alabama,39.9,20.0,1.05,41.9,4
Kadarius Toney,2021,Florida,21.7,21.0,1.0,21.7,4
Rashod Bateman,2021,Minnesota,37.0,19.0,1.25,46.2,3
Elijah Moore,2021,Ole Miss,36.5,20.0,1.15,42.0,3
Rondale Moore,2021,Purdue,31.5,19.0,1.25,39.4,3
