player_name,college,birthdate,draft_age,seasons_found,seasons_data,breakout_season,breakout_age,peak_dominator,peak_dominator_season,status
Carnell Tate,Ohio State,2005-01-19,20,3,"[{""season"": 2023, ""cfbd_name"": ""Carnell Tate"", ""player_rec_yards"": 264.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 3498.0, ""team_rec_tds"": 26.0, ""dominator"": 0.056966618287373004, ""dominator_pct"": 5.696661828737301, ""age_at_season"": 18}, {""season"": 2024, ""cfbd_name"": ""Carnell Tate"", ""player_rec_yards"": 733.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 4208.0, ""team_rec_tds"": 37.0, ""dominator"": 0.1411500616586168, ""dominator_pct"": 14.11500616586168, ""age_at_season"": 19}, {""season"": 2025, ""cfbd_name"": ""Carnell Tate"", ""player_rec_yards"": 875.0, ""player_rec_tds"": 9.0, ""team_rec_yards"": 3755.0, ""team_rec_tds"": 33.0, ""dominator"": 0.25287495460597986, ""dominator_pct"": 25.287495460597988, ""age_at_season"": 20}]",2025.0,20.0,25.287495460597988,2025.0,breakout_found
Jordyn Tyson,Arizona State,2004-08-12,21,2,"[{""season"": 2024, ""cfbd_name"": ""Jordyn Tyson"", ""player_rec_yards"": 1101.0, ""player_rec_tds"": 10.0, ""team_rec_yards"": 3213.0, ""team_rec_tds"": 26.0, ""dominator"": 0.3636428930546578, ""dominator_pct"": 36.36428930546578, ""age_at_season"": 19}, {""season"": 2025, ""cfbd_name"": ""Jordyn Tyson"", ""player_rec_yards"": 711.0, ""player_rec_tds"": 8.0, ""team_rec_yards"": 2908.0, ""team_rec_tds"": 20.0, ""dominator"": 0.3222489683631362, ""dominator_pct"": 32.22489683631362, ""age_at_season"": 20}]",2024.0,19.0,36.36428930546578,2024.0,breakout_found
Makai Lemon,USC,2004-06-02,21,3,"[{""season"": 2023, ""cfbd_name"": ""Makai Lemon"", ""player_rec_yards"": 88.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 4329.0, ""team_rec_tds"": 37.0, ""dominator"": 0.010164010164010164, ""dominator_pct"": 1.0164010164010164, ""age_at_season"": 19}, {""season"": 2024, ""cfbd_name"": ""Makai Lemon"", ""player_rec_yards"": 764.0, ""player_rec_tds"": 3.0, ""team_rec_yards"": 3795.0, ""team_rec_tds"": 29.0, ""dominator"": 0.15238289945936123, ""dominator_pct"": 15.238289945936124, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Makai Lemon"", ""player_rec_yards"": 1156.0, ""player_rec_tds"": 11.0, ""team_rec_yards"": 3848.0, ""team_rec_tds"": 26.0, ""dominator"": 0.36174636174636177, ""dominator_pct"": 36.17463617463618, ""age_at_season"": 21}]",2025.0,21.0,36.17463617463618,2025.0,breakout_found
Denzel Boston,Washington,2003-12-06,21,4,"[{""season"": 2022, ""cfbd_name"": ""Denzel Boston"", ""player_rec_yards"": 15.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 4807.0, ""team_rec_tds"": 32.0, ""dominator"": 0.0015602246723528188, ""dominator_pct"": 0.15602246723528188, ""age_at_season"": 18}, {""season"": 2023, ""cfbd_name"": ""Denzel Boston"", ""player_rec_yards"": 51.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 5155.0, ""team_rec_tds"": 38.0, ""dominator"": 0.004946653734238604, ""dominator_pct"": 0.49466537342386036, ""age_at_season"": 19}, {""season"": 2024, ""cfbd_name"": ""Denzel Boston"", ""player_rec_yards"": 834.0, ""player_rec_tds"": 9.0, ""team_rec_yards"": 3402.0, ""team_rec_tds"": 22.0, ""dominator"": 0.3271204104537438, ""dominator_pct"": 32.71204104537438, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Denzel Boston"", ""player_rec_yards"": 881.0, ""player_rec_tds"": 11.0, ""team_rec_yards"": 3178.0, ""team_rec_tds"": 26.0, ""dominator"": 0.3501476497071211, ""dominator_pct"": 35.01476497071211, ""age_at_season"": 21}]",2024.0,20.0,35.01476497071211,2025.0,breakout_found
Kevin Concepcion,Texas A&M,2004-09-24,20,1,"[{""season"": 2025, ""cfbd_name"": ""Kevin Concepcion"", ""player_rec_yards"": 919.0, ""player_rec_tds"": 9.0, ""team_rec_yards"": 3378.0, ""team_rec_tds"": 26.0, ""dominator"": 0.3091041581272487, ""dominator_pct"": 30.910415812724867, ""age_at_season"": 20}]",2025.0,20.0,30.910415812724867,2025.0,breakout_found
Chris Bell,Louisville,MISSING,MISSING,4,"[{""season"": 2022, ""cfbd_name"": ""Chris Bell"", ""player_rec_yards"": 105.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2672.0, ""team_rec_tds"": 13.0, ""dominator"": 0.01964820359281437, ""dominator_pct"": 1.964820359281437, ""age_at_season"": null}, {""season"": 2023, ""cfbd_name"": ""Chris Bell"", ""player_rec_yards"": 407.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 3283.0, ""team_rec_tds"": 22.0, ""dominator"": 0.10744053387976629, ""dominator_pct"": 10.74405338797663, ""age_at_season"": null}, {""season"": 2024, ""cfbd_name"": ""Chris Bell"", ""player_rec_yards"": 737.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 3424.0, ""team_rec_tds"": 26.0, ""dominator"": 0.1845457404744788, ""dominator_pct"": 18.45457404744788, ""age_at_season"": null}, {""season"": 2025, ""cfbd_name"": ""Chris Bell"", ""player_rec_yards"": 917.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 2868.0, ""team_rec_tds"": 18.0, ""dominator"": 0.326534170153417, ""dominator_pct"": 32.6534170153417, ""age_at_season"": null}]",2025.0,,32.6534170153417,2025.0,breakout_found
Elijah Sarratt,Indiana,2003-05-28,22,2,"[{""season"": 2024, ""cfbd_name"": ""Elijah Sarratt"", ""player_rec_yards"": 957.0, ""player_rec_tds"": 8.0, ""team_rec_yards"": 3397.0, ""team_rec_tds"": 33.0, ""dominator"": 0.26207170319622486, ""dominator_pct"": 26.207170319622485, ""age_at_season"": 21}, {""season"": 2025, ""cfbd_name"": ""Elijah Sarratt"", ""player_rec_yards"": 806.0, ""player_rec_tds"": 15.0, ""team_rec_yards"": 3826.0, ""team_rec_tds"": 46.0, ""dominator"": 0.2683754176231278, ""dominator_pct"": 26.837541762312778, ""age_at_season"": 22}]",2024.0,21.0,26.837541762312778,2025.0,breakout_found
Zachariah Branch,Georgia,2004-03-29,21,1,"[{""season"": 2025, ""cfbd_name"": ""Zachariah Branch"", ""player_rec_yards"": 811.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 3083.0, ""team_rec_tds"": 25.0, ""dominator"": 0.25152773272786244, ""dominator_pct"": 25.152773272786245, ""age_at_season"": 21}]",2025.0,21.0,25.152773272786245,2025.0,breakout_found
Germie Bernard,Alabama,2003-12-02,21,2,"[{""season"": 2024, ""cfbd_name"": ""Germie Bernard"", ""player_rec_yards"": 794.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 3073.0, ""team_rec_tds"": 17.0, ""dominator"": 0.18801324630079824, ""dominator_pct"": 18.801324630079826, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Germie Bernard"", ""player_rec_yards"": 862.0, ""player_rec_tds"": 7.0, ""team_rec_yards"": 3953.0, ""team_rec_tds"": 32.0, ""dominator"": 0.21840611560839868, ""dominator_pct"": 21.840611560839868, ""age_at_season"": 21}]",2025.0,21.0,21.840611560839868,2025.0,breakout_found
Chris Brazzell,Tennessee,2003-09-22,22,2,"[{""season"": 2024, ""cfbd_name"": ""Chris Brazzell II"", ""player_rec_yards"": 333.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 2875.0, ""team_rec_tds"": 21.0, ""dominator"": 0.10553209109730849, ""dominator_pct"": 10.55320910973085, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Chris Brazzell II"", ""player_rec_yards"": 1017.0, ""player_rec_tds"": 9.0, ""team_rec_yards"": 3807.0, ""team_rec_tds"": 26.0, ""dominator"": 0.3066466630296417, ""dominator_pct"": 30.66466630296417, ""age_at_season"": 21}]",2025.0,21.0,30.66466630296417,2025.0,breakout_found
Ja'Kobi Lane,USC,2004-08-05,21,3,"[{""season"": 2023, ""cfbd_name"": ""Ja'Kobi Lane"", ""player_rec_yards"": 93.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 4329.0, ""team_rec_tds"": 37.0, ""dominator"": 0.037768537768537766, ""dominator_pct"": 3.7768537768537764, ""age_at_season"": 18}, {""season"": 2024, ""cfbd_name"": ""Ja'Kobi Lane"", ""player_rec_yards"": 525.0, ""player_rec_tds"": 12.0, ""team_rec_yards"": 3795.0, ""team_rec_tds"": 29.0, ""dominator"": 0.27606651219844625, ""dominator_pct"": 27.606651219844625, ""age_at_season"": 19}, {""season"": 2025, ""cfbd_name"": ""Ja'Kobi Lane"", ""player_rec_yards"": 745.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 3848.0, ""team_rec_tds"": 26.0, ""dominator"": 0.17372661122661123, ""dominator_pct"": 17.372661122661125, ""age_at_season"": 20}]",2024.0,19.0,27.606651219844625,2024.0,breakout_found
Omar Cooper Jr.,Indiana,2003-12-14,21,3,"[{""season"": 2023, ""cfbd_name"": ""Omar Cooper Jr."", ""player_rec_yards"": 267.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 2548.0, ""team_rec_tds"": 18.0, ""dominator"": 0.10794959009244723, ""dominator_pct"": 10.794959009244723, ""age_at_season"": 19}, {""season"": 2024, ""cfbd_name"": ""Omar Cooper Jr."", ""player_rec_yards"": 594.0, ""player_rec_tds"": 7.0, ""team_rec_yards"": 3397.0, ""team_rec_tds"": 33.0, ""dominator"": 0.1934906914300497, ""dominator_pct"": 19.34906914300497, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Omar Cooper Jr."", ""player_rec_yards"": 961.0, ""player_rec_tds"": 13.0, ""team_rec_yards"": 3826.0, ""team_rec_tds"": 46.0, ""dominator"": 0.26689242937339486, ""dominator_pct"": 26.689242937339486, ""age_at_season"": 21}]",2025.0,21.0,26.689242937339486,2025.0,breakout_found
Antonio Williams,Clemson,2004-07-14,21,5,"[{""season"": 2021, ""cfbd_name"": ""E.J. Williams"", ""player_rec_yards"": 66.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2485.0, ""team_rec_tds"": 12.0, ""dominator"": 0.013279678068410463, ""dominator_pct"": 1.3279678068410463, ""age_at_season"": 17}, {""season"": 2022, ""cfbd_name"": ""E.J. Williams"", ""player_rec_yards"": 70.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 3247.0, ""team_rec_tds"": 24.0, ""dominator"": 0.010779180782260549, ""dominator_pct"": 1.077918078226055, ""age_at_season"": 18}, {""season"": 2023, ""cfbd_name"": ""Antonio Williams"", ""player_rec_yards"": 208.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 2969.0, ""team_rec_tds"": 20.0, ""dominator"": 0.08502862916807005, ""dominator_pct"": 8.502862916807006, ""age_at_season"": 19}, {""season"": 2024, ""cfbd_name"": ""Antonio Williams"", ""player_rec_yards"": 902.0, ""player_rec_tds"": 11.0, ""team_rec_yards"": 3899.0, ""team_rec_tds"": 37.0, ""dominator"": 0.2643193334396207, ""dominator_pct"": 26.431933343962072, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Antonio Williams"", ""player_rec_yards"": 604.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 3481.0, ""team_rec_tds"": 22.0, ""dominator"": 0.17766577002428768, ""dominator_pct"": 17.766577002428768, ""age_at_season"": 21}]",2024.0,20.0,26.431933343962072,2024.0,breakout_found
Skyler Bell,UConn,2002-07-05,23,2,"[{""season"": 2024, ""cfbd_name"": ""Skyler Bell"", ""player_rec_yards"": 860.0, ""player_rec_tds"": 5.0, ""team_rec_yards"": 2579.0, ""team_rec_tds"": 25.0, ""dominator"": 0.2667312911981388, ""dominator_pct"": 26.673129119813883, ""age_at_season"": 22}, {""season"": 2025, ""cfbd_name"": ""Skyler Bell"", ""player_rec_yards"": 1276.0, ""player_rec_tds"": 13.0, ""team_rec_yards"": 3690.0, ""team_rec_tds"": 30.0, ""dominator"": 0.3895663956639567, ""dominator_pct"": 38.956639566395665, ""age_at_season"": 23}]",2024.0,22.0,38.956639566395665,2025.0,breakout_found
Malachi Fields,Notre Dame,MISSING,22,1,"[{""season"": 2025, ""cfbd_name"": ""Malachi Fields"", ""player_rec_yards"": 630.0, ""player_rec_tds"": 5.0, ""team_rec_yards"": 3061.0, ""team_rec_tds"": 25.0, ""dominator"": 0.20290754655341392, ""dominator_pct"": 20.29075465534139, ""age_at_season"": null}]",2025.0,,20.29075465534139,2025.0,breakout_found
