player_name,draft_year,college,breakout_age,peak_dominator,source
Amari Cooper,2015,Alabama,19.0,272.87,calculated
Kevin White,2015,West Virginia,19.0,291.97,calculated
DeVante Parker,2015,Louisville,19.0,169.25,calculated
Nelson Agholor,2015,USC,20.0,211.83,calculated
Breshad Perriman,2015,Central Florida,20.0,188.86,calculated
Phillip Dorsett,2015,Miami (FL),19.0,188.37,calculated
Devin Smith,2015,Ohio St.,19.0,238.58,calculated
Dorial Green-Beckham,2015,Oklahoma,20.0,182.82,calculated
Devin Funchess,2015,Michigan,20.0,184.05,calculated
Tyler Lockett,2015,Kansas St.,19.0,364.97,calculated
Jaelen Strong,2015,Arizona St.,20.0,221.46,calculated
Chris Conley,2015,Georgia,19.0,131.81,calculated
Sammie Coates,2015,Auburn,20.0,295.09,calculated
Ty Montgomery,2015,Stanford,19.0,301.29,calculated
Jamison Crowder,2015,Duke,19.0,253.6,calculated
Justin Hardy,2015,East Carolina,19.0,215.58,calculated
Vince Mayle,2015,Washington St.,21.0,66.27,calculated
DeAndre Smelter,2015,Georgia Tech,21.0,169.95,calculated
Rashad Greene,2015,Florida St.,19.0,176.16,calculated
Stefon Diggs,2015,Maryland,20.0,278.95,calculated
Tony Lippett,2015,Michigan St.,20.0,120.7,calculated
JJ Nelson,2015,Ala-Birmingham,19.0,319.65,calculated
Kenny Bell,2015,Nebraska,19.0,212.43,calculated
Keith Mumphery,2015,Michigan St.,20.0,109.89,calculated
Kaelin Clay,2015,Utah,19.0,104.04,calculated
Geremy Davis,2015,Connecticut,19.0,320.52,calculated
Evan Spencer,2015,Ohio St.,19.0,147.49,calculated
Bud Sasser,2015,Missouri,20.0,71.81,calculated
Darren Waller,2015,Georgia Tech,20.0,141.87,calculated
Neal Sterling,2015,Monmouth,19.0,140.99,calculated
Andre Debose,2015,Florida,19.0,132.19,calculated
Da'Ron Brown,2015,Northern Illinois,19.0,240.65,calculated
Dezmin Lewis,2015,Central Arkansas,19.0,163.87,calculated
Mario Alford,2015,West Virginia,19.0,118.97,calculated
Tre McBride,2015,William & Mary,,,calculated
Corey Coleman,2016,Baylor,18.0,350.39,calculated
Will Fuller,2016,Notre Dame,18.0,175.97,calculated
Josh Doctson,2016,TCU,18.0,256.67,calculated
Laquon Treadwell,2016,Mississippi,20.0,221.27,calculated
Sterling Shepard,2016,Oklahoma,18.0,273.58,calculated
Michael Thomas,2016,Ohio St.,18.0,253.61,calculated
Tyler Boyd,2016,Pittsburgh,18.0,254.52,calculated
Braxton Miller,2016,Ohio St.,18.0,200.43,calculated
Leonte Carroo,2016,Rutgers,20.0,240.06,calculated
Chris Moore,2016,Cincinnati,18.0,257.07,calculated
Malcolm Mitchell,2016,Georgia,18.0,229.66,calculated
Ricardo Louis,2016,Auburn,20.0,228.43,calculated
Pharoh Cooper,2016,South Carolina,18.0,277.21,calculated
Demarcus Robinson,2016,Florida,18.0,350.12,calculated
Tajae Sharpe,2016,Massachusetts,19.0,266.46,calculated
Jordan Payton,2016,UCLA,18.0,209.61,calculated
Trevor Davis,2016,California,18.0,320.52,calculated
Tyreek Hill,2016,West Alabama,18.0,470.06,calculated
Rashard Higgins,2016,Colorado St.,20.0,238.01,calculated
Moritz Boehringer,2016,,,,calculated
Jakeem Grant,2016,Texas Tech,18.0,226.41,calculated
Kolby Listenbee,2016,TCU,22.0,115.67,calculated
Cody Core,2016,Mississippi,18.0,350.39,calculated
Mike Thomas,2016,Southern Miss,18.0,253.61,calculated
Aaron Burbridge,2016,Michigan St.,19.0,277.05,calculated
Devin Lucien,2016,Arizona St.,19.0,174.16,calculated
Demarcus Ayers,2016,Houston,20.0,263.89,calculated
Daniel Braverman,2016,Western Michigan,19.0,313.37,calculated
Devin Fuller,2016,UCLA,18.0,175.97,calculated
Charone Peake,2016,Clemson,19.0,106.63,calculated
Kenny Lawler,2016,California,20.0,106.0,calculated
Corey Davis,2017,Western Michigan,18.0,320.52,calculated
Mike Williams,2017,Clemson,18.0,371.37,calculated
John Ross,2017,Washington,18.0,186.6,calculated
Zay Jones,2017,East Carolina,18.0,273.39,calculated
Curtis Samuel,2017,Ohio St.,18.0,145.04,calculated
JuJu Smith-Schuster,2017,USC,21.0,300.0,calculated
Cooper Kupp,2017,Eastern Washington,19.5,,calculated
Taywan Taylor,2017,Western Kentucky,18.0,246.03,calculated
ArDarius Stewart,2017,Alabama,18.0,233.13,calculated
Carlos Henderson,2017,Louisiana Tech,19.0,214.2,calculated
Chris Godwin,2017,Penn St.,21.0,239.6,calculated
Kenny Golladay,2017,Northern Illinois,21.0,277.72,calculated
Chad Williams,2017,Grambling St.,18.0,371.37,calculated
Amara Darboh,2017,Michigan,21.0,169.4,calculated
Dede Westbrook,2017,Oklahoma,21.0,153.53,calculated
Josh Reynolds,2017,Texas A&M,18.0,172.97,calculated
Mack Hollins,2017,North Carolina,21.0,173.84,calculated
Josh Malone,2017,Tennessee,18.0,168.2,calculated
Ryan Switzer,2017,North Carolina,19.0,163.33,calculated
Jehu Chesson,2017,Michigan,19.0,155.66,calculated
Chad Hansen,2017,California,21.0,39.82,calculated
Shelton Gibson,2017,West Virginia,19.0,173.43,calculated
Rodney Adams,2017,South Florida,18.0,243.7,calculated
Isaiah McKenzie,2017,Georgia,21.0,37.61,calculated
DeAngelo Yancey,2017,Purdue,19.0,138.89,calculated
Trent Taylor,2017,Louisiana Tech,18.0,246.03,calculated
Robert Davis,2017,Georgia St.,18.0,320.52,calculated
Stacy Coley,2017,Miami (FL),19.0,145.57,calculated
David Moore,2017,East Central (OK),18.0,257.07,calculated
Isaiah Ford,2017,Virginia Tech,18.0,237.82,calculated
Noah Brown,2017,Ohio St.,18.0,314.12,calculated
Malachi Dupre,2017,LSU,21.0,216.55,calculated
D.J. Moore,2018,Maryland,18.0,150.46,calculated
Calvin Ridley,2018,Alabama,18.0,200.22,calculated
Courtland Sutton,2018,SMU,20.0,235.52,calculated
Dante Pettis,2018,Washington,18.0,118.36,calculated
Christian Kirk,2018,Texas A&M,18.0,191.91,calculated
Anthony Miller,2018,Memphis,18.0,200.43,calculated
James Washington,2018,Oklahoma St.,18.0,208.32,calculated
DJ Chark,2018,LSU,22.0,,calculated
Michael Gallup,2018,Colorado St.,22.0,,calculated
Tre'Quan Smith,2018,Central Florida,18.0,300.0,calculated
Keke Coutee,2018,Texas Tech,22.0,16.94,calculated
Antonio Callaway,2018,Florida,20.0,148.89,calculated
DaeSean Hamilton,2018,Penn St.,18.0,125.99,calculated
Jaleel Scott,2018,New Mexico St.,18.0,152.46,calculated
