draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier,breakout_score_new
2020,Henry Ruggs III,WR,Alabama,12,21.0,746.0,406.0,188.0,4.27,combine,combine,True,77.8,49.6,94.02173913043478,70.36326086956521,False,Good,37.0
2020,Jerry Jeudy,WR,Alabama,15,21.0,1163.0,406.0,193.0,4.45,combine,combine,True,72.6,70.5,39.130434782608695,66.84456521739129,False,Average,49.0
2020,CeeDee Lamb,WR,Oklahoma,17,21.0,1327.0,381.0,198.0,4.5,combine,combine,True,69.9,83.1,33.15217391304348,69.00782608695651,False,Average,67.6
2020,Jalen Reagor,WR,TCU,21,21.0,611.0,394.0,206.0,4.47,combine,combine,True,65.8,43.8,61.95652173913043,57.52347826086956,False,Average,58.1
2020,Justin Jefferson,WR,LSU,22,21.0,1540.0,567.0,202.0,4.43,combine,combine,True,64.9,67.5,66.84782608695652,66.10217391304349,False,Average,55.5
2020,Brandon Aiyuk,WR,Arizona State,25,22.0,1192.0,383.0,205.0,4.5,combine,combine,True,62.7,69.2,48.91304347826087,62.90695652173913,False,Average,65.1
2020,Tee Higgins,WR,Clemson,33,21.0,1167.0,509.0,216.0,4.54,combine,pro_day,True,58.2,58.9,57.33695652173913,58.31554347826087,False,Average,58.9
2020,Michael Pittman Jr.,WR,USC,34,22.0,1275.0,514.0,223.0,4.52,combine,combine,True,57.8,57.7,72.82608695652173,60.01891304347826,False,Average,55.1
2020,Laviska Shenault Jr.,WR,Colorado,42,21.0,764.0,411.0,227.0,4.58,combine,combine,True,54.9,50.1,61.41304347826087,54.196956521739125,False,Below Avg,50.9
2020,KJ Hamler,WR,Penn State,46,21.0,904.0,369.0,178.0,4.27,combine,school,True,53.7,62.1,73.91304347826086,59.67195652173913,False,Average,61.9
2020,Chase Claypool,WR,Notre Dame,49,22.0,1037.0,416.0,238.0,4.42,combine,combine,True,52.9,57.9,100.0,61.715,False,Average,59.4
2020,Van Jefferson,WR,Florida,57,24.0,657.0,467.0,200.0,4.39,combine,pro_day,True,51.1,32.3,77.44565217391305,48.47184782608696,False,Below Avg,32.0
2020,Denzel Mims,WR,Baylor,59,22.0,1020.0,444.0,207.0,4.38,combine,combine,True,50.7,54.3,92.93478260869566,58.29521739130435,False,Average,67.6
2020,Lynn Bowden Jr.,WR,Kentucky,80,22.0,348.0,257.0,204.0,4.38,combine,high_school,True,47.6,37.1,87.5,49.91,False,Below Avg,37.1
2020,Bryan Edwards,WR,South Carolina,81,21.0,816.0,,212.0,4.53,combine,high_school,True,47.5,,53.2608695652174,,False,,75.2
2020,Devin Duvernay,WR,Texas,92,22.0,1386.0,470.0,200.0,4.39,combine,combine,True,46.3,66.2,77.44565217391305,57.93684782608695,False,Average,58.2
2020,Gabriel Davis,WR,UCF,128,21.0,1241.0,457.0,216.0,4.54,combine,combine,True,43.6,67.5,57.33695652173913,54.02554347826087,False,Below Avg,61.9
2020,Antonio Gandy-Golden,WR,Liberty,142,22.0,1396.0,452.0,223.0,4.6,combine,combine,True,42.8,68.8,46.19565217391305,52.40934782608696,False,Below Avg,62.7
2020,Joe Reed,WR,Virginia,151,22.0,679.0,520.0,224.0,4.47,combine,combine,True,42.4,36.2,92.3913043478261,47.72869565217391,False,Below Avg,46.8
2020,Tyler Johnson,WR,Minnesota,161,22.0,1318.0,323.0,206.0,4.7,combine,pro_day,True,41.9,86.9,5.978260869565218,52.261739130434776,False,Below Avg,69.9
2020,Collin Johnson,WR,Texas,165,22.0,559.0,470.0,222.0,4.65,combine,pro_day,True,41.8,34.0,23.91304347826087,36.38695652173913,False,Below Avg,29.9
2020,Quintez Cephus,WR,Wisconsin,166,22.0,901.0,351.0,202.0,4.73,combine,combine,True,41.7,59.2,1.6304347826086956,41.814565217391305,False,Below Avg,62.3
2020,John Hightower,WR,Boise State,168,24.0,943.0,,189.0,4.43,combine,combine,True,41.7,,38.58695652173913,,False,,40.9
2020,Isaiah Coulter,WR,Rhode Island,171,21.0,205.0,,198.0,4.45,combine,combine,True,41.5,,54.891304347826086,,False,,
2020,Darnell Mooney,WR,Tulane,173,22.0,713.0,336.0,176.0,4.38,combine,combine,True,41.5,51.1,29.89130434782609,43.11869565217391,False,Below Avg,49.9
