player_name,draft_year,breakout_age,breakout_score_new
Henry Ruggs III,2020,,25
Jerry Jeudy,2020,19.0,90
CeeDee Lamb,2020,19.0,90
Jalen Reagor,2020,19.0,90
Justin Jefferson,2020,19.0,90
Brandon Aiyuk,2020,21.0,60
Tee Higgins,2020,19.0,90
Michael Pittman Jr.,2020,20.0,75
Laviska Shenault Jr.,2020,19.0,90
KJ Hamler,2020,19.0,90
Chase Claypool,2020,21.0,60
Van Jefferson,2020,,25
Denzel Mims,2020,19.0,90
Lynn Bowden Jr.,2020,20.0,75
Bryan Edwards,2020,18.0,100
Devin Duvernay,2020,21.0,60
Gabriel Davis,2020,19.0,90
Antonio Gandy-Golden,2020,20.0,75
Joe Reed,2020,,25
Tyler Johnson,2020,19.0,90
Collin Johnson,2020,19.0,90
Quintez Cephus,2020,21.0,60
John Hightower,2020,23.0,30
Isaiah Coulter,2020,,25
Darnell Mooney,2020,19.0,90
K.J. Osborn,2020,,25
Donovan Peoples-Jones,2020,19.0,90
Quez Watkins,2020,20.0,75
James Proche,2020,20.0,75
Isaiah Hodgins,2020,19.0,90
Dezmon Patmon,2020,,25
Freddie Swain,2020,,25
Jauan Jennings,2020,22.0,45
K.J. Hill,2020,,25
Tyrie Cleveland,2020,19.0,90
Ja'Marr Chase,2021,19.0,90
Jaylen Waddle,2021,,25
DeVonta Smith,2021,20.0,75
Kadarius Toney,2021,21.0,60
Rashod Bateman,2021,18.0,100
Elijah Moore,2021,19.0,90
Rondale Moore,2021,18.0,100
D'Wayne Eskridge,2021,20.0,75
Tutu Atwell,2021,19.0,90
Terrace Marshall Jr.,2021,20.0,75
Josh Palmer,2021,18.0,100
Dyami Brown,2021,19.0,90
Amari Rodgers,2021,20.0,75
Nico Collins,2021,19.0,90
Anthony Schwartz,2021,20.0,75
Dez Fitzpatrick,2021,21.0,60
Amon-Ra St. Brown,2021,18.0,100
Jaelon Darden,2021,20.0,75
Tylan Wallace,2021,20.0,75
Jacob Harris,2021,,25
Ihmir Smith-Marsette,2021,20.0,75
Simi Fehoko,2021,22.0,45
Cornell Powell,2021,22.0,45
Frank Darby,2021,,25
Marquez Stevenson,2021,20.0,75
Shi Smith,2021,21.0,60
Racey McMath,2021,,25
Jalen Camp,2021,,25
Seth Williams,2021,19.0,90
Dazz Newsome,2021,20.0,75
Mike Strachan,2021,,25
Tre Nixon,2021,21.0,60
Ben Skowronek,2021,,25
Kawaan Baker,2021,20.0,75
Dax Milne,2021,21.0,60
Drake London,2022,19.0,90
Garrett Wilson,2022,20.0,75
Chris Olave,2022,19.0,90
Jameson Williams,2022,20.0,75
Jahan Dotson,2022,20.0,75
Treylon Burks,2022,19.0,90
Christian Watson,2022,,25
