player_name,draft_year,final_season,college,cfbd_school,cfbd_name,draft_age,rec_yards,receptions,rec_tds,team_pass_att
Amari Cooper,2015,2014,Alabama,Alabama,Amari Cooper,21.0,1727.0,124.0,16.0,451.0
Kevin White,2015,2014,West Virginia,West Virginia,Kevin White,23.0,1447.0,109.0,10.0,534.0
DeVante Parker,2015,2014,Louisville,Louisville,DeVante Parker,22.0,855.0,43.0,5.0,428.0
Nelson Agholor,2015,2014,USC,USC,Nelson Agholor,22.0,1313.0,104.0,12.0,460.0
Breshad Perriman,2015,2014,Central Florida,UCF,Breshad Perriman,21.0,1044.0,50.0,9.0,416.0
Phillip Dorsett,2015,2014,Miami (FL),Miami,Phillip Dorsett,22.0,871.0,36.0,10.0,391.0
Devin Smith,2015,2014,Ohio St.,Ohio State,Devin Smith,23.0,931.0,33.0,12.0,409.0
Dorial Green-Beckham,2015,2014,Oklahoma,Oklahoma,,22.0,,,,386.0
Devin Funchess,2015,2014,Michigan,Michigan,Devin Funchess,21.0,733.0,62.0,4.0,326.0
Tyler Lockett,2015,2014,Kansas St.,Kansas State,Tyler Lockett,22.0,1515.0,106.0,11.0,415.0
Jaelen Strong,2015,2014,Arizona St.,Arizona State,Jaelen Strong,21.0,1165.0,82.0,10.0,467.0
Chris Conley,2015,2014,Georgia,Georgia,Chris Conley,22.0,657.0,36.0,8.0,322.0
Sammie Coates,2015,2014,Auburn,Auburn,Sammie Coates,22.0,741.0,34.0,4.0,332.0
Ty Montgomery,2015,2014,Stanford,Stanford,Ty Montgomery,22.0,604.0,61.0,3.0,381.0
Jamison Crowder,2015,2014,Duke,Duke,Jamison Crowder,22.0,1044.0,85.0,6.0,471.0
Justin Hardy,2015,2014,East Carolina,East Carolina,Justin Hardy,23.0,1494.0,121.0,10.0,637.0
Vince Mayle,2015,2014,Washington St.,Washington State,Vince Mayle,24.0,1483.0,106.0,9.0,771.0
DeAndre Smelter,2015,2014,Georgia Tech,Georgia Tech,DeAndre Smelter,23.0,715.0,35.0,7.0,203.0
Rashad Greene,2015,2014,Florida St.,Florida State,,22.0,,,,516.0
Stefon Diggs,2015,2014,Maryland,Maryland,Stefon Diggs,21.0,792.0,62.0,5.0,418.0
Tony Lippett,2015,2014,Michigan St.,Michigan State,Tony Lippett,23.0,1198.0,65.0,11.0,400.0
JJ Nelson,2015,2014,Ala-Birmingham,UAB,J.J. Nelson,23.0,655.0,35.0,4.0,328.0
Kenny Bell,2015,2014,Nebraska,Nebraska,Kenny Bell,23.0,788.0,47.0,6.0,359.0
Keith Mumphery,2015,2014,Michigan St.,Michigan State,Keith Mumphery,23.0,495.0,26.0,3.0,400.0
Kaelin Clay,2015,2014,Utah,Utah,Kaelin Clay,23.0,523.0,43.0,4.0,378.0
Geremy Davis,2015,2014,Connecticut,Connecticut,,23.0,,,,
Evan Spencer,2015,2014,Ohio St.,Ohio State,Evan Spencer,22.0,149.0,15.0,3.0,409.0
Bud Sasser,2015,2014,Missouri,Missouri,Bud Sasser,,1003.0,77.0,12.0,415.0
Darren Waller,2015,2014,Georgia Tech,Georgia Tech,Darren Waller,22.0,442.0,26.0,6.0,203.0
Neal Sterling,2015,2014,Monmouth,Monmouth,,23.0,,,,
Andre Debose,2015,2014,Florida,Florida,Andre Debose,,-3.0,1.0,0.0,324.0
Da'Ron Brown,2015,2014,Northern Illinois,Northern Illinois,Da'Ron Brown,23.0,1065.0,68.0,6.0,385.0
Dezmin Lewis,2015,2014,Central Arkansas,Central Arkansas,Dezmin Lewis,22.0,105.0,7.0,0.0,
