player_name,draft_year,college,pick,season_used,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,dominator_rating,dominator_pct,status
Amari Cooper,2015,Alabama,4,2014,1727.0,16.0,3890.0,32.0,0.4439588688946015,0.5,0.4719794344473008,47.19794344473008,calculated
Kevin White,2015,West Virginia,7,2014,1447.0,10.0,4121.0,26.0,0.3511283669012375,0.3846153846153846,0.3678718757583111,36.78718757583111,calculated
DeVante Parker,2015,Louisville,14,2014,855.0,5.0,3317.0,21.0,0.2577630388905638,0.238095238095238,0.2479291384929009,24.79291384929009,calculated
Nelson Agholor,2015,USC,20,2014,1313.0,12.0,3856.0,39.0,0.3405082987551867,0.3076923076923077,0.3241003032237472,32.41003032237472,calculated
Breshad Perriman,2015,Central Florida,26,2014,1044.0,9.0,3059.0,23.0,0.3412880026152337,0.391304347826087,0.3662961752206604,36.62961752206604,calculated
Phillip Dorsett,2015,Miami (FL),29,2014,871.0,10.0,2828.0,23.0,0.307991513437058,0.4347826086956521,0.3713870610663551,37.13870610663551,calculated
Devin Smith,2015,Ohio St.,37,2014,931.0,12.0,3707.0,42.0,0.2511464796331265,0.2857142857142857,0.2684303826737061,26.843038267370613,calculated
Dorial Green-Beckham,2015,Oklahoma,40,2013,883.0,12.0,3540.0,31.0,0.24943502824858757,0.3870967741935484,0.31826590122106796,31.826590122106797,fixed_manual
Devin Funchess,2015,Michigan,41,2014,733.0,4.0,2042.0,10.0,0.3589618021547502,0.4,0.3794809010773751,37.94809010773752,calculated
Tyler Lockett,2015,Kansas St.,69,2014,1515.0,11.0,3736.0,23.0,0.4055139186295503,0.4782608695652174,0.4418873940973838,44.18873940973839,calculated
Jaelen Strong,2015,Arizona St.,70,2014,1165.0,10.0,3556.0,34.0,0.327615298087739,0.2941176470588235,0.3108664725732812,31.086647257328124,calculated
Chris Conley,2015,Georgia,76,2014,657.0,8.0,2542.0,24.0,0.2584579071597168,0.3333333333333333,0.295895620246525,29.589562024652505,calculated
Sammie Coates,2015,Auburn,87,2014,741.0,4.0,2254.0,18.0,0.3287488908606921,0.2222222222222222,0.2754855565414571,27.548555654145712,calculated
Ty Montgomery,2015,Stanford,94,2014,604.0,3.0,2988.0,20.0,0.2021419009370816,0.15,0.1760709504685408,17.60709504685408,calculated
Jamison Crowder,2015,Duke,105,2014,1044.0,6.0,2814.0,23.0,0.371002132196162,0.2608695652173913,0.3159358487067767,31.59358487067767,calculated
Justin Hardy,2015,East Carolina,107,2014,1494.0,10.0,4835.0,31.0,0.3089968976215098,0.3225806451612903,0.3157887713914,31.578877139140005,calculated
Vince Mayle,2015,Washington St.,123,2014,1483.0,9.0,5732.0,45.0,0.2587229588276343,0.2,0.2293614794138171,22.93614794138172,calculated
DeAndre Smelter,2015,Georgia Tech,132,2014,715.0,7.0,1837.0,19.0,0.3892215568862275,0.3684210526315789,0.3788213047589032,37.88213047589032,calculated
Rashad Greene,2015,Florida St.,139,2014,,,2736.0,19.0,,,,,player_not_found
