player_name,draft_year,college,season_used,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,dominator_rating,dominator_pct,status,cfbd_name
Dorial Green-Beckham,2015,Oklahoma,2013,883,12,3540,31,0.24943502824858757,0.3870967741935484,0.31826590122106796,31.826590122106797,fixed_manual,Dorial Green-Beckham
Mike Thomas,2016,Southern Miss,2015,1391,14,4616,40,0.30134315424610053,0.35,0.3256715771230503,32.567157712305026,fixed_manual,Michael Thomas
Antonio Callaway,2018,Florida,2016,721,3,2805,18,0.2570409982174688,0.16666666666666666,0.21185383244206774,21.185383244206772,fixed_manual,Antonio Callaway
Ja'Marr Chase,2021,LSU,2019,1780,20,6024,61,0.2954847277556441,0.32786885245901637,0.31167679010733024,31.167679010733025,fixed_manual,Ja'Marr Chase
Tutu Atwell,2021,Louisville,2020,625,7,2683,20,0.23294819232202757,0.35,0.2914740961610138,29.147409616101378,fixed_manual,Chatarius Atwell
Nico Collins,2021,Michigan,2019,729,7,3261,25,0.22355105795768168,0.28,0.25177552897884087,25.177552897884087,fixed_manual,Nico Collins
Tank Dell,2023,Houston,2022,1398,17,4082,40,0.34247917687408136,0.425,0.3837395884370407,38.373958843704074,fixed_manual,Nathaniel Dell
Bub Means,2024,Pittsburgh,2023,576,5,2592,17,0.2222222222222222,0.29411764705882354,0.25816993464052285,25.816993464052285,fixed_manual,Konata Mumpfield
Antonio Gates Jr.,2026,Michigan State,2024,49,0,2617,13,0.018723729461215134,0.0,0.009361864730607567,0.9361864730607566,fixed_manual,Antonio Gates Jr.
Talyn Shettron,2026,Oklahoma State,2024,245,1,3176,22,0.07714105793450882,0.045454545454545456,0.061297801694527136,6.129780169452713,fixed_manual,Talyn Shettron
Jaron Glover,2026,Michigan State,2024,192,2,2617,13,0.07336645013374092,0.15384615384615385,0.1136063019899474,11.36063019899474,fixed_manual,Jaron Glover
Ja'Mori Maclin,2026,Kentucky,2024,313,4,2218,15,0.1411181244364292,0.26666666666666666,0.20389239555154792,20.38923955515479,fixed_fuzzy_match,Jay Maclin
