player_name,draft_year,college,season,player_rec_yards,team_rec_yards,dominator_rating
Henry Ruggs III,2020,Alabama,2019,746.0,4449.0,16.767812991683524
Jerry Jeudy,2020,Alabama,2019,1163.0,4449.0,26.140705776579004
CeeDee Lamb,2020,Oklahoma,2019,1327.0,4164.0,31.86839577329491
Jalen Reagor,2020,TCU,2019,611.0,2444.0,25.0
Justin Jefferson,2020,LSU,2019,1540.0,6024.0,25.56440903054449
Brandon Aiyuk,2020,Arizona State,2019,1192.0,3235.0,36.84698608964451
Tee Higgins,2020,Clemson,2019,1167.0,4325.0,26.98265895953757
Michael Pittman Jr.,2020,USC,2019,1275.0,4365.0,29.20962199312715
Laviska Shenault Jr.,2020,Colorado,2019,764.0,2858.0,26.731980405878236
KJ Hamler,2020,Penn State,2019,904.0,2877.0,31.421619742787627
Chase Claypool,2020,Notre Dame,2019,1037.0,3278.0,31.63514338010982
Van Jefferson,2020,Florida,2019,657.0,3910.0,16.803069053708438
Denzel Mims,2020,Baylor,2019,1020.0,3571.0,28.563427611313358
Lynn Bowden Jr.,2020,Kentucky,2019,348.0,1478.0,23.545331529093367
Bryan Edwards,2020,South Carolina,2019,816.0,2667.0,30.59617547806524
Devin Duvernay,2020,Texas,2019,1386.0,3761.0,36.851901090135605
Gabriel Davis,2020,UCF,2019,1241.0,4117.0,30.14330823415108
Antonio Gandy-Golden,2020,Liberty,2019,1396.0,3756.0,37.167199148029816
Joe Reed,2020,Virginia,2019,679.0,3748.0,18.11632870864461
Tyler Johnson,2020,Minnesota,2019,1318.0,3293.0,40.024293956878225
Collin Johnson,2020,Texas,2019,559.0,3761.0,14.863068332890188
Quintez Cephus,2020,Wisconsin,2019,901.0,2802.0,32.15560314061385
John Hightower,2020,Boise State,2019,943.0,3664.0,25.736899563318776
Isaiah Coulter,2020,Rhode Island,2019,205.0,,
Darnell Mooney,2020,Tulane,2019,713.0,2679.0,26.614408361328856
K.J. Osborn,2020,Miami,2019,547.0,3239.0,16.887928372954615
Donovan Peoples-Jones,2020,Michigan,2019,438.0,3261.0,13.431462741490341
Quez Watkins,2020,Southern Miss,2019,1178.0,3764.0,31.296493092454835
James Proche,2020,SMU,2019,1225.0,4018.0,30.48780487804878
