player_name,draft_year,pick,round,college,games_played,games_source
Amari Cooper,2015,4,1,Alabama,13.0,CFBD (receiving games)
Kevin White,2015,7,1,West Virginia,12.0,CFBD (receiving games)
DeVante Parker,2015,14,1,Louisville,5.0,CFBD (receiving games)
Nelson Agholor,2015,20,1,USC,12.0,CFBD (receiving games)
Breshad Perriman,2015,26,1,Central Florida,12.0,CFBD (receiving games)
Phillip Dorsett,2015,29,1,Miami (FL),11.0,CFBD (receiving games)
Devin Smith,2015,37,2,Ohio St.,12.0,CFBD (receiving games)
Dorial Green-Beckham,2015,40,2,Oklahoma,13.0,CFBD (team games)
Devin Funchess,2015,41,2,Michigan,11.0,CFBD (receiving games)
Tyler Lockett,2015,69,3,Kansas St.,12.0,CFBD (receiving games)
Jaelen Strong,2015,70,3,Arizona St.,11.0,CFBD (receiving games)
Chris Conley,2015,76,3,Georgia,12.0,CFBD (receiving games)
Sammie Coates,2015,87,3,Auburn,11.0,CFBD (receiving games)
Ty Montgomery,2015,94,3,Stanford,11.0,CFBD (receiving games)
Jamison Crowder,2015,105,4,Duke,12.0,CFBD (receiving games)
Justin Hardy,2015,107,4,East Carolina,12.0,CFBD (receiving games)
Vince Mayle,2015,123,4,Washington St.,12.0,CFBD (receiving games)
DeAndre Smelter,2015,132,4,Georgia Tech,10.0,CFBD (receiving games)
Rashad Greene,2015,139,5,Florida St.,13.0,CFBD (receiving games)
Stefon Diggs,2015,146,5,Maryland,9.0,CFBD (receiving games)
Tony Lippett,2015,156,5,Michigan St.,12.0,CFBD (receiving games)
JJ Nelson,2015,159,5,Ala-Birmingham,11.0,CFBD (receiving games)
Kenny Bell,2015,162,5,Nebraska,12.0,CFBD (receiving games)
Keith Mumphery,2015,175,5,Michigan St.,11.0,CFBD (receiving games)
Kaelin Clay,2015,184,6,Utah,10.0,CFBD (receiving games)
Geremy Davis,2015,186,6,Connecticut,,no_data
Evan Spencer,2015,187,6,Ohio St.,11.0,CFBD (receiving games)
Bud Sasser,2015,201,6,Missouri,13.0,CFBD (receiving games)
Darren Waller,2015,204,6,Georgia Tech,9.0,CFBD (receiving games)
Neal Sterling,2015,220,7,Monmouth,11.0,CFBD (team games)
Andre Debose,2015,221,7,Florida,1.0,CFBD (receiving games)
Da'Ron Brown,2015,233,7,Northern Illinois,13.0,CFBD (receiving games)
Dezmin Lewis,2015,234,7,Central Arkansas,1.0,"CFBD (FCS, likely incomplete)"
Mario Alford,2015,238,7,West Virginia,12.0,CFBD (receiving games)
Tre McBride,2015,245,7,William & Mary,1.0,"CFBD (FCS, likely incomplete)"
Corey Coleman,2016,15,1,Baylor,12.0,PFF
Will Fuller,2016,21,1,Notre Dame,13.0,PFF
Josh Doctson,2016,22,1,TCU,10.0,PFF
Laquon Treadwell,2016,23,1,Mississippi,13.0,PFF
Sterling Shepard,2016,40,2,Oklahoma,13.0,PFF
Michael Thomas,2016,47,2,Ohio St.,13.0,PFF
Tyler Boyd,2016,55,2,Pittsburgh,12.0,PFF
Braxton Miller,2016,85,3,Ohio St.,13.0,PFF
Leonte Carroo,2016,86,3,Rutgers,8.0,PFF
Chris Moore,2016,107,4,Cincinnati,12.0,PFF
Malcolm Mitchell,2016,112,4,Georgia,13.0,PFF
Ricardo Louis,2016,114,4,Auburn,13.0,PFF
Pharoh Cooper,2016,117,4,South Carolina,12.0,PFF
Demarcus Robinson,2016,126,4,Florida,13.0,PFF
Tajae Sharpe,2016,140,5,Massachusetts,12.0,PFF
Jordan Payton,2016,154,5,UCLA,13.0,PFF
Trevor Davis,2016,163,5,California,13.0,PFF
Tyreek Hill,2016,165,5,West Alabama,,no_data (D2/NAIA)
Rashard Higgins,2016,172,5,Colorado St.,12.0,PFF
Moritz Boehringer,2016,180,6,,,no_data (D2/NAIA)
Jakeem Grant,2016,186,6,Texas Tech,13.0,PFF
Kolby Listenbee,2016,192,6,TCU,11.0,PFF
Cody Core,2016,199,6,Mississippi,13.0,PFF
Mike Thomas,2016,206,6,Southern Miss,13.0,PFF
Aaron Burbridge,2016,213,6,Michigan St.,14.0,PFF
