player_name,position,draft_year,pick,round,college,pff_team,match_method,player_game_count,yprr,yards,receptions,targets,touchdowns,routes,grades_offense,grades_pass_route,drop_rate,contested_catch_rate,contested_targets,contested_receptions,avg_depth_of_target,yards_after_catch,yards_after_catch_per_reception,slot_rate,wide_rate,caught_percent,drops,first_downs,avoided_tackles,rush_attempts,rush_yards,rush_touchdowns,rush_ypa,rush_breakaway_pct,rush_elusive_rating,rush_grades_offense
Corey Coleman,WR,2016,15,1,Baylor,BAYLOR,name+school,12,3.99,1365,74,116,20,342,90.0,90.4,11.9,,0,0,14.5,569,7.7,26.7,71.9,63.8,10,51,13,22,113,0,5.1,51.3,47.7,90.0
Will Fuller,WR,2016,21,1,Notre Dame,NOTRE DAME,name+school,13,2.91,1259,62,100,14,433,77.2,75.7,12.7,,0,0,15.1,414,6.7,6.8,93.2,62.0,9,40,5,0,0,0,0.0,0.0,0.0,
Josh Doctson,WR,2016,22,1,TCU,TCU,name+school,10,4.08,1327,78,108,14,325,92.9,93.0,7.1,,0,0,15.2,310,4.0,5.8,93.9,72.2,6,62,9,2,7,0,3.5,0.0,56.3,92.9
Laquon Treadwell,WR,2016,23,1,Mississippi,OLE MISS,name+school,13,2.44,1148,82,122,11,470,85.3,85.2,9.9,,0,0,11.2,442,5.4,7.9,91.9,67.2,9,54,17,0,0,0,0.0,0.0,0.0,
Sterling Shepard,WR,2016,40,2,Oklahoma,OKLAHOMA,name+school,13,2.88,1289,86,118,11,448,91.5,90.8,4.4,,0,0,10.4,495,5.8,71.0,29.0,72.9,4,64,12,1,5,0,5.0,0.0,220.7,91.5
Michael Thomas,WR,2016,47,2,Ohio St.,OHIO STATE,name+school,13,2.54,781,56,83,9,308,83.4,83.4,6.7,,0,0,11.0,271,4.8,6.3,93.8,67.5,4,39,13,0,0,0,0.0,0.0,0.0,
Tyler Boyd,WR,2016,55,2,Pittsburgh,PITTSBURGH,name+school,12,2.72,940,94,131,6,346,89.9,90.3,5.1,,0,0,9.1,418,4.4,45.4,51.2,71.8,5,52,6,37,325,0,8.8,56.0,19.2,89.9
Braxton Miller,WR,2016,85,3,Ohio St.,OHIO STATE,name+school,13,1.94,342,26,38,3,176,69.0,68.6,3.7,,0,0,11.0,162,6.2,88.0,4.4,68.4,1,16,8,42,260,1,6.2,42.7,43.1,69.0
Leonte Carroo,WR,2016,86,3,Rutgers,RUTGERS,name+school,8,4.16,808,39,57,10,194,90.7,90.0,4.9,,0,0,14.6,266,6.8,7.5,92.5,68.4,2,31,7,0,0,0,0.0,0.0,0.0,
Chris Moore,WR,2016,107,4,Cincinnati,CINCINNATI,name+school,12,2.39,815,39,72,7,341,69.5,70.2,11.4,,0,0,19.0,225,5.8,8.8,91.2,54.2,5,33,8,2,10,0,5.0,0.0,109.8,69.5
Malcolm Mitchell,WR,2016,112,4,Georgia,GEORGIA,name+school,13,2.67,865,58,94,5,324,86.4,87.4,4.9,,0,0,13.4,285,4.9,8.2,91.8,61.7,3,45,13,0,0,0,0.0,0.0,0.0,
