player_name,draft_year,pick,round,college,best_ppr,hit24,yprr,yards,receptions,grades_offense,pff_file
Corey Coleman,2016,15,1,Baylor,93.3,0,3.99,1365,74,90.0,data/receiving_summary (2).csv
Josh Doctson,2016,22,1,TCU,119.8,0,4.08,1327,78,92.9,data/receiving_summary (2).csv
Laquon Treadwell,2016,23,1,Mississippi,82.4,0,2.44,1148,82,85.3,data/receiving_summary (2).csv
Sterling Shepard,2016,40,2,Oklahoma,194.7,0,2.88,1289,86,91.5,data/receiving_summary (2).csv
Michael Thomas,2016,47,2,Ohio St.,388.6,1,2.54,781,56,83.4,data/receiving_summary (2).csv
Tyler Boyd,2016,55,2,Pittsburgh,222.9,1,2.72,940,94,89.9,data/receiving_summary (2).csv
Braxton Miller,2016,85,3,Ohio St.,41.3,0,1.94,342,26,69.0,data/receiving_summary (2).csv
Leonte Carroo,2016,86,3,Rutgers,18.8,0,4.16,808,39,90.7,data/receiving_summary (2).csv
Chris Moore,2016,107,4,Cincinnati,115.1,0,2.39,815,39,69.5,data/receiving_summary (2).csv
Malcolm Mitchell,2016,112,4,Georgia,110.6,0,2.67,865,58,86.4,data/receiving_summary (2).csv
Ricardo Louis,2016,114,4,Auburn,62.7,0,3.51,717,46,76.0,data/receiving_summary (2).csv
Pharoh Cooper,2016,117,4,South Carolina,55.5,0,2.6,978,66,76.7,data/receiving_summary (2).csv
Demarcus Robinson,2016,126,4,Florida,137.2,0,1.51,523,48,68.5,data/receiving_summary (2).csv
Tajae Sharpe,2016,140,5,Massachusetts,105.3,0,2.47,1307,112,88.1,data/receiving_summary (2).csv
Jordan Payton,2016,154,5,UCLA,1.3,0,2.33,1113,78,88.3,data/receiving_summary (2).csv
Trevor Davis,2016,163,5,California,30.4,0,2.49,671,40,69.3,data/receiving_summary (2).csv
Rashard Higgins,2016,172,5,Colorado St.,139.5,0,3.45,1062,75,91.3,data/receiving_summary (2).csv
Jakeem Grant,2016,186,6,Texas Tech,81.3,0,2.74,1253,90,80.9,data/receiving_summary (2).csv
Kolby Listenbee,2016,192,6,TCU,0.0,0,1.94,597,30,67.5,data/receiving_summary (2).csv
Cody Core,2016,199,6,Mississippi,37.0,0,2.08,645,37,69.8,data/receiving_summary (2).csv
Mike Thomas,2016,206,6,Southern Miss,30.3,0,2.99,1392,71,84.8,data/receiving_summary (2).csv
Aaron Burbridge,2016,213,6,Michigan St.,15.8,0,2.85,1258,85,85.4,data/receiving_summary (2).csv
