player_name,draft_year,pick,round,college,breakout_age,RAS,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,yprr,yards,receptions,routes,grades_offense,grades_pass_route,team_name
Corey Coleman,2016,15,1,Baylor,21.0,9.66,93.3,0,,MATCHED,2015,receiving_summary (2).csv,3.99,1365.0,74.0,342.0,90.0,90.4,BAYLOR
Josh Doctson,2016,22,1,TCU,22.0,9.41,119.8,0,,MATCHED,2015,receiving_summary (2).csv,4.08,1327.0,78.0,325.0,92.9,93.0,TCU
Laquon Treadwell,2016,23,1,Mississippi,20.0,3.33,82.4,0,,MATCHED,2015,receiving_summary (2).csv,2.44,1148.0,82.0,470.0,85.3,85.2,OLE MISS
Sterling Shepard,2016,40,2,Oklahoma,22.0,7.62,194.7,0,,MATCHED,2015,receiving_summary (2).csv,2.88,1289.0,86.0,448.0,91.5,90.8,OKLAHOMA
Michael Thomas,2016,47,2,Ohio St.,22.0,9.11,388.6,1,,MATCHED,2015,receiving_summary (2).csv,2.54,781.0,56.0,308.0,83.4,83.4,OHIO STATE
Tyler Boyd,2016,55,2,Pittsburgh,20.0,4.27,222.9,1,,MATCHED,2015,receiving_summary (2).csv,2.72,940.0,94.0,346.0,89.9,90.3,PITTSBURGH
Braxton Miller,2016,85,3,Ohio St.,22.0,8.59,41.3,0,,MATCHED,2015,receiving_summary (2).csv,1.94,342.0,26.0,176.0,69.0,68.6,OHIO STATE
Leonte Carroo,2016,86,3,Rutgers,21.0,6.96,18.8,0,,MATCHED,2015,receiving_summary (2).csv,4.16,808.0,39.0,194.0,90.7,90.0,RUTGERS
Chris Moore,2016,107,4,Cincinnati,22.0,7.96,115.1,0,,MATCHED,2015,receiving_summary (2).csv,2.39,815.0,39.0,341.0,69.5,70.2,CINCINNATI
Malcolm Mitchell,2016,112,4,Georgia,23.0,8.08,110.6,0,,MATCHED,2015,receiving_summary (2).csv,2.67,865.0,58.0,324.0,86.4,87.4,GEORGIA
Ricardo Louis,2016,114,4,Auburn,21.0,9.23,62.7,0,,MATCHED,2015,receiving_summary (2).csv,3.51,717.0,46.0,204.0,76.0,80.8,AUBURN
Pharoh Cooper,2016,117,4,South Carolina,20.0,2.06,55.5,0,,MATCHED,2015,receiving_summary (2).csv,2.6,978.0,66.0,376.0,76.7,82.0,S CAROLINA
Demarcus Robinson,2016,126,4,Florida,21.0,5.86,137.2,0,,MATCHED,2015,receiving_summary (2).csv,1.51,523.0,48.0,347.0,68.5,68.7,FLORIDA
Tajae Sharpe,2016,140,5,Massachusetts,20.0,5.3,105.3,0,,MATCHED,2015,receiving_summary (2).csv,2.47,1307.0,112.0,530.0,88.1,89.1,UMASS
Jordan Payton,2016,154,5,UCLA,22.0,6.84,1.3,0,,MATCHED,2015,receiving_summary (2).csv,2.33,1113.0,78.0,478.0,88.3,86.2,UCLA
Trevor Davis,2016,163,5,California,22.0,9.14,30.4,0,,MATCHED,2015,receiving_summary (2).csv,2.49,671.0,40.0,269.0,69.3,70.1,CAL
Rashard Higgins,2016,172,5,Colorado St.,21.0,1.65,139.5,0,,MATCHED,2015,receiving_summary (2).csv,3.45,1062.0,75.0,308.0,91.3,91.4,COLO STATE
Jakeem Grant,2016,186,6,Texas Tech,22.0,6.39,81.3,0,,MATCHED,2015,receiving_summary (2).csv,2.74,1253.0,90.0,458.0,80.9,79.2,TEXAS TECH
Kolby Listenbee,2016,192,6,TCU,21.0,7.91,0.0,0,,MATCHED,2015,receiving_summary (2).csv,1.94,597.0,30.0,307.0,67.5,68.9,TCU
Cody Core,2016,199,6,Mississippi,21.0,7.38,37.0,0,,MATCHED,2015,receiving_summary (2).csv,2.08,645.0,37.0,310.0,69.8,69.9,OLE MISS
Mike Thomas,2016,206,6,Southern Miss,21.0,7.66,30.3,0,,MATCHED,2015,receiving_summary (2).csv,2.99,1392.0,71.0,466.0,84.8,85.4,SO MISS
Aaron Burbridge,2016,213,6,Michigan St.,21.0,2.78,15.8,0,,MATCHED,2015,receiving_summary (2).csv,2.85,1258.0,85.0,441.0,85.4,85.7,MICH STATE
Devin Lucien,2016,225,7,Arizona St.,22.0,6.68,0.0,0,,MATCHED,2015,receiving_summary (2).csv,2.65,1074.0,66.0,405.0,82.3,83.9,ARIZONA ST
Demarcus Ayers,2016,229,7,Houston,21.0,0.89,0.0,0,,MATCHED,2015,receiving_summary (2).csv,2.8,1241.0,99.0,444.0,88.5,88.9,HOUSTON
Daniel Braverman,2016,230,7,Western Michigan,22.0,2.56,0.0,0,,MATCHED,2015,receiving_summary (2).csv,3.14,1370.0,106.0,436.0,91.2,91.4,W MICHIGAN
Devin Fuller,2016,238,7,UCLA,21.0,8.34,0.0,0,,MATCHED,2015,receiving_summary (2).csv,1.55,259.0,24.0,167.0,68.8,67.9,UCLA
Charone Peake,2016,241,7,Clemson,22.0,5.76,37.6,0,,MATCHED,2015,receiving_summary (2).csv,1.95,723.0,50.0,370.0,72.1,70.4,CLEMSON
Kenny Lawler,2016,243,7,California,21.0,2.09,0.0,0,,MATCHED,2015,receiving_summary (2).csv,1.67,658.0,52.0,395.0,71.7,71.9,CAL
Corey Davis,2017,5,1,Western Michigan,21.0,,191.4,0,,MATCHED,2016,receiving_summary (3).csv,3.57,1512.0,98.0,424.0,90.7,90.3,W MICHIGAN
Mike Williams,2017,7,1,Clemson,22.0,7.24,246.6,1,,MATCHED,2016,receiving_summary (3).csv,3.34,1357.0,98.0,406.0,91.3,91.2,CLEMSON
John Ross,2017,9,1,Washington,20.0,9.5,95.0,0,,MATCHED,2016,receiving_summary (3).csv,3.05,1139.0,81.0,374.0,86.8,85.8,WASHINGTON
Zay Jones,2017,37,2,East Carolina,21.0,9.71,232.8,1,,MATCHED,2016,receiving_summary (3).csv,2.96,1744.0,158.0,589.0,90.9,90.7,E CAROLINA
Curtis Samuel,2017,40,2,Ohio St.,20.0,7.45,212.1,0,,MATCHED,2016,receiving_summary (3).csv,2.76,865.0,74.0,313.0,82.4,81.8,OHIO STATE
JuJu Smith-Schuster,2017,62,2,USC,19.0,,296.90000000000003,1,,MATCHED,2016,receiving_summary (3).csv,2.14,914.0,70.0,428.0,71.6,73.0,USC
Taywan Taylor,2017,72,3,Western Kentucky,21.0,8.7,87.6,0,,MATCHED,2016,receiving_summary (3).csv,3.91,1730.0,98.0,442.0,90.1,90.3,W KENTUCKY
ArDarius Stewart,2017,79,3,Alabama,22.0,,16.900000000000002,0,,MATCHED,2016,receiving_summary (3).csv,2.6,845.0,54.0,325.0,76.3,73.3,ALABAMA
Carlos Henderson,2017,82,3,Louisiana Tech,20.0,5.75,0.0,0,,MATCHED,2016,receiving_summary (3).csv,3.55,1530.0,82.0,431.0,90.7,90.4,LA TECH
Chris Godwin,2017,84,3,Penn St.,20.0,9.66,276.1,1,,MATCHED,2016,receiving_summary (3).csv,2.31,982.0,59.0,425.0,78.7,76.6,PENN STATE
Kenny Golladay,2017,96,3,Northern Illinois,22.0,8.94,248.0,1,,MATCHED,2016,receiving_summary (3).csv,2.93,1156.0,87.0,394.0,87.2,85.2,N ILLINOIS
Amara Darboh,2017,106,3,Michigan,22.0,9.6,15.1,0,,MATCHED,2016,receiving_summary (3).csv,2.45,862.0,57.0,352.0,81.0,78.9,MICHIGAN
