player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,birthdate,name_norm,player,team_name,yprr,grades_offense,grades_pass_route,drop_rate,contested_catch_rate,targets,routes,receptions,yards,dc_score
Corey Coleman,WR,2016,15,1,Baylor,8,83.0,93.3,0,0,9.66,21.0,40.83301130325573,1994-07-06,corey coleman,Corey Coleman,BAYLOR,3.99,90.0,90.4,11.9,,116.0,342.0,74.0,1365.0,89.53565074279604
Josh Doctson,WR,2016,22,1,TCU,8,59.0,119.8,0,0,9.41,22.0,32.63767079352645,1992-12-03,josh doctson,Josh Doctson,TCU,4.08,92.9,93.0,7.1,,108.0,325.0,78.0,1327.0,86.0877712199221
Laquon Treadwell,WR,2016,23,1,Mississippi,8,89.0,82.4,0,0,3.33,20.0,28.964113340118857,1995-06-14,laquon treadwell,Laquon Treadwell,OLE MISS,2.44,85.3,85.2,9.9,,122.0,470.0,82.0,1148.0,85.63195232697663
Sterling Shepard,WR,2016,40,2,Oklahoma,8,31.0,194.7,0,0,7.62,22.0,30.5495703812702,1993-02-10,sterling shepard,Sterling Shepard,OKLAHOMA,2.88,91.5,90.8,4.4,,118.0,448.0,86.0,1289.0,78.76865523265029
Michael Thomas,WR,2016,47,2,Ohio St.,8,1.0,388.6,1,1,9.11,22.0,39.59052417193697,1993-03-03,michael thomas,Michael Thomas,OHIO STATE,2.54,83.4,83.4,6.7,,83.0,308.0,56.0,781.0,76.2836840704932
Tyler Boyd,WR,2016,55,2,Pittsburgh,8,18.0,222.9,1,0,4.27,20.0,32.970137207425346,1994-11-15,tyler boyd,Tyler Boyd,PITTSBURGH,2.72,89.9,90.3,5.1,,131.0,346.0,94.0,940.0,73.61036829159038
Braxton Miller,WR,2016,85,3,Ohio St.,8,118.0,41.3,0,0,8.59,22.0,14.839747025404654,1992-11-30,braxton miller,Braxton Miller,OHIO STATE,1.94,69.0,68.6,3.7,,38.0,176.0,26.0,342.0,64.69048249230454
Leonte Carroo,WR,2016,86,3,Rutgers,8,155.0,18.8,0,0,6.96,21.0,42.593455469660064,1994-01-24,leonte carroo,Leonte Carroo,RUTGERS,4.16,90.7,90.0,4.9,,57.0,194.0,39.0,808.0,64.41603636571921
Chris Moore,WR,2016,107,4,Cincinnati,8,63.0,115.1,0,0,7.96,22.0,21.36582382029759,1993-06-16,chris moore,Chris Moore,CINCINNATI,2.39,69.5,70.2,11.4,,72.0,341.0,39.0,815.0,58.906016650653214
Malcolm Mitchell,WR,2016,112,4,Georgia,8,72.0,110.6,0,0,8.08,23.0,35.83303645647785,1992-07-20,malcolm mitchell,Malcolm Mitchell,GEORGIA,2.67,86.4,87.4,4.9,,94.0,324.0,58.0,865.0,57.65686444404836
Ricardo Louis,WR,2016,114,4,Auburn,8,94.0,62.7,0,0,9.23,21.0,31.942735447231424,1994-03-23,ricardo louis,Ricardo Louis,AUBURN,3.51,76.0,80.8,11.5,,81.0,204.0,46.0,717.0,57.16316107479519
Pharoh Cooper,WR,2016,117,4,South Carolina,8,105.0,55.5,0,0,2.06,20.0,43.06756437514765,1995-03-07,pharoh cooper,Pharoh Cooper,S CAROLINA,2.6,76.7,82.0,7.0,,111.0,376.0,66.0,978.0,56.42873272246869
Demarcus Robinson,WR,2016,126,4,Florida,8,55.0,137.2,0,0,5.86,21.0,14.003104518799589,1994-09-21,demarcus robinson,Demarcus Robinson,FLORIDA,1.51,68.5,68.7,9.4,,76.0,347.0,48.0,523.0,54.26721625603232
Tajae Sharpe,WR,2016,140,5,Massachusetts,8,74.0,105.3,0,0,5.3,20.0,35.2319309600863,1994-12-23,tajae sharpe,Tajae Sharpe,UMASS,2.47,88.1,89.1,2.6,,177.0,530.0,112.0,1307.0,51.018045072501344
Jordan Payton,WR,2016,154,5,UCLA,8,194.0,1.3,0,0,6.84,22.0,28.377117427505027,1993-09-01,jordan payton,Jordan Payton,UCLA,2.33,88.3,86.2,4.9,,123.0,478.0,78.0,1113.0,47.89026274987726
Trevor Davis,WR,2016,163,5,California,8,138.0,30.4,0,0,9.14,22.0,10.640335587181797,1993-07-04,trevor davis,Trevor Davis,CAL,2.49,69.3,70.1,4.8,,53.0,269.0,40.0,671.0,45.936531045873316
Rashard Higgins,WR,2016,172,5,Colorado St.,8,59.0,139.5,0,0,1.65,21.0,34.575604272062954,1994-10-07,rashard higgins,Rashard Higgins,COLO STATE,3.45,91.3,91.4,3.8,,107.0,308.0,75.0,1062.0,44.02338900352743
Jakeem Grant,WR,2016,186,6,Texas Tech,8,94.0,81.3,0,0,6.39,22.0,25.38492027195951,1992-10-30,jakeem grant,Jakeem Grant Sr.,TEXAS TECH,2.74,80.9,79.2,9.1,,124.0,458.0,90.0,1253.0,41.12133897642805
Kolby Listenbee,WR,2016,192,6,TCU,8,999.0,0.0,0,0,7.91,21.0,13.01862479635338,1994-01-25,kolby listenbee,Kolby Listenbee,TCU,1.94,67.5,68.9,6.3,,56.0,307.0,30.0,597.0,39.903167965411214
Cody Core,WR,2016,199,6,Mississippi,8,123.0,37.0,0,0,7.38,21.0,13.114883278064156,1994-04-17,cody core,Cody Core,OLE MISS,2.08,69.8,69.9,5.1,,56.0,310.0,37.0,645.0,38.500104329470645
