player_name,draft_year,pick,RAS,hit24,hit12,best_ppr
Henry Ruggs III,2020,12,9.54,0,0,84.50000095367432
Jerry Jeudy,2020,15,6.76,1,0,204.2
CeeDee Lamb,2020,17,7.44,1,1,340.70000000000005
Jalen Reagor,2020,21,6.03,0,0,87.19999933242798
Justin Jefferson,2020,22,9.69,1,1,380.28
Brandon Aiyuk,2020,25,8.47,1,0,244.7
Tee Higgins,2020,33,4.12,1,1,279.99999952316284
Michael Pittman Jr.,2020,34,8.27,1,0,238.59999918937683
Laviska Shenault Jr.,2020,42,6.97,0,0,157.09999978542328
KJ Hamler,2020,46,,0,0,90.1000007390976
Chase Claypool,2020,49,9.98,1,0,237.7999966740608
Van Jefferson,2020,57,,0,0,188.90000021457672
Denzel Mims,2020,59,9.77,0,0,60.69999980926514
Lynn Bowden Jr.,2020,80,,0,0,53.57999923825264
Bryan Edwards,2020,81,,0,0,116.19999945163728
Devin Duvernay,2020,92,7.86,0,0,116.1
Gabriel Davis,2020,128,6.85,0,0,200.3
Antonio Gandy-Golden,2020,142,6.13,0,0,3.5
Joe Reed,2020,151,9.35,0,0,8.900000095367432
Tyler Johnson,2020,161,,0,0,125.50000029802322
Collin Johnson,2020,165,,0,0,59.20000088214874
Quintez Cephus,2020,166,4.5,0,0,66.89999985694885
John Hightower,2020,168,8.02,0,0,28.800000227987766
Isaiah Coulter,2020,171,6.68,0,0,0.0
Darnell Mooney,2020,173,7.04,0,0,219.70000064373016
K.J. Osborn,2020,176,,0,0,165.6
Donovan Peoples-Jones,2020,187,9.63,0,0,167.1
Quez Watkins,2020,200,7.4,0,0,121.49999976158142
James Proche,2020,201,4.04,0,0,36.20000004768372
Isaiah Hodgins,2020,207,7.56,0,0,126.0
Dezmon Patmon,2020,212,8.46,0,0,10.09999966621399
Freddie Swain,2020,214,8.29,0,0,86.49999970197678
Jauan Jennings,2020,217,2.7,0,0,93.3
K.J. Hill,2020,220,3.89,0,0,14.300000071525574
Tyrie Cleveland,2020,252,9.65,0,0,12.299999952316284
Ja'Marr Chase,2021,5,9.82,1,1,375.5999953746796
Jaylen Waddle,2021,6,,1,1,267.40000000000003
DeVonta Smith,2021,10,,1,1,295.3
Kadarius Toney,2021,20,8.99,0,0,82.3600001335144
Rashod Bateman,2021,27,8.04,0,0,103.49999952316284
Elijah Moore,2021,34,8.69,0,0,138.19999998807907
Rondale Moore,2021,49,9.33,0,0,119.29999947547913
D'Wayne Eskridge,2021,56,6.71,0,0,28.299999833106995
Tutu Atwell,2021,57,6.25,0,0,123.2
Terrace Marshall Jr.,2021,59,9.76,0,0,83.0
Josh Palmer,2021,77,7.59,0,0,174.4
Dyami Brown,2021,82,8.38,0,0,34.96
Amari Rodgers,2021,85,5.35,0,0,43.1
Nico Collins,2021,89,9.57,1,1,294.2
Anthony Schwartz,2021,91,6.89,0,0,33.39999985694885
Dez Fitzpatrick,2021,109,8.81,0,0,15.900000095367432
Amon-Ra St. Brown,2021,112,7.13,1,1,333.2
Jaelon Darden,2021,129,7.14,0,0,11.399999976158142
Tylan Wallace,2021,131,4.71,0,0,8.1
Jacob Harris,2021,141,9.88,0,0,1.6
Ihmir Smith-Marsette,2021,157,6.81,0,0,32.5
Simi Fehoko,2021,179,9.18,0,0,7.9
Cornell Powell,2021,181,7.57,0,0,0.0
Frank Darby,2021,187,5.89,0,0,2.5
Marquez Stevenson,2021,203,5.37,0,0,0.0
Shi Smith,2021,204,6.78,0,0,61.6
Racey McMath,2021,205,7.43,0,0,6.4
Jalen Camp,2021,209,9.75,0,0,1.7000000000000002
Seth Williams,2021,219,6.86,0,0,4.400000095367432
Dazz Newsome,2021,221,2.13,0,0,4.299999952316284
Mike Strachan,2021,229,9.22,0,0,8.9
Tre Nixon,2021,242,8.97,0,0,0.0
Ben Skowronek,2021,249,,0,0,84.30000000000001
Kawaan Baker,2021,255,9.08,0,0,0.0
Dax Milne,2021,258,4.56,0,0,15.7
Drake London,2022,8,,1,1,280.8
Garrett Wilson,2022,10,7.77,1,0,251.9
Chris Olave,2022,11,8.64,1,0,231.3
Jameson Williams,2022,12,,1,1,294.1
Jahan Dotson,2022,16,6.33,0,0,130.6
Treylon Burks,2022,18,5.79,0,0,88.1
Christian Watson,2022,34,9.96,0,0,164.10000000000002
Wan'Dale Robinson,2022,43,7.36,0,0,182.7
John Metchie,2022,44,,0,0,65.7
Tyquan Thornton,2022,50,8.54,0,0,66.3
George Pickens,2022,52,9.35,0,0,218.3
Alec Pierce,2022,53,9.83,0,0,161.4
Skyy Moore,2022,54,7.58,0,0,62.8
Velus Jones Jr.,2022,71,7.1,0,0,38.0
Jalen Tolbert,2022,88,8.62,0,0,152.0
David Bell,2022,99,3.98,0,0,62.1
Danny Gray,2022,105,6.76,0,0,2.9
Erik Ezukanma,2022,125,7.03,0,0,2.2
Romeo Doubs,2022,132,,0,0,213.8
Calvin Austin III,2022,138,9.05,0,0,124.3
Khalil Shakir,2022,148,8.31,0,0,217.9
Montrell Washington,2022,162,4.32,0,0,56.8
Kyle Philips,2022,163,8.31,0,0,33.1
Jalen Nailor,2022,191,8.09,0,0,111.3
Michael Woods II,2022,202,,0,0,13.5
Bo Melton,2022,229,9.23,0,0,56.5
Dareke Young,2022,233,9.93,0,0,6.5
Samori Toure,2022,258,6.14,0,0,19.2
Jaxon Smith-Njigba,2023,20,8.34,1,0,253.0
Quentin Johnston,2023,21,8.68,0,0,174.70000000000002
Zay Flowers,2023,22,8.29,1,0,235.4
Jordan Addison,2023,23,5.94,1,0,221.3
Jonathan Mingo,2023,39,9.87,0,0,84.8
Jayden Reed,2023,50,6.74,1,0,225.6
Rashee Rice,2023,55,9.53,1,0,271.2
Marvin Mims,2023,63,,0,0,132.8
Tank Dell,2023,69,,0,0,165.0
Jalin Hyatt,2023,73,8.76,0,0,60.3
Cedric Tillman,2023,74,8.67,0,0,80.4
Josh Downs,2023,79,8.99,0,0,182.2
Michael Wilson,2023,94,9.55,0,0,124.5
Tre Tucker,2023,100,7.16,0,0,129.3
Derius Davis,2023,125,4.29,0,0,41.2
Charlie Jones,2023,131,,0,0,20.7
Tyler Scott,2023,133,8.61,0,0,35.900000000000006
Justin Shorter,2023,150,7.94,0,0,0.0
Dontayvion Wicks,2023,159,9.17,0,0,130.26
Puka Nacua,2023,177,5.18,1,1,331.40000000000003
Parker Washington,2023,185,,0,0,97.0
Kayshon Boutte,2023,187,4.99,0,0,121.9
Trey Palmer,2023,191,6.18,0,0,114.4
A.T. Perry,2023,195,9.62,0,0,60.6
Elijah Higgins,2023,197,8.94,0,0,0.0
Xavier Hutchinson,2023,205,7.27,0,0,37.3
Andrei Iosivas,2023,206,9.96,0,0,119.9
DeMario Douglas,2023,210,7.34,0,0,147.70000000000002
Antoine Green,2023,219,8.68,0,0,1.2
Colton Dowell,2023,228,9.78,0,0,1.3
Jalen Brooks,2023,244,5.6,0,0,35.7
Ronnie Bell,2023,253,8.2,0,0,30.8
Grant Dubose,2023,256,,0,0,3.1
