player_name,draft_year,pick,round,college,final_season,hit24,best_ppr,kr_no,kr_yds,kr_td,pr_no,pr_yds,pr_td,total_returns,total_return_yds,total_return_td,has_team_data
Amari Cooper,2015,4,1,Alabama,2014,1,253.6,0,0,0,0,0,0,0,0,0,True
Kevin White,2015,7,1,West Virginia,2014,0,38.6,0,0,0,0,0,0,0,0,0,True
DeVante Parker,2015,14,1,Louisville,2014,1,246.2,0,0,0,0,0,0,0,0,0,True
Nelson Agholor,2015,20,1,USC,2014,1,222.1,9,147,0,20,197,2,29,344,2,True
Breshad Perriman,2015,26,1,Central Florida,2014,0,138.1,0,0,0,0,0,0,0,0,0,True
Phillip Dorsett,2015,29,1,Miami (FL),2014,0,105.9,8,116,0,1,-6,0,9,110,0,True
Devin Smith,2015,37,2,Ohio St.,2014,0,26.5,0,0,0,0,0,0,0,0,0,True
Dorial Green-Beckham,2015,40,2,Oklahoma,2014,0,112.9,0,0,0,0,0,0,0,0,0,True
Devin Funchess,2015,41,2,Michigan,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
Tyler Lockett,2015,69,3,Kansas St.,2014,1,274.0,0,0,0,0,0,0,0,0,0,False
Jaelen Strong,2015,70,3,Arizona St.,2014,0,50.8,0,0,0,0,0,0,0,0,0,True
Chris Conley,2015,76,3,Georgia,2014,0,156.5,0,0,0,0,0,0,0,0,0,True
Sammie Coates,2015,87,3,Auburn,2014,0,83.3,0,0,0,0,0,0,0,0,0,True
Ty Montgomery,2015,94,3,Stanford,2014,0,179.3,17,429,0,13,238,2,30,667,2,True
Jamison Crowder,2015,105,4,Duke,2014,0,197.7,1,26,0,22,280,2,23,306,2,True
Justin Hardy,2015,107,4,East Carolina,2014,0,69.1,0,0,0,24,95,0,24,95,0,True
Vince Mayle,2015,123,4,Washington St.,2014,0,6.2,0,0,0,0,0,0,0,0,0,False
DeAndre Smelter,2015,132,4,Georgia Tech,2014,0,3.3000000000000003,0,0,0,0,0,0,0,0,0,True
Rashad Greene,2015,139,5,Florida St.,2014,0,40.3,0,0,0,0,0,0,0,0,0,False
Stefon Diggs,2015,146,5,Maryland,2014,1,391.7000000000001,20,478,0,0,0,0,20,478,0,True
Tony Lippett,2015,156,5,Michigan St.,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
JJ Nelson,2015,159,5,Ala-Birmingham,2014,0,0.0,22,843,4,26,277,0,48,1120,4,True
Kenny Bell,2015,162,5,Nebraska,2014,0,0.0,8,191,0,2,5,0,10,196,0,True
Keith Mumphery,2015,175,5,Michigan St.,2014,0,26.9,0,0,0,0,0,0,0,0,0,True
Kaelin Clay,2015,184,6,Utah,2014,0,23.4,22,548,1,23,346,3,45,894,4,True
Geremy Davis,2015,186,6,Connecticut,2014,0,6.8,0,0,0,0,0,0,0,0,0,False
Evan Spencer,2015,187,6,Ohio St.,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
Bud Sasser,2015,201,6,Missouri,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
Darren Waller,2015,204,6,Georgia Tech,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
Neal Sterling,2015,220,7,Monmouth,2014,0,0.0,0,0,0,0,0,0,0,0,0,False
Andre Debose,2015,221,7,Florida,2014,0,0.0,21,519,0,23,323,1,44,842,1,True
Da'Ron Brown,2015,233,7,Northern Illinois,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
Dezmin Lewis,2015,234,7,Central Arkansas,2014,0,0.0,0,0,0,0,0,0,0,0,0,True
Mario Alford,2015,238,7,West Virginia,2014,0,2.5,26,743,2,2,-11,0,28,732,2,True
Tre McBride,2015,245,7,William & Mary,2014,0,22.4,0,0,0,0,0,0,0,0,0,True
Corey Coleman,2016,15,1,Baylor,2015,0,93.3,3,36,0,3,9,0,6,45,0,True
Will Fuller,2016,21,1,Notre Dame,2015,0,188.9,0,0,0,0,0,0,0,0,0,True
Josh Doctson,2016,22,1,TCU,2015,0,119.8,0,0,0,0,0,0,0,0,0,True
Laquon Treadwell,2016,23,1,Mississippi,2015,0,82.4,0,0,0,0,0,0,0,0,0,True
Sterling Shepard,2016,40,2,Oklahoma,2015,0,194.7,0,0,0,19,148,0,19,148,0,True
Michael Thomas,2016,47,2,Ohio St.,2015,1,388.6,0,0,0,0,0,0,0,0,0,True
Tyler Boyd,2016,55,2,Pittsburgh,2015,1,222.9,11,257,0,8,7,0,19,264,0,True
Braxton Miller,2016,85,3,Ohio St.,2015,0,41.3,0,0,0,0,0,0,0,0,0,True
Leonte Carroo,2016,86,3,Rutgers,2015,0,18.8,1,-4,0,0,0,0,1,-4,0,True
Chris Moore,2016,107,4,Cincinnati,2015,0,115.1,4,111,0,0,0,0,4,111,0,True
Malcolm Mitchell,2016,112,4,Georgia,2015,0,110.6,1,4,0,0,0,0,1,4,0,True
Ricardo Louis,2016,114,4,Auburn,2015,0,62.7,1,22,0,0,0,0,1,22,0,True
Pharoh Cooper,2016,117,4,South Carolina,2015,0,55.5,0,0,0,12,55,0,12,55,0,True
Demarcus Robinson,2016,126,4,Florida,2015,0,137.2,0,0,0,0,0,0,0,0,0,True
Tajae Sharpe,2016,140,5,Massachusetts,2015,0,105.3,0,0,0,0,0,0,0,0,0,True
Jordan Payton,2016,154,5,UCLA,2015,0,1.3,0,0,0,0,0,0,0,0,0,True
Trevor Davis,2016,163,5,California,2015,0,30.4,32,686,0,6,45,0,38,731,0,True
Tyreek Hill,2016,165,5,West Alabama,2015,1,393.6,0,0,0,0,0,0,0,0,0,False
Rashard Higgins,2016,172,5,Colorado St.,2015,0,139.5,0,0,0,0,0,0,0,0,0,True
Moritz Boehringer,2016,180,6,,2015,0,0.0,0,0,0,0,0,0,0,0,0,False
Jakeem Grant,2016,186,6,Texas Tech,2015,0,81.3,40,1017,2,0,0,0,40,1017,2,True
Kolby Listenbee,2016,192,6,TCU,2015,0,0.0,4,76,0,0,0,0,4,76,0,True
Cody Core,2016,199,6,Mississippi,2015,0,37.0,0,0,0,0,0,0,0,0,0,True
Mike Thomas,2016,206,6,Southern Miss,2015,0,30.3,15,311,0,0,0,0,15,311,0,True
Aaron Burbridge,2016,213,6,Michigan St.,2015,0,15.8,0,0,0,0,0,0,0,0,0,True
Devin Lucien,2016,225,7,Arizona St.,2015,0,0.0,1,39,0,0,0,0,1,39,0,True
Demarcus Ayers,2016,229,7,Houston,2015,0,0.0,0,0,0,28,290,1,28,290,1,True
Daniel Braverman,2016,230,7,Western Michigan,2015,0,0.0,2,40,0,10,88,0,12,128,0,True
Devin Fuller,2016,238,7,UCLA,2015,0,0.0,0,0,0,0,0,0,0,0,0,True
Charone Peake,2016,241,7,Clemson,2015,0,37.6,0,0,0,0,0,0,0,0,0,True
Kenny Lawler,2016,243,7,California,2015,0,0.0,0,0,0,0,0,0,0,0,0,True
Corey Davis,2017,5,1,Western Michigan,2016,0,191.4,1,0,0,0,0,0,1,0,0,True
Mike Williams,2017,7,1,Clemson,2016,1,246.6,0,0,0,0,0,0,0,0,0,True
John Ross,2017,9,1,Washington,2016,0,95.0,17,411,1,0,0,0,17,411,1,True
Zay Jones,2017,37,2,East Carolina,2016,1,232.8,0,0,0,0,0,0,0,0,0,True
Curtis Samuel,2017,40,2,Ohio St.,2016,0,212.1,0,0,0,6,19,0,6,19,0,True
JuJu Smith-Schuster,2017,62,2,USC,2016,1,296.90000000000003,1,2,0,0,0,0,1,2,0,True
Cooper Kupp,2017,69,3,Eastern Washington,2016,1,554.8,0,0,0,0,0,0,0,0,0,True
Taywan Taylor,2017,72,3,Western Kentucky,2016,0,87.6,0,0,0,0,0,0,0,0,0,True
ArDarius Stewart,2017,79,3,Alabama,2016,0,16.900000000000002,8,161,0,0,0,0,8,161,0,True
Carlos Henderson,2017,82,3,Louisiana Tech,2016,0,0.0,25,805,2,0,0,0,25,805,2,True
Chris Godwin,2017,84,3,Penn St.,2016,1,276.1,0,0,0,0,0,0,0,0,0,True
Kenny Golladay,2017,96,3,Northern Illinois,2016,1,248.0,0,0,0,2,4,0,2,4,0,True
Chad Williams,2017,98,3,Grambling St.,2016,0,41.0,0,0,0,0,0,0,0,0,0,False
Amara Darboh,2017,106,3,Michigan,2016,0,15.1,0,0,0,0,0,0,0,0,0,True
Dede Westbrook,2017,110,4,Oklahoma,2016,0,175.5,9,244,0,5,81,1,14,325,1,True
Josh Reynolds,2017,117,4,Texas A&M,2016,0,156.0,0,0,0,0,0,0,0,0,0,True
Mack Hollins,2017,118,4,North Carolina,2016,0,154.0,0,0,0,0,0,0,0,0,0,True
Josh Malone,2017,128,4,Tennessee,2016,0,18.5,0,0,0,0,0,0,0,0,0,True
Ryan Switzer,2017,133,4,North Carolina,2016,0,69.4,0,0,0,16,106,0,16,106,0,True
Jehu Chesson,2017,139,4,Michigan,2016,0,3.8,0,0,0,0,0,0,0,0,0,True
Chad Hansen,2017,141,4,California,2016,0,46.6,0,0,0,0,0,0,0,0,0,True
Shelton Gibson,2017,166,5,West Virginia,2016,0,5.800000000000001,29,633,0,0,0,0,29,633,0,True
Rodney Adams,2017,170,5,South Florida,2016,0,0.0,22,534,0,0,0,0,22,534,0,True
Isaiah McKenzie,2017,172,5,Georgia,2016,0,122.8,2,24,0,25,245,1,27,269,1,True
DeAngelo Yancey,2017,175,5,Purdue,2016,0,0.0,0,0,0,0,0,0,0,0,0,True
Trent Taylor,2017,177,5,Louisiana Tech,2016,0,98.0,1,16,0,17,178,0,18,194,0,True
Robert Davis,2017,209,6,Georgia St.,2016,0,3.7,0,0,0,0,0,0,0,0,0,False
Stacy Coley,2017,219,7,Miami (FL),2016,0,0.0,0,0,0,0,0,0,0,0,0,True
David Moore,2017,226,7,East Central (OK),2016,0,120.3,0,0,0,0,0,0,0,0,0,False
