player_name,draft_year,pick,college,final_season,team_rush_yds,team_pass_yds,team_total_yds,has_data
Amari Cooper,2015,4,Alabama,2014,2893.0,3890.0,6783.0,True
Kevin White,2015,7,West Virginia,2014,2376.0,4121.0,6497.0,True
DeVante Parker,2015,14,Louisville,2014,1855.0,3276.0,5131.0,True
Nelson Agholor,2015,20,USC,2014,2092.0,3856.0,5948.0,True
Breshad Perriman,2015,26,Central Florida,2014,1668.0,3059.0,4727.0,True
Phillip Dorsett,2015,29,Miami (FL),2014,2345.0,3249.0,5594.0,True
Devin Smith,2015,37,Ohio St.,2014,3967.0,3707.0,7674.0,True
Dorial Green-Beckham,2015,40,Oklahoma,2014,3395.0,2646.0,6041.0,True
Devin Funchess,2015,41,Michigan,2014,1954.0,2042.0,3996.0,True
Tyler Lockett,2015,69,Kansas St.,2014,1745.0,3736.0,5481.0,True
Jaelen Strong,2015,70,Arizona St.,2014,2194.0,3556.0,5750.0,True
Chris Conley,2015,76,Georgia,2014,3352.0,2599.0,5951.0,True
Sammie Coates,2015,87,Auburn,2014,3321.0,2984.0,6305.0,True
Ty Montgomery,2015,94,Stanford,2014,2064.0,2988.0,5052.0,True
Jamison Crowder,2015,105,Duke,2014,2364.0,2814.0,5178.0,True
Justin Hardy,2015,107,East Carolina,2014,2094.0,4835.0,6929.0,True
Vince Mayle,2015,123,Washington St.,2014,,,,False
DeAndre Smelter,2015,132,Georgia Tech,2014,4789.0,1882.0,6671.0,True
Rashad Greene,2015,139,Florida St.,2014,1933.0,4246.0,6179.0,True
Stefon Diggs,2015,146,Maryland,2014,1582.0,2863.0,4445.0,True
Tony Lippett,2015,156,Michigan St.,2014,3057.0,3453.0,6510.0,True
JJ Nelson,2015,159,Ala-Birmingham,2014,2545.0,2637.0,5182.0,True
Kenny Bell,2015,162,Nebraska,2014,3123.0,2757.0,5880.0,True
Keith Mumphery,2015,175,Michigan St.,2014,3057.0,3453.0,6510.0,True
Kaelin Clay,2015,184,Utah,2014,2475.0,2570.0,5045.0,True
Geremy Davis,2015,186,Connecticut,2014,,,,False
Evan Spencer,2015,187,Ohio St.,2014,3967.0,3707.0,7674.0,True
Bud Sasser,2015,201,Missouri,2014,2490.0,2648.0,5138.0,True
Darren Waller,2015,204,Georgia Tech,2014,4789.0,1882.0,6671.0,True
Neal Sterling,2015,220,Monmouth,2014,,,,False
Andre Debose,2015,221,Florida,2014,2252.0,2159.0,4411.0,True
Da'Ron Brown,2015,233,Northern Illinois,2014,3488.0,2689.0,6177.0,True
Dezmin Lewis,2015,234,Central Arkansas,2014,,,,False
Mario Alford,2015,238,West Virginia,2014,2376.0,4121.0,6497.0,True
Tre McBride,2015,245,William & Mary,2014,,,,False
Corey Coleman,2016,15,Baylor,2015,4247.0,3764.0,8011.0,True
Will Fuller,2016,21,Notre Dame,2015,2699.0,3364.0,6063.0,True
Josh Doctson,2016,22,TCU,2015,2800.0,4517.0,7317.0,True
Laquon Treadwell,2016,23,Mississippi,2015,2380.0,4351.0,6731.0,True
Sterling Shepard,2016,40,Oklahoma,2015,2887.0,4006.0,6893.0,True
Michael Thomas,2016,47,Ohio St.,2015,3188.0,2455.0,5643.0,True
Tyler Boyd,2016,55,Pittsburgh,2015,2430.0,2478.0,4908.0,True
Braxton Miller,2016,85,Ohio St.,2015,3188.0,2455.0,5643.0,True
Leonte Carroo,2016,86,Rutgers,2015,2039.0,2485.0,4524.0,True
Chris Moore,2016,107,Cincinnati,2015,2313.0,4679.0,6992.0,True
Malcolm Mitchell,2016,112,Georgia,2015,2498.0,2406.0,4904.0,True
Ricardo Louis,2016,114,Auburn,2015,2553.0,2257.0,4810.0,True
Pharoh Cooper,2016,117,South Carolina,2015,1856.0,2490.0,4346.0,True
Demarcus Robinson,2016,126,Florida,2015,1777.0,2899.0,4676.0,True
Tajae Sharpe,2016,140,Massachusetts,2015,1707.0,3090.0,4797.0,True
Jordan Payton,2016,154,UCLA,2015,2308.0,3749.0,6057.0,True
Trevor Davis,2016,163,California,2015,1987.0,4892.0,6879.0,True
Tyreek Hill,2016,165,West Alabama,2015,,,,False
Rashard Higgins,2016,172,Colorado St.,2015,2571.0,2965.0,5536.0,True
Moritz Boehringer,2016,180,,2015,,,,False
Jakeem Grant,2016,186,Texas Tech,2015,2487.0,5046.0,7533.0,True
Kolby Listenbee,2016,192,TCU,2015,2800.0,4517.0,7317.0,True
Cody Core,2016,199,Mississippi,2015,2380.0,4351.0,6731.0,True
Mike Thomas,2016,206,Southern Miss,2015,2517.0,4616.0,7133.0,True
Aaron Burbridge,2016,213,Michigan St.,2015,2118.0,3279.0,5397.0,True
Devin Lucien,2016,225,Arizona St.,2015,2319.0,3887.0,6206.0,True
Demarcus Ayers,2016,229,Houston,2015,3301.0,3477.0,6778.0,True
Daniel Braverman,2016,230,Western Michigan,2015,2648.0,3732.0,6380.0,True
Devin Fuller,2016,238,UCLA,2015,2308.0,3749.0,6057.0,True
Charone Peake,2016,241,Clemson,2015,3345.0,4373.0,7718.0,True
Kenny Lawler,2016,243,California,2015,1987.0,4892.0,6879.0,True
Corey Davis,2017,5,Western Michigan,2016,3194.0,3533.0,6727.0,True
Mike Williams,2017,7,Clemson,2016,2546.0,5009.0,7555.0,True
John Ross,2017,9,Washington,2016,2774.0,3623.0,6397.0,True
Zay Jones,2017,37,East Carolina,2016,1589.0,4016.0,5605.0,True
Curtis Samuel,2017,40,Ohio St.,2016,3188.0,2781.0,5969.0,True
JuJu Smith-Schuster,2017,62,USC,2016,2609.0,3593.0,6202.0,True
Cooper Kupp,2017,69,Eastern Washington,2016,,,,False
Taywan Taylor,2017,72,Western Kentucky,2016,2609.0,4715.0,7324.0,True
ArDarius Stewart,2017,79,Alabama,2016,3675.0,3154.0,6829.0,True
Carlos Henderson,2017,82,Louisiana Tech,2016,2119.0,5087.0,7206.0,True
Chris Godwin,2017,84,Penn St.,2016,2406.0,3650.0,6056.0,True
Kenny Golladay,2017,96,Northern Illinois,2016,2877.0,2688.0,5565.0,True
Chad Williams,2017,98,Grambling St.,2016,,,,False
Amara Darboh,2017,106,Michigan,2016,2768.0,2756.0,5524.0,True
Dede Westbrook,2017,110,Oklahoma,2016,3078.0,4134.0,7212.0,True
Josh Reynolds,2017,117,Texas A&M,2016,2754.0,3317.0,6071.0,True
Mack Hollins,2017,118,North Carolina,2016,1896.0,3811.0,5707.0,True
Josh Malone,2017,128,Tennessee,2016,2668.0,3100.0,5768.0,True
Ryan Switzer,2017,133,North Carolina,2016,1896.0,3811.0,5707.0,True
Jehu Chesson,2017,139,Michigan,2016,2768.0,2756.0,5524.0,True
Chad Hansen,2017,141,California,2016,1852.0,4306.0,6158.0,True
Shelton Gibson,2017,166,West Virginia,2016,2969.0,3343.0,6312.0,True
Rodney Adams,2017,170,South Florida,2016,3709.0,2941.0,6650.0,True
Isaiah McKenzie,2017,172,Georgia,2016,2486.0,2515.0,5001.0,True
DeAngelo Yancey,2017,175,Purdue,2016,1154.0,3539.0,4693.0,True
Trent Taylor,2017,177,Louisiana Tech,2016,2119.0,5087.0,7206.0,True
Robert Davis,2017,209,Georgia St.,2016,1052.0,2955.0,4007.0,True
Stacy Coley,2017,219,Miami (FL),2016,1973.0,3564.0,5537.0,True
David Moore,2017,226,East Central (OK),2016,,,,False
Isaiah Ford,2017,237,Virginia Tech,2016,2563.0,3666.0,6229.0,True
Noah Brown,2017,239,Ohio St.,2016,3188.0,2781.0,5969.0,True
Malachi Dupre,2017,247,LSU,2016,2796.0,2281.0,5077.0,True
D.J. Moore,2018,24,Maryland,2017,1940.0,1940.0,3880.0,True
Calvin Ridley,2018,26,Alabama,2017,3509.0,2708.0,6217.0,True
Courtland Sutton,2018,40,SMU,2017,2397.0,3823.0,6220.0,True
Dante Pettis,2018,44,Washington,2017,2382.0,2889.0,5271.0,True
