player_name,draft_year,pick,round,college,teammate_count,best_teammate_pick,total_teammate_dc,avg_teammate_dc,teammate_names
Amari Cooper,2015,4,1,Alabama,1,123.0,55.0,55.0,"Kevin Norwood (Rd4 #123, 2014)"
Kevin White,2015,7,1,West Virginia,1,238.0,31.0,31.0,"Mario Alford (Rd7 #238, 2015)"
DeVante Parker,2015,14,1,Louisville,1,256.0,27.7,27.7,"Gerald Christian (Rd7 #256, 2015)"
Nelson Agholor,2015,20,1,USC,2,39.0,117.8,58.9,"Marqise Lee (Rd2 #39, 2014); Randall Telfer (Rd6 #198, 2015)"
Breshad Perriman,2015,26,1,Central Florida,0,,0.0,0.0,
Phillip Dorsett,2015,29,1,Miami (FL),1,68.0,69.6,69.6,"Clive Walford (Rd3 #68, 2015)"
Devin Smith,2015,37,2,Ohio St.,5,47.0,306.9,61.4,"Jeff Heuerman (Rd3 #92, 2015); Evan Spencer (Rd6 #187, 2015); Michael Thomas (Rd2 #47, 2016); Braxton Miller (Rd3 #85, 2016); Nick Vannett (Rd3 #94, 2016)"
Dorial Green-Beckham,2015,40,2,Oklahoma,3,40.0,194.9,65.0,"Jalen Saunders (Rd4 #104, 2014); Blake Bell (Rd4 #117, 2015); Sterling Shepard (Rd2 #40, 2016)"
Devin Funchess,2015,41,2,Michigan,1,244.0,29.9,29.9,"Jeremy Gallon (Rd7 #244, 2014)"
Tyler Lockett,2015,69,3,Kansas St.,0,,0.0,0.0,
Jaelen Strong,2015,70,3,Arizona St.,1,225.0,33.4,33.4,"Devin Lucien (Rd7 #225, 2016)"
Chris Conley,2015,76,3,Georgia,2,112.0,105.3,52.7,"Arthur Lynch (Rd5 #155, 2014); Malcolm Mitchell (Rd4 #112, 2016)"
Sammie Coates,2015,87,3,Auburn,2,114.0,104.4,52.2,"C.J. Uzomah (Rd5 #157, 2015); Ricardo Louis (Rd4 #114, 2016)"
Ty Montgomery,2015,94,3,Stanford,1,81.0,65.8,65.8,"Austin Hooper (Rd3 #81, 2016)"
Jamison Crowder,2015,105,4,Duke,0,,0.0,0.0,
Justin Hardy,2015,107,4,East Carolina,0,,0.0,0.0,
Vince Mayle,2015,123,4,Washington St.,0,,0.0,0.0,
DeAndre Smelter,2015,132,4,Georgia Tech,1,204.0,37.5,37.5,"Darren Waller (Rd6 #204, 2015)"
Rashad Greene,2015,139,5,Florida St.,2,28.0,123.0,61.5,"Kelvin Benjamin (Rd1 #28, 2014); Nick O'Leary (Rd6 #194, 2015)"
Stefon Diggs,2015,146,5,Maryland,0,,0.0,0.0,
Tony Lippett,2015,156,5,Michigan St.,2,175.0,79.1,39.6,"Keith Mumphery (Rd5 #175, 2015); Aaron Burbridge (Rd6 #213, 2016)"
JJ Nelson,2015,159,5,Ala-Birmingham,1,213.0,35.7,35.7,"Kennard Backman (Rd6 #213, 2015)"
Kenny Bell,2015,162,5,Nebraska,1,209.0,36.5,36.5,"Quincy Enunwa (Rd6 #209, 2014)"
Keith Mumphery,2015,175,5,Michigan St.,2,156.0,83.2,41.6,"Tony Lippett (Rd5 #156, 2015); Aaron Burbridge (Rd6 #213, 2016)"
Kaelin Clay,2015,184,6,Utah,0,,0.0,0.0,
Geremy Davis,2015,186,6,Connecticut,0,,0.0,0.0,
Evan Spencer,2015,187,6,Ohio St.,5,37.0,345.9,69.2,"Devin Smith (Rd2 #37, 2015); Jeff Heuerman (Rd3 #92, 2015); Michael Thomas (Rd2 #47, 2016); Braxton Miller (Rd3 #85, 2016); Nick Vannett (Rd3 #94, 2016)"
Bud Sasser,2015,201,6,Missouri,0,,0.0,0.0,
Darren Waller,2015,204,6,Georgia Tech,1,132.0,52.9,52.9,"DeAndre Smelter (Rd4 #132, 2015)"
Neal Sterling,2015,220,7,Monmouth,0,,0.0,0.0,
Andre Debose,2015,221,7,Florida,1,126.0,54.3,54.3,"Demarcus Robinson (Rd4 #126, 2016)"
Da'Ron Brown,2015,233,7,Northern Illinois,0,,0.0,0.0,
Dezmin Lewis,2015,234,7,Central Arkansas,0,,0.0,0.0,
Mario Alford,2015,238,7,West Virginia,1,7.0,94.4,94.4,"Kevin White (Rd1 #7, 2015)"
Tre McBride,2015,245,7,William & Mary,0,,0.0,0.0,
