rank,player_name,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,rec_yards,team_pass_attempts,age,age_estimated,weight
1,Jeremiyah Love,Notre Dame,10,91.7,-8.3,100,81.1,280,322,20,FALSE,214
2,Jonah Coleman,Arizona,56,75.0,0.0,75.0,,,447,22,FALSE,228
3,Emmett Johnson,Nebraska,83,72.6,7.5,65.1,82.3,370,378,21,FALSE,200
4,Nick Singleton,,118,57.8,0.0,57.8,,,,21,FALSE,
5,Jadarian Price,Notre Dame,79,56.8,-9.5,66.3,44.6,87,322,21,FALSE,209
6,Desmond Reid,Pittsburgh,250,54.9,9.1,45.8,66.6,317,464,21,FALSE,175
7,Adam Randall,Clemson,180,54.1,3.6,50.5,58.7,254,474,21,FALSE,230
8,Dean Connors,Houston,250,53.1,7.3,45.8,62.5,254,377,22,FALSE,206
9,Jamal Haynes,Georgia Tech,250,52.6,6.8,45.8,61.4,257,394,22,FALSE,190
10,Demond Claiborne,Wake Forest,136,52.3,-2.9,55.2,48.5,140,406,21,FALSE,195
11,Mike Washington Jr.,,163,52.1,0.0,52.1,,,,22,TRUE,
12,Kaden Feagin,Illinois,250,50.7,4.9,45.8,57.1,188,372,21,FALSE,250
13,Kaytron Allen,Penn State,124,49.4,-7.4,56.8,39.8,68,339,22,FALSE,217
14,Roman Hemby,Indiana,197,48.4,-0.7,49.1,47.5,165,406,23,FALSE,208
15,C.J. Donaldson,,242,46.2,0.0,46.2,,,,MISSING,MISSING,
16,J'Mari Taylor,North Carolina Central,245,46.1,0.0,46.1,,,,MISSING,MISSING,204
17,Robert Henry Jr.,,250,45.8,0.0,45.8,,,,MISSING,MISSING,
18,Kentrel Bullock,Ole Miss,250,45.8,0.0,45.8,,,523,23,TRUE,205
19,Chip Trayanum,,250,45.8,0.0,45.8,,,,23,TRUE,
20,Jaydn Ott,,250,45.8,0.0,45.8,,,,22,FALSE,
21,Terion Stewart,Bowling Green,250,45.8,0.0,45.8,,,286,23,FALSE,222
22,Rueben Owens,Texas A&M,250,45.8,0.0,45.8,,130,408,MISSING,MISSING,215
23,Kedrick Reescano,Arizona,250,45.8,0.0,45.8,,12,447,MISSING,MISSING,213
24,Djay Braswell,Georgia State,250,45.8,0.0,45.8,,17,475,MISSING,MISSING,215
25,Quinten Joyner,Texas Tech,250,45.8,0.0,45.8,,,486,20,FALSE,205
26,Samuel Singleton Jr.,,250,45.8,0.0,45.8,,,,MISSING,MISSING,
27,Sedrick Alexander,Vanderbilt,250,45.8,0.0,45.8,,200,400,MISSING,MISSING,200
28,TreVonte Citizen,,250,45.8,0.0,45.8,,,,MISSING,MISSING,
29,Branson Robinson,Georgia,250,45.8,0.0,45.8,,,417,21,FALSE,211
30,Savion Red,Nevada,250,45.8,0.0,45.8,,,308,21,TRUE,233
31,Andrew Paul,Georgia,250,45.8,0.0,45.8,,,417,21,TRUE,215
32,Richard Reese,Baylor,250,45.8,0.0,45.8,,,510,20,FALSE,175
33,Armoni Goodwin,LSU,250,45.8,0.0,45.8,,,443,22,TRUE,195
34,L.J. Johnson Jr.,Texas State,250,45.8,0.0,45.8,,,361,19,TRUE,180
35,Trevion Cooley,Georgia Tech,250,45.8,0.0,45.8,,,394,MISSING,MISSING,208
36,Derrick Davis Jr.,LSU,250,45.8,0.0,45.8,,,443,MISSING,MISSING,210
37,Kadarius Calloway,California,250,45.8,0.0,45.8,,,505,22,TRUE,220
38,Byron Cardwell,California,250,45.8,0.0,45.8,,,505,22,TRUE,215
39,Barika Kpeenu,North Dakota State,250,45.8,0.0,45.8,,211,,MISSING,MISSING,199
40,Alton McCaskill IV,,250,45.8,0.0,45.8,,,,22,TRUE,
41,Logan Diggs,LSU,250,45.8,0.0,45.8,,,443,23,FALSE,215
42,E.J. Smith,Houston,250,45.8,0.0,45.8,,,377,23,FALSE,
43,Roydell Williams,Alabama,250,45.8,0.0,45.8,,,523,23,TRUE,221
44,Dominic Richardson,Baylor,250,45.8,0.0,45.8,,,510,23,TRUE,210
45,Jalen Berger,Michigan State,250,45.8,0.0,45.8,,,378,24,FALSE,215
46,Cam Porter,Northwestern,250,45.8,0.0,45.8,,23,378,MISSING,MISSING,215
47,Noah Whittington,Oregon,183,45.6,-4.6,50.2,39.7,98,437,23,TRUE,203
48,Seth McGowan,Kentucky,250,45.4,-0.4,45.8,44.8,126,367,23,TRUE,215
49,Jamarion Miller,Alabama,246,43.9,-2.1,46.0,41.3,109,523,21,TRUE,221
50,Rahsul Faison,South Carolina,250,43.8,-2.0,45.8,41.2,118,342,25,FALSE,218
51,Jaylon Glover,UNLV,250,41.8,-4.0,45.8,36.6,51,424,21,TRUE,205
52,Kaelon Black,Indiana,250,40.6,-5.2,45.8,34.0,36,406,23,FALSE,210
53,Max Bredeson,Michigan,250,39.6,-6.2,45.8,31.7,11,340,22,FALSE,250
54,Le'Veon Moss,Texas A&M,250,39.1,-6.7,45.8,30.5,3,408,22,FALSE,210
