player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,slap_tier
Kenyon Sadiq,Oregon,TE,"6'3""",245.0,,,,,,,60.0,3.0,6.0,0.0,51.0,560.0,8.0,8.0,15.0,437.0,3804.0,31.0,14.7,25.8,20.3,1.28,19,82.5,95.9,-13.4,,14.8,Elite
Eli Stowers,Vanderbilt,TE,"6'4""",235.0,,,,,,,60.0,2.0,2.0,0.0,61.0,765.0,4.0,4.0,13.0,400.0,3735.0,30.0,20.5,13.3,16.9,1.91,61,76.3,80.6,-4.3,21.0,27.8,Strong
Max Klare,Ohio State,TE,"6'5""",243.0,,,,,,,40.0,,,,43.0,448.0,2.0,2.0,14.0,408.0,3755.0,33.0,11.9,6.1,9.0,1.1,71,65.9,78.2,-12.3,20.8,30.9,Strong
Michael Trigg,Baylor,TE,"6'4""",240.0,,,,,,,40.0,,,,50.0,694.0,6.0,6.0,12.0,510.0,3715.0,31.0,18.7,19.4,19.0,1.36,91,48.8,71.4,-22.6,22.8,18.7,Average
Justin Joly,NC State,TE,"6'3""",251.0,,,,,,,40.0,,,,49.0,489.0,7.0,7.0,13.0,413.0,3194.0,26.0,15.3,26.9,21.1,1.18,98,62.2,67.2,-5.0,19.3,25.6,Strong
Oscar Delp,Georgia,TE,"6'5""",245.0,,,,,,,40.0,,,,20.0,261.0,1.0,1.0,14.0,417.0,3083.0,25.0,8.5,4.0,6.2,0.63,119,26.1,56.7,-30.6,,8.4,Long Shot
Jack Endries,Texas,TE,"6'4""",240.0,,,,,,,40.0,,,,33.0,346.0,3.0,3.0,13.0,420.0,3259.0,28.0,10.6,10.7,10.7,0.82,121,37.8,55.2,-17.4,21.4,18.6,Long Shot
Sam Roush,Stanford,TE,"6'5""",260.0,,,,,,,40.0,,,,49.0,545.0,2.0,2.0,12.0,391.0,2664.0,14.0,20.5,14.3,17.4,1.39,133,23.0,49.4,-26.4,23.4,20.5,Long Shot
Dallen Bentley,Utah,TE,"6'4""",264.0,,,,,,,40.0,,,,48.0,620.0,6.0,6.0,13.0,373.0,2816.0,27.0,22.0,22.2,22.1,1.66,146,25.5,42.6,-17.1,22.5,23.2,Long Shot
Nate Boerkircher,Texas A&M,TE,"6'4""",250.0,,,,,,,40.0,3.0,5.0,1.0,20.0,204.0,3.0,4.0,13.0,408.0,3378.0,26.0,6.0,11.5,8.8,0.5,149,14.5,40.8,-26.3,,5.9,Long Shot
Eli Raridon,Notre Dame,TE,"6'7""",251.0,,,,,,,40.0,,,,32.0,482.0,0.0,0.0,12.0,322.0,3061.0,25.0,15.7,0.0,7.9,1.5,175,20.6,28.9,-8.3,21.8,16.2,Long Shot
John Michael Gyllenborg,Wyoming,TE,,,,,,,,,40.0,,,,24.0,217.0,1.0,1.0,12.0,384.0,2196.0,13.0,9.9,7.7,8.8,0.57,178,20.6,26.1,-5.5,20.9,19.2,Long Shot
Joe Royer,Cincinnati,TE,"6'5""",250.0,,,,,,,40.0,,,,29.0,416.0,4.0,4.0,13.0,363.0,2992.0,29.0,13.9,13.8,13.8,1.15,179,12.6,26.1,-13.5,22.7,18.4,Long Shot
Tanner Koziol,Houston,TE,"6'7""",240.0,,,,,,,40.0,,,,74.0,727.0,6.0,6.0,13.0,377.0,2813.0,26.0,25.8,23.1,24.5,1.93,183,29.2,26.1,3.1,20.3,28.3,Long Shot
Dae'Quan Wright,Mississippi,TE,,,,,,,,,40.0,1.0,2.0,0.0,39.0,635.0,5.0,5.0,15.0,523.0,4700.0,26.0,13.5,19.2,16.4,1.21,186,11.4,25.5,-14.1,,14.0,Long Shot
Josh Cuevas,Alabama,TE,"6'3""",256.0,,,,,,,40.0,1.0,7.0,0.0,37.0,411.0,4.0,4.0,15.0,523.0,3953.0,32.0,10.4,12.5,11.4,0.79,189,8.4,24.9,-16.5,,10.4,Long Shot
Riley Nowakowski,Indiana,TE,"6'2""",243.0,,,,,,,40.0,2.0,2.0,2.0,32.0,387.0,2.0,4.0,16.0,406.0,3826.0,46.0,10.1,4.3,7.2,0.95,210,6.5,17.5,-11.0,,10.1,Long Shot
Marlin Klein,Michigan,TE,"6'6""",250.0,,,,,,,40.0,,,,24.0,248.0,1.0,1.0,13.0,340.0,2428.0,11.0,10.2,9.1,9.7,0.73,217,4.1,15.7,-11.6,,10.2,Long Shot
Lance Mason,Wisconsin,TE,,240.0,,,,,,,40.0,1.0,7.0,0.0,30.0,398.0,4.0,4.0,12.0,272.0,1637.0,9.0,24.3,44.4,34.4,1.46,242,1.6,8.4,-6.8,23.4,24.3,Long Shot
Toby Payne,Marshall,TE,"6'4""",232.0,,,,,,,40.0,1.0,0.0,0.0,36.0,387.0,3.0,3.0,12.0,335.0,2495.0,18.0,15.5,16.7,16.1,1.16,250,1.6,5.9,-4.3,22.9,15.8,Long Shot
Brett Norfleet,Missouri,TE,"6'6""",263.0,,,,,,,40.0,,,,31.0,254.0,5.0,5.0,13.0,361.0,2449.0,15.0,10.4,33.3,21.9,0.7,250,1.6,5.9,-4.3,,10.4,Long Shot
Cooper Flanagan,Notre Dame,TE,"6'6""",258.0,,,,,,,40.0,,,,,,,,12.0,322.0,3061.0,25.0,,,,,250,1.6,5.9,-4.3,,1.7,Long Shot
Ethan Davis,Tennessee,TE,"6'5""",245.0,,,,,,,40.0,,,,21.0,257.0,2.0,2.0,13.0,437.0,3807.0,26.0,6.8,7.7,7.2,0.59,250,1.6,5.9,-4.3,,6.8,Long Shot
Andrew Rappleyea,Penn State,TE,"6'4""",251.0,,,,,,,40.0,,,,20.0,180.0,3.0,3.0,13.0,339.0,2439.0,16.0,7.4,18.8,13.1,0.53,250,1.6,5.9,-4.3,,7.4,Long Shot
Jaleel Skinner,Louisville,TE,"6'5""",230.0,,,,,,,40.0,,,,21.0,204.0,2.0,2.0,13.0,418.0,2868.0,18.0,7.1,11.1,9.1,0.49,250,1.6,5.9,-4.3,,7.2,Long Shot
Benji Gosnell,Virginia Tech,TE,"6'5""",254.0,,,,,,,40.0,,,,12.0,86.0,0.0,0.0,12.0,319.0,1996.0,17.0,4.3,0.0,2.2,0.27,250,1.6,5.9,-4.3,,13.9,Long Shot
Jack Pedersen,UCLA,TE,"6'5""",240.0,,,,,,,40.0,,,,11.0,72.0,0.0,0.0,12.0,361.0,2163.0,15.0,3.3,0.0,1.7,0.2,250,1.6,5.9,-4.3,,4.2,Long Shot
Luke Hasz,Mississippi,TE,"6'3""",240.0,,,,,,,40.0,,,,3.0,28.0,1.0,1.0,15.0,523.0,4700.0,26.0,0.6,3.8,2.2,0.05,250,1.6,5.9,-4.3,,11.2,Long Shot
Joey Schlaffer,Penn State,TE,"6'5""",252.0,,,,,,,40.0,,,,1.0,19.0,1.0,1.0,13.0,339.0,2439.0,16.0,0.8,6.2,3.5,0.06,250,1.0,5.9,-4.9,,0.8,Long Shot
Shamar Easter,North Carolina,TE,"6'5""",215.0,,,,,,,40.0,,,,2.0,17.0,0.0,0.0,12.0,355.0,2207.0,13.0,0.8,0.0,0.4,0.05,250,1.0,5.9,-4.9,,0.9,Long Shot
Will Kacmarek,Ohio State,TE,"6'6""",258.0,,,,,,,40.0,,,,15.0,168.0,2.0,2.0,14.0,408.0,3755.0,33.0,4.5,6.1,5.3,0.41,251,1.6,5.0,-3.4,,9.2,Long Shot
Max Bredeson,Michigan,TE,,250.0,,,,,,,40.0,,0.0,,2.0,11.0,0.0,0.0,13.0,340.0,2428.0,11.0,0.5,0.0,0.2,0.03,277,1.0,1.0,0.0,,2.5,Long Shot
R.J. Maryland,SMU,TE,,,,,,,,,40.0,,,,27.0,322.0,2.0,2.0,13.0,460.0,3680.0,26.0,8.8,7.7,8.2,0.7,290,1.0,1.0,0.0,,13.3,Long Shot
Dan Villari,Syracuse,TE,"6'4""",245.0,,,,,,,40.0,17.0,55.0,1.0,39.0,412.0,0.0,1.0,12.0,408.0,2607.0,17.0,15.8,0.0,7.9,1.01,302,1.0,1.0,0.0,24.1,15.8,Long Shot
Bauer Sharp,LSU,TE,"6'5""",246.0,,,,,,,40.0,,,,24.0,252.0,2.0,2.0,13.0,443.0,2984.0,20.0,8.4,10.0,9.2,0.57,320,1.0,1.0,0.0,,14.5,Long Shot
Seydou Traore,Mississippi State,TE,"6'4""",235.0,,,,,,,40.0,,,,35.0,372.0,5.0,5.0,13.0,390.0,3138.0,20.0,11.9,25.0,18.4,0.95,349,1.6,1.0,0.6,19.8,23.3,Long Shot
Carsen Ryan,BYU,TE,"6'4""",250.0,,,,,,,40.0,,,,45.0,620.0,3.0,3.0,14.0,403.0,3096.0,15.0,20.0,20.0,20.0,1.54,358,1.0,1.0,0.0,23.2,20.1,Long Shot
