player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,teammate_score,early_declare,slap_tier
Carnell Tate,Ohio State,WR,,195.0,,,,,,,,2.0,16.0,0.0,51.0,875.0,9.0,9.0,14.0,408.0,3755.0,33.0,23.3,27.3,25.3,2.14,7,96.1,96.8,-0.7,20.0,25.3,60.0,1.0,Elite
Jordyn Tyson,Arizona State,WR,,200.0,,,,,,,,2.0,4.0,1.0,61.0,711.0,8.0,9.0,13.0,430.0,2908.0,20.0,24.4,40.0,32.2,1.65,10,92.1,95.1,-3.0,19.0,36.4,0.0,0.0,Elite
Makai Lemon,USC,WR,,195.0,,,,,,,,9.0,4.0,2.0,79.0,1156.0,11.0,13.0,13.0,420.0,3848.0,26.0,30.0,42.3,36.2,2.75,13,89.7,93.8,-4.1,21.0,36.2,0.0,1.0,Elite
Denzel Boston,Washington,WR,,209.0,,,,,,,,,,,62.0,881.0,11.0,11.0,13.0,370.0,3178.0,26.0,27.7,42.3,35.0,2.38,22,82.8,89.7,-6.9,20.0,35.0,0.0,0.0,Elite
Kevin Concepcion,Texas A&M,WR,,190.0,,,,,,,,10.0,75.0,1.0,61.0,919.0,9.0,10.0,13.0,408.0,3378.0,26.0,27.2,34.6,30.9,2.25,26,89.2,87.0,2.2,20.0,30.9,0.0,1.0,Elite
Omar Cooper Jr.,Indiana,WR,,201.0,,,,,,,,3.0,74.0,1.0,70.0,961.0,13.0,14.0,16.0,406.0,3826.0,46.0,25.1,28.3,26.7,2.37,48,79.9,77.6,2.3,21.0,26.7,60.0,1.0,Strong
Zachariah Branch,Georgia,WR,,180.0,,,,,,,,4.0,7.0,0.0,81.0,811.0,6.0,6.0,14.0,417.0,3083.0,25.0,26.3,24.0,25.2,1.94,49,78.8,77.5,1.3,21.0,25.2,60.0,1.0,Strong
Malachi Fields,Notre Dame,WR,,223.0,,,,,,,,,,,36.0,630.0,5.0,5.0,12.0,322.0,3061.0,25.0,20.6,20.0,20.3,1.96,50,66.3,76.9,-10.6,21.0,20.3,0.0,0.0,Strong
Chris Bell,Louisville,WR,,176.0,,,,,,,,,,,72.0,917.0,6.0,6.0,13.0,418.0,2868.0,18.0,32.0,33.3,32.7,2.19,51,58.5,76.3,-17.8,,32.7,0.0,0.0,Average
Germie Bernard,Alabama,WR,,204.0,,,,,,,,18.0,101.0,2.0,64.0,862.0,7.0,9.0,15.0,523.0,3953.0,32.0,21.8,21.9,21.8,1.65,55,74.4,74.4,0.0,21.0,21.8,0.0,1.0,Strong
Chris Brazzell,Tennessee,WR,,200.0,,,,,,,,,,,62.0,1017.0,9.0,9.0,13.0,437.0,3807.0,26.0,26.7,34.6,30.7,2.33,57,66.0,73.0,-7.0,21.0,30.7,0.0,0.0,Strong
Elijah Sarratt,Indiana,WR,,209.0,,,,,,,,,,,64.0,806.0,15.0,15.0,16.0,406.0,3826.0,46.0,21.1,32.6,26.8,1.99,59,68.9,72.1,-3.2,21.0,26.8,60.0,0.0,Strong
Antonio Williams,Clemson,WR,,210.0,,,,,,,,13.0,78.0,1.0,55.0,604.0,4.0,5.0,13.0,474.0,3481.0,22.0,17.4,18.2,17.8,1.27,68,68.1,68.9,-0.8,20.0,26.4,0.0,0.0,Strong
Ja'Kobi Lane,USC,WR,,200.0,,,,,,,,,,,49.0,745.0,4.0,4.0,13.0,420.0,3848.0,26.0,19.4,15.4,17.4,1.77,76,75.6,65.6,10.0,19.0,27.6,0.0,1.0,Strong
Ted Hurst,Georgia State,WR,,185.0,,,,,,,,,,,71.0,1004.0,6.0,6.0,12.0,475.0,3053.0,22.0,32.9,27.3,30.1,2.11,82,47.3,63.0,-15.7,,37.1,0.0,0.0,Average
Skyler Bell,UConn,WR,,185.0,,,,,,,,,,,,1276.0,13.0,13.0,,451.0,3690.0,30.0,34.6,43.3,39.0,2.83,99,48.4,57.7,-9.3,22.0,39.0,0.0,0.0,Average
Deion Burks,Oklahoma,WR,,188.0,,,,,,,,6.0,-3.0,0.0,57.0,620.0,4.0,4.0,13.0,431.0,3050.0,17.0,20.3,23.5,21.9,1.44,118,37.7,51.0,-13.3,22.0,21.9,0.0,0.0,Long Shot
Kevin Coleman Jr.,Missouri,WR,,180.0,,,,,,,,9.0,76.0,0.0,66.0,732.0,1.0,1.0,13.0,361.0,2449.0,15.0,29.9,6.7,18.3,2.03,121,44.9,50.4,-5.5,,18.3,0.0,1.0,Average
Brenen Thompson,Mississippi State,WR,,170.0,,,,,,,,4.0,14.0,1.0,57.0,1054.0,6.0,7.0,13.0,390.0,3138.0,20.0,33.6,30.0,31.8,2.7,131,36.8,48.0,-11.2,22.0,31.8,0.0,0.0,Long Shot
Bryce Lance,North Dakota State,WR,,209.0,,,,,,,,4.0,92.0,1.0,51.0,1079.0,8.0,9.0,13.0,,3104.0,20.0,34.8,40.0,37.4,,132,38.0,47.3,-9.3,22.0,37.4,0.0,0.0,Long Shot
Josh Cameron,Baylor,WR,,224.0,,,,,,,,,,,69.0,872.0,9.0,9.0,12.0,510.0,3715.0,31.0,23.5,29.0,26.3,1.71,136,39.4,45.5,-6.1,21.0,27.2,0.0,0.0,Long Shot
C.J. Daniels,Miami (FL),WR,,205.0,,,,,,,,,,,50.0,557.0,7.0,7.0,16.0,496.0,4051.0,32.0,13.7,21.9,17.8,1.12,138,27.3,45.2,-17.9,,17.8,0.0,0.0,Long Shot
Reggie Virgil,Texas Tech,WR,,190.0,,,,,,,,2.0,35.0,2.0,57.0,705.0,6.0,8.0,14.0,486.0,3887.0,33.0,18.1,18.2,18.2,1.45,152,33.4,41.2,-7.8,,18.2,0.0,1.0,Long Shot
Lewis Bond,Boston College,WR,,190.0,,,,,,,,4.0,3.0,0.0,89.0,1010.0,1.0,1.0,12.0,454.0,3362.0,20.0,30.0,5.0,17.5,2.22,185,37.7,29.0,8.7,19.0,36.8,0.0,0.0,Long Shot
De'Zhaun Stribling,Mississippi,WR,,200.0,,,,,,,,,,,55.0,811.0,6.0,6.0,15.0,523.0,4700.0,26.0,17.3,23.1,20.2,1.55,186,17.8,28.3,-10.5,22.0,20.2,40.0,0.0,Long Shot
Caleb Douglas,Texas Tech,WR,,210.0,,,,,,,,,,,53.0,830.0,7.0,7.0,14.0,486.0,3887.0,33.0,21.4,21.2,21.3,1.71,192,37.4,24.7,12.7,20.0,21.3,0.0,1.0,Long Shot
Eric McAlister,TCU,WR,,205.0,,,,,,,,,,,72.0,1190.0,10.0,10.0,13.0,460.0,3771.0,30.0,31.6,33.3,32.4,2.59,193,31.9,24.4,7.5,21.0,32.4,80.0,0.0,Long Shot
Chase Roberts,BYU,WR,,280.0,,,,,,,,,,,54.0,802.0,6.0,6.0,14.0,403.0,3096.0,15.0,25.9,40.0,33.0,1.99,198,8.5,23.3,-14.8,,33.0,0.0,0.0,Long Shot
Aaron Anderson,LSU,WR,,188.0,,,,,,,,1.0,2.0,0.0,33.0,398.0,0.0,0.0,13.0,443.0,2984.0,20.0,13.3,0.0,6.7,0.9,211,6.2,16.9,-10.7,,19.3,0.0,0.0,Long Shot
Kaden Wetjen,Iowa,WR,,196.0,,,,,,,,15.0,79.0,2.0,20.0,151.0,1.0,3.0,13.0,286.0,1861.0,12.0,8.1,8.3,8.2,0.53,212,4.8,16.9,-12.1,,8.2,0.0,0.0,Long Shot
Cyrus Allen,Cincinnati,WR,,180.0,,,,,,,,8.0,34.0,1.0,50.0,660.0,12.0,13.0,13.0,363.0,2992.0,29.0,22.1,41.4,31.7,1.82,219,14.3,14.9,-0.6,21.0,31.7,0.0,0.0,Long Shot
Eli Heidenreich,Navy,WR,,206.0,,,,,,,,77.0,499.0,3.0,51.0,941.0,6.0,9.0,13.0,182.0,1690.0,12.0,55.7,50.0,52.8,5.17,223,15.2,13.1,2.1,21.0,52.8,0.0,0.0,Long Shot
Barion Brown,LSU,WR,,185.0,,,,,,,,3.0,33.0,0.0,53.0,532.0,1.0,1.0,13.0,443.0,2984.0,20.0,17.8,5.0,11.4,1.2,225,8.5,12.7,-4.2,,11.4,0.0,1.0,Long Shot
Jordan Hudson,SMU,WR,,200.0,,,,,,,,1.0,6.0,0.0,61.0,766.0,6.0,6.0,13.0,460.0,3680.0,26.0,20.8,23.1,21.9,1.67,227,9.4,12.0,-2.6,21.0,21.9,0.0,0.0,Long Shot
Tyren Montgomery,John Carroll,WR,,,,,,,,,,,,,,,,,,,,,,,,,229,2.2,11.1,-8.9,,,0.0,0.0,Long Shot
Dane Key,Nebraska,WR,,210.0,,,,,,,,,,,39.0,452.0,5.0,5.0,13.0,378.0,2920.0,23.0,15.5,21.7,18.6,1.2,237,2.7,8.4,-5.7,,18.6,0.0,0.0,Long Shot
Eric Rivers,Georgia Tech,WR,,170.0,,,,,,,,7.0,56.0,0.0,47.0,671.0,2.0,2.0,13.0,394.0,3413.0,16.0,19.7,12.5,16.1,1.7,242,2.4,5.9,-3.5,,16.1,0.0,0.0,Long Shot
Keelan Marion,Miami (FL),WR,,195.0,,,,,,,,4.0,25.0,0.0,57.0,746.0,2.0,2.0,16.0,496.0,4051.0,32.0,18.4,6.2,12.3,1.5,250,1.0,3.9,-2.9,,12.3,0.0,0.0,Long Shot
Noah Thomas,Georgia,WR,,205.0,,,,,,,,,,,16.0,254.0,4.0,4.0,14.0,417.0,3083.0,25.0,8.2,16.0,12.1,0.61,250,4.2,3.9,0.3,,12.1,0.0,1.0,Long Shot
Vinny Anthony II,Wisconsin,WR,,190.0,,,,,,,,5.0,27.0,2.0,31.0,391.0,1.0,3.0,12.0,272.0,1637.0,9.0,23.9,11.1,17.5,1.44,250,2.4,3.9,-1.5,,28.5,0.0,0.0,Long Shot
Caullin Lacy,Louisville,WR,,190.0,,,,,,,,15.0,53.0,0.0,60.0,635.0,2.0,2.0,13.0,418.0,2868.0,18.0,22.1,11.1,16.6,1.52,250,2.2,3.9,-1.7,,16.6,0.0,0.0,Long Shot
